CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;calc;calc
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Q_CHL;NOx_01;Q_NOX;PO4_01;Q_PO4;Si_01;Q_Si;QCFF;N_P;N_Si
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));((none));((none));((none))
HUD2000050_002;HL_02;44.295667;-63.2305;232252;30-sep-00;19:36:00;3.49;30.682;14.594;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232248;30-sep-00;19:36:00;3.66;30.683;14.591;5.5;0.54426;1;0.38;1;0.345;1;0.54;1;0;1.10;0.70
HUD2000050_002;HL_02;44.295667;-63.2305;232257;30-sep-00;19:36:00;3.66;30.683;14.588;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232253;30-sep-00;19:36:00;3.67;30.682;14.594;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232251;30-sep-00;19:36:00;3.76;30.682;14.594;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232255;30-sep-00;19:36:00;3.8;30.683;14.59;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232250;30-sep-00;19:36:00;3.9;30.682;14.594;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232258;30-sep-00;19:36:00;3.9;30.683;14.59;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232259;30-sep-00;19:36:00;3.91;30.683;14.589;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232249;30-sep-00;19:36:00;3.92;30.682;14.594;5.5;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232254;30-sep-00;19:36:00;3.92;30.683;14.589;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232256;30-sep-00;19:36:00;3.96;30.683;14.589;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232260;30-sep-00;19:36:00;3.97;30.683;14.591;5.4;NaN;9;NaN;9;NaN;9;NaN;9;0;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232246;30-sep-00;19:35:00;13.43;30.677;14.559;5.6;0.539173;1;0.39;1;0.353;1;0.61;1;0;1.10;0.64
HUD2000050_002;HL_02;44.295667;-63.2305;232247;30-sep-00;19:35:00;13.62;30.678;14.575;5.6;NaN;9;0.29;1;0.361;1;1.48;1;0;0.80;0.20
HUD2000050_002;HL_02;44.295667;-63.2305;232245;30-sep-00;19:34:00;23.89;30.892;12.185;6;1.876269;1;0.94;1;0.637;1;1.78;1;0;1.48;0.53
HUD2000050_002;HL_02;44.295667;-63.2305;232244;30-sep-00;19:33:00;32.67;31.703;9.078;6.1;NaN;9;0.94;1;0.656;1;2.45;1;0;1.43;0.38
HUD2000050_002;HL_02;44.295667;-63.2305;232243;30-sep-00;19:33:00;33.21;31.729;8.942;6.2;0.964938;1;1.02;1;0.637;1;1.6;1;0;1.60;0.64
HUD2000050_002;HL_02;44.295667;-63.2305;232242;30-sep-00;19:32:00;42.85;31.929;6.465;6.1;0.600212;1;2.7;1;0.713;1;2.63;1;0;3.79;1.03
HUD2000050_002;HL_02;44.295667;-63.2305;232241;30-sep-00;19:32:00;53.32;32.221;5.404;6;0.391663;1;3.14;1;0.738;1;3.24;1;0;4.25;0.97
HUD2000050_002;HL_02;44.295667;-63.2305;232240;30-sep-00;19:31:00;64.47;32.391;4.931;5.6;0.233981;1;5.51;1;0.826;1;4.38;1;0;6.67;1.26
HUD2000050_002;HL_02;44.295667;-63.2305;232239;30-sep-00;19:30:00;83.08;32.906;5.184;5;0.126146;1;8.21;1;0.924;1;6.65;1;0;8.89;1.23
