CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(ml/l)
S51_103;CAST#1;44.6333;-67.0416;-9;19-jul-60;21:30:00;218
S51_108;CAST#1;45.4333;-65.0583;-78;23-jul-60;23:00:00;179
S51_109;CAST#1;45.4333;-65.0583;-79;23-jul-60;23:30:00;255
S51_110;CAST#1;45.35;-65.195;-80;24-jul-60;00:42:00;222
S51_117;CAST#1;44.7166;-66.95;-10;19-jul-60;22:18:00;192
S51_131;CAST#1;44.8;-66.9;-11;19-jul-60;23:24:00;217
S51_145;CAST#1;44.9333;-66.8166;-12;20-jul-60;00:42:00;213
S51_159;CAST#1;44.8633;-66.75;-13;20-jul-60;02:00:00;212
S51_173;CAST#1;44.7366;-66.6333;-14;20-jul-60;03:18:00;158
S51_187;CAST#1;44.675;-66.5666;-15;20-jul-60;04:12:00;188
S51_200;CAST#1;44.6;-66.4833;-16;20-jul-60;05:18:00;174
S51_213;CAST#1;44.5166;-66.1583;-17;20-jul-60;07:12:00;226
S51_226;CAST#1;44.5416;-66.23;-18;20-jul-60;07:54:00;221
S51_239;CAST#1;44.0166;-66.4666;-1;19-jul-60;11:18:00;179
S51_242;CAST#1;44.6166;-66.2833;-19;20-jul-60;08:54:00;167
S51_257;CAST#1;44.675;-66.3333;-20;20-jul-60;10:00:00;162
S51_270;CAST#1;44.7033;-66.375;-21;20-jul-60;10:54:00;265
S51_283;CAST#1;44.7633;-66.4333;-22;20-jul-60;12:00:00;221
S51_297;CAST#1;44.8166;-66.5;-23;20-jul-60;13:18:00;141
S51_310;CAST#1;44.8666;-66.55;-24;20-jul-60;14:24:00;169
S51_323;CAST#1;44.9166;-66.6166;-25;20-jul-60;15:18:00;231
S51_337;CAST#1;44.9583;-66.6466;-26;20-jul-60;16:00:00;193
S51_350;CAST#1;45.0166;-66.4833;-27;21-jul-60;18:30:00;227
S51_363;CAST#1;44.9666;-66.4666;-28;21-jul-60;19:12:00;227
S51_376;CAST#1;44.1;-66.6333;-2;19-jul-60;12:36:00;243
S51_379;CAST#1;44.95;-66.425;-29;21-jul-60;19:54:00;204
S51_392;CAST#1;44.985;-66.2666;-30;21-jul-60;21:12:00;227
S51_397;CAST#1;45.0333;-66.3;-31;21-jul-60;22:00:00;199
S51_403;CAST#1;45.0833;-66.34;-32;21-jul-60;22:36:00;234
S51_409;CAST#1;45.1166;-66.1666;-33;21-jul-60;23:30:00;222
S51_418;CAST#1;45.0816;-66.1416;-34;22-jul-60;00:12:00;174
S51_428;CAST#1;45.1666;-66.075;-35;22-jul-60;01:00:00;203
S51_436;CAST#1;45.1166;-66.0333;-36;22-jul-60;01:36:00;249
S51_444;CAST#1;45.0666;-65.9916;-37;22-jul-60;02:12:00;217
S51_450;CAST#1;45;-66.0833;-38;22-jul-60;03:36:00;244
S51_454;CAST#1;44.1833;-66.7666;-3;19-jul-60;13:42:00;178
S51_456;CAST#1;45;-65.9416;-39;22-jul-60;04:48:00;221
S51_469;CAST#1;44.9666;-65.9166;-40;22-jul-60;05:42:00;210
S51_475;CAST#1;44.8666;-65.85;-41;22-jul-60;07:12:00;253
S51_481;CAST#1;44.8333;-65.82;-42;22-jul-60;08:06:00;171
S51_486;CAST#1;44.7666;-65.7666;-43;22-jul-60;08:54:00;230
S51_492;CAST#1;44.83;-65.7083;-44;22-jul-60;09:48:00;206
S51_498;CAST#1;44.9;-65.625;-45;22-jul-60;10:36:00;219
S51_503;CAST#1;44.9666;-65.5333;-46;22-jul-60;11:36:00;241
S51_506;CAST#1;45.0316;-65.4583;-47;22-jul-60;12:18:00;236
S51_509;CAST#1;45.0983;-65.4;-48;22-jul-60;13:00:00;235
S51_512;CAST#1;44.2666;-66.9166;-4;19-jul-60;15:12:00;175
S51_515;CAST#1;45.18;-65.4;-49;22-jul-60;16:48:00;205
S51_528;CAST#1;45.2416;-65.4083;-50;22-jul-60;17:24:00;197
S51_531;CAST#1;45.3;-65.4;-51;22-jul-60;18:06:00;252
S51_534;CAST#1;45.3833;-65.425;-52;22-jul-60;18:48:00;231
S51_536;CAST#1;45.2966;-65.32;-53;22-jul-60;20:12:00;169
S51_539;CAST#1;45.3033;-65.235;-54;22-jul-60;21:24:00;206
S51_542;CAST#1;45.2333;-65.1333;-55;22-jul-60;22:30:00;199
S51_547;CAST#1;45.1283;-64.965;-56;23-jul-60;00:18:00;198
S51_550;CAST#1;45.1783;-64.82;-57;23-jul-60;01:06:00;195
S51_553;CAST#1;44.325;-67.0666;-5;19-jul-60;16:12:00;165
S51_556;CAST#1;45.2166;-64.7033;-58;23-jul-60;01:42:00;273
S51_559;CAST#1;45.2366;-64.72;-59;23-jul-60;02:18:00;222
S51_577;CAST#1;44.4333;-67.1833;-6;19-jul-60;17:54:00;200
S51_584;CAST#1;45.2833;-64.6666;-60;23-jul-60;07:06:00;230
S51_586;CAST#1;45.25;-64.7666;-61;23-jul-60;07:36:00;226
S51_588;CAST#1;45.25;-64.8333;-62;23-jul-60;08:18:00;230
S51_590;CAST#1;45.2333;-64.9083;-63;23-jul-60;08:48:00;222
S51_592;CAST#1;45.2833;-64.975;-64;23-jul-60;09:18:00;201
S51_594;CAST#1;45.3583;-65.0833;-65;23-jul-60;10:18:00;222
S51_610;CAST#1;44.5;-67.3333;-7;19-jul-60;19:12:00;234
S51_618;CAST#1;45.5;-65.0483;-66;23-jul-60;13:36:00;238
S51_620;CAST#1;45.4916;-64.8666;-67;23-jul-60;14:30:00;252
S51_667;CAST#1;45.5033;-64.8833;-68;23-jul-60;15:12:00;227
S51_669;CAST#1;45.5166;-64.9;-69;23-jul-60;15:48:00;249
S51_673;CAST#1;45.5416;-64.9583;-70;23-jul-60;16:48:00;230
S51_677;CAST#1;45.5666;-64.875;-71;23-jul-60;17:54:00;230
S51_679;CAST#1;44.5666;-67.1833;-8;19-jul-60;20:24:00;215
S51_742;CAST#1;45.5833;-64.7833;-72;23-jul-60;18:30:00;201
S51_744;CAST#1;45.5583;-64.7666;-73;23-jul-60;18:54:00;213
S51_896;CAST#1;45.5333;-64.8666;-74;23-jul-60;19:54:00;220
S51_940;CAST#1;45.5;-64.9833;-75;23-jul-60;20:36:00;250
S51_978;CAST#1;45.4783;-64.9783;-76;23-jul-60;21:00:00;212
S51_980;CAST#1;45.4416;-64.925;-77;23-jul-60;22:00:00;220
