CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL_BS;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(ml/l)
WT624_101;STN27;47.5467;-52.5867;259899;17-jul-05;00:37:00;171.52;33.01;318.4
WT624_101;STN27;47.5467;-52.5867;259900;17-jul-05;00:37:00;150.95;32.94;326.9
WT624_101;STN27;47.5467;-52.5867;259901;17-jul-05;00:37:00;100.38;32.74;348.8
WT624_101;STN27;47.5467;-52.5867;259902;17-jul-05;00:37:00;75.17;32.64;348.8
WT624_101;STN27;47.5467;-52.5867;259903;17-jul-05;00:37:00;50.66;32.54;386.3
WT624_101;STN27;47.5467;-52.5867;259904;17-jul-05;00:37:00;39.85;32.45;369.3
WT624_101;STN27;47.5467;-52.5867;259905;17-jul-05;00:37:00;29.94;32.28;375.6
WT624_101;STN27;47.5467;-52.5867;259906;17-jul-05;00:37:00;19.89;31.98;344.8
WT624_101;STN27;47.5467;-52.5867;259907;17-jul-05;00:37:00;10.25;31.71;309
WT624_101;STN27;47.5467;-52.5867;259908;17-jul-05;00:37:00;4.89;31.71;307.3
WT624_103;FC-09;47;-50;259955;18-jul-05;04:38:00;84.51;32.94;280
WT624_103;FC-09;47;-50;259956;18-jul-05;04:38:00;50.05;32.69;388.5
WT624_103;FC-09;47;-50;259957;18-jul-05;04:38:00;41.14;32.6;376.5
WT624_103;FC-09;47;-50;259958;18-jul-05;04:38:00;31.07;32.44;328.7
WT624_103;FC-09;47;-50;259959;18-jul-05;04:38:00;20.03;32.41;316.2
WT624_103;FC-09;47;-50;259960;18-jul-05;04:38:00;10.53;32.28;305.5
WT624_103;FC-09;47;-50;259961;18-jul-05;04:38:00;5.39;32.28;305.5
WT624_117;FC 10;47;-49.1167;259962;18-jul-05;09:30:00;77.69;33.02;298.3
WT624_117;FC 10;47;-49.1167;259963;18-jul-05;09:30:00;50.49;32.79;383.6
WT624_117;FC 10;47;-49.1167;259964;18-jul-05;09:30:00;40.45;32.63;392.1
WT624_117;FC 10;47;-49.1167;259965;18-jul-05;09:30:00;30.59;32.4;332.3
WT624_117;FC 10;47;-49.1167;259966;18-jul-05;09:30:00;20;32.36;326.9
WT624_117;FC 10;47;-49.1167;259967;18-jul-05;09:30:00;10.22;32.24;305.9
WT624_117;FC 10;47;-49.1167;259968;18-jul-05;09:30:00;5.03;32.24;305.9
WT624_131;FC-11;47;-48.6167;259969;18-jul-05;12:39:00;100.43;33.17;309.9
WT624_145;FC-12;47;-48.1167;259970;18-jul-05;15:26:00;129.95;33.26;308.2
WT624_145;FC-12;47;-48.1167;259971;18-jul-05;15:26:00;100.66;33.07;347.5
WT624_145;FC-12;47;-48.1167;259972;18-jul-05;15:26:00;75.28;32.83;351.5
WT624_145;FC-12;47;-48.1167;259973;18-jul-05;15:26:00;49.9;32.71;385.9
WT624_145;FC-12;47;-48.1167;259974;18-jul-05;15:26:00;39.78;32.7;401.9
WT624_145;FC-12;47;-48.1167;259975;18-jul-05;15:26:00;30.21;32.58;366.7
WT624_145;FC-12;47;-48.1167;259976;18-jul-05;15:26:00;20.23;32.39;330.5
WT624_145;FC-12;47;-48.1167;259977;18-jul-05;15:26:00;10.5;32.11;303.7
WT624_145;FC-12;47;-48.1167;259978;18-jul-05;15:26:00;5.03;32.11;303.7
WT624_159;FC-13;47;-47.8167;259979;18-jul-05;17:53:00;159.48;33.79;278.7
WT624_173;FC-14;47;-47.5;259980;18-jul-05;20:06:00;210.74;34.33;282.7
WT624_173;FC-14;47;-47.5;259981;18-jul-05;20:06:00;150.34;33.81;320.2
WT624_173;FC-14;47;-47.5;259982;18-jul-05;20:06:00;100.35;33.22;337.6
WT624_173;FC-14;47;-47.5;259983;18-jul-05;20:06:00;75.09;32.95;348.3
WT624_173;FC-14;47;-47.5;259984;18-jul-05;20:06:00;49.57;32.78;354.6
WT624_173;FC-14;47;-47.5;259985;18-jul-05;20:06:00;39.73;32.71;367.1
WT624_173;FC-14;47;-47.5;259986;18-jul-05;20:06:00;29.52;32.62;385.4
WT624_173;FC-14;47;-47.5;259987;18-jul-05;20:06:00;19.5;32.43;339.4
WT624_173;FC-14;47;-47.5;259988;18-jul-05;20:06:00;9.89;32.14;309.5
WT624_173;FC-14;47;-47.5;259989;18-jul-05;20:06:00;4.65;32.14;309.5
WT624_187;FC-15;47;-47.25;259990;18-jul-05;22:29:00;549.37;34.86;296.5
WT624_187;FC-15;47;-47.25;259991;18-jul-05;22:29:00;149.53;34.24;309.5
WT624_187;FC-15;47;-47.25;259992;18-jul-05;22:29:00;100.09;33.9;316.6
WT624_187;FC-15;47;-47.25;259993;18-jul-05;22:29:00;75.69;33.68;332.7
WT624_187;FC-15;47;-47.25;259994;18-jul-05;22:29:00;50.18;33.34;343.9
WT624_187;FC-15;47;-47.25;259995;18-jul-05;22:29:00;40.18;33.17;359.1
WT624_187;FC-15;47;-47.25;259996;18-jul-05;22:29:00;30.91;32.96;376
WT624_187;FC-15;47;-47.25;259997;18-jul-05;22:29:00;20.47;32.76;345.7
WT624_187;FC-15;47;-47.25;259998;18-jul-05;22:29:00;10.19;32.1;301.5
WT624_187;FC-15;47;-47.25;259999;18-jul-05;22:29:00;5.05;32.1;301.9
WT624_200;FC-16;47;-47.1683;260000;19-jul-05;00:41:00;855.36;34.88;293.9
WT624_213;FC-17;47;-47.0167;260001;19-jul-05;02:36:00;1150.71;34.9;281.4
WT624_213;FC-17;47;-47.0167;260002;19-jul-05;02:36:00;151.05;34.55;294.8
WT624_213;FC-17;47;-47.0167;260003;19-jul-05;02:36:00;100.09;34.3;296.5
WT624_213;FC-17;47;-47.0167;260004;19-jul-05;02:36:00;69.66;34.03;304.6
WT624_213;FC-17;47;-47.0167;260005;19-jul-05;02:36:00;51.04;33.69;318
WT624_213;FC-17;47;-47.0167;260006;19-jul-05;02:36:00;40.53;33.53;344.8
WT624_213;FC-17;47;-47.0167;260007;19-jul-05;02:36:00;30.68;33.3;368
WT624_213;FC-17;47;-47.0167;260008;19-jul-05;02:36:00;20.42;32.93;334.1
WT624_213;FC-17;47;-47.0167;260009;19-jul-05;02:36:00;10.63;32.21;291.2
WT624_213;FC-17;47;-47.0167;260010;19-jul-05;02:36:00;5.79;32.21;291.2
WT624_226;FC-18;47;-46.8333;260011;19-jul-05;06:35:00;1189.69;34.9;276.9
WT624_226;FC-18;47;-46.8333;260012;19-jul-05;06:35:00;151.01;34.59;288.9
WT624_226;FC-18;47;-46.8333;260013;19-jul-05;06:35:00;100.77;34.37;294.3
WT624_226;FC-18;47;-46.8333;260014;19-jul-05;06:35:00;75.61;34.15;301
WT624_226;FC-18;47;-46.8333;260015;19-jul-05;06:35:00;50.37;33.88;308.6
WT624_226;FC-18;47;-46.8333;260016;19-jul-05;06:35:00;40.53;33.87;309.5
WT624_226;FC-18;47;-46.8333;260017;19-jul-05;06:35:00;30.18;34.07;316.6
WT624_226;FC-18;47;-46.8333;260018;19-jul-05;06:35:00;20.05;33.54;331.8
WT624_226;FC-18;47;-46.8333;260019;19-jul-05;06:35:00;9.97;32.67;296.5
WT624_226;FC-18;47;-46.8333;260020;19-jul-05;06:35:00;5.36;32.67;296.5
WT624_239;FC-01;47;-52.8317;259909;17-jul-05;07:00:00;99.32;32.74;352.4
WT624_239;FC-01;47;-52.8317;259910;17-jul-05;07:00:00;75.27;32.67;360
WT624_239;FC-01;47;-52.8317;259911;17-jul-05;07:00:00;50.42;32.56;370.7
WT624_239;FC-01;47;-52.8317;259912;17-jul-05;07:00:00;39.73;32.48;371.6
WT624_239;FC-01;47;-52.8317;259913;17-jul-05;07:00:00;30.66;32.38;373.4
WT624_239;FC-01;47;-52.8317;259914;17-jul-05;07:00:00;20.54;32.17;361.7
WT624_239;FC-01;47;-52.8317;259915;17-jul-05;07:00:00;10.25;31.92;268
WT624_239;FC-01;47;-52.8317;259916;17-jul-05;07:00:00;4.38;31.35;218.8
WT624_242;FC-19;47;-46.67;260021;19-jul-05;10:03:00;902.26;34.89;280.9
WT624_257;FC-20;47;-46.4833;260022;19-jul-05;11:44:00;347.01;34.88;277.8
WT624_257;FC-20;47;-46.4833;260023;19-jul-05;11:44:00;150.97;34.69;268.9
WT624_257;FC-20;47;-46.4833;260024;19-jul-05;11:44:00;100.99;34.52;272.4
WT624_257;FC-20;47;-46.4833;260025;19-jul-05;11:44:00;75.31;34.34;280.5
WT624_257;FC-20;47;-46.4833;260026;19-jul-05;11:44:00;50.29;34.17;282.7
WT624_257;FC-20;47;-46.4833;260027;19-jul-05;11:44:00;40.32;34.06;288.1
WT624_257;FC-20;47;-46.4833;260028;19-jul-05;11:44:00;30.37;33.99;296.5
WT624_257;FC-20;47;-46.4833;260029;19-jul-05;11:44:00;20.36;33.88;308.6
WT624_257;FC-20;47;-46.4833;260030;19-jul-05;11:44:00;10.3;33.18;287.2
WT624_257;FC-20;47;-46.4833;260031;19-jul-05;11:44:00;5.25;33.18;287.2
WT624_270;FC-21;47;-46.0167;260032;19-jul-05;15:09:00;299.63;34.88;270.6
WT624_270;FC-21;47;-46.0167;260033;19-jul-05;15:09:00;150.18;34.75;253.2
WT624_270;FC-21;47;-46.0167;260034;19-jul-05;15:09:00;100.44;34.45;279.1
WT624_270;FC-21;47;-46.0167;260035;19-jul-05;15:09:00;74.63;34.25;285.8
WT624_270;FC-21;47;-46.0167;260036;19-jul-05;15:09:00;50.37;34.08;288.9
WT624_270;FC-21;47;-46.0167;260037;19-jul-05;15:09:00;40.36;33.98;286.3
WT624_270;FC-21;47;-46.0167;260038;19-jul-05;15:09:00;29.83;33.95;304.1
WT624_270;FC-21;47;-46.0167;260039;19-jul-05;15:09:00;19.98;33.91;308.6
WT624_270;FC-21;47;-46.0167;260040;19-jul-05;15:09:00;10.19;33.39;283.1
WT624_270;FC-21;47;-46.0167;260041;19-jul-05;15:09:00;5.38;33.39;283.1
WT624_283;FC-22;47;-45.73;260042;19-jul-05;17:42:00;272.96;34.87;269.3
WT624_297;FC-23;47;-45.5;260043;19-jul-05;19:05:00;244.39;34.84;244.7
WT624_310;FC-24;47;-45.2133;260044;19-jul-05;20:44:00;163.09;34.7;242.1
WT624_310;FC-24;47;-45.2133;260045;19-jul-05;20:44:00;149.14;34.68;243.8
WT624_310;FC-24;47;-45.2133;260046;19-jul-05;20:44:00;98.98;34.42;278.2
WT624_310;FC-24;47;-45.2133;260047;19-jul-05;20:44:00;74.74;34.15;284.5
WT624_310;FC-24;47;-45.2133;260048;19-jul-05;20:44:00;50.42;34.06;291.6
WT624_310;FC-24;47;-45.2133;260049;19-jul-05;20:44:00;40.09;34.03;290.7
WT624_310;FC-24;47;-45.2133;260050;19-jul-05;20:44:00;30;33.93;301
WT624_310;FC-24;47;-45.2133;260051;19-jul-05;20:44:00;20.31;33.92;306.8
WT624_310;FC-24;47;-45.2133;260052;19-jul-05;20:44:00;10.43;33.6;280
WT624_310;FC-24;47;-45.2133;260053;19-jul-05;20:44:00;4.97;33.6;280
WT624_323;FC-25;47;-44.9883;260054;19-jul-05;22:42:00;146.48;34.65;242.9
WT624_337;FC-26;47;-44.7717;260055;20-jul-05;00:03:00;144.9;34.58;244.3
WT624_337;FC-26;47;-44.7717;260056;20-jul-05;00:03:00;100.53;34.45;263.9
