CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PSAL;TE90;OXY_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l)
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216214;09-feb-00;18:35:00;32.58;1.09;NaN
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216215;09-feb-00;18:35:00;31.8;-1.11;NaN
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216216;09-feb-00;18:35:00;31.02;-1.64;NaN
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216217;09-feb-00;18:35:00;29.72;-1.6;NaN
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216219;09-feb-00;18:35:00;29.63;-1.6;NaN
IML-2000-01 Monitorage 2000_2024;11;49.24083;-66.2015;216220;09-feb-00;18:35:00;29.61;-1.6;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217124;24-aug-00;14:35:00;NaN;3.37;143.1353
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217125;24-aug-00;14:35:00;NaN;1.66;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217126;24-aug-00;14:35:00;NaN;0.28;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217127;24-aug-00;14:35:00;NaN;5.71;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217128;24-aug-00;14:35:00;NaN;14.14;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217129;24-aug-00;14:35:00;NaN;15.89;NaN
IML-2000-01 Monitorage 2000_2025;110;49.2425;-66.203;217130;24-aug-00;14:35:00;NaN;14.91;310.8336
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217131;10-sep-00;22:44:00;33.68;3.39;147.6013
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217132;10-sep-00;22:44:00;32.91;1.49;NaN
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217133;10-sep-00;22:44:00;31.76;0.99;NaN
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217134;10-sep-00;22:44:00;30.8;3.68;NaN
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217135;10-sep-00;22:44:00;27.54;8.88;NaN
IML-2000-01 Monitorage 2000_2026;111;49.24967;-66.197;217137;10-sep-00;22:44:00;27.34;10.07;341.8723
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217155;26-sep-00;14:38:00;32.97;1.64;NaN
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217156;26-sep-00;14:38:00;31.95;0.81;NaN
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217157;26-sep-00;14:38:00;29.83;5.99;NaN
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217158;26-sep-00;14:38:00;29.13;5.85;NaN
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217159;26-sep-00;14:38:00;28.95;6.08;NaN
IML-2000-01 Monitorage 2000_2027;112;49.24483;-66.19733;217160;26-sep-00;14:38:00;28.81;6.34;329.5908
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217161;13-oct-00;18:39:00;33.38;2.65;173.9507
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217162;13-oct-00;18:39:00;32.89;1.54;NaN
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217163;13-oct-00;18:39:00;31.52;1.75;NaN
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217164;13-oct-00;18:39:00;29.93;3.96;NaN
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217165;13-oct-00;18:39:00;29.74;4.28;NaN
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217166;13-oct-00;18:39:00;29.57;4.53;NaN
IML-2000-01 Monitorage 2000_2028;113;49.242;-66.19883;217167;13-oct-00;18:39:00;29.52;4.76;327.8044
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217184;25-oct-00;16:40:00;33.49;2.91;160.776
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217185;25-oct-00;16:40:00;32.84;1.42;NaN
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217186;25-oct-00;16:40:00;31.49;2.22;NaN
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217187;25-oct-00;16:40:00;29.54;4.42;NaN
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217188;25-oct-00;16:40:00;28.79;4.17;NaN
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217189;25-oct-00;16:40:00;28.34;4.23;NaN
IML-2000-01 Monitorage 2000_2029;114;49.23983;-66.19817;217190;25-oct-00;16:40:00;28.33;4.25;330.0374
