CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
HUD2000050_002;HL_02;44.295667;-63.2305;232237;30-sep-00;19:26:00;142.05;34.475;9.04;3.2;NaN;14.29;1.274;15.59
HUD2000050_002;HL_02;44.295667;-63.2305;232238;30-sep-00;19:28:00;103.4;33.403;6.069;4.2;0.028794;11.6;1.133;12
HUD2000050_002;HL_02;44.295667;-63.2305;232239;30-sep-00;19:30:00;83.08;32.906;5.184;5;0.126146;6.65;0.924;8.21
HUD2000050_002;HL_02;44.295667;-63.2305;232240;30-sep-00;19:31:00;64.47;32.391;4.931;5.6;0.233981;4.38;0.826;5.51
HUD2000050_002;HL_02;44.295667;-63.2305;232241;30-sep-00;19:32:00;53.32;32.221;5.404;6;0.391663;3.24;0.738;3.14
HUD2000050_002;HL_02;44.295667;-63.2305;232242;30-sep-00;19:32:00;42.85;31.929;6.465;6.1;0.600212;2.63;0.713;2.7
HUD2000050_002;HL_02;44.295667;-63.2305;232243;30-sep-00;19:33:00;33.21;31.729;8.942;6.2;0.964938;1.6;0.637;1.02
HUD2000050_002;HL_02;44.295667;-63.2305;232244;30-sep-00;19:33:00;32.67;31.703;9.078;6.1;NaN;2.45;0.656;0.94
HUD2000050_002;HL_02;44.295667;-63.2305;232245;30-sep-00;19:34:00;23.89;30.892;12.185;6;1.876269;1.78;0.637;0.94
HUD2000050_002;HL_02;44.295667;-63.2305;232246;30-sep-00;19:35:00;13.43;30.677;14.559;5.6;0.539173;0.61;0.353;0.39
HUD2000050_002;HL_02;44.295667;-63.2305;232247;30-sep-00;19:35:00;13.62;30.678;14.575;5.6;NaN;1.48;0.361;0.29
HUD2000050_002;HL_02;44.295667;-63.2305;232248;30-sep-00;19:36:00;3.66;30.683;14.591;5.5;0.54426;0.54;0.345;0.38
HUD2000050_002;HL_02;44.295667;-63.2305;232249;30-sep-00;19:36:00;3.92;30.682;14.594;5.5;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232250;30-sep-00;19:36:00;3.9;30.682;14.594;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232251;30-sep-00;19:36:00;3.76;30.682;14.594;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232252;30-sep-00;19:36:00;3.49;30.682;14.594;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232253;30-sep-00;19:36:00;3.67;30.682;14.594;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232254;30-sep-00;19:36:00;3.92;30.683;14.589;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232255;30-sep-00;19:36:00;3.8;30.683;14.59;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232256;30-sep-00;19:36:00;3.96;30.683;14.589;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232257;30-sep-00;19:36:00;3.66;30.683;14.588;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232258;30-sep-00;19:36:00;3.9;30.683;14.59;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232259;30-sep-00;19:36:00;3.91;30.683;14.589;5.4;NaN;NaN;NaN;NaN
HUD2000050_002;HL_02;44.295667;-63.2305;232260;30-sep-00;19:36:00;3.97;30.683;14.591;5.4;NaN;NaN;NaN;NaN
HUD2000050_009;RL_02;43.248;-64.619667;232261;01-oct-00;07:20:00;103.85;33.095;5.526;4.5;0.032908;11.22;1.199;12.16
HUD2000050_009;RL_02;43.248;-64.619667;232262;01-oct-00;07:22:00;82.37;32.77;4.861;4.8;0.045248;9.51;1.107;10.55
HUD2000050_009;RL_02;43.248;-64.619667;232263;01-oct-00;07:24:00;63;32.275;5.028;5.5;0.356058;4.28;0.801;5.54
HUD2000050_009;RL_02;43.248;-64.619667;232264;01-oct-00;07:26:00;52.3;32.144;6.383;5.7;0.590038;3.17;0.734;3.96
HUD2000050_009;RL_02;43.248;-64.619667;232265;01-oct-00;07:27:00;41.97;32.062;7.28;5.8;0.762981;2.7;0.765;3.14
HUD2000050_009;RL_02;43.248;-64.619667;232266;01-oct-00;07:29:00;31.94;31.804;11.413;5.8;1.085556;0.75;0.386;0.53
HUD2000050_009;RL_02;43.248;-64.619667;232267;01-oct-00;07:30:00;22.08;31.642;12.98;5.6;0.576283;0.5;0.324;0.36
HUD2000050_009;RL_02;43.248;-64.619667;232268;01-oct-00;07:32:00;12.63;31.573;13.596;5.5;0.417096;0.55;0.29;0.37
HUD2000050_009;RL_02;43.248;-64.619667;232269;01-oct-00;07:33:00;2.78;31.574;13.584;5.5;0.422183;0.46;0.276;0.38
HUD2000050_010;RL_01;43.251;-65.048667;232270;01-oct-00;09:37:00;160.21;33.826;7.534;3.2;NaN;13.7;1.244;15.41
HUD2000050_010;RL_01;43.251;-65.048667;232271;01-oct-00;09:39:00;100.76;33.413;6.424;3.3;0.032908;10.93;1.097;12.54
HUD2000050_010;RL_01;43.251;-65.048667;232272;01-oct-00;09:40:00;81.93;33.126;6.667;3.8;0.054846;9.45;1.024;11.34
HUD2000050_010;RL_01;43.251;-65.048667;232273;01-oct-00;09:41:00;63.44;33.038;6.759;4;0.061702;7.83;0.946;10.01
HUD2000050_010;RL_01;43.251;-65.048667;232274;01-oct-00;09:42:00;53.67;32.92;5.96;4.1;0.102837;6.91;0.893;8.65
HUD2000050_010;RL_01;43.251;-65.048667;232275;01-oct-00;09:43:00;43.9;32.59;5.488;4.1;0.176879;6.11;0.904;7.33
HUD2000050_010;RL_01;43.251;-65.048667;232276;01-oct-00;09:43:00;33.65;31.59;7.935;3.9;0.569692;2.09;0.54;2.12
HUD2000050_010;RL_01;43.251;-65.048667;232277;01-oct-00;09:43:00;33.13;31.706;7.916;3.9;NaN;3;0.705;1.99
HUD2000050_010;RL_01;43.251;-65.048667;232278;01-oct-00;09:44:00;23.33;30.339;11.86;3.9;1.072154;1.45;0.474;0.93
HUD2000050_010;RL_01;43.251;-65.048667;232279;01-oct-00;09:45:00;13.77;30.998;13.712;3.7;0.76391;0.94;0.313;0.38
HUD2000050_010;RL_01;43.251;-65.048667;232280;01-oct-00;09:45:00;13.83;31.103;13.692;4;NaN;1.58;0.386;0.27
HUD2000050_010;RL_01;43.251;-65.048667;232281;01-oct-00;09:46:00;3.35;31.504;14.014;3.9;0.576283;0.83;0.286;0.41
HUD2000050_021;BBL_01;43.257167;-65.512667;232282;01-oct-00;15:29:00;51.6;32.362;7.308;4.3;0.305192;4.64;0.786;5.34
HUD2000050_021;BBL_01;43.257167;-65.512667;232283;01-oct-00;15:30:00;43.88;32.335;7.277;4.4;0.330625;4.39;0.75;5.06
HUD2000050_021;BBL_01;43.257167;-65.512667;232284;01-oct-00;15:31:00;33.44;32.297;7.138;4.3;0.325538;4.73;0.788;5.39
HUD2000050_021;BBL_01;43.257167;-65.512667;232285;01-oct-00;15:32:00;23.16;32.198;7.142;4.4;0.391663;4.41;0.762;4.38
HUD2000050_021;BBL_01;43.257167;-65.512667;232286;01-oct-00;15:32:00;23.15;32.189;7.15;4.3;NaN;4.54;0.872;4.24
HUD2000050_021;BBL_01;43.257167;-65.512667;232287;01-oct-00;15:32:00;23.43;32.165;7.173;4.3;NaN;NaN;NaN;NaN
HUD2000050_021;BBL_01;43.257167;-65.512667;232288;01-oct-00;15:33:00;13.29;32.121;7.35;4.1;0.871125;2.32;0.555;1.86
HUD2000050_021;BBL_01;43.257167;-65.512667;232289;01-oct-00;15:33:00;13.47;30.239;9.575;4;NaN;2.69;0.625;1.49
HUD2000050_021;BBL_01;43.257167;-65.512667;232290;01-oct-00;15:33:00;13.24;30.361;9.415;4;NaN;NaN;NaN;NaN
HUD2000050_021;BBL_01;43.257167;-65.512667;232291;01-oct-00;15:33:00;13.46;30.547;9.716;3.9;NaN;NaN;NaN;NaN
HUD2000050_021;BBL_01;43.257167;-65.512667;232292;01-oct-00;15:33:00;13.57;30.483;9.658;4;NaN;NaN;NaN;NaN
