CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;Date;Heure;PRES;PSAL;TE90;DOXY;OXY_XX;TEMP_RT;SSAL_BS
(nom);(nom/no);(degres);(degres);(no_unique);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(ml/l);(celsius);(g/kg)
HUD2000050_002;HL_02;44.295667;-63.2305;232237;30-sep-00;19:26:00;142.05;34.475;9.04;3.2;3.2;9.04;34.475
HUD2000050_002;HL_02;44.295667;-63.2305;232238;30-sep-00;19:28:00;103.4;33.403;6.069;4.2;4.2;6.069;33.403
HUD2000050_002;HL_02;44.295667;-63.2305;232239;30-sep-00;19:30:00;83.08;32.906;5.184;5;5;5.184;32.906
HUD2000050_002;HL_02;44.295667;-63.2305;232240;30-sep-00;19:31:00;64.47;32.391;4.931;5.6;5.6;4.931;32.391
HUD2000050_002;HL_02;44.295667;-63.2305;232241;30-sep-00;19:32:00;53.32;32.221;5.404;6;6;5.404;32.221
HUD2000050_002;HL_02;44.295667;-63.2305;232242;30-sep-00;19:32:00;42.85;31.929;6.465;6.1;6.1;6.465;31.929
HUD2000050_002;HL_02;44.295667;-63.2305;232243;30-sep-00;19:33:00;33.21;31.729;8.942;6.2;6.2;8.942;31.729
HUD2000050_002;HL_02;44.295667;-63.2305;232244;30-sep-00;19:33:00;32.67;31.703;9.078;6.1;6.1;9.078;31.703
HUD2000050_002;HL_02;44.295667;-63.2305;232245;30-sep-00;19:34:00;23.89;30.892;12.185;6;6;12.185;30.892
HUD2000050_002;HL_02;44.295667;-63.2305;232246;30-sep-00;19:35:00;13.43;30.677;14.559;5.6;5.6;14.559;30.677
HUD2000050_002;HL_02;44.295667;-63.2305;232247;30-sep-00;19:35:00;13.62;30.678;14.575;5.6;5.6;14.575;30.678
HUD2000050_002;HL_02;44.295667;-63.2305;232248;30-sep-00;19:36:00;3.66;30.683;14.591;5.5;5.5;14.591;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232249;30-sep-00;19:36:00;3.92;30.682;14.594;5.5;5.5;14.594;30.682
HUD2000050_002;HL_02;44.295667;-63.2305;232250;30-sep-00;19:36:00;3.9;30.682;14.594;5.4;5.4;14.594;30.682
HUD2000050_002;HL_02;44.295667;-63.2305;232251;30-sep-00;19:36:00;3.76;30.682;14.594;5.4;5.4;14.594;30.682
HUD2000050_002;HL_02;44.295667;-63.2305;232252;30-sep-00;19:36:00;3.49;30.682;14.594;5.4;5.4;14.594;30.682
HUD2000050_002;HL_02;44.295667;-63.2305;232253;30-sep-00;19:36:00;3.67;30.682;14.594;5.4;5.4;14.594;30.682
HUD2000050_002;HL_02;44.295667;-63.2305;232254;30-sep-00;19:36:00;3.92;30.683;14.589;5.4;5.4;14.589;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232255;30-sep-00;19:36:00;3.8;30.683;14.59;5.4;5.4;14.59;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232256;30-sep-00;19:36:00;3.96;30.683;14.589;5.4;5.4;14.589;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232257;30-sep-00;19:36:00;3.66;30.683;14.588;5.4;5.4;14.588;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232258;30-sep-00;19:36:00;3.9;30.683;14.59;5.4;5.4;14.59;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232259;30-sep-00;19:36:00;3.91;30.683;14.589;5.4;5.4;14.589;30.683
HUD2000050_002;HL_02;44.295667;-63.2305;232260;30-sep-00;19:36:00;3.97;30.683;14.591;5.4;5.4;14.591;30.683
HUD2000050_009;RL_02;43.248;-64.619667;232261;01-oct-00;07:20:00;103.85;33.095;5.526;4.5;4.5;5.526;33.095
HUD2000050_009;RL_02;43.248;-64.619667;232262;01-oct-00;07:22:00;82.37;32.77;4.861;4.8;4.8;4.861;32.77
HUD2000050_009;RL_02;43.248;-64.619667;232263;01-oct-00;07:24:00;63;32.275;5.028;5.5;5.5;5.028;32.275
HUD2000050_009;RL_02;43.248;-64.619667;232264;01-oct-00;07:26:00;52.3;32.144;6.383;5.7;5.7;6.383;32.144
HUD2000050_009;RL_02;43.248;-64.619667;232265;01-oct-00;07:27:00;41.97;32.062;7.28;5.8;5.8;7.28;32.062
HUD2000050_009;RL_02;43.248;-64.619667;232266;01-oct-00;07:29:00;31.94;31.804;11.413;5.8;5.8;11.413;31.804
HUD2000050_009;RL_02;43.248;-64.619667;232267;01-oct-00;07:30:00;22.08;31.642;12.98;5.6;5.6;12.98;31.642
HUD2000050_009;RL_02;43.248;-64.619667;232268;01-oct-00;07:32:00;12.63;31.573;13.596;5.5;5.5;13.596;31.573
HUD2000050_009;RL_02;43.248;-64.619667;232269;01-oct-00;07:33:00;2.78;31.574;13.584;5.5;5.5;13.584;31.574
HUD2000050_010;RL_01;43.251;-65.048667;232270;01-oct-00;09:37:00;160.21;33.826;7.534;3.2;3.2;7.534;33.826
HUD2000050_010;RL_01;43.251;-65.048667;232271;01-oct-00;09:39:00;100.76;33.413;6.424;3.3;3.3;6.424;33.413
HUD2000050_010;RL_01;43.251;-65.048667;232272;01-oct-00;09:40:00;81.93;33.126;6.667;3.8;3.8;6.667;33.126
HUD2000050_010;RL_01;43.251;-65.048667;232273;01-oct-00;09:41:00;63.44;33.038;6.759;4;4;6.759;33.038
