CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;terrain;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CNTR;nCNTR;PRES;PRES_SDEV;TE90;TE90_SDEV;PSAL;SIGT;FLOR;DOXY;SECC;PSAL_BS;Q_PSAL;OXY_02;Q_OXY;OXY_02;Q_OXY;OXY_02;Q_OXY;CHL_01;Q_CHL;CHL_01;Q_CHL;PHA_01;PHA_01;CHL_03;Q_CHL;CHL_03;Q_CHL;NO2_02;Q_NO2;NO2_02;Q_NO2;NO2_02;Q_NO2;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;NOX_02;Q_NOX;PO4_02;Q_PO4;PO4_02;Q_PO4;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si;Si_02;Q_Si
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(scan);(nombre_scan);(dbar);(dbar);(celsius);(celsius);(psu);(kg/m**3);(mg/m**3);(ml/l);(m);(PSU);((none));(ml/l);((none));(ml/l);((none));(ml/l);((none));(mg/m**3);((none));(mg/m**3);((none));(mg/m**3);(mg/m**3);(mg/m**3);((none));(mg/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none));(mmol/m**3);((none))
q64a001;TDC1;46.95317;-60.21533;247001;78.3;29-nov-01;12:44:07;8295;240;78.3;0.11;2.84;0.001;31.88;25.41;0.797;7.05;NaN;32.06;1;6.997;1;6.998;1;7.016;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.11;1;0.13;1;NaN;NaN;5.42;1;5.93;1;4.82;3;NaN;NaN;NaN;NaN;0.79;1;0.79;1;6.53;1;6.26;1;6.25;1;NaN;NaN
q64a001;TDC1;46.95317;-60.21533;247002;49.8;29-nov-01;12:44:07;10872;240;49.8;0.16;4.03;0.005;31.24;24.8;1.362;7.343;NaN;NaN;NaN;7.244;1;NaN;NaN;NaN;NaN;0.82;1;0.71;1;-0.18;-0.15;0.68;1;0.58;1;0.14;1;0.16;1;NaN;NaN;3.29;1;3.59;1;3.01;3;NaN;NaN;NaN;NaN;0.64;1;0.63;1;4.44;1;4.32;1;4.34;1;NaN;NaN
q64a001;TDC1;46.95317;-60.21533;247003;28.3;29-nov-01;12:44:07;14685;240;28.3;0.39;4.85;0.049;30.56;24.17;1.833;7.265;NaN;30.55;1;7.135;1;NaN;NaN;NaN;NaN;0.87;1;1.14;1;-0.25;-0.3;0.77;1;0.84;1;0.14;1;0.15;1;NaN;NaN;2.98;1;2.55;1;2.13;1;NaN;NaN;NaN;NaN;0.59;1;0.6;1;4.51;1;4.71;1;NaN;NaN;NaN;NaN
q64a001;TDC1;46.95317;-60.21533;247004;14.7;29-nov-01;12:44:07;19943;240;14.7;0.19;5.12;0.003;30.38;24;2.157;7.273;NaN;30.41;1;7.139;1;NaN;NaN;NaN;NaN;1.02;1;1.05;1;-0.37;-0.35;0.66;1;0.72;1;0.13;1;0.15;1;NaN;NaN;2.67;1;2.96;1;2.43;3;NaN;NaN;NaN;NaN;0.57;1;0.56;1;4.82;1;4.41;1;4.61;1;NaN;NaN
q64a001;TDC1;46.95317;-60.21533;247005;5.7;29-nov-01;12:44:07;22821;240;5.7;0.17;5.12;0.002;30.36;23.99;1.974;7.282;NaN;NaN;NaN;7.149;1;NaN;NaN;NaN;NaN;1.53;1;NaN;NaN;-0.5;NaN;1;1;NaN;NaN;0.14;1;0.15;1;NaN;NaN;2.76;1;3;1;2.38;3;NaN;NaN;NaN;NaN;0.57;1;0.57;1;4.55;1;4.58;1;NaN;NaN;NaN;NaN
q64a001;TDC1;46.95317;-60.21533;247006;2.6;29-nov-01;12:44:07;26054;240;2.6;0.17;5.13;0.001;30.36;23.98;2.024;7.281;NaN;30.39;1;7.141;1;NaN;NaN;NaN;NaN;1.05;1;1.26;1;-0.33;-0.39;0.72;1;0.84;1;0.13;1;0.15;1;NaN;NaN;2.77;1;2.94;1;2.4;3;NaN;NaN;NaN;NaN;0.56;1;0.56;1;4.79;1;4.56;1;4.43;1;NaN;NaN
q64a002;TDC2;47.02533;-60.11317;247007;183.5;29-nov-01;14:15:45;12787;240;183.5;0.31;2.63;0.001;33.31;26.57;0.585;5.813;NaN;33.34;1;5.819;1;5.763;1;5.78;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.03;1;0.05;1;NaN;NaN;12.06;1;12.68;1;10.48;3;NaN;NaN;NaN;NaN;1.09;1;1.12;1;12.24;1;11.99;1;11.52;1;NaN;NaN
q64a002;TDC2;47.02533;-60.11317;247008;100.4;29-nov-01;14:15:45;18339;240;100.4;0.31;1.31;0.003;32.75;26.21;0.285;6.989;NaN;32.78;1;6.933;1;NaN;NaN;NaN;NaN;0.09;1;0.09;1;-0.03;-0.01;0.05;1;0.06;1;0.01;1;0.04;1;NaN;NaN;7.68;1;8.34;1;6.83;3;NaN;NaN;NaN;NaN;0.92;1;0.92;1;6.86;1;6.73;1;6.5;1;NaN;NaN
