CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
180167001_002;A;44.58333;-64.03333;-1;1;16-jan-67;00:00:00;NaN;340;30.173;3;9.12;0.54;2.6;1.06
180167001_002;A;44.58333;-64.03333;-2;5;16-jan-67;00:00:00;NaN;330;30.406;3.3;8.42;0.48;2.72;1.06
180167001_002;A;44.58333;-64.03333;-3;10;16-jan-67;00:00:00;NaN;315;30.762;3.8;8.6;0.5;2.58;0.67
180167001_002;A;44.58333;-64.03333;-4;15;16-jan-67;00:00:00;NaN;325;30.83;3.8;4.36;0.55;2.83;0.63
180167001_002;A;44.58333;-64.03333;-5;25;16-jan-67;00:00:00;NaN;325;30.978;3.8;6.62;0.51;3.43;0.25
180167001_002;A;44.58333;-64.03333;-6;40;16-jan-67;00:00:00;NaN;305;31.074;4.5;7.26;0.55;3.8;0.27
180167001_002;A;44.58333;-64.03333;-7;53;16-jan-67;00:00:00;NaN;280;31.422;4.8;11.97;0.82;5.16;0.46
180167001_003;A;44.58333;-64.03333;-64;1;06-apr-67;00:00:00;NaN;370;31.065;0.9;9.88;0.95;4.31;0.42
180167001_003;A;44.58333;-64.03333;-65;5;06-apr-67;00:00:00;NaN;365;31.26;0.9;9.88;1.23;4.75;0.54
180167001_003;A;44.58333;-64.03333;-66;10;06-apr-67;00:00:00;NaN;365;31.294;0.9;9.64;1.04;5.83;0.5
180167001_003;A;44.58333;-64.03333;-67;15;06-apr-67;00:00:00;NaN;365;31.298;0.9;9.53;0.91;5.77;0.46
180167001_003;A;44.58333;-64.03333;-68;25;06-apr-67;00:00:00;NaN;365;31.299;0.9;9.35;0.86;4.92;0.46
180167001_003;A;44.58333;-64.03333;-69;40;06-apr-67;00:00:00;NaN;360;31.306;0.9;9.94;1.02;4.84;0.38
180167001_003;A;44.58333;-64.03333;-70;53;06-apr-67;00:00:00;NaN;360;31.331;0.9;10.11;1.06;6.64;0.33
180167001_005;1;44.61465;-64.04746;101001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.17;0.026;0.563
180167001_005;1;44.61465;-64.04746;101005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.23;0.003;0.813
180167001_005;1;44.61465;-64.04746;101010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.34;0.889;1.481
180167001_005;1;44.61465;-64.04746;101015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.54;2.109;0.396
180167001_006;2;44.62528;-63.96609;102001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.15;0.051;0.834
180167001_006;2;44.62528;-63.96609;102005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.16;0.021;0.834
180167001_006;2;44.62528;-63.96609;102010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.296;0.5
180167001_006;2;44.62528;-63.96609;102015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.5;1.689;0.334
180167001_006;2;44.62528;-63.96609;102025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.55;3.519;0.25
180167001_007;3;44.5894;-63.99681;103001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.15;0.032;0.313
180167001_007;3;44.5894;-63.99681;103005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.33;0.49;0.918
180167001_007;3;44.5894;-63.99681;103010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.072;0.73
180167001_007;3;44.5894;-63.99681;103015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.32;0.75;0.73
180167001_007;3;44.5894;-63.99681;103025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.33;0.984;0.563
180167001_008;4;44.59501;-63.95696;104001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.1;0.04;1.23
180167001_008;4;44.59501;-63.95696;104005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.18;0.064;5.818
180167001_008;4;44.59501;-63.95696;104010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.25;0.226;0.313
180167001_008;4;44.59501;-63.95696;104015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.49;1.823;0.167
180167001_008;4;44.59501;-63.95696;104025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.6;3.21;0.167
180167001_009;5;44.54876;-64.01628;105001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.22;0.003;0.667
180167001_009;5;44.54876;-64.01628;105005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.05;0.563
180167001_009;5;44.54876;-64.01628;105010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.18;0.024;1.064
180167001_009;5;44.54876;-64.01628;105015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.56;1.545;0.563
180167001_009;5;44.54876;-64.01628;105025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.68;4.117;0.334
180167001_009;5;44.54876;-64.01628;105040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.67;4.992;0.167
180167001_009;5;44.54876;-64.01628;105055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.74;5.146;0.25
180167001_010;6;44.54725;-63.96935;106001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.046;0.834
180167001_010;6;44.54725;-63.96935;106005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.21;0.101;0.417
180167001_010;6;44.54725;-63.96935;106010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.79;1.598;0.417
180167001_010;6;44.54725;-63.96935;106015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.86;2.616;1.147
180167001_010;6;44.54725;-63.96935;106025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.63;3.645;0.25
180167001_010;6;44.54725;-63.96935;106040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.89;3.919;0.083
180167001_011;7;44.60661;-64.00075;107001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.18;0.065;1.23
180167001_011;7;44.60661;-64.00075;107005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.54;0.226;1.23
180167001_011;7;44.60661;-64.00075;107010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.49;3.167;0.563
180167001_011;7;44.60661;-64.00075;107015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.77;5.869;0.25
180167001_012;8;44.52234;-63.99193;108001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.19;0.24;0.834
180167001_012;8;44.52234;-63.99193;108005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.33;0.188;0.667
180167001_012;8;44.52234;-63.99193;108010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.62;3.012;0.563
180167001_012;8;44.52234;-63.99193;108015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.63;3.564;0.417
180167001_012;8;44.52234;-63.99193;108025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.63;5.198;0.334
180167001_012;8;44.52234;-63.99193;108040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.9;5.19;0.167
180167001_012;8;44.52234;-63.99193;108055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.65;5.853;0.25
180167001_013;9;44.58809;-64.03958;109001;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.14;0.876
180167001_013;9;44.58809;-64.03958;109005;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.28;0.14;0.959
180167001_013;9;44.58809;-64.03958;109010;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.31;0.18;1.23
180167001_013;9;44.58809;-64.03958;109015;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.54;1.01;0.626
180167001_013;9;44.58809;-64.03958;109025;25;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.84;2.76;0.25
180167001_013;9;44.58809;-64.03958;109040;40;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.86;4.39;0.125
180167001_013;9;44.58809;-64.03958;109055;55;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.91;4.85;0.167
180167001_014;A;44.58333;-64.03333;-71;1;10-apr-67;00:00:00;NaN;375;30.78;1.9;10.11;0.7;5.12;0.58
180167001_014;A;44.58333;-64.03333;-72;5;10-apr-67;00:00:00;NaN;385;31.119;1.7;9.41;0.75;4.91;0.5
180167001_014;A;44.58333;-64.03333;-73;10;10-apr-67;00:00:00;NaN;385;31.157;1.5;9.41;0.76;4.25;0.81
180167001_014;A;44.58333;-64.03333;-74;15;10-apr-67;00:00:00;NaN;380;31.251;1.4;9.3;0.75;4.63;0.54
180167001_014;A;44.58333;-64.03333;-75;25;10-apr-67;00:00:00;NaN;380;31.316;1;9.3;0.77;3.62;0.5
180167001_014;A;44.58333;-64.03333;-76;40;10-apr-67;00:00:00;NaN;365;31.3;1;9.88;0.82;5.68;0.29
180167001_014;A;44.58333;-64.03333;-77;53;10-apr-67;00:00:00;NaN;385;31.408;0.5;10.17;0.87;5.74;0.21
180167001_025;A;44.58333;-64.03333;-78;1;13-apr-67;00:00:00;NaN;365;30.909;1.4;9.59;0.7;4.27;0.71
180167001_025;A;44.58333;-64.03333;-79;5;13-apr-67;00:00:00;NaN;370;30.914;1.4;9.59;0.71;3.74;0.79
180167001_025;A;44.58333;-64.03333;-80;10;13-apr-67;00:00:00;NaN;360;30.943;1.4;9.64;0.72;4.38;0.9
180167001_025;A;44.58333;-64.03333;-81;15;13-apr-67;00:00:00;NaN;365;30.991;1.4;9.88;0.65;4.86;0.67
180167001_025;A;44.58333;-64.03333;-82;25;13-apr-67;00:00:00;NaN;365;31.079;1.3;9.35;0.72;4.95;0.46
180167001_025;A;44.58333;-64.03333;-83;40;13-apr-67;00:00:00;NaN;365;31.178;0.6;8.77;0.75;4.47;0.46
180167001_025;A;44.58333;-64.03333;-84;53;13-apr-67;00:00:00;NaN;375;31.316;0.5;9.3;0.79;5.09;0.21
180167001_036;A;44.58333;-64.03333;-85;1;17-apr-67;00:00:00;NaN;365;30.943;2.1;9.76;0.66;4.03;0.9
180167001_036;A;44.58333;-64.03333;-86;5;17-apr-67;00:00:00;NaN;370;30.958;2;10.05;0.63;4.36;0.85
180167001_036;A;44.58333;-64.03333;-87;10;17-apr-67;00:00:00;NaN;370;30.976;2;9.82;0.67;4.43;0.85
180167001_036;A;44.58333;-64.03333;-88;15;17-apr-67;00:00:00;NaN;370;31.335;1;9.41;0.77;5.24;0.46
180167001_036;A;44.58333;-64.03333;-89;25;17-apr-67;00:00:00;NaN;370;31.552;0.7;9.01;0.82;4.96;0.38
180167001_036;A;44.58333;-64.03333;-90;40;17-apr-67;00:00:00;NaN;370;31.532;0.7;8.95;0.83;5.28;0.33
180167001_036;A;44.58333;-64.03333;-91;53;17-apr-67;00:00:00;NaN;370;31.574;0.8;9.18;0.79;5.03;0.42
180167001_047;A;44.58333;-64.03333;-92;1;19-apr-67;00:00:00;NaN;360;30.808;1.8;9.82;0.54;3.77;0.94
180167001_047;A;44.58333;-64.03333;-93;5;19-apr-67;00:00:00;NaN;365;30.809;1.8;9.3;0.68;3.74;1.06
180167001_047;A;44.58333;-64.03333;-94;10;19-apr-67;00:00:00;NaN;375;31.108;1.8;9.01;0.58;5.04;1.15
180167001_047;A;44.58333;-64.03333;-95;15;19-apr-67;00:00:00;NaN;370;31.171;1.5;9.01;0.68;5.21;1.02
180167001_047;A;44.58333;-64.03333;-96;25;19-apr-67;00:00:00;NaN;365;31.229;1.3;8.95;0.75;3.06;0.81
180167001_047;A;44.58333;-64.03333;-97;40;19-apr-67;00:00:00;NaN;365;31.382;0.5;8.95;0.76;5.34;0.54
180167001_047;A;44.58333;-64.03333;-98;53;19-apr-67;00:00:00;NaN;370;31.373;0.5;9.7;0.73;5.4;0.56
180167001_058;A;44.58333;-64.03333;-100;5;21-apr-67;00:00:00;NaN;370;30.91;2;8.95;0.49;3.5;2.21
180167001_058;A;44.58333;-64.03333;-101;10;21-apr-67;00:00:00;NaN;370;30.887;2;8.66;0.58;2.66;2.17
180167001_058;A;44.58333;-64.03333;-102;15;21-apr-67;00:00:00;NaN;370;30.947;2;8.83;0.56;3.6;2.46
180167001_058;A;44.58333;-64.03333;-103;25;21-apr-67;00:00:00;NaN;365;31.353;1.7;8.72;0.47;3.52;1.23
180167001_058;A;44.58333;-64.03333;-104;40;21-apr-67;00:00:00;NaN;365;31.539;0.7;8.42;0.67;4.09;0.98
180167001_058;A;44.58333;-64.03333;-105;53;21-apr-67;00:00:00;NaN;360;31.572;0.8;9.53;0.76;4.74;0.71
