CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU92053_002;CAST#1;41.3885;-53.435;121001;990.72;07-apr-93;12:50:00;1000.9;34.9879;4.4554;204.75136;9.99996;1.15;15.84005;NaN
18HU92053_002;CAST#1;41.3885;-53.435;121002;783.33;07-apr-93;12:50:00;790.98;34.9578;4.7924;195.74478;11.91999;1.61001;19.37006;NaN
18HU92053_002;CAST#1;41.3885;-53.435;121003;591.39;07-apr-93;12:50:00;596.888;34.9331;6.0694;160.73134;13.47999;1.77997;21.24006;NaN
18HU92053_002;CAST#1;41.3885;-53.435;121004;403;07-apr-93;12:50:00;406.558;35.1869;9.3158;124.70546;12.83005;1.88005;22.93997;NaN
18HU92053_002;CAST#1;41.3885;-53.435;121005;304.56;07-apr-93;12:50:00;307.178;35.428;11.638;152.03738;7.40005;1.30002;15.87998;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121006;299.44;07-apr-93;14:12:00;302.014;35.4654;11.9654;159.00478;7.41001;1.08996;15.47;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121007;152.07;07-apr-93;14:12:00;153.316;35.823;14.1589;NaN;4.09996;0.70004;9.40999;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121008;122.18;07-apr-93;14:12:00;123.176;35.8581;14.4198;NaN;3.65995;0.81001;9.09999;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121009;111.52;07-apr-93;14:12:00;112.428;35.891;14.5829;NaN;3.56005;0.72;9.17002;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121010;101.84;07-apr-93;14:12:00;102.667;35.939;14.7898;156.93524;4.12999;0.85996;11.78997;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121011;92.49;07-apr-93;14:12:00;93.233;35.9741;15.0018;NaN;3.72999;0.75998;9.96005;NaN
18HU92053_113;CAST#1;41.3855;-53.40033;121012;82.36;07-apr-93;14:12:00;83.027;36.064;15.4229;NaN;3.22998;0.63004;7.96001;NaN
