CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;DOXY
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(ml/l)
18HU94008_002;1_1;45.25167;-59.10683;140101;86.77;25-may-94;13:33:00;87.467;0.25144;281.26868
18HU94008_002;1_1;45.25167;-59.10683;140102;82.78;25-may-94;13:33:00;83.449;0.15944;286.00264
18HU94008_002;1_1;45.25167;-59.10683;140103;83.32;25-may-94;13:33:00;83.989;0.21894;285.10944
18HU94008_002;1_1;45.25167;-59.10683;140104;76.83;25-may-94;13:33:00;77.448;0.06764;295.51522
18HU94008_002;1_1;45.25167;-59.10683;140105;75.79;25-may-94;13:33:00;76.403;-0.07246;297.48026
18HU94008_002;1_1;45.25167;-59.10683;140106;73.08;25-may-94;13:33:00;73.671;-0.11386;300.82976
18HU94008_002;1_1;45.25167;-59.10683;140107;57.5;25-may-94;13:33:00;57.963;0.22574;321.95394
18HU94008_002;1_1;45.25167;-59.10683;140108;52.4;25-may-94;13:33:00;52.826;1.41094;313.91514
18HU94008_002;1_1;45.25167;-59.10683;140109;53.78;25-may-94;13:33:00;54.213;1.58974;314.94232
18HU94008_002;1_1;45.25167;-59.10683;140110;49.17;25-may-94;13:33:00;49.565;2.23934;310.02972
18HU94008_002;1_1;45.25167;-59.10683;140111;44.26;25-may-94;13:33:00;44.617;2.47914;309.22584
18HU94008_002;1_1;45.25167;-59.10683;140112;39.05;25-may-94;13:33:00;39.371;2.53894;309.22584
18HU94008_002;1_1;45.25167;-59.10683;140113;34.29;25-may-94;13:33:00;34.567;2.92724;309.58312
18HU94008_002;1_1;45.25167;-59.10683;140114;34.3;25-may-94;13:33:00;34.577;2.94704;309.58312
18HU94008_002;1_1;45.25167;-59.10683;140115;23.88;25-may-94;13:33:00;24.074;2.71104;311.7268
18HU94008_002;1_1;45.25167;-59.10683;140116;23.83;25-may-94;13:33:00;24.02;2.71474;311.7268
18HU94008_002;1_1;45.25167;-59.10683;140117;13.74;25-may-94;13:33:00;13.852;3.17634;308.91322
18HU94008_002;1_1;45.25167;-59.10683;140118;13.96;25-may-94;13:33:00;14.071;3.17694;308.91322
18HU94008_002;1_1;45.25167;-59.10683;140119;5.34;25-may-94;13:33:00;5.381;3.40154;308.28798
18HU94008_002;1_1;45.25167;-59.10683;140120;5.4;25-may-94;13:33:00;5.449;3.43174;308.28798
18HU94008_113;2_1;46.80467;-52.49517;140121;142.64;26-may-94;14:30:00;143.789;-1.38376;277.60656
18HU94008_113;2_1;46.80467;-52.49517;140122;124.16;26-may-94;14:30:00;125.163;-1.45136;288.2803
18HU94008_113;2_1;46.80467;-52.49517;140123;102.55;26-may-94;14:30:00;103.379;-1.48376;297.2123
18HU94008_113;2_1;46.80467;-52.49517;140124;79.32;26-may-94;14:30:00;79.97;-1.50956;313.55786
18HU94008_113;2_1;46.80467;-52.49517;140125;66.15;26-may-94;14:30:00;66.688;-0.35666;331.42186
18HU94008_113;2_1;46.80467;-52.49517;140126;68.18;26-may-94;14:30:00;68.735;-1.12196;334.77136
18HU94008_113;2_1;46.80467;-52.49517;140127;52.73;26-may-94;14:30:00;53.16;0.59534;327.31314
18HU94008_113;2_1;46.80467;-52.49517;140128;52.72;26-may-94;14:30:00;53.159;0.69944;327.31314
18HU94008_113;2_1;46.80467;-52.49517;140129;45.34;26-may-94;14:30:00;45.719;1.05204;320.79278
18HU94008_113;2_1;46.80467;-52.49517;140130;40.98;26-may-94;14:30:00;41.315;1.30804;315.03164
18HU94008_113;2_1;46.80467;-52.49517;140131;37.17;26-may-94;14:30:00;37.48;1.84094;314.6297
18HU94008_113;2_1;46.80467;-52.49517;140132;31.35;26-may-94;14:30:00;31.61;1.90124;313.24524
18HU94008_113;2_1;46.80467;-52.49517;140133;27.8;26-may-94;14:30:00;28.035;1.96604;312.70932
18HU94008_113;2_1;46.80467;-52.49517;140134;23.15;26-may-94;14:30:00;23.346;1.97994;312.1734
18HU94008_113;2_1;46.80467;-52.49517;140135;22.6;26-may-94;14:30:00;22.789;2.01084;312.1734
18HU94008_113;2_1;46.80467;-52.49517;140136;17.85;26-may-94;14:30:00;17.999;2.01044;311.14622
18HU94008_113;2_1;46.80467;-52.49517;140137;13.4;26-may-94;14:30:00;13.514;2.03024;310.78894
18HU94008_113;2_1;46.80467;-52.49517;140138;13.71;26-may-94;14:30:00;13.829;2.02484;310.78894
18HU94008_113;2_1;46.80467;-52.49517;140139;4.4;26-may-94;14:30:00;4.437;2.01164;307.97536
18HU94008_113;2_1;46.80467;-52.49517;140140;4.22;26-may-94;14:30:00;4.255;2.02444;307.97536
