CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU96006_390;HL1            S2;44.4;-63.46333;158001;80;12-may-96;23:15:00;NaN;334.95;2.39;0.77;1.23;0.2
18HU96006_390;HL1            S2;44.4;-63.46333;158002;70;12-may-96;23:15:00;NaN;NaN;2.01;0.71;1.15;0.15
18HU96006_390;HL1            S2;44.4;-63.46333;158003;60;12-may-96;23:15:00;NaN;344.3286;1.5;0.66;0.92;0.16
18HU96006_390;HL1            S2;44.4;-63.46333;158004;50;12-may-96;23:15:00;NaN;353.2606;1.01;0.63;0.76;0.19
18HU96006_390;HL1            S2;44.4;-63.46333;158005;40;12-may-96;23:15:00;NaN;357.7266;0.9;0.62;0.75;0.3
18HU96006_390;HL1            S2;44.4;-63.46333;158006;30;12-may-96;23:15:00;NaN;366.6586;0.8;0.6;0.67;0.59
18HU96006_390;HL1            S2;44.4;-63.46333;158007;20;12-may-96;23:15:00;NaN;369.7848;0.63;0.53;0.32;0.89
18HU96006_390;HL1            S2;44.4;-63.46333;158008;10;12-may-96;23:15:00;NaN;365.7654;0.82;0.5;0.19;1.72
18HU96006_390;HL1            S2;44.4;-63.46333;158009;1;12-may-96;23:15:00;NaN;361.746;0.84;0.51;0.18;1.66
18HU96006_391;HL2 - AZMP     S3/3;44.27333;-63.31833;158010;150;13-may-96;02:45:00;NaN;212.135;13.16;1.24;13.33;0.05
18HU96006_391;HL2 - AZMP     S3/3;44.27333;-63.31833;158011;140;13-may-96;02:45:00;NaN;NaN;12.28;1.23;12.77;0.07
18HU96006_391;HL2 - AZMP     S3/3;44.27333;-63.31833;158012;130;13-may-96;02:45:00;NaN;NaN;9.74;1.12;10.51;0.06
