CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;SSAL_XX;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3)
18PZ94029_002;CAST#1;44.41;-63.445;123701;75;24-oct-94;18:50:00;31.889;4.31;292.0764;NaN;6.2455;0.9365;6.025
18PZ94029_002;CAST#1;44.41;-63.445;123702;50;24-oct-94;18:50:00;30.394;9.094;331.51118;NaN;2.7845;0.5335;2.0835
18PZ94029_002;CAST#1;44.41;-63.445;123703;30;24-oct-94;18:50:00;29.842;11.088;313.0666;NaN;1.1015;0.3415;0.4255
18PZ94029_002;CAST#1;44.41;-63.445;123704;20;24-oct-94;18:50:00;29.759;10.745;294.3094;NaN;0.9825;0.329;0.3475
18PZ94029_002;CAST#1;44.41;-63.445;123705;10;24-oct-94;18:50:00;29.485;10.868;296.27444;NaN;1.0105;0.3375;0.355
18PZ94029_002;CAST#1;44.41;-63.445;123706;1;24-oct-94;18:50:00;29.384;10.985;294.01911;NaN;0.9895;0.352;0.5225
18PZ94029_002;CAST#1;44.41;-63.445;123707;75;24-oct-94;18:50:00;31.889;4.31;NaN;31.701;5.97;0.874;5.8585
18PZ94029_002;1;44.41;-63.445;123707;75;24-oct-94;20:29:00;31.889;4.31;NaN;31.701;5.97;0.874;5.8585
18PZ94029_002;CAST#1;44.41;-63.445;123708;50;24-oct-94;18:50:00;30.394;9.094;NaN;30.259;2.1535;0.463;1.6065
18PZ94029_002;1;44.41;-63.445;123708;50;24-oct-94;20:29:00;30.394;9.094;NaN;30.259;2.1535;0.463;1.6065
18PZ94029_002;1;44.41;-63.445;123709;25;24-oct-94;20:29:00;29.722;10.926;NaN;29.733;0.9835;0.3725;0.4365
18PZ94029_002;CAST#1;44.41;-63.445;123709;25;24-oct-94;18:50:00;29.722;10.926;NaN;29.733;0.9835;0.3725;0.4365
18PZ94029_002;1;44.41;-63.445;123710;10;24-oct-94;20:29:00;29.485;10.868;NaN;29.435;0.995;0.3725;0.5365
18PZ94029_002;CAST#1;44.41;-63.445;123710;10;24-oct-94;18:50:00;29.485;10.868;NaN;29.435;0.995;0.3725;0.5365
18PZ94029_002;CAST#1;44.41;-63.445;123711;5;24-oct-94;18:50:00;29.431;10.862;NaN;29.294;0.9575;0.4115;0.562
18PZ94029_002;1;44.41;-63.445;123711;5;24-oct-94;20:29:00;29.431;10.862;NaN;29.294;0.9575;0.4115;0.562
18PZ94029_002;CAST#1;44.41;-63.445;123712;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;1.0345;0.3385;0.486
18PZ94029_002;CAST#1;44.41;-63.445;123713;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
18PZ94029_002;CAST#1;44.41;-63.445;123714;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
18PZ94029_002;CAST#1;44.41;-63.445;123715;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
18PZ94029_002;CAST#1;44.41;-63.445;123716;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
18PZ94029_002;CAST#1;44.41;-63.445;123717;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
18PZ94029_002;CAST#1;44.41;-63.445;123718;15;24-oct-94;18:50:00;29.703;10.785;NaN;NaN;NaN;NaN;NaN
