CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL17177_2412;1001;47.508;-62.62683;441580;64.15;22-sep-17;15:15:00;31.72;-0.04;265.32506;0.05;19.105;1.265;10.52;0.09;264.67749;0.242
18TL17177_2412;1001;47.508;-62.62683;441581;23.3;22-sep-17;15:15:00;29.59;4.95;289.30748;0.16;6.605;0.795;5.985;0.105;NaN;1.092
18TL17177_2412;1001;47.508;-62.62683;441582;3.87;22-sep-17;15:15:00;27.95;15.52;270.32698;1.29;2.095;0.135;0.2;0.01;272.38134;4.199
18TL17177_2413;101;45.96967;-62.399;437808;36.49;07-sep-17;04:59:00;29.78;6.8;247.90766;0.205;10.42;0.78;2.505;0.37;244.78146;0.81
18TL17177_2413;101;45.96967;-62.399;437809;25.29;07-sep-17;04:59:00;29.42;8.69;245.1834;0.28;2.225;0.13;0.27;0.04;NaN;1.256
18TL17177_2413;101;45.96967;-62.399;437810;5.26;07-sep-17;04:59:00;27.79;17.54;255.14258;1.205;9.1;0.695;2.1;0.31;255.6785;3.619
18TL17177_2414;1011;47.74817;-62.81267;441583;59.19;22-sep-17;18:48:00;31.52;-0.19;244.78146;0.04;18.865;1.395;11.395;0.08;243.73195;0.228
18TL17177_2414;1011;47.74817;-62.81267;441584;24.49;22-sep-17;18:48:00;30.18;3.15;300.07054;0.08;8.22;0.83;4.745;0.07;NaN;0.639
18TL17177_2414;1011;47.74817;-62.81267;441585;4.76;22-sep-17;18:48:00;27.85;15.79;271.44348;1.38;2.065;0.155;0.435;0.02;273.94444;5.155
18TL17177_2415;1021;47.88167;-62.98833;441586;69.5;22-sep-17;22:02:00;31.93;0.15;255.54452;0.055;19.52;1.34;12.44;0.095;254.96394;0.225
18TL17177_2415;1021;47.88167;-62.98833;441587;49.08;22-sep-17;22:02:00;31.72;0.29;281.358;0.06;15.69;1.18;10.435;0.09;NaN;0.155
18TL17177_2415;1021;47.88167;-62.98833;441588;23.3;22-sep-17;22:02:00;30.12;2.91;274.83764;0.13;10.17;1.01;7.265;0.08;NaN;0.95
18TL17177_2415;1021;47.88167;-62.98833;441589;4.86;22-sep-17;22:02:00;27.95;15.5;273.63182;1.22;1.47;0.075;0.12;0.015;275.9988;4.783
18TL17177_2416;1041;47.8985;-63.40233;441590;75.94;23-sep-17;02:11:00;32.19;0.65;238.2611;0.035;20.85;1.435;14.2;0.06;239.33294;0.171
18TL17177_2416;1041;47.8985;-63.40233;441591;49.18;23-sep-17;02:11:00;31.93;0.49;272.2027;0.05;17.82;1.33;12.785;0.03;NaN;0.118
18TL17177_2416;1041;47.8985;-63.40233;441592;23.9;23-sep-17;02:11:00;31;1.89;305.16178;0.11;10.565;1.01;9.27;0.01;NaN;0.909
18TL17177_2416;1041;47.8985;-63.40233;441593;4.76;23-sep-17;02:11:00;28.21;14.7;278.27646;1.205;2.47;0.34;1.54;0.04;289.99971;3.241
18TL17177_2417;1051;47.78333;-63.66183;441594;65.64;23-sep-17;05:25:00;32.04;0.54;237.76984;0.05;20.975;1.46;13.825;0.11;237.97081;0.221
