CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL18196_2507;1001;46.4295;-61.55117;442384;57.61;28-sep-18;14:42:00;31.78;1.51;269.5231;7.706;0.145;15.66;1.08;7.775;0.13;264.8338;0.05
18TL18196_2507;1001;46.4295;-61.55117;442385;24.99;28-sep-18;14:42:00;28.79;15.1;250.18532;7.914;1.095;1.995;0.305;0.235;0.05;NaN;0.106
18TL18196_2507;1001;46.4295;-61.55117;442386;4.86;28-sep-18;14:42:00;28.75;15.67;253.17754;8.05;1.665;0.03;0.15;0.15;0;256.1251;0.152
18TL18196_2508;1011;46.61867;-61.2335;442387;78.63;28-sep-18;22:52:00;32.33;1.92;277.47258;7.759;0.085;11.865;1.015;9.365;0.13;276.13278;0.042
18TL18196_2508;1011;46.61867;-61.2335;442388;50.37;28-sep-18;22:52:00;31.73;1.54;283.50168;7.724;0.08;12.71;1;7.36;0.11;NaN;0.041
18TL18196_2508;1011;46.61867;-61.2335;442389;25.09;28-sep-18;22:52:00;29.3;12.91;267.78136;7.847;1.015;2.365;0.31;0.505;0.08;NaN;0.102
18TL18196_2508;1011;46.61867;-61.2335;442390;5.36;28-sep-18;22:52:00;28.97;14.53;265.01244;8;1.185;1.08;0.14;0.01;0;267.64738;0.124
18TL18196_2509;1021;46.99367;-60.94883;442391;102.42;29-sep-18;03:00:00;33.12;2.87;237.8145;7.701;0.05;15.43;1.23;13.585;0.06;236.60868;0.034
18TL18196_2509;1021;46.99367;-60.94883;442392;49.98;29-sep-18;03:00:00;31.81;1.84;311.45884;7.779;0.06;7.28;0.84;5.77;0.17;NaN;0.04
18TL18196_2509;1021;46.99367;-60.94883;442393;25.29;29-sep-18;03:00:00;30.82;5.49;299.26666;7.81;0.22;4.845;0.67;2.675;0.22;NaN;0.059
18TL18196_2509;1021;46.99367;-60.94883;442394;5.26;29-sep-18;03:00:00;29.58;12.35;280.55412;7.985;1.57;0.945;0.215;0.01;0.01;281.33567;0.145
18TL18196_2510;1031;47.173;-60.3585;442395;177.34;29-sep-18;07:54:00;34.31;5.74;116.16066;7.587;0.025;30.905;1.735;21.81;0.04;120.62666;0.031
18TL18196_2510;1031;47.173;-60.3585;442396;100.73;29-sep-18;07:54:00;32.35;1.7;289.8434;7.756;0.03;9.175;0.99;9.165;0.01;NaN;0.034
18TL18196_2510;1031;47.173;-60.3585;442397;50.87;29-sep-18;07:54:00;31.59;3.2;329.8141;7.858;0.65;2.795;0.62;2.425;0.29;NaN;0.063
18TL18196_2510;1031;47.173;-60.3585;442398;25.09;29-sep-18;07:54:00;30.61;12.31;275.86482;7.982;0.545;0.47;0.215;0.01;0.005;NaN;0.067
18TL18196_2510;1031;47.173;-60.3585;442399;5.65;29-sep-18;07:54:00;29.65;12.37;278.18714;8.027;1.01;0.49;0.21;0.01;0.01;279.86189;0.089
18TL18196_2511;1041;47.2965;-60.25167;442400;229.64;29-sep-18;10:22:00;34.51;6.21;102.4947;7.583;NaN;NaN;NaN;NaN;NaN;106.2908;0.029
18TL18196_2511;1041;47.2965;-60.25167;442401;100.53;29-sep-18;10:22:00;32.29;1.45;307.0375;7.782;0.025;6.55;0.89;8.065;0.01;NaN;0.034
18TL18196_2511;1041;47.2965;-60.25167;442402;50.67;29-sep-18;10:22:00;31.84;3.8;323.15976;7.844;0.41;2.005;0.6;2.715;0.315;NaN;0.073
18TL18196_2511;1041;47.2965;-60.25167;442403;25.39;29-sep-18;10:22:00;31.41;7.57;315.83552;7.901;0.615;1.06;0.395;0.315;0.085;NaN;0.083
18TL18196_2511;1041;47.2965;-60.25167;442404;5.26;29-sep-18;10:22:00;30.01;12.92;273.7658;7.992;0.83;0.2;0.175;0.01;0.005;275.44055;0.099
18TL18196_2512;1061;47.43417;-60.42;442405;95.18;29-sep-18;15:17:00;32.23;1.62;295.55988;7.806;0.03;7.645;0.91;7.96;0.1;298.86472;0.03
18TL18196_2512;1061;47.43417;-60.42;442406;49.97;29-sep-18;15:17:00;31.59;4.2;321.01608;7.878;0.43;1.91;0.55;1.495;0.26;NaN;0.068
18TL18196_2512;1061;47.43417;-60.42;442407;24.69;29-sep-18;15:17:00;30.21;11.37;274.8823;7.979;0.665;0.87;0.275;0.05;0.015;NaN;0.104
18TL18196_2512;1061;47.43417;-60.42;442408;4.76;29-sep-18;15:17:00;29.77;11.77;278.49976;8.026;2.075;1.725;0.28;0.015;0.015;283.30071;0.22
18TL18196_2513;1071;47.73333;-60.48133;442409;336.28;29-sep-18;19:40:00;34.9;6.41;111.69466;7.666;0;35.91;1.78;24.1;0.01;119.17521;0.025
18TL18196_2513;1071;47.73333;-60.48133;442410;99.83;29-sep-18;19:40:00;32.23;1.46;307.08216;7.802;0.03;6.145;0.89;7.685;0.01;NaN;0.031
18TL18196_2513;1071;47.73333;-60.48133;442411;49.97;29-sep-18;19:40:00;31.65;3.48;320.16754;7.858;0.295;3.5;0.655;2.345;0.29;NaN;0.05
18TL18196_2513;1071;47.73333;-60.48133;442412;25.38;29-sep-18;19:40:00;30.27;10.45;289.30748;7.976;NaN;NaN;NaN;NaN;NaN;NaN;0.146
18TL18196_2513;1071;47.73333;-60.48133;442413;4.96;29-sep-18;19:40:00;30.21;10.58;293.01426;8.021;1.23;1.255;0.29;0.01;0;295.26959;0.175
18TL18196_2514;1091;47.6305;-60.5035;442414;194.86;29-sep-18;23:39:00;33.44;3.21;198.64768;7.652;0.01;19.525;1.38;16.755;0.02;199.33991;0.034
18TL18196_2514;1091;47.6305;-60.5035;442415;100.92;29-sep-18;23:39:00;32.42;1.48;288.7269;7.748;0.02;10.3;1.065;10.38;0.08;NaN;0.037
18TL18196_2514;1091;47.6305;-60.5035;442416;50.37;29-sep-18;23:39:00;31.62;4.31;328.11702;7.874;0.34;2.24;0.555;1.315;0.25;NaN;0.062
18TL18196_2514;1091;47.6305;-60.5035;442417;25.19;29-sep-18;23:39:00;30.04;10.31;291.09388;7.948;0.72;1.75;0.34;0.175;0.03;NaN;0.103
18TL18196_2514;1091;47.6305;-60.5035;442418;5.06;29-sep-18;23:39:00;29.46;12.31;280.42014;8.007;1.97;1.93;0.255;0.06;0.02;281.33567;0.183
18TL18196_2515;11;47.89333;-65.4575;442108;55.82;07-sep-18;18:01:00;31.45;0.76;239.8242;7.48;0.25;25.065;1.58;11.305;0.15;239.89119;0.045
18TL18196_2515;11;47.89333;-65.4575;442109;24.89;07-sep-18;18:01:00;29.37;5.48;277.02598;7.654;0.19;11.85;0.925;5.915;0.155;NaN;0.062
18TL18196_2515;11;47.89333;-65.4575;442110;5.06;07-sep-18;18:01:00;28.14;14.46;274.12308;7.884;1;3.02;0.265;0.115;0.015;274.77065;0.151
18TL18196_2516;1101;47.89617;-60.77067;442419;239.04;30-sep-18;04:35:00;34.33;5.82;114.28494;7.592;0.01;31.155;1.705;21.94;0.02;118.48298;0.03
18TL18196_2516;1101;47.89617;-60.77067;442420;100.72;30-sep-18;04:35:00;32.54;1.14;270.81824;7.707;0.025;12.645;1.18;12.225;0.05;NaN;0.034
18TL18196_2516;1101;47.89617;-60.77067;442421;50.67;30-sep-18;04:35:00;31.24;2.09;332.44904;7.83;0.25;5.09;0.78;3.51;0.305;NaN;0.054
18TL18196_2516;1101;47.89617;-60.77067;442422;25.09;30-sep-18;04:35:00;29.4;12.07;278.76772;7.944;0.59;1.875;0.28;0.13;0.03;NaN;0.091
18TL18196_2516;1101;47.89617;-60.77067;442423;5.16;30-sep-18;04:35:00;29.25;12.83;272.91726;8.029;1.725;2.08;0.24;0.095;0.025;274.4357;0.147
18TL18196_2517;1111;47.96483;-60.98617;442424;96.36;30-sep-18;08:02:00;32.13;0.82;302.1249;7.769;0.04;9.8;1.015;8.955;0.14;297.77055;0.034
18TL18196_2517;1111;47.96483;-60.98617;442425;50.47;30-sep-18;08:02:00;31.4;1.56;322.2219;7.791;0.14;7.295;0.87;4.835;0.28;NaN;0.046
18TL18196_2517;1111;47.96483;-60.98617;442426;25.38;30-sep-18;08:02:00;30.16;8.42;254.60666;7.767;0.225;7.075;0.675;2.13;0.265;NaN;0.066
18TL18196_2517;1111;47.96483;-60.98617;442427;5.16;30-sep-18;08:02:00;29.32;12.5;274.97162;7.974;2.11;1.53;0.24;0.085;0.03;276.13278;0.192
18TL18196_2518;1121;47.8015;-60.95967;442428;55.82;30-sep-18;09:46:00;31;3.3;285.24342;7.827;0.1;9.345;0.93;4.425;0.33;281.73761;0.05
18TL18196_2518;1121;47.8015;-60.95967;442429;24.69;30-sep-18;09:46:00;29.51;11.92;281.75994;8.004;1.34;1.6;0.26;0.01;0.01;NaN;0.17
18TL18196_2518;1121;47.8015;-60.95967;442430;4.76;30-sep-18;09:46:00;29.45;12.04;280.33082;8.043;1.585;1.585;0.24;0.01;0.02;281.15703;0.172
18TL18196_2519;1131;47.73783;-61.058;442431;38.47;30-sep-18;13:08:00;30.53;6.77;253.13288;7.874;0.27;8.71;0.875;2.885;0.3;252.03871;0.072
18TL18196_2519;1131;47.73783;-61.058;442432;25.78;30-sep-18;13:08:00;29.26;12.56;272.78328;8.006;1.69;2.225;0.255;0.16;0.03;NaN;0.165
18TL18196_2519;1131;47.73783;-61.058;442433;5.16;30-sep-18;13:08:00;29.27;12.63;273.58716;8.044;2.075;1.93;0.245;0.135;0.04;275.57453;0.194
18TL18196_2520;1141;47.51283;-61.15717;442434;34.41;30-sep-18;17:12:00;30.46;7.4;270.01436;7.911;0.36;6.785;0.74;2.615;0.275;267.87068;0.084
18TL18196_2520;1141;47.51283;-61.15717;442435;24.49;30-sep-18;17:12:00;29.45;12.28;274.659;7.97;1.11;2.115;0.27;0.19;0.03;NaN;0.133
18TL18196_2520;1141;47.51283;-61.15717;442436;4.86;30-sep-18;17:12:00;29.46;12.51;279.66092;8.035;1.55;1.92;0.24;0.11;0.035;279.86189;0.118
