CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius)
80029_002;1;42.625;-56.77;802500;1014;06-sep-80;18:47:00;1025;4.3775
80029_002;1;42.625;-56.77;802501;1014;06-sep-80;18:48:00;1024;4.3325
80029_002;1;42.625;-56.77;802502;1012;06-sep-80;18:50:00;1022;4.3265
80029_002;1;42.625;-56.77;802503;734;06-sep-80;18:59:00;742;4.52
80029_002;1;42.625;-56.77;802504;737;06-sep-80;19:01:00;745;4.5
80029_002;1;42.625;-56.77;802505;488;06-sep-80;19:07:00;492;7.358
80029_002;1;42.625;-56.77;802506;489;06-sep-80;19:09:00;493;7.331
80029_002;1;42.625;-56.77;802507;492;06-sep-80;19:11:00;496;7.2515
80029_002;1;42.625;-56.77;802508;496;06-sep-80;19:12:00;501;7.1555
80029_002;1;42.625;-56.77;802509;495;06-sep-80;19:13:00;500;7.1425
80029_002;1;42.625;-56.77;802510;246;06-sep-80;19:21:00;248;12.747
80029_002;1;42.625;-56.77;802511;246;06-sep-80;19:22:00;248;12.732
80029_002;1;42.625;-56.77;802512;247;06-sep-80;19:23:00;250;12.74
80029_002;1;42.625;-56.77;802513;247;06-sep-80;19:24:00;250;12.741
80029_002;1;42.625;-56.77;802514;247;06-sep-80;19:25:00;249;12.73
80029_002;1;42.625;-56.77;802515;247;06-sep-80;19:26:00;250;12.732
