CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA69002_1760;11;47.0986;-60.25;11_1;0;07-may-69;00:00:00;437.668;1.76;0.4;0.31;NaN
18VA69002_1760;11;47.0986;-60.25;11_2;5;07-may-69;00:00:00;338.5228;1.35;0.25;0.37;NaN
18VA69002_1760;11;47.0986;-60.25;11_3;15;07-may-69;00:00:00;380.0566;-0.07;0.27;0.31;NaN
18VA69002_1760;11;47.0986;-60.25;11_4;25;07-may-69;00:00:00;350.1344;0.76;0.27;0.26;NaN
18VA69002_1760;11;47.0986;-60.25;11_5;50;07-may-69;00:00:00;371.1246;0.3;0.27;0.52;NaN
18VA69002_1760;11;47.0986;-60.25;11_6;75;07-may-69;00:00:00;380.0566;0.97;0.44;0.52;NaN
18VA69002_1760;11;47.0986;-60.25;11_7;100;07-may-69;00:00:00;355.9402;1.02;0.52;0.84;NaN
18VA69002_1760;11;47.0986;-60.25;11_8;150;07-may-69;00:00:00;308.6006;0.99;0.89;5.29;NaN
18VA69002_1761;12;47.0986;-60.25;12_10;5;31-may-69;00:00:00;355.047;4.51;0.46;0.3;0.65
18VA69002_1761;12;47.0986;-60.25;12_11;15;31-may-69;00:00:00;360.4062;3.51;0.34;0.59;0.4
18VA69002_1761;12;47.0986;-60.25;12_12;25;31-may-69;00:00:00;361.746;3.61;0.46;0.49;0.42
18VA69002_1761;12;47.0986;-60.25;12_13;50;31-may-69;00:00:00;342.0956;1.03;0.6;1.09;1.32
18VA69002_1761;12;47.0986;-60.25;12_14;75;31-may-69;00:00:00;348.348;1.13;0.88;2.62;2.32
18VA69002_1761;12;47.0986;-60.25;12_15;100;31-may-69;00:00:00;328.6976;1.07;0.98;2.62;3.75
18VA69002_1761;12;47.0986;-60.25;12_16;150;31-may-69;00:00:00;245.63;2.7;1.16;8.05;7.85
18VA69002_1761;12;47.0986;-60.25;12_9;0;31-may-69;00:00:00;342.9888;5.55;0.35;0.3;0.13
18VA69002_1762;13;47.0986;-60.25;13_49;0;21-jun-69;00:00:00;305.0278;11.69;0.33;0.42;0.92
18VA69002_1762;13;47.0986;-60.25;13_50;5;21-jun-69;00:00:00;326.4646;7.47;0.33;0.36;0.72
18VA69002_1762;13;47.0986;-60.25;13_51;15;21-jun-69;00:00:00;340.7558;5.79;0.34;0.42;0.52
18VA69002_1762;13;47.0986;-60.25;13_52;25;21-jun-69;00:00:00;354.6004;3.97;0.39;0.3;0.54
18VA69002_1762;13;47.0986;-60.25;13_53;50;21-jun-69;00:00:00;330.484;2;0.52;0.12;0.92
18VA69002_1762;13;47.0986;-60.25;13_54;75;21-jun-69;00:00:00;333.1636;1.07;0.62;2.09;2.5
18VA69002_1762;13;47.0986;-60.25;13_55;100;21-jun-69;00:00:00;326.4646;1.25;1.2;3.22;5.63
18VA69002_1762;13;47.0986;-60.25;13_56;150;21-jun-69;00:00:00;202.3098;4.16;1.47;12.51;17.01
18VA69002_1763;14;47.0986;-60.25;128;0;15-jul-69;00:00:00;292.9696;11.37;0.3;0.27;0.2
18VA69002_1763;14;47.0986;-60.25;129;5;15-jul-69;00:00:00;294.756;11.35;0.23;0.33;0.81
18VA69002_1763;14;47.0986;-60.25;130;15;15-jul-69;00:00:00;316.1928;8.07;0.35;0.27;1.54
18VA69002_1763;14;47.0986;-60.25;131;25;15-jul-69;00:00:00;389.4352;4.45;0.4;0.33;1.4
18VA69002_1763;14;47.0986;-60.25;132;50;15-jul-69;00:00:00;331.8238;1.86;0.38;0.27;0.97
18VA69002_1763;14;47.0986;-60.25;133;75;15-jul-69;00:00:00;313.9598;1.14;0.88;7.98;5.82
18VA69002_1763;14;47.0986;-60.25;134;100;15-jul-69;00:00:00;292.0764;1.5;1.02;9.01;8.09
18VA69002_1763;14;47.0986;-60.25;135;150;15-jul-69;00:00:00;309.0472;4.15;1.01;9.22;8.18
18VA69002_1764;15;47.0986;-60.25;136;0;30-jul-69;00:00:00;273.7658;15.25;0.21;0.09;1.16
18VA69002_1764;15;47.0986;-60.25;138;5;30-jul-69;00:00:00;305.921;15.64;0.41;0.28;2.16
18VA69002_1764;15;47.0986;-60.25;141;15;30-jul-69;00:00:00;333.1636;3.07;0.49;1.2;1.99
18VA69002_1764;15;47.0986;-60.25;142;25;30-jul-69;00:00:00;342.5422;2.82;0.44;1.13;1.13
18VA69002_1764;15;47.0986;-60.25;144;50;30-jul-69;00:00:00;330.0374;1.7;0.75;3.76;3.62
18VA69002_1764;15;47.0986;-60.25;145;75;30-jul-69;00:00:00;307.2608;1.62;0.88;5.9;6
18VA69002_1764;15;47.0986;-60.25;146;100;30-jul-69;00:00:00;278.6784;1.9;0.96;10.55;4.71
18VA69002_1764;15;47.0986;-60.25;147;150;30-jul-69;00:00:00;192.4846;4.6;1.23;11.94;13.09
18VA69002_1765;16;47.0986;-60.25;216;0;18-aug-69;00:00:00;252.7756;16.98;0.16;3.57;2.49
18VA69002_1765;16;47.0986;-60.25;217;5;18-aug-69;00:00:00;256.795;18.37;0.11;1.37;1.89
18VA69002_1765;16;47.0986;-60.25;219;15;18-aug-69;00:00:00;260.3678;17.16;0.18;2.9;0.99
18VA69002_1765;16;47.0986;-60.25;220;25;18-aug-69;00:00:00;305.4744;8.55;0.38;3.36;3.46
18VA69002_1765;16;47.0986;-60.25;221;50;18-aug-69;00:00:00;338.5228;2.41;0.42;0.48;3.37
18VA69002_1765;16;47.0986;-60.25;222;75;18-aug-69;00:00:00;288.5036;1.38;0.57;4.44;3.54
18VA69002_1765;16;47.0986;-60.25;223;100;18-aug-69;00:00:00;321.552;1.78;0.85;9.14;6.85
18VA69002_1765;16;47.0986;-60.25;224;150;18-aug-69;00:00:00;313.5132;3.46;1.04;9.57;9.32
18VA69002_1766;17;47.0986;-60.25;258;0;23-sep-69;00:00:00;282.2512;13.97;0.07;0.6;0.24
18VA69002_1766;17;47.0986;-60.25;259;5;23-sep-69;00:00:00;283.1444;13.98;0.07;0.07;0.17
18VA69002_1766;17;47.0986;-60.25;261;15;23-sep-69;00:00:00;282.2512;12.95;0.09;0.42;0.3
18VA69002_1766;17;47.0986;-60.25;262;25;23-sep-69;00:00:00;285.3774;12.83;0.09;0.04;0.22
18VA69002_1766;17;47.0986;-60.25;263;50;23-sep-69;00:00:00;309.0472;3.12;0.45;1.46;1.8
18VA69002_1766;17;47.0986;-60.25;264;75;23-sep-69;00:00:00;326.9112;1.75;0.67;4.21;2.26
18VA69002_1766;17;47.0986;-60.25;265;100;23-sep-69;00:00:00;314.853;1.41;0.78;5.24;3.72
18VA69002_1766;17;47.0986;-60.25;266;150;23-sep-69;00:00:00;246.5232;3.14;0.9;9.45;7.44
18VA69002_1767;21;47.2431;-59.9597;21_17;0;07-may-69;00:00:00;397.474;1.39;NaN;NaN;NaN
18VA69002_1767;21;47.2431;-59.9597;21_18;5;07-may-69;00:00:00;385.8624;4.51;0.41;0;NaN
18VA69002_1767;21;47.2431;-59.9597;21_19;15;07-may-69;00:00:00;367.9984;5.08;0.33;0.52;NaN
18VA69002_1767;21;47.2431;-59.9597;21_20;25;07-may-69;00:00:00;NaN;3.11;0.36;0.31;NaN
18VA69002_1767;21;47.2431;-59.9597;21_21;50;07-may-69;00:00:00;344.3286;2.46;0.84;4.76;NaN
18VA69002_1767;21;47.2431;-59.9597;21_22;75;07-may-69;00:00:00;NaN;1.2;NaN;NaN;NaN
