CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none))
180335056_428;1011;48;-69.75;1816;0;22-aug-35;17:55:00;6.31;28.03
180335056_428;1011;48;-69.75;1817;10;22-aug-35;17:55:00;6.19;29.22
180335056_428;1011;48;-69.75;1818;25;22-aug-35;17:55:00;6.2;30.08
180335056_429;1021;48;-69.66667;1812;0;22-aug-35;16:55:00;6.37;26.42
180335056_429;1021;48;-69.66667;1813;10;22-aug-35;16:55:00;6.19;28.42
180335056_429;1021;48;-69.66667;1814;25;22-aug-35;16:55:00;6.07;30.55
180335056_429;1021;48;-69.66667;1815;50;22-aug-35;16:55:00;5.67;32.54
180335056_430;1031;48;-69.58333;1809;0;22-aug-35;15:50:00;6.33;27.23
180335056_430;1031;48;-69.58333;1810;10;22-aug-35;15:50:00;5.98;30.37
180335056_430;1031;48;-69.58333;1811;25;22-aug-35;15:50:00;5.8;32.14
