CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX;TEMP_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(celsius)
181071040_036;CAST#1;44.7663;-63.156;-1;4;26-jan-71;17:53:00;6.56068069861173;27;-0.75
181071040_036;CAST#1;44.7663;-63.156;-10;19;26-jan-71;17:53:00;6.53828929690999;27.5;-0.75
181071040_036;CAST#1;44.7663;-63.156;-2;6;26-jan-71;17:53:00;6.56068069861173;27.13;-0.7
181071040_036;CAST#1;44.7663;-63.156;-3;8;26-jan-71;17:53:00;6.58307210031348;27.27;-0.7
181071040_036;CAST#1;44.7663;-63.156;-4;10;26-jan-71;17:53:00;6.56068069861173;27.3;-0.7
181071040_036;CAST#1;44.7663;-63.156;-5;12;26-jan-71;17:53:00;6.56068069861173;27.38;-0.7
181071040_036;CAST#1;44.7663;-63.156;-6;14;26-jan-71;17:53:00;6.53828929690999;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-7;15;26-jan-71;17:53:00;6.56068069861173;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-8;16;26-jan-71;17:53:00;6.53828929690999;27.42;-0.8
181071040_036;CAST#1;44.7663;-63.156;-9;17;26-jan-71;17:53:00;6.53828929690999;27.46;-0.85
181071040_047;CAST#1;44.7663;-63.156;-11;1;17-feb-71;16:15:00;8.0832960143305;0.9;-0.4
181071040_047;CAST#1;44.7663;-63.156;-12;2;17-feb-71;16:15:00;8.01612180922526;18.2;-0.4
181071040_047;CAST#1;44.7663;-63.156;-13;3;17-feb-71;16:15:00;7.72503358710255;19.4;-0.4
181071040_047;CAST#1;44.7663;-63.156;-14;4;17-feb-71;16:15:00;7.99373040752351;22.6;-0.5
181071040_047;CAST#1;44.7663;-63.156;-15;5;17-feb-71;16:15:00;8.19525302283923;24.2;-0.6
181071040_047;CAST#1;44.7663;-63.156;-16;6;17-feb-71;16:15:00;7.38916256157635;26.31;-0.8
181071040_047;CAST#1;44.7663;-63.156;-17;7;17-feb-71;16:15:00;7.05329153605016;27.15;-0.8
181071040_047;CAST#1;44.7663;-63.156;-18;8;17-feb-71;16:15:00;6.89655172413793;27.69;-0.8
181071040_047;CAST#1;44.7663;-63.156;-19;9;17-feb-71;16:15:00;6.82937751903269;27.72;-0.8
181071040_047;CAST#1;44.7663;-63.156;-20;10;17-feb-71;16:15:00;6.82937751903269;27.82;-0.8
181071040_047;CAST#1;44.7663;-63.156;-21;11;17-feb-71;16:15:00;7.03090013434841;27.9;-0.8
181071040_047;CAST#1;44.7663;-63.156;-22;12;17-feb-71;16:15:00;6.89655172413793;27.92;-0.8
181071040_047;CAST#1;44.7663;-63.156;-23;13;17-feb-71;16:15:00;6.82937751903269;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-24;14;17-feb-71;16:15:00;6.69502910882221;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-25;15;17-feb-71;16:15:00;6.73981191222571;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-26;16;17-feb-71;16:15:00;6.65024630541872;27.99;-0.8
181071040_047;CAST#1;44.7663;-63.156;-27;18;17-feb-71;16:15:00;6.60546350201523;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-28;19;17-feb-71;16:15:00;6.56068069861173;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-29;20;17-feb-71;16:15:00;6.65024630541872;28.01;-0.7
181071040_047;CAST#1;44.7663;-63.156;-30;21;17-feb-71;16:15:00;6.73981191222571;28.1;-0.7
181071040_058;CAST#1;44.7663;-63.156;-31;1;09-mar-71;17:00:00;8.77742946708464;13.393;0.5
181071040_058;CAST#1;44.7663;-63.156;-32;2;09-mar-71;17:00:00;8.73264666368115;19.516;0.3
181071040_058;CAST#1;44.7663;-63.156;-33;3;09-mar-71;17:00:00;8.44155844155844;21.218;0.25
181071040_058;CAST#1;44.7663;-63.156;-34;4;09-mar-71;17:00:00;7.81459919390954;22.032;0
181071040_058;CAST#1;44.7663;-63.156;-35;5;09-mar-71;17:00:00;8.038513210927;22.788;-0.1
181071040_058;CAST#1;44.7663;-63.156;-36;6;09-mar-71;17:00:00;8.01612180922526;24.565;-0.2
181071040_058;CAST#1;44.7663;-63.156;-37;8;09-mar-71;17:00:00;6.65024630541872;27.025;-0.55
181071040_058;CAST#1;44.7663;-63.156;-38;9;09-mar-71;17:00:00;6.65024630541872;27.216;-0.6
181071040_058;CAST#1;44.7663;-63.156;-39;10;09-mar-71;17:00:00;6.38154948499776;27.591;-0.6
181071040_058;CAST#1;44.7663;-63.156;-40;11;09-mar-71;17:00:00;5.86654724585759;28.402;-0.5
181071040_058;CAST#1;44.7663;-63.156;-41;12;09-mar-71;17:00:00;6.06806986117331;28.143;-0.5
181071040_058;CAST#1;44.7663;-63.156;-42;13;09-mar-71;17:00:00;5.84415584415584;28.38;-0.5
181071040_058;CAST#1;44.7663;-63.156;-43;14;09-mar-71;17:00:00;5.8217644424541;28.366;-0.5
181071040_058;CAST#1;44.7663;-63.156;-44;15;09-mar-71;17:00:00;5.79937304075235;28.392;-0.5
181071040_058;CAST#1;44.7663;-63.156;-45;16;09-mar-71;17:00:00;5.79937304075235;28.449;-0.5
181071040_058;CAST#1;44.7663;-63.156;-46;17;09-mar-71;17:00:00;5.75459023734886;28.44;-0.5
181071040_058;CAST#1;44.7663;-63.156;-47;18;09-mar-71;17:00:00;5.68741603224362;28.455;-0.5
181071040_058;CAST#1;44.7663;-63.156;-48;19;09-mar-71;17:00:00;5.73219883564711;28.453;-0.5
181071040_058;CAST#1;44.7663;-63.156;-49;20;09-mar-71;17:00:00;5.70980743394537;28.466;-0.5
