CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3)
18BA68003_1736;211;47.705;-63.8133;116;1;27-apr-68;09:18:00;7.1
18BA68003_1736;211;47.705;-63.8133;117;10;27-apr-68;09:18:00;7.06
18BA68003_1736;211;47.705;-63.8133;118;20;27-apr-68;09:18:00;7.06
18BA68003_1736;211;47.705;-63.8133;119;30;27-apr-68;09:18:00;7.46
18BA68003_1736;211;47.705;-63.8133;120;50;27-apr-68;09:18:00;6.89
18BA68003_1738;251;47.3;-64.3166;139;1;28-apr-68;17:06:00;7.88
18BA68003_1738;251;47.3;-64.3166;140;10;28-apr-68;17:06:00;7.38
18BA68003_1738;251;47.3;-64.3166;141;20;28-apr-68;17:06:00;7.99
18BA68003_1738;251;47.3;-64.3166;142;30;28-apr-68;17:06:00;7.28
18BA68003_1738;251;47.3;-64.3166;143;40;28-apr-68;17:06:00;7.48
18BA68003_1743;441;47.5333;-63.7333;283;1;05-may-68;11:24:00;8.47
18BA68003_1743;441;47.5333;-63.7333;284;10;05-may-68;11:24:00;8.71
18BA68003_1743;441;47.5333;-63.7333;285;20;05-may-68;11:24:00;8.47
18BA68003_1743;441;47.5333;-63.7333;286;30;05-may-68;11:24:00;7.62
18BA68003_1743;441;47.5333;-63.7333;287;50;05-may-68;11:24:00;7.34
18BA68003_1743;441;47.5333;-63.7333;288;65;05-may-68;11:24:00;6.66
18BA68003_1744;451;47.7333;-64.0008;289;1;05-may-68;15:54:00;8.49
18BA68003_1744;451;47.7333;-64.0008;290;10;05-may-68;15:54:00;8.64
18BA68003_1744;451;47.7333;-64.0008;291;20;05-may-68;15:54:00;7.65
18BA68003_1744;451;47.7333;-64.0008;292;30;05-may-68;15:54:00;7.62
18BA68003_1744;451;47.7333;-64.0008;293;50;05-may-68;15:54:00;7.38
18BA68003_1744;451;47.7333;-64.0008;294;75;05-may-68;15:54:00;6.72
18BA68003_1745;471;47.965;-62.42;301;1;06-may-68;18:48:00;8.86
18BA68003_1745;471;47.965;-62.42;302;10;06-may-68;18:48:00;8.79
18BA68003_1745;471;47.965;-62.42;303;20;06-may-68;18:48:00;7.74
18BA68003_1745;471;47.965;-62.42;304;30;06-may-68;18:48:00;8.09
18BA68003_1745;471;47.965;-62.42;305;50;06-may-68;18:48:00;7.75
18BA68003_1745;471;47.965;-62.42;306;60;06-may-68;18:48:00;6.96
18BA68003_1746;481;47.1083;-62.5;307;1;07-may-68;02:48:00;8.52
18BA68003_1746;481;47.1083;-62.5;308;10;07-may-68;02:48:00;8.64
18BA68003_1746;481;47.1083;-62.5;309;20;07-may-68;02:48:00;8.32
18BA68003_1746;481;47.1083;-62.5;310;30;07-may-68;02:48:00;8.01
18BA68003_1746;481;47.1083;-62.5;311;49;07-may-68;02:48:00;7.49
18BA68003_1746;481;47.1083;-62.5;312;59;07-may-68;02:48:00;6.64
18BA68003_1750;511;47.555;-59.4083;326;1;07-may-68;22:00:00;7.87
18BA68003_1750;511;47.555;-59.4083;327;10;07-may-68;22:00:00;7.93
18BA68003_1750;511;47.555;-59.4083;328;20;07-may-68;22:00:00;7.67
18BA68003_1750;511;47.555;-59.4083;329;29;07-may-68;22:00:00;7.66
18BA68003_1750;511;47.555;-59.4083;330;49;07-may-68;22:00:00;7.8
18BA68003_1750;511;47.555;-59.4083;331;73;07-may-68;22:00:00;7.08
18BA68003_1750;511;47.555;-59.4083;332;98;07-may-68;22:00:00;6.64
18BA68003_1750;511;47.555;-59.4083;333;147;07-may-68;22:00:00;5.35
18BA68003_1750;511;47.555;-59.4083;334;196;07-may-68;22:00:00;4.48
18BA68003_1750;511;47.555;-59.4083;335;245;07-may-68;22:00:00;4.42
18BA68003_1750;511;47.555;-59.4083;336;294;07-may-68;22:00:00;4.5
18BA68003_1750;511;47.555;-59.4083;337;348;07-may-68;22:00:00;4.56
18BA68003_1751;521;47.4566;-59.6233;338;1;08-may-68;04:24:00;8
18BA68003_1751;521;47.4566;-59.6233;339;10;08-may-68;04:24:00;8.06
18BA68003_1751;521;47.4566;-59.6233;340;20;08-may-68;04:24:00;7.88
18BA68003_1751;521;47.4566;-59.6233;341;30;08-may-68;04:24:00;7.74
18BA68003_1751;521;47.4566;-59.6233;342;50;08-may-68;04:24:00;7.67
18BA68003_1751;521;47.4566;-59.6233;343;74;08-may-68;04:24:00;7.74
18BA68003_1751;521;47.4566;-59.6233;344;99;08-may-68;04:24:00;7.52
18BA68003_1751;521;47.4566;-59.6233;345;149;08-may-68;04:24:00;5.68
18BA68003_1751;521;47.4566;-59.6233;346;198;08-may-68;04:24:00;4.74
18BA68003_1751;521;47.4566;-59.6233;347;297;08-may-68;04:24:00;4.47
18BA68003_1751;521;47.4566;-59.6233;348;397;08-may-68;04:24:00;4.36
18BA68003_1751;521;47.4566;-59.6233;349;466;08-may-68;04:24:00;4.58
18BA68003_1752;531;47.7416;-60.1;350;1;08-may-68;12:54:00;7.97
18BA68003_1752;531;47.7416;-60.1;351;10;08-may-68;12:54:00;7.94
18BA68003_1752;531;47.7416;-60.1;352;20;08-may-68;12:54:00;7.91
18BA68003_1752;531;47.7416;-60.1;353;30;08-may-68;12:54:00;7.93
18BA68003_1752;531;47.7416;-60.1;354;49;08-may-68;12:54:00;7.36
18BA68003_1752;531;47.7416;-60.1;355;74;08-may-68;12:54:00;6.85
18BA68003_1752;531;47.7416;-60.1;356;99;08-may-68;12:54:00;6.85
18BA68003_1752;531;47.7416;-60.1;357;148;08-may-68;12:54:00;4.95
18BA68003_1752;531;47.7416;-60.1;358;197;08-may-68;12:54:00;4.5
18BA68003_1752;531;47.7416;-60.1;359;296;08-may-68;12:54:00;4.2
18BA68003_1752;531;47.7416;-60.1;360;394;08-may-68;12:54:00;4.38
18BA68003_1752;531;47.7416;-60.1;361;493;08-may-68;12:54:00;4.39
18BA68003_1752;531;47.7416;-60.1;362;507;08-may-68;12:54:00;4.36
18BA68003_1753;541;47.365;-59.8133;363;1;08-may-68;17:24:00;7.84
18BA68003_1753;541;47.365;-59.8133;364;10;08-may-68;17:24:00;7.91
18BA68003_1753;541;47.365;-59.8133;365;20;08-may-68;17:24:00;7.55
18BA68003_1753;541;47.365;-59.8133;366;30;08-may-68;17:24:00;7.53
18BA68003_1753;541;47.365;-59.8133;367;49;08-may-68;17:24:00;7.53
