CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01;Si_01;PO4_01;NOx_01;CHL_01;CHL_03;FLOR;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU00062_116;HL2;44.2715;-63.32117;213391;140;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;16.117;1.3095;14.3505;NaN;NaN;NaN;0.03686
18HU00062_116;HL2;44.2715;-63.32117;213392;100;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;12.8085;1.2365;12.079;NaN;NaN;NaN;0.07371
18HU00062_116;HL2;44.2715;-63.32117;213393;75;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;8.4295;1.0455;9.1265;NaN;NaN;NaN;0.07898
18HU00062_116;HL2;44.2715;-63.32117;213394;50;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.5095;0.6895;3.9915;NaN;NaN;NaN;0.3843
18HU00062_116;HL2;44.2715;-63.32117;213395;40;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5.1345;0.641;3.4735;NaN;NaN;NaN;0.7056
18HU00062_116;HL2;44.2715;-63.32117;213396;30;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.7435;0.622;3.3585;NaN;NaN;NaN;0.693
18HU00062_116;HL2;44.2715;-63.32117;213397;20;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.757;0.652;3.1145;NaN;NaN;NaN;0.6867
18HU00062_116;HL2;44.2715;-63.32117;213398;10;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.667;0.6145;3.1615;NaN;NaN;NaN;0.6741
18HU00062_116;HL2;44.2715;-63.32117;213399;5;08-dec-00;18:37:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4.6085;0.6015;3.1725;NaN;NaN;NaN;0.63
18HU00062_559;11;46.8835;-60.1465;232901;149.2;28-nov-00;20:12:00;33.15;2.38;198.737;5.061;15.55;0.03;1.33;14.71;NaN;NaN;NaN;NaN;NaN;0.579;NaN
18HU00062_559;11;46.8835;-60.1465;232902;98.95;28-nov-00;20:12:00;32.25;1.68;226.29222;5.056;15.84;0.015;1.43;14.04;NaN;NaN;NaN;0.065;0.155;0.795;NaN
18HU00062_559;11;46.8835;-60.1465;232903;49.98;28-nov-00;20:12:00;29.95;6.11;266.21826;6.704;6.66;0.135;0.715;4.305;NaN;NaN;NaN;0.12;0.3;1.467;NaN
18HU00062_559;11;46.8835;-60.1465;232904;25.88;28-nov-00;20:12:00;29.76;6.25;279.3483;8.256;6.23;0.145;0.66;3.915;NaN;NaN;NaN;0.145;0.34;1.871;NaN
18HU00062_559;11;46.8835;-60.1465;232905;15.67;28-nov-00;20:12:00;29.76;6.24;284.43954;6.8;6.555;0.13;0.66;3.955;NaN;NaN;NaN;0.175;0.415;1.849;NaN
18HU00062_559;11;46.8835;-60.1465;232906;6.05;28-nov-00;20:12:00;29.75;6.25;289.3968;6.846;6.4;0.135;0.66;3.935;NaN;NaN;NaN;0.17;0.39;1.868;NaN
18HU00062_559;11;46.8835;-60.1465;232907;2.98;28-nov-00;20:12:00;29.75;6.24;290.20068;6.869;6.445;0.13;0.66;3.925;NaN;NaN;NaN;0.175;0.385;1.867;NaN
18HU00062_560;22;46.98433;-60.03633;232908;148.5;28-nov-00;23:56:00;33.29;2.68;202.9797;4.628;18.06;0.035;1.41;16.255;NaN;NaN;NaN;NaN;NaN;0.627;NaN
18HU00062_560;22;46.98433;-60.03633;232909;99.44;28-nov-00;23:56:00;32.64;1.95;243.48632;5.526;14.515;0.03;1.25;12.99;NaN;NaN;NaN;0.055;0.14;0.727;NaN
18HU00062_560;22;46.98433;-60.03633;232910;50.67;28-nov-00;23:56:00;30.67;4.48;289.93272;7.202;4.055;0.185;0.62;3.705;NaN;NaN;NaN;0.315;0.5;2.277;NaN
18HU00062_560;22;46.98433;-60.03633;232911;25.09;28-nov-00;23:56:00;30.02;5.85;305.921;6.926;6.03;0.12;0.66;3.775;NaN;NaN;NaN;0.295;0.43;2.085;NaN
18HU00062_560;22;46.98433;-60.03633;232912;15.17;28-nov-00;23:56:00;29.72;6.12;314.31708;6.987;5.61;0.14;0.625;3.49;NaN;NaN;NaN;0.35;0.52;2.607;NaN
18HU00062_560;22;46.98433;-60.03633;232913;5.55;28-nov-00;23:56:00;29.71;6.11;321.81996;6.946;5.475;0.14;0.62;3.435;NaN;NaN;NaN;0.355;0.575;2.655;NaN
18HU00062_560;22;46.98433;-60.03633;232914;2.88;28-nov-00;23:56:00;29.71;6.12;323.60636;7.032;5.485;0.14;0.62;3.47;NaN;NaN;NaN;0.28;0.485;2.582;NaN
18HU00062_561;31;47.08417;-59.9155;232915;346.9;29-nov-00;02:12:00;34.76;5.34;135.63242;3.228;30.785;0.01;1.68;22.645;NaN;NaN;NaN;NaN;NaN;0.491;NaN
18HU00062_561;31;47.08417;-59.9155;232916;295.71;29-nov-00;02:12:00;34.42;5.24;127.0577;2.909;27.8;0.01;1.715;22;NaN;NaN;NaN;NaN;NaN;0.516;NaN
18HU00062_561;31;47.08417;-59.9155;232917;201.12;29-nov-00;02:12:00;33.57;3.22;171.36042;4.025;20.035;0.01;1.54;18.21;NaN;NaN;NaN;NaN;NaN;0.541;NaN
18HU00062_561;31;47.08417;-59.9155;232918;149.89;29-nov-00;02:12:00;33.19;2.41;205.07872;5.065;15.63;0.015;1.36;15.285;NaN;NaN;NaN;NaN;NaN;0.577;NaN
18HU00062_561;31;47.08417;-59.9155;232919;104.2;29-nov-00;02:12:00;32.69;1.47;242.45914;5.7475;12.935;0.01;1.24;13.025;NaN;NaN;NaN;0.03;0.08;0.569;NaN
