CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU03075_002;STN27;47.5467;-52.5867;257378;174;19-nov-03;01:03:00;33.04;6.92693909538737;-1.16;13.65;1.36;10.69;NaN
18HU03075_002;STN27;47.5467;-52.5867;257379;152;19-nov-03;01:03:00;32.77;7.15593596059113;-1.02;10.68;1.24;8.44;NaN
18HU03075_002;STN27;47.5467;-52.5867;257380;101;19-nov-03;01:03:00;32.38;7.35793327362293;0.88;5.93;0.89;4.68;0.1
18HU03075_002;STN27;47.5467;-52.5867;257381;77;19-nov-03;01:03:00;32.04;7.22993506493506;3.17;4.29;0.71;2.82;0.33
18HU03075_002;STN27;47.5467;-52.5867;257382;51;19-nov-03;01:03:00;31.69;7.01593596059113;4.77;3.16;0.57;1.79;0.29
18HU03075_002;STN27;47.5467;-52.5867;257383;40;19-nov-03;01:03:00;31.68;7.01893640841917;4.79;3.42;0.59;2.07;0.38
18HU03075_002;STN27;47.5467;-52.5867;257384;30;19-nov-03;01:03:00;31.64;7.01593596059113;4.92;3.27;0.58;1.7;0.46
18HU03075_002;STN27;47.5467;-52.5867;257385;20;19-nov-03;01:03:00;31.58;6.93493730407523;5.43;2.66;0.5;1.12;0.43
18HU03075_002;STN27;47.5467;-52.5867;257386;9;19-nov-03;01:03:00;31.58;6.9169368562472;5.5;2.77;0.53;1.23;0.44
18HU03075_002;STN27;47.5467;-52.5867;257387;5;19-nov-03;01:03:00;31.58;6.91493730407524;5.51;2.85;0.54;1.47;0.42
18HU03075_003;SEGB-09;44.725;-51.395;257422;69;19-nov-03;23:24:00;32.71;6.84193909538737;1.49;9.43;1.06;4.19;0.34
18HU03075_003;SEGB-09;44.725;-51.395;257423;50;19-nov-03;23:24:00;32.42;6.48894088669951;8.15;3;0.44;1.12;0.61
18HU03075_003;SEGB-09;44.725;-51.395;257424;40;19-nov-03;23:24:00;32.42;6.49094267801164;8.29;1.63;0.31;0.57;0.8
18HU03075_003;SEGB-09;44.725;-51.395;257425;30;19-nov-03;23:24:00;32.43;6.48494178235558;8.42;2.04;0.65;0.77;0.81
18HU03075_003;SEGB-09;44.725;-51.395;257426;20;19-nov-03;23:24:00;32.43;6.47294223018361;8.56;2.25;0.31;0.76;1.04
18HU03075_003;SEGB-09;44.725;-51.395;257427;10;19-nov-03;23:24:00;32.42;6.43194133452754;8.71;2.33;0.36;0.84;0.98
18HU03075_003;SEGB-09;44.725;-51.395;257428;5;19-nov-03;23:24:00;32.41;6.42794223018361;8.75;1.99;0.55;0.64;1.02
18HU03075_005;S27-10;47.99;-50.48;257984;134;05-dec-03;17:14:00;33.21;6.83493954321541;-0.83;NaN;NaN;NaN;NaN
18HU03075_006;S27-09;47.94;-50.72;257985;99;05-dec-03;18:31:00;33.2;6.8559381997313;-0.81;11.49;0.91;10.52;0.05
18HU03075_006;S27-09;47.94;-50.72;257986;74;05-dec-03;18:31:00;32.79;7.1519368562472;1.04;7.1;0.91;6.73;0.12
18HU03075_006;S27-09;47.94;-50.72;257987;51;05-dec-03;18:31:00;32.54;7.42593372145096;1.89;5.47;0.62;4.75;0.73
18HU03075_006;S27-09;47.94;-50.72;257988;41;05-dec-03;18:31:00;32.54;7.438934169279;1.9;5.16;0.6;4.23;0.71
18HU03075_006;S27-09;47.94;-50.72;257989;30;05-dec-03;18:31:00;32.53;7.44593372145096;1.92;5.36;0.6;4.56;0.63
18HU03075_006;S27-09;47.94;-50.72;257990;21;05-dec-03;18:31:00;32.53;7.4499328257949;1.93;5.34;0.8;4.57;0.62
18HU03075_006;S27-09;47.94;-50.72;257991;10;05-dec-03;18:31:00;32.53;7.44293327362293;1.92;4.57;0.57;3.63;0.6
18HU03075_006;S27-09;47.94;-50.72;257992;6;05-dec-03;18:31:00;32.53;7.4449328257949;1.92;4.67;0.58;3.86;0.62
18HU03075_007;S27-08;47.89;-50.95;257993;123;05-dec-03;20:15:00;33.19;6.8359381997313;-0.94;NaN;NaN;NaN;NaN
18HU03075_008;S27-07;47.84;-51.19;257994;174;05-dec-03;21:31:00;33.34;6.71493954321541;-0.75;12.63;1;11.36;NaN
18HU03075_008;S27-07;47.84;-51.19;257995;151;05-dec-03;21:31:00;33.34;6.71893864755934;-0.76;13.22;0.93;11.31;NaN
18HU03075_008;S27-07;47.84;-51.19;257996;100;05-dec-03;21:31:00;33.07;6.98093596059113;-0.84;9.59;0.86;9.75;0.05
18HU03075_008;S27-07;47.84;-51.19;257997;75;05-dec-03;21:31:00;32.89;7.06793775190327;-0.75;8.93;0.82;8.94;0.04
18HU03075_008;S27-07;47.84;-51.19;257998;49;05-dec-03;21:31:00;32.71;7.24493506493507;0.66;6.71;0.73;6.74;0.19
18HU03075_008;S27-07;47.84;-51.19;257999;39;05-dec-03;21:31:00;32.53;7.3749328257949;1.54;5.41;0.63;4.95;0.47
18HU03075_008;S27-07;47.84;-51.19;258000;30;05-dec-03;21:31:00;32.45;7.43693237796686;1.78;5.17;0.58;4.64;0.84
18HU03075_008;S27-07;47.84;-51.19;258001;20;05-dec-03;21:31:00;32.41;7.48793327362293;1.86;4.85;0.55;4.22;0.96
18HU03075_008;S27-07;47.84;-51.19;258002;10;05-dec-03;21:31:00;32.41;7.4899328257949;1.85;4.94;0.59;4.25;1.13
18HU03075_008;S27-07;47.84;-51.19;258003;5;05-dec-03;21:31:00;32.41;7.49993282579489;1.85;5.08;0.62;4.35;0.93
18HU03075_009;S27-06;47.79;-51.42;258004;138;05-dec-03;23:25:00;33.32;6.66894088669951;-0.85;NaN;NaN;NaN;NaN
18HU03075_010;S27-05;47.74;-51.65;258005;149;06-dec-03;00:38:00;33.23;6.79993954321541;-0.96;11.84;0.95;10.75;NaN
18HU03075_010;S27-05;47.74;-51.65;258006;99;06-dec-03;00:38:00;32.91;7.04593596059113;-0.71;9.08;0.82;8.73;0.04
18HU03075_010;S27-05;47.74;-51.65;258007;73;06-dec-03;00:38:00;32.81;7.10093596059113;-0.84;8.76;0.81;8.23;0.05
18HU03075_010;S27-05;47.74;-51.65;258008;49;06-dec-03;00:38:00;32.68;7.283934169279;1.07;6.17;0.63;5.55;0.12
18HU03075_010;S27-05;47.74;-51.65;258009;40;06-dec-03;00:38:00;32.49;7.31093372145096;1.32;5.65;0.63;4.77;0.26
18HU03075_010;S27-05;47.74;-51.65;258010;31;06-dec-03;00:38:00;32.38;7.3699328257949;1.83;4.86;0.61;4.35;0.54
18HU03075_010;S27-05;47.74;-51.65;258011;20;06-dec-03;00:38:00;32.25;7.40093372145096;2.19;3.67;0.49;3.1;0.74
18HU03075_010;S27-05;47.74;-51.65;258012;10;06-dec-03;00:38:00;32.23;7.41693237796686;2.26;4.64;0.65;3.61;0.84
18HU03075_010;S27-05;47.74;-51.65;258013;5;06-dec-03;00:38:00;32.23;7.413934169279;2.26;4.14;0.57;3.62;0.72
18HU03075_011;S27-04;47.68;-51.88;258014;179;06-dec-03;02:26:00;33.3;6.68094043887147;-0.88;NaN;NaN;NaN;NaN
18HU03075_012;S27-03;47.63;-52.12;258015;164;06-dec-03;03:36:00;33.32;6.58894088669951;-0.83;15.07;0.88;11.65;NaN
18HU03075_012;S27-03;47.63;-52.12;258016;150;06-dec-03;03:36:00;33.23;6.77793999104344;-0.8;11.08;0.93;10.55;NaN
