CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU05656_002;STN27;47.5457;-52.5858;260498;169;28-nov-05;21:38:00;169.91;33.36;6.39050604567846;-0.38;17.56;0.94;13.14;0.07
18HU05656_002;STN27;47.5457;-52.5858;260499;152;28-nov-05;21:38:00;153.06;32.99;6.95029108822212;-0.74;9.95;0.68;9.49;0.04
18HU05656_002;STN27;47.5457;-52.5858;260500;99;28-nov-05;21:38:00;99.94;32.58;7.33990147783251;0.3;6.47;0.55;6.24;0.09
18HU05656_002;STN27;47.5457;-52.5858;260501;75;28-nov-05;21:38:00;75.64;32.52;7.31079265562024;2.81;4.1;0.45;2.44;0.23
18HU05656_002;STN27;47.5457;-52.5858;260502;50;28-nov-05;21:38:00;50.46;32.17;7.2794446932378;3.24;3.51;0.29;2.59;0.28
18HU05656_002;STN27;47.5457;-52.5858;260503;40;28-nov-05;21:38:00;40.02;31.83;7.2704881325571;4.13;3.51;0.32;1.89;1.04
18HU05656_002;STN27;47.5457;-52.5858;260504;30;28-nov-05;21:38:00;30.16;31.64;7.10031347962383;5.07;3.33;0.33;1.35;0.89
18HU05656_002;STN27;47.5457;-52.5858;260505;20;28-nov-05;21:38:00;20.09;31.61;7.08911777877295;5.23;3.44;0.32;1.55;0.95
18HU05656_002;STN27;47.5457;-52.5858;260506;10;28-nov-05;21:38:00;10.15;31.59;7.06000895656068;5.47;3.04;0.28;1.65;0.86
18HU05656_002;STN27;47.5457;-52.5858;260507;6;28-nov-05;21:38:00;5.59;31.59;7.05105239587998;5.46;3.14;0.3;1.01;0.86
18HU05656_003;SEGB-09;44.725;-51.395;260542;69;29-nov-05;18:30:00;69.53;32.74;6.20017913121361;2.69;9.47;0.52;5.18;0.19
18HU05656_003;SEGB-09;44.725;-51.395;260543;50;29-nov-05;18:30:00;49.97;32.61;5.9807433945365;5.47;5.64;0.3;1.82;0.25
18HU05656_003;SEGB-09;44.725;-51.395;260544;40;29-nov-05;18:30:00;39.88;32.22;6.33004926108374;9.48;2.04;0.19;0.11;0.52
18HU05656_003;SEGB-09;44.725;-51.395;260545;29;29-nov-05;18:30:00;29.57;32.21;6.35020152261532;9.48;2.39;0.29;0.72;0.57
18HU05656_003;SEGB-09;44.725;-51.395;260546;20;29-nov-05;18:30:00;19.99;32.21;6.33900582176444;9.48;2.1;0.24;0.16;0.55
18HU05656_003;SEGB-09;44.725;-51.395;260547;10;29-nov-05;18:30:00;9.85;32.21;6.33900582176444;9.48;2.43;0.26;0.5;0.58
18HU05656_003;SEGB-09;44.725;-51.395;260548;5;29-nov-05;18:30:00;4.9;32.21;6.35020152261532;9.48;2.38;0.27;0.61;0.56
18HU05656_014;SEGB-10;44.3633;-51.1033;260549;68;29-nov-05;21:14:00;68.23;32.73;6.11061352440663;3.17;NaN;NaN;NaN;NaN
18HU05656_025;SEGB-11;44;-50.8083;260550;68;29-nov-05;23:46:00;68.3;32.81;5.96954769368563;3.03;11.73;0.98;7.4;0.3
18HU05656_025;SEGB-11;44;-50.8083;260551;51;29-nov-05;23:46:00;51.18;32.79;5.94939543215405;3.25;10.67;0.77;4.86;0.17
18HU05656_025;SEGB-11;44;-50.8083;260552;40;29-nov-05;23:46:00;40.37;32.79;5.81952530228392;3.74;10.51;0.75;4.16;0.16
18HU05656_025;SEGB-11;44;-50.8083;260553;30;29-nov-05;23:46:00;29.91;32.24;6.69950738916256;7.59;1.38;0.25;0.39;0.56
18HU05656_025;SEGB-11;44;-50.8083;260554;19;29-nov-05;23:46:00;19.59;32.24;6.69950738916256;7.61;1.98;0.29;0.37;0.57
18HU05656_025;SEGB-11;44;-50.8083;260555;10;29-nov-05;23:46:00;10.47;32.24;6.69950738916256;7.61;1.46;0.23;0.24;0.6
18HU05656_025;SEGB-11;44;-50.8083;260556;6;29-nov-05;23:46:00;5.62;32.24;6.71070309001344;7.61;1.91;0.27;0.24;0.6
18HU05656_036;SEGB-12;43.6333;-50.5167;260557;60;30-nov-05;02:49:00;60.62;33.02;6.48902821316614;1.24;11.93;0.84;6.81;0.63
18HU05656_036;SEGB-12;43.6333;-50.5167;260558;50;30-nov-05;02:49:00;50.89;33.01;6.50022391401702;1.28;10.98;0.7;7.14;0.35
18HU05656_036;SEGB-12;43.6333;-50.5167;260559;39;30-nov-05;02:49:00;39.13;32.62;6.75100761307658;5.47;1.56;0.35;0.24;0.21
18HU05656_036;SEGB-12;43.6333;-50.5167;260560;30;30-nov-05;02:49:00;29.74;32.49;6.90998656515898;6.34;1.34;0.27;0.24;0.64
18HU05656_036;SEGB-12;43.6333;-50.5167;260561;19;30-nov-05;02:49:00;19.25;32.48;6.90103000447828;6.35;1.38;0.29;0.24;0.61
18HU05656_036;SEGB-12;43.6333;-50.5167;260562;10;30-nov-05;02:49:00;10.51;32.48;6.90103000447828;6.35;2.57;0.48;0.44;0.57
18HU05656_036;SEGB-12;43.6333;-50.5167;260563;6;30-nov-05;02:49:00;5.76;32.48;6.90103000447828;6.35;1.72;0.35;0.24;0.6
18HU05656_047;SEGB-13;43.2;-50.1667;260564;59;30-nov-05;05:40:00;59.5;33.04;6.50022391401702;2.11;8.56;0.74;7.48;2.04
18HU05656_047;SEGB-13;43.2;-50.1667;260565;49;30-nov-05;05:40:00;49.69;33.04;6.50918047469772;2.14;7.58;0.59;5.46;1.12
18HU05656_047;SEGB-13;43.2;-50.1667;260566;39;30-nov-05;05:40:00;39.15;32.9;6.86072548141514;3.43;1.21;0.43;2.65;1.73
18HU05656_047;SEGB-13;43.2;-50.1667;260567;30;30-nov-05;05:40:00;29.74;32.76;7.2704881325571;4.56;1.52;0.4;0.41;1.2
18HU05656_047;SEGB-13;43.2;-50.1667;260568;19;30-nov-05;05:40:00;19.42;32.74;7.31079265562024;4.73;0.93;0.27;0.24;1.16
18HU05656_047;SEGB-13;43.2;-50.1667;260569;9;30-nov-05;05:40:00;8.93;32.74;7.31079265562024;4.73;0.91;0.32;0.16;1.09
18HU05656_047;SEGB-13;43.2;-50.1667;260570;4;30-nov-05;05:40:00;4.35;32.74;7.31079265562024;4.72;1.27;0.38;0.16;1.16
18HU05656_058;SEGB-14;42.92;-49.9417;260571;165;30-nov-05;08:15:00;166.11;34.01;6.48007165248545;1.72;NaN;NaN;NaN;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260572;397;30-nov-05;09:04:00;399.79;34.79;6.35020152261532;3.81;9.66;0.94;15.74;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260573;150;30-nov-05;09:04:00;150.65;33.85;6.67935512763099;1.46;8.44;0.68;10.89;NaN
18HU05656_069;SEGB-15;42.85;-49.8867;260574;100;30-nov-05;09:04:00;100.51;33.87;6.82042095835199;4.24;4.03;0.45;5.61;0.29
18HU05656_069;SEGB-15;42.85;-49.8867;260575;75;30-nov-05;09:04:00;75.88;33.63;7.06000895656068;3.6;3.14;0.35;3.83;0.54
18HU05656_069;SEGB-15;42.85;-49.8867;260576;51;30-nov-05;09:04:00;50.93;33.27;7.21003134796238;2.3;5.03;0.52;5.21;0.54
