CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU06060_876;551;47.83;-64.24817;290679;33.71;06-nov-06;05:25:00;30.12;6.54;297.83754;6.53;0.17;0.685;4.525;6.595;0.32;0.856
18HU06060_876;551;47.83;-64.24817;290680;25.38;06-nov-06;05:25:00;29.68;6.29;304.31324;6.85;0.185;0.73;5.59;7.29;0.39;1.119
18HU06060_876;551;47.83;-64.24817;290681;14.48;06-nov-06;05:25:00;29.41;6.85;305.38508;6.823;0.16;0.62;4.05;6.53;0.805;1.822
18HU06060_876;551;47.83;-64.24817;290682;5.16;06-nov-06;05:25:00;29.35;6.92;306.05498;6.827;0.145;0.565;3.295;5.96;0.915;1.947
18HU06060_876;551;47.83;-64.24817;290683;2.38;06-nov-06;05:25:00;29.34;6.92;305.87634;6.839;0.145;0.57;3.31;5.67;1.02;1.982
18HU06060_877;561;47.74017;-64.00117;290684;72.67;06-nov-06;06:47:00;31.99;1.53;234.6883;5.057;0.12;1.465;14;26.59;0.19;0.448
18HU06060_877;561;47.74017;-64.00117;290685;49.77;06-nov-06;06:47:00;30.45;4.81;304.26858;6.372;0.19;0.965;8.425;11.14;0.225;0.769
18HU06060_877;561;47.74017;-64.00117;290686;25.19;06-nov-06;06:47:00;29.6;6.55;305.42974;6.83;0.15;0.61;3.91;5.73;0.59;1.483
18HU06060_877;561;47.74017;-64.00117;290687;15.17;06-nov-06;06:47:00;29.54;6.68;305.38508;6.834;0.145;0.58;3.575;5.84;0.695;1.714
18HU06060_877;561;47.74017;-64.00117;290688;5.16;06-nov-06;06:47:00;29.54;6.68;305.60838;6.831;0.14;0.575;3.54;5.595;0.67;1.718
18HU06060_877;561;47.74017;-64.00117;290689;1.88;06-nov-06;06:47:00;29.54;6.68;305.34042;6.845;0.14;0.56;3.455;6.46;0.65;1.712
18HU06060_878;571;47.6595;-63.75117;290690;57.01;06-nov-06;08:10:00;31.5;2.98;281.98324;6.275;0.17;1.01;9.935;10.285;0.14;0.434
18HU06060_878;571;47.6595;-63.75117;290691;49.77;06-nov-06;08:10:00;31.09;3.54;291.27252;6.447;0.185;0.955;9.365;10.01;0.155;0.53
18HU06060_878;571;47.6595;-63.75117;290692;25.09;06-nov-06;08:10:00;29.91;4.56;319.36366;7.171;0.17;0.785;7.5;8.75;0.705;1.957
18HU06060_878;571;47.6595;-63.75117;290693;15.07;06-nov-06;08:10:00;29.77;5.25;313.87048;7.099;0.17;0.695;6.3;8.185;0.96;1.983
18HU06060_878;571;47.6595;-63.75117;290694;5.16;06-nov-06;08:10:00;29.67;5.72;310.52098;6.97;0.19;0.63;5.54;7.715;0.735;1.765
18HU06060_878;571;47.6595;-63.75117;290695;2.28;06-nov-06;08:10:00;29.67;5.72;310.69962;6.962;0.155;0.71;5.595;7.135;0.72;1.769
18HU06060_879;581;47.499;-63.25033;290696;66.83;06-nov-06;10:20:00;32.15;0.86;230.75822;5.239;0.045;1.48;14.75;25.61;0.085;0.339
18HU06060_879;581;47.499;-63.25033;290697;50.17;06-nov-06;10:20:00;32.11;0.89;262.95808;5.414;0.03;1.435;14.125;23.655;0.08;0.319
18HU06060_879;581;47.499;-63.25033;290698;24.99;06-nov-06;10:20:00;30.1;6.43;308.51128;6.921;0.14;0.59;3.595;4.185;0.975;2.289
18HU06060_879;581;47.499;-63.25033;290699;15.57;06-nov-06;10:20:00;30.03;6.3;309.31516;6.934;0.145;0.6;3.76;4.245;1.115;2.561
18HU06060_879;581;47.499;-63.25033;290700;5.45;06-nov-06;10:20:00;30.03;6.28;309.31516;6.933;0.145;0.6;3.69;4.25;1.165;2.555
18HU06060_879;581;47.499;-63.25033;290701;1.59;06-nov-06;10:20:00;30.03;6.27;309.4938;6.9345;0.145;0.6;3.685;4.245;1.085;2.567
18HU06060_880;591;47.32967;-62.75017;290702;45.12;06-nov-06;12:46:00;32.07;0.76;225.17572;4.9775;0.045;1.54;15.34;28.635;0.09;0.343
18HU06060_880;591;47.32967;-62.75017;290703;25.29;06-nov-06;12:46:00;30.76;6.33;307.08216;6.864;0.105;0.515;2.375;3.66;0.745;1.607
18HU06060_880;591;47.32967;-62.75017;290704;14.48;06-nov-06;12:46:00;30.67;6.33;308.86856;6.924;0.11;0.495;2.29;3.375;1.04;2.483
