CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;NO2_01;PO4_01;NOx_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU10070_1114;101;47.27317;-59.7865;344742;457.25;09-nov-10;09:56:00;34.86;5.31;167.51966;7.948;3.7255;0.015;1.555;22.04;30.575;NaN;NaN;NaN;NaN;0.028
18HU10070_1114;101;47.27317;-59.7865;344743;400.84;09-nov-10;09:56:00;34.85;5.39;169.08276;7.957;3.751;0.02;1.54;22;28.01;NaN;NaN;NaN;NaN;0.021
18HU10070_1114;101;47.27317;-59.7865;344744;298.87;09-nov-10;09:56:00;34.7;5.87;155.01486;7.937;3.429;0.02;1.52;22.395;23.685;NaN;NaN;NaN;NaN;0.024
18HU10070_1114;101;47.27317;-59.7865;344745;198.64;09-nov-10;09:56:00;34.08;5.06;185.24968;7.954;4.141;0.01;1.35;18.18;17.71;NaN;NaN;NaN;NaN;0.031
18HU10070_1114;101;47.27317;-59.7865;344746;98.85;09-nov-10;09:56:00;32.61;1.22;310.1637;8.095;6.934;0.025;0.85;7.845;5.98;NaN;NaN;NaN;0.035;0.037
18HU10070_1114;101;47.27317;-59.7865;344747;48.98;09-nov-10;09:56:00;30.81;6.3;290.87058;8.131;6.44;0.12;0.61;3.855;6.14;NaN;NaN;NaN;0.215;0.102
18HU10070_1114;101;47.27317;-59.7865;344748;24.69;09-nov-10;09:56:00;30;8.49;300.02588;8.172;6.63;0.1;0.44;1.5;3.72;NaN;NaN;NaN;0.535;0.195
18HU10070_1114;101;47.27317;-59.7865;344749;14.28;09-nov-10;09:56:00;29.9;8.69;302.52684;8.171;6.632;0.085;0.43;1.32;3.56;NaN;NaN;NaN;0.765;0.228
18HU10070_1114;101;47.27317;-59.7865;344750;4.36;09-nov-10;09:56:00;29.9;8.69;302.08024;8.171;6.656;0.105;0.42;1.415;3.675;NaN;NaN;NaN;0.78;0.223
18HU10070_1114;101;47.27317;-59.7865;344751;2.98;09-nov-10;09:56:00;29.9;8.69;302.43752;8.171;6.646;0.105;0.435;1.41;4.465;NaN;NaN;NaN;0.75;0.225
18HU10070_1115;11;44.40033;-63.44983;344651;65.46;06-nov-10;21:12:00;31.03;8.51;278.05316;NaN;6.064;NaN;NaN;NaN;5.405;0.2;3.78;0.625;NaN;0.132
18HU10070_1115;11;44.40033;-63.44983;344652;59.81;06-nov-10;21:12:00;31.01;8.59;278.58908;NaN;6.017;NaN;NaN;NaN;4.87;0.2;3.685;0.62;0.33;0.14
18HU10070_1115;11;44.40033;-63.44983;344653;50.38;06-nov-10;21:12:00;30.99;8.68;278.58908;NaN;6.109;NaN;NaN;NaN;4.61;0.195;3.555;0.615;0.39;0.146
18HU10070_1115;11;44.40033;-63.44983;344654;39.18;06-nov-10;21:12:00;30.91;9.05;281.31334;NaN;6.188;NaN;NaN;NaN;4.095;0.195;2.97;0.58;0.465;0.173
18HU10070_1115;11;44.40033;-63.44983;344655;28.66;06-nov-10;21:12:00;30.36;10;290.15602;NaN;NaN;NaN;NaN;NaN;3.025;0.14;1.335;0.44;1.17;0.361
18HU10070_1115;11;44.40033;-63.44983;344656;20.33;06-nov-10;21:12:00;30.35;10.04;292.12106;NaN;6.384;NaN;NaN;NaN;2.975;0.13;1.335;0.42;1.235;0.39
18HU10070_1115;11;44.40033;-63.44983;344657;9.42;06-nov-10;21:12:00;30.17;10.03;293.8628;NaN;6.417;NaN;NaN;NaN;2.97;0.12;1.2;0.42;1.1;0.359
18HU10070_1115;11;44.40033;-63.44983;344658;4.96;06-nov-10;21:12:00;30.18;10.02;293.23756;NaN;6.419;NaN;NaN;NaN;3.09;0.115;1.22;0.415;1.025;0.319
18HU10070_1116;111;47.1025;-59.99583;344752;321.55;09-nov-10;14:00:00;34.72;5.76;151.71002;7.947;3.3565;0.035;1.56;22.495;25.36;NaN;NaN;NaN;NaN;0.026
18HU10070_1116;111;47.1025;-59.99583;344753;299.87;09-nov-10;14:00:00;34.67;5.67;145.3683;7.924;3.193;0.035;1.57;22.655;25.49;NaN;NaN;NaN;NaN;0.025
18HU10070_1116;111;47.1025;-59.99583;344754;200.62;09-nov-10;14:00:00;34.38;5.92;171.4944;7.98;3.806;0.035;1.385;19.64;18.425;NaN;NaN;NaN;NaN;0.028
18HU10070_1116;111;47.1025;-59.99583;344755;101.33;09-nov-10;14:00:00;32.45;1.82;308.77924;8.107;6.946;0.045;0.8;6.925;5.595;NaN;NaN;NaN;0.06;0.044
18HU10070_1116;111;47.1025;-59.99583;344756;50.87;09-nov-10;14:00:00;30.26;7.84;293.72882;8.179;6.506;0.125;0.48;1.945;3.815;NaN;NaN;NaN;0.25;0.106
18HU10070_1116;111;47.1025;-59.99583;344757;25.29;09-nov-10;14:00:00;29.86;8.67;300.74044;8.195;6.664;0.1;0.42;1.235;3.095;NaN;NaN;NaN;0.53;0.196
