CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU13008_058;STN27;47.54669;-52.59989;392011;163.12;09-may-13;11:38:00;32.8482;-0.2352;7.3623;NaN;NaN;NaN;NaN;NaN;NaN;7.4325;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392012;163.69;09-may-13;11:38:00;32.8489;-0.2375;7.3586;NaN;NaN;NaN;NaN;NaN;NaN;7.408;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392013;163.8;09-may-13;11:38:00;32.8491;-0.238;7.3703;NaN;NaN;NaN;NaN;NaN;NaN;7.411;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392014;163.98;09-may-13;11:38:00;32.849;-0.2373;7.3546;NaN;NaN;NaN;NaN;NaN;NaN;7.416;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392015;164.01;09-may-13;11:38:00;32.8491;-0.2374;7.36;NaN;NaN;NaN;NaN;NaN;NaN;7.413;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392016;163.85;09-may-13;11:38:00;32.8492;-0.2377;7.358;NaN;NaN;NaN;NaN;NaN;NaN;7.428;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392017;163.76;09-may-13;11:38:00;32.8493;-0.2377;7.3552;NaN;NaN;NaN;NaN;NaN;NaN;7.425;NaN;NaN;NaN;NaN
18HU13008_058;STN27;47.54669;-52.59989;392018;164.3;09-may-13;11:38:00;32.8492;-0.2376;7.3553;NaN;NaN;NaN;NaN;NaN;NaN;7.4215;NaN;NaN;NaN;NaN
