CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU15041_1474;101;46.91783;-61.497;417299;49.18;20-oct-15;09:47:00;31.19;0.61;276.98132;7.891;6.264;12.2;0.455;7.665;1.24;0.115;0.045
18HU15041_1474;101;46.91783;-61.497;417300;25.39;20-oct-15;09:47:00;29.96;10.11;285.95798;8.207;NaN;2.025;0.04;0.385;0.305;1.86;0.197
18HU15041_1474;101;46.91783;-61.497;417301;16.26;20-oct-15;09:47:00;29.95;10.19;286.76186;8.216;NaN;1.875;0.03;0.26;0.285;2.54;0.214
18HU15041_1474;101;46.91783;-61.497;417302;5.85;20-oct-15;09:47:00;29.95;10.18;287.20846;8.216;6.5415;1.895;0.03;0.255;0.29;2.75;0.21
18HU15041_1474;101;46.91783;-61.497;417303;3.57;20-oct-15;09:47:00;29.95;10.16;287.47642;8.216;NaN;1.88;0.03;0.23;0.28;2.84;0.222
18HU15041_1475;11;47.93267;-65.249;417251;66.53;19-oct-15;06:41:00;31.6;1.99;218.96798;7.844;NaN;25.965;0.145;13.16;1.475;0.155;0.043
18HU15041_1475;11;47.93267;-65.249;417252;49.57;19-oct-15;06:41:00;30.42;5.7;233.75044;7.923;5.33;13.26;0.135;7.52;1.035;0.195;0.042
18HU15041_1475;11;47.93267;-65.249;417253;25.68;19-oct-15;06:41:00;29.81;9.2;283.54634;8.174;NaN;1.92;0.09;1.195;0.53;0.405;0.063
18HU15041_1475;11;47.93267;-65.249;417254;15.67;19-oct-15;06:41:00;28.93;10.58;277.1153;8.182;NaN;3.695;0.08;1.08;0.4;1.075;0.135
18HU15041_1475;11;47.93267;-65.249;417255;5.75;19-oct-15;06:41:00;28.91;10.6;277.02598;8.182;6.323;3.68;0.08;1.09;0.39;1.58;0.139
18HU15041_1475;11;47.93267;-65.249;417256;3.27;19-oct-15;06:41:00;28.89;10.63;277.20462;8.186;NaN;3.64;0.08;1.035;0.38;1.21;0.149
18HU15041_1476;111;46.83233;-61.24917;417304;51.66;20-oct-15;11:22:00;31.21;0.99;275.9988;7.909;6.2445;11.72;0.53;6.695;1.16;0.115;0.044
18HU15041_1476;111;46.83233;-61.24917;417305;25.29;20-oct-15;11:22:00;29.37;11.44;276.53472;8.214;NaN;2.42;0.05;0.345;0.3;2.17;0.173
18HU15041_1476;111;46.83233;-61.24917;417306;15.37;20-oct-15;11:22:00;29.32;11.53;277.96384;8.22;NaN;2.265;0.05;0.245;0.285;2.42;0.182
