CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02;NO2_01;NOx_01;PO4_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU16006_014;CSL_03;47.09996;-59.9959;433045;322.04;02-may-16;06:20:00;322.043;34.8107;6.0483;2.7316;7.802;NaN;30.38667;1.8;23.05667;34.822;0.06333;2.9;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10014;-59.9963;433046;200.7;02-may-16;06:22:00;200.702;34.2727;5.8888;3.7362;7.876;NaN;19.02667;1.45067;18.07333;34.299;0.06333;3.939;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10018;-59.99654;433047;150.38;02-may-16;06:24:00;150.38;33.2232;3.3815;5.714;7.961;NaN;10.67;1.07533;10.53333;33.257;0.13667;5.907;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10024;-59.99658;433048;100.47;02-may-16;06:29:00;100.477;32.1172;1.1537;7.3882;8.017;0.48367;2.11667;0.687;3.01667;32.126;0.11667;7.703;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10028;-59.99654;433049;80.22;02-may-16;06:30:00;80.22;32.0187;0.8603;7.5949;8.038;0.11569;2.19333;0.66767;2.56667;NaN;0.12;7.931;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10034;-59.99651;433050;60;02-may-16;06:31:00;60.007;31.7908;0.1136;7.9286;8.048;0.09743;1.56;0.666;2.06;NaN;0.1;8.279;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.1004;-59.99646;433051;50.13;02-may-16;06:32:00;50.135;31.6434;0.5851;7.9751;8.068;0.47419;0.95667;0.58567;1.51333;31.703;0.07667;8.327;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10046;-59.99642;433052;39.97;02-may-16;06:33:00;39.972;31.6259;0.6447;7.9651;8.073;0.49789;0.75;0.59367;1.39333;NaN;0.09;NaN;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10052;-59.99636;433053;29.67;02-may-16;06:34:00;29.671;31.6098;0.7988;8.0304;8.082;0.64489;0.49667;0.484;1.03;31.626;0.04667;NaN;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.1006;-59.99632;433054;20.4;02-may-16;06:34:00;20.401;31.5823;0.8274;8.0661;8.087;1.07793;0.36667;0.50333;1.02;NaN;0.05333;NaN;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10068;-59.99628;433055;9.66;02-may-16;06:35:00;9.666;31.5173;1.125;8.1933;8.11;2.11156;0.28333;0.59533;1.1;NaN;0.07333;8.483;NaN;NaN;NaN;NaN
18HU16006_014;CSL_03;47.10081;-59.99622;433056;1.93;02-may-16;06:36:00;1.936;31.5067;1.2264;8.1983;8.114;1.7867;0;0.47633;0.88667;31.519;0.06333;8.58;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27606;-59.78372;433057;462.77;02-may-16;09:05:00;462.771;34.8901;5.7666;3.1153;7.839;NaN;30.42;1.765;21.85;34.903;0.04667;3.291;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27658;-59.78334;433058;399.83;02-may-16;09:11:00;399.831;34.8775;5.8008;3.0476;7.833;NaN;31.21667;1.76167;22.45667;34.889;0.04333;3.22;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27693;-59.78315;433059;300.23;02-may-16;09:13:00;300.235;34.7958;6.8376;2.9936;7.86;NaN;22.67667;1.63033;22.32333;NaN;0.05;3.177;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27712;-59.7832;433060;199.99;02-may-16;09:15:00;199.996;34.1225;5.7563;4.2783;7.933;NaN;14.97;1.27233;15.48333;34.157;0.06667;4.472;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27735;-59.7832;433061;151.38;02-may-16;09:17:00;151.383;33.167;2.66;5.664;7.948;NaN;10.96;1.10467;10.92;NaN;0.06;5.911;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27752;-59.7831;433062;101.65;02-may-16;09:19:00;101.652;32.0305;0.4091;7.4357;8.035;0.06546;3.83;0.792;4.13667;32.058;0.13;7.752;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27776;-59.783;433063;81.55;02-may-16;09:21:00;81.552;31.8565;-0.0587;7.8687;8.051;0.04414;1.97;0.681;2.39333;NaN;0.11;8.263;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27788;-59.783;433064;61.93;02-may-16;09:21:00;61.93;31.8164;0.265;7.9192;8.064;0.07916;1.17;0.64333;1.62;NaN;0.09667;8.282;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27794;-59.78298;433065;51.42;02-may-16;09:22:00;51.425;31.7581;0.2633;7.9028;8.063;0.12787;1.37333;0.65133;1.9;31.794;0.10667;8.414;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.278;-59.78296;433066;41.34;02-may-16;09:23:00;41.345;31.5305;0.447;8.0278;8.078;0.94503;1;0.63567;1.36;NaN;0.09667;NaN;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27818;-59.78286;433067;31.25;02-may-16;09:24:00;31.251;31.4614;0.5647;8.0648;8.092;1.29942;0.61333;0.601;1.42333;NaN;0.09333;8.468;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27824;-59.78286;433068;21;02-may-16;09:25:00;21.009;31.4256;0.5224;8.1756;8.102;2.42165;0.31333;0.57333;1.24333;31.447;0.07667;NaN;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27832;-59.78284;433069;11.53;02-may-16;09:26:00;11.53;31.3928;0.914;8.2035;8.106;2.48071;0.23333;0.518;1.10333;NaN;0.06667;8.655;NaN;NaN;NaN;NaN
18HU16006_036;CSL_04;47.27843;-59.78276;433070;2.58;02-may-16;09:27:00;2.588;31.4016;1.1284;8.1934;8.105;2.02296;0.22;0.527;1.07333;31.411;0.06667;8.598;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43326;-59.55826;433071;468.84;02-may-16;12:37:00;468.844;34.9134;5.7594;3.2983;7.872;NaN;29.89333;1.77333;21.80667;34.924;0.02;3.506;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43326;-59.55836;433072;403.97;02-may-16;12:38:00;403.97;34.8622;5.9303;3.001;7.848;NaN;28.40333;1.757;22.52;34.875;0;3.197;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43322;-59.55836;433073;302.53;02-may-16;12:42:00;302.532;34.7983;7.1925;3.1041;7.901;NaN;19.86;1.56833;21.61;34.813;0;3.307;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43328;-59.55832;433074;201.35;02-may-16;12:44:00;201.354;33.9466;5.0125;4.2347;7.923;NaN;15.83667;1.33633;15.74667;33.977;0.02667;4.57;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43324;-59.55828;433075;151.38;02-may-16;12:45:00;151.387;33.4101;3.1776;5.069;7.933;NaN;13.46333;1.241;12.91333;33.456;0.02667;5.336;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43326;-59.55835;433076;100.02;02-may-16;12:46:00;100.028;32.4529;1.5791;6.6105;8.004;0.04719;7.41333;0.93067;7.48;32.512;0.13333;6.889;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.4333;-59.55842;433077;80.34;02-may-16;12:47:00;80.348;32.1692;1.2331;7.1834;8.053;0.06698;4.60333;0.78933;4.62333;NaN;0.12;7.433;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.4333;-59.55838;433078;60.56;02-may-16;12:48:00;60.563;31.9107;0.617;7.5694;8.074;0.14766;2.70667;0.70967;2.76;NaN;0.09333;7.885;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43328;-59.55834;433079;50.62;02-may-16;12:48:00;50.623;31.8416;0.3803;7.7045;8.071;0.15527;2.26;0.70267;2.41;31.798;0.07667;NaN;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43324;-59.55832;433080;40.25;02-may-16;12:49:00;40.259;31.5182;0.4598;7.9575;8.1;1.25512;1.60667;0.64467;1.81;NaN;0.06333;8.329;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.4332;-59.55832;433081;30.6;02-may-16;12:49:00;30.608;31.4303;0.5378;8.0675;8.113;1.19606;0.66333;0.60367;1.22333;NaN;0.06667;NaN;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43314;-59.55834;433082;20.18;02-may-16;12:50:00;20.18;31.4051;0.8883;8.165;8.122;1.68334;0.31;0.56833;1.04667;31.413;0.04667;8.589;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.43312;-59.5584;433083;10.3;02-may-16;12:50:00;10.302;31.3968;0.9322;8.182;8.124;1.62427;0.33667;0.542;1.05;NaN;0.05667;NaN;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.4331;-59.55842;433084;2.95;02-may-16;12:51:00;2.955;31.3966;0.9387;8.2082;8.125;1.41755;0.60667;0.571;1.04333;31.407;0.05;NaN;NaN;NaN;NaN;NaN
18HU16006_080;CSL_05;47.4331;-59.55842;433085;2.84;02-may-16;12:51:00;2.842;31.3964;0.9396;8.1987;8.125;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58284;-59.33804;433086;247.22;02-may-16;14:51:00;247.224;34.5384;6.7513;3.6646;7.923;NaN;17.10667;1.41567;17.96;34.545;0.03;3.871;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.583;-59.33774;433087;200.85;02-may-16;14:53:00;200.853;34.0476;5.3289;4.3614;7.94;NaN;12.99667;1.15867;13.15667;34.055;0.07333;4.575;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58309;-59.33758;433088;150.19;02-may-16;14:54:00;150.198;33.5595;3.7992;5.0092;7.945;NaN;9.91667;0.983;8.95;33.568;0.09;5.231;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58316;-59.33742;433089;99.98;02-may-16;14:55:00;99.98;33.0104;2.4888;5.837;7.969;0.05023;7.46;0.871;7.08667;33.074;0.08;6.076;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.5832;-59.33734;433090;80.84;02-may-16;14:56:00;80.842;32.8286;2.138;6.091;7.975;0.04719;9.74333;1.04967;9.47333;32.923;0.10667;6.336;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58316;-59.3373;433091;60.14;02-may-16;14:57:00;60.141;32.2179;1.1959;7.1513;8.037;0.11721;4.81;0.831;4.94333;NaN;0.12;7.424;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58314;-59.33726;433092;50.84;02-may-16;14:58:00;50.847;32.1383;1.1279;7.3864;8.057;0.16745;3.99;0.779;4.14667;32.187;0.12;7.587;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.5831;-59.33724;433093;40.21;02-may-16;14:59:00;40.21;31.9984;1.0661;7.4796;8.058;0.9598;2.59;0.638;2.7;NaN;0.08;7.82;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58304;-59.3372;433094;30.42;02-may-16;14:59:00;30.425;31.9118;0.9279;7.6352;8.067;0.81214;3.23;0.73167;3.38667;NaN;0.10667;7.874;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.583;-59.33714;433095;20.21;02-may-16;15:00:00;20.211;31.8117;0.8286;7.7874;8.082;1.56521;1.68;0.64567;2.26667;NaN;0.08;8.076;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58296;-59.33708;433096;10.53;02-may-16;15:01:00;10.53;31.7378;1.1626;7.9341;8.109;1.99343;1.46;0.62933;2.10667;31.764;0.08667;8.27;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58292;-59.337;433097;2.06;02-may-16;15:01:00;2.061;31.7344;1.2931;7.9772;8.113;1.72763;1.00667;0.579;1.68;31.746;0.08667;8.338;NaN;NaN;NaN;NaN
18HU16006_102;CSL_06;47.58292;-59.337;433098;2.07;02-may-16;15:02:00;2.076;31.7342;1.297;7.978;8.114;NaN;0.84333;0.56533;1.58333;NaN;0.08;NaN;NaN;NaN;NaN;NaN
18HU16006_127;STN27;47.54685;-52.59052;433099;170.55;03-may-16;21:14:00;170.555;32.9064;-1.0649;7.2807;7.987;0.59064;11.325;0.962;8.375;NaN;0.115;7.58;NaN;NaN;NaN;NaN
18HU16006_127;STN27;47.54706;-52.59087;433100;151.06;03-may-16;21:16:00;151.066;32.8797;-1.1303;7.3245;7.992;0.38883;10.955;0.952;8.235;32.888;0.115;7.601;NaN;NaN;NaN;NaN
18HU16006_127;STN27;47.54714;-52.59135;433101;101.57;03-may-16;21:18:00;101.579;32.7239;-1.4023;7.8204;8.023;0.7383;7.33;0.8355;7.02;32.733;0.075;8.074;NaN;NaN;NaN;NaN
18HU16006_127;STN27;47.5472;-52.59164;433102;76.11;03-may-16;21:19:00;76.115;32.6441;-1.2544;8.073;8.063;4.14722;4.165;0.712;4.635;32.65;0.07;8.39;NaN;NaN;NaN;NaN
18HU16006_127;STN27;47.54734;-52.59196;433103;51.94;03-may-16;21:20:00;51.949;32.5743;-0.6252;8.6192;8.137;11.11126;0.68;0.4575;0.95;32.585;0.025;8.894;NaN;NaN;NaN;NaN
