CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18HU18028_1683;101;46.83333;-61.25333;454752;56.02;24-oct-18;07:53:00;31.42;2.21;257.0183;7.899;5.7295;16.36;0.085;6.98;1.16;0.208;0.335
18HU18028_1683;101;46.83333;-61.25333;454753;25.68;24-oct-18;07:53:00;29.67;8.01;295.91716;8.174;NaN;3.675;0.155;1.405;0.435;1.453;2.435
18HU18028_1683;101;46.83333;-61.25333;454754;15.67;24-oct-18;07:53:00;29.59;8.05;296.45308;8.193;NaN;3.37;0.155;1.305;0.405;1.384;2.605
18HU18028_1683;101;46.83333;-61.25333;454755;5.65;24-oct-18;07:53:00;29.54;8.09;295.96182;8.202;6.762;3.12;0.16;1.21;0.38;1.286;2.615
18HU18028_1683;101;46.83333;-61.25333;454756;2.68;24-oct-18;07:53:00;29.54;8.09;296.45308;8.202;NaN;3.1;0.155;1.21;0.395;1.323;2.545
18HU18028_1684;11;47.83117;-64.25133;454710;35.2;23-oct-18;07:43:00;29.41;7.34;299.26666;8.156;6.8205;3.705;0.1;1.54;0.49;0.967;2.225
18HU18028_1684;11;47.83117;-64.25133;454711;26.08;23-oct-18;07:43:00;29.35;7.31;300.87442;8.161;NaN;3.675;0.1;1.545;0.49;1.077;2.465
18HU18028_1684;11;47.83117;-64.25133;454712;15.96;23-oct-18;07:43:00;29.35;7.31;301.09772;8.162;NaN;3.675;0.095;1.52;0.445;1.086;2.305
18HU18028_1684;11;47.83117;-64.25133;454713;6.05;23-oct-18;07:43:00;29.35;7.31;300.91908;8.167;6.833;3.645;0.1;1.515;0.455;1.074;2.37
18HU18028_1684;11;47.83117;-64.25133;454714;3.17;23-oct-18;07:43:00;29.35;7.3;301.32102;8.169;NaN;3.67;0.095;1.5;0.46;1.028;2.405
18HU18028_1685;111;46.74283;-60.9995;454757;53.65;24-oct-18;10:19:00;29.54;8.31;290.5133;8.177;6.6135;3.395;0.135;1.275;0.415;0.881;1.795
18HU18028_1685;111;46.74283;-60.9995;454758;25.68;24-oct-18;10:19:00;29.29;8.97;286.89584;8.193;NaN;2.87;0.11;0.99;0.39;0.588;1.335
18HU18028_1685;111;46.74283;-60.9995;454759;15.57;24-oct-18;10:19:00;29.19;9.42;286.22594;8.206;NaN;2.225;0.095;0.77;0.365;0.656;1.775
18HU18028_1685;111;46.74283;-60.9995;454760;5.75;24-oct-18;10:19:00;28.69;10.04;281.22402;8.213;6.4235;2.955;0.09;0.625;0.305;0.785;1.86
18HU18028_1685;111;46.74283;-60.9995;454761;1.88;24-oct-18;10:19:00;28.69;10.05;281.26868;8.214;NaN;2.96;0.085;0.63;0.3;0.745;1.9
18HU18028_1686;131;46.95833;-60.2175;454762;75.55;25-oct-18;17:42:00;31.74;4.45;268.54058;8.02;6.0495;9.805;0.115;6.345;0.885;0.243;0.36
18HU18028_1686;131;46.95833;-60.2175;454763;50.37;25-oct-18;17:42:00;30.83;8.91;286.9405;8.187;6.5315;1.005;0.08;0.51;0.305;0.302;0.6
18HU18028_1686;131;46.95833;-60.2175;454764;25.29;25-oct-18;17:42:00;30.14;8.64;288.59292;8.183;NaN;1.795;0.08;0.72;0.35;0.443;0.86
18HU18028_1686;131;46.95833;-60.2175;454765;15.67;25-oct-18;17:42:00;29.63;9.33;284.7075;8.191;NaN;2.295;0.085;0.89;0.33;0.629;1.145
18HU18028_1686;131;46.95833;-60.2175;454766;5.36;25-oct-18;17:42:00;29.51;9.38;288.2803;8.192;6.575;2.425;0.09;0.9;0.345;0.752;1.58
18HU18028_1686;131;46.95833;-60.2175;454767;1.59;25-oct-18;17:42:00;29.51;9.38;288.2803;8.187;NaN;2.42;0.095;0.895;0.325;0.699;1.56
18HU18028_1687;141;47.0165;-60.13383;454768;160.2;25-oct-18;19:21:00;34.18;5.57;163.4556;7.874;3.6825;21.985;0.04;19.5;1.555;0.081;NaN
18HU18028_1687;141;47.0165;-60.13383;454769;98.95;25-oct-18;19:21:00;32.38;1.95;288.90554;7.968;NaN;8.525;0.065;8.56;0.98;0.116;0.11
18HU18028_1687;141;47.0165;-60.13383;454770;49.88;25-oct-18;19:21:00;30.15;8.46;286.98516;8.141;6.518;2.435;0.09;1.01;0.385;0.498;0.89
18HU18028_1687;141;47.0165;-60.13383;454771;24.39;25-oct-18;19:21:00;29.46;9.11;285.69002;8.169;NaN;2.61;0.105;0.995;0.355;0.594;1.17
18HU18028_1687;141;47.0165;-60.13383;454772;15.47;25-oct-18;19:21:00;29.46;9.46;286.44924;8.184;NaN;2.275;0.08;0.84;0.315;0.747;1.53
18HU18028_1687;141;47.0165;-60.13383;454773;5.55;25-oct-18;19:21:00;29.46;9.46;286.44924;8.183;6.527;2.275;0.085;0.835;0.32;0.774;1.52
18HU18028_1687;141;47.0165;-60.13383;454774;2.68;25-oct-18;19:21:00;29.46;9.46;286.44924;8.182;NaN;2.24;0.09;0.835;0.325;0.678;1.595
18HU18028_1688;151;47.10567;-60.0025;454775;321.75;25-oct-18;21:02:00;34.83;6.63;126.34314;7.869;2.7825;29.92;0.03667;23.47333;1.78667;0.071;NaN
18HU18028_1688;151;47.10567;-60.0025;454776;301.25;25-oct-18;21:02:00;34.79;6.86;127.59362;7.879;NaN;26.735;0.025;23.34;1.725;0.058;NaN
18HU18028_1688;151;47.10567;-60.0025;454777;190.32;25-oct-18;21:02:00;33.81;4.47;190.0283;7.887;NaN;18.56;0.02;17.425;1.445;0.1;NaN
18HU18028_1688;151;47.10567;-60.0025;454778;103.21;25-oct-18;21:02:00;32.09;1.85;311.01224;8.004;NaN;5.425;0.055;6.34;0.855;0.143;0.135
18HU18028_1688;151;47.10567;-60.0025;454779;52.85;25-oct-18;21:02:00;31.05;5.81;290.0667;8.072;6.492;5.415;0.14;3.21;0.655;0.295;0.4
