CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18HU18030_003;BBL_01;43.24924;-65.47754;448619;53.36;16-sep-18;09:36:00;53.367;32.0697;5.7115;6.2344;7.841;0.1749;4.855;0.686;4.935;32.058;0.12;6.3715
18HU18030_003;BBL_01;43.24922;-65.47758;448620;53.13;16-sep-18;09:36:00;53.131;32.0608;5.7228;6.2318;7.841;0.18835;4.89;0.695;4.875;NaN;0.125;NaN
18HU18030_003;BBL_01;43.24904;-65.4777;448621;40.74;16-sep-18;09:38:00;40.745;31.971;6.0418;6.4018;7.855;0.31392;4.195;0.616;4.135;NaN;0.13;NaN
18HU18030_003;BBL_01;43.24904;-65.4777;448622;41.03;16-sep-18;09:39:00;41.03;31.9665;6.0562;6.4241;7.861;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_003;BBL_01;43.24902;-65.47768;448623;41.07;16-sep-18;09:39:00;41.077;31.9679;6.083;6.4106;7.865;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_003;BBL_01;43.249;-65.47762;448624;29.86;16-sep-18;09:40:00;29.867;31.8728;10.4044;6.7301;7.851;1.24709;2.035;0.3915;0.7;NaN;0.06;NaN
18HU18030_003;BBL_01;43.24902;-65.47764;448625;20.32;16-sep-18;09:42:00;20.327;31.5706;14.0221;6.4243;7.903;1.12584;1.085;0.237;0;NaN;0;NaN
18HU18030_003;BBL_01;43.24904;-65.4777;448626;10.62;16-sep-18;09:43:00;10.622;31.4643;16.1511;6.0865;7.971;0.54264;0.87;0.188;0;NaN;0;NaN
18HU18030_003;BBL_01;43.24904;-65.47779;448627;2.47;16-sep-18;09:44:00;2.471;31.2409;18.2164;5.6562;8.02;0.37223;0.78;0.148;0;31.235;0;5.814
18HU18030_003;BBL_01;43.24906;-65.47782;448628;2.65;16-sep-18;09:44:00;2.655;31.2417;18.2105;5.6711;8.034;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_003;BBL_01;43.24908;-65.47786;448629;2.65;16-sep-18;09:45:00;2.654;31.2419;18.2121;5.6366;8.045;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_007;HL_03;43.8833;-62.8836;449384;260.88;23-sep-18;07:14:00;260.88;35.2333;10.8371;2.4652;7.869;NaN;20.01;1.495;22.145;32.202;0;2.787
18HU18030_007;HL_03;43.88346;-62.88328;449385;200.42;23-sep-18;07:17:00;200.423;35.2842;11.5534;3.6739;7.989;NaN;10.985;1.0575;16.7;NaN;0;NaN
18HU18030_007;HL_03;43.88344;-62.88295;449386;100.48;23-sep-18;07:21:00;100.48;34.2098;9.0049;4.7168;7.989;0.03583;7.985;0.837;11.005;NaN;0;NaN
18HU18030_007;HL_03;43.88352;-62.88304;449387;80.59;23-sep-18;07:23:00;80.599;33.5584;7.3116;5.3753;7.975;0.05469;5.58;0.75;8.22;NaN;0;NaN
18HU18030_007;HL_03;43.88346;-62.88338;449388;60.02;23-sep-18;07:25:00;60.02;32.8127;5.2665;5.962;7.937;0.10184;5.41;0.736;6.53;NaN;0;NaN
18HU18030_007;HL_03;43.88346;-62.88339;449389;50.3;23-sep-18;07:27:00;50.304;32.7866;6.6107;6.2178;7.985;0.17728;3.275;0.5765;3.56;NaN;0.02;NaN
18HU18030_007;HL_03;43.88336;-62.8834;449390;40.45;23-sep-18;07:29:00;40.453;32.4533;8.0126;6.6938;8.043;0.72747;1.565;0.3795;0.36;NaN;0.17;NaN
18HU18030_007;HL_03;43.88334;-62.88338;449391;30.39;23-sep-18;07:30:00;30.396;32.1494;11.8168;7.5288;8.166;1.07388;0.495;0.1615;0.06;NaN;0;NaN
18HU18030_007;HL_03;43.88331;-62.88336;449392;20.54;23-sep-18;07:31:00;20.547;31.3252;18.7824;5.4239;8.175;0.37671;0.23;0.1085;0.045;NaN;0;NaN
18HU18030_007;HL_03;43.8833;-62.88332;449393;10.36;23-sep-18;07:33:00;10.369;31.314;18.9178;5.3782;8.211;0.32738;0.21;0.0995;0;NaN;0;NaN
18HU18030_007;HL_03;43.8832;-62.8833;449394;3.32;23-sep-18;07:34:00;3.328;31.3131;18.9448;5.3842;8.22;0.32738;0.2;0.1015;0;31.309;0;5.5565
18HU18030_010;HL_03.3;43.76342;-62.75286;449395;205.54;23-sep-18;10:09:00;205.54;35.2566;11.2817;3.2094;7.993;NaN;14.53;1.21;18.78;35.255;0.01;3.3495
18HU18030_010;HL_03.3;43.76356;-62.7527;449396;100.71;23-sep-18;10:14:00;100.712;34.3091;9.3002;4.5052;8.031;0.02452;8.275;0.877;11.62;NaN;0;NaN
18HU18030_010;HL_03.3;43.7636;-62.7526;449397;80.82;23-sep-18;10:15:00;80.822;33.6706;7.6722;5.2317;8.029;0.05657;6.095;0.7615;8.89;NaN;0;NaN
18HU18030_010;HL_03.3;43.76356;-62.75266;449398;60.42;23-sep-18;10:17:00;60.423;32.931;5.5324;5.9035;8.001;0.13013;5.12;0.729;6.705;NaN;0;NaN
18HU18030_010;HL_03.3;43.76354;-62.75272;449399;50.72;23-sep-18;10:19:00;50.728;32.6041;5.376;6.2531;8.005;0.4081;3.66;0.6185;4.02;NaN;0.05;NaN
18HU18030_010;HL_03.3;43.76358;-62.7527;449400;40.98;23-sep-18;10:20:00;40.982;32.5108;6.8099;6.7882;8.07;0.583;2.24;0.438;0.64;NaN;0.1;NaN
18HU18030_010;HL_03.3;43.7637;-62.75276;449401;30.89;23-sep-18;10:21:00;30.891;32.1407;9.8835;7.4448;8.171;0.84871;0.62;0.2085;0;NaN;0;NaN
18HU18030_010;HL_03.3;43.76374;-62.75278;449402;20.22;23-sep-18;10:23:00;20.224;31.4046;18.631;5.413;8.203;0.3498;0.255;0.111;0;NaN;0;NaN
18HU18030_010;HL_03.3;43.76372;-62.75274;449403;10.43;23-sep-18;10:24:00;10.436;31.3919;18.83;5.3725;8.238;0.33635;0.24;0.116;0;NaN;0;NaN
18HU18030_010;HL_03.3;43.76368;-62.75272;449404;2.99;23-sep-18;10:25:00;2.998;31.3927;18.838;5.3801;8.253;0.32289;0.24;0.1135;0;31.391;0;5.551
18HU18030_015;HL_04;43.47884;-62.45142;449405;81.26;23-sep-18;15:45:00;81.266;34.248;9.4623;4.7774;8.073;0.02829;6.705;0.781;10.07;34.25;0.045;4.949
18HU18030_015;HL_04;43.47886;-62.45144;449406;60.17;23-sep-18;15:47:00;60.172;33.7923;8.3624;5.3278;8.076;0.07732;5.255;0.701;8.23;NaN;0.01;NaN
18HU18030_015;HL_04;43.47886;-62.45144;449407;59.74;23-sep-18;15:47:00;59.741;33.7802;8.3328;5.3463;8.076;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.47887;-62.45144;449408;60.01;23-sep-18;15:47:00;60.011;33.7787;8.3292;5.3547;8.076;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.4789;-62.45142;449409;49.57;23-sep-18;15:48:00;49.577;33.2985;7.3606;5.8109;8.066;0.12824;4.155;0.632;5.81;NaN;0.01;NaN
18HU18030_015;HL_04;43.47894;-62.45134;449410;41.37;23-sep-18;15:50:00;41.372;32.893;7.2522;6.3948;8.092;1.14316;2.85;0.499;1.95;NaN;0.07;NaN
18HU18030_015;HL_04;43.47894;-62.45134;449411;41.16;23-sep-18;15:50:00;41.166;32.9051;7.2883;6.4173;8.094;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.47894;-62.45134;449412;40.77;23-sep-18;15:50:00;40.779;32.8929;7.2597;6.4318;8.095;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.4789;-62.45138;449413;29.97;23-sep-18;15:52:00;29.972;32.6171;11.4935;7.1322;8.204;1.19513;0.95;0.1865;0.03;NaN;0;NaN
18HU18030_015;HL_04;43.47892;-62.45144;449414;20.51;23-sep-18;15:53:00;20.516;31.5314;18.819;5.4188;8.239;0.35877;0.25;0.092;0.02;NaN;0;NaN
18HU18030_015;HL_04;43.47892;-62.45144;449415;20.62;23-sep-18;15:54:00;20.62;31.5337;18.8057;5.4133;8.248;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.47892;-62.45144;449416;20.81;23-sep-18;15:54:00;20.815;31.5341;18.8439;5.4228;8.253;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.47896;-62.45144;449417;10.51;23-sep-18;15:55:00;10.514;31.5023;18.851;5.4229;8.274;0.27356;0.225;0.0855;0.025;NaN;0;NaN
18HU18030_015;HL_04;43.47902;-62.45144;449418;2.7;23-sep-18;15:56:00;2.7;31.4875;18.8697;5.4335;8.278;0.28701;0.23;0.0855;0.025;31.487;0;5.608
18HU18030_015;HL_04;43.47902;-62.45144;449419;2.64;23-sep-18;15:56:00;2.64;31.4861;18.876;5.4273;8.279;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_015;HL_04;43.47903;-62.45144;449420;2.73;23-sep-18;15:56:00;2.732;31.4882;18.8685;5.4335;8.281;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_017;HL_05;43.18226;-62.09848;449421;96.99;23-sep-18;18:25:00;96.99;34.2514;9.4629;5.0203;8.072;0.03394;5.47;0.73;9.48;34.22;0.04;5.185
18HU18030_017;HL_05;43.1822;-62.09852;449422;80.52;23-sep-18;18:26:00;80.521;34.1192;9.046;5.1124;8.063;0.03206;5.41;0.724;9.225;NaN;0.04;NaN
18HU18030_017;HL_05;43.1822;-62.09868;449423;60.73;23-sep-18;18:28:00;60.738;33.9882;9.8904;5.4026;8.089;0.13767;3.945;0.571;6.155;NaN;0.06;NaN
18HU18030_017;HL_05;43.1822;-62.09876;449424;50.49;23-sep-18;18:30:00;50.499;34.8271;14.2164;4.9993;8.153;0.23826;2.32;0.3665;4.165;NaN;0.28;NaN
18HU18030_017;HL_05;43.18238;-62.09878;449425;40.28;23-sep-18;18:32:00;40.286;32.7012;8.5086;6.5893;8.127;1.62814;0.68;0.1885;0.07;NaN;0;NaN
18HU18030_017;HL_05;43.18256;-62.09882;449426;30.57;23-sep-18;18:34:00;30.578;32.2973;12.6474;6.5133;8.192;0.918;0.645;0.1745;0.06;NaN;0;NaN
18HU18030_017;HL_05;43.18262;-62.09892;449427;19.92;23-sep-18;18:35:00;19.927;32.8054;18.7658;5.3793;8.258;0.26215;0.145;0.059;0.05;NaN;0;NaN
18HU18030_017;HL_05;43.18264;-62.09894;449428;10.1;23-sep-18;18:36:00;10.104;32.7377;18.9653;5.3613;8.275;0.21877;0.11;0.055;0.055;NaN;0;NaN
18HU18030_017;HL_05;43.18264;-62.0988;449429;2.71;23-sep-18;18:38:00;2.712;32.7559;19.0683;5.3443;8.279;0.30047;0.105;0.061;0.045;NaN;0;5.517
18HU18030_020;HL_05.5;42.93984;-61.83374;449430;451.61;23-sep-18;21:42:00;451.615;35.0982;6.995;4.0552;7.967;NaN;13.47;1.3825;22.9;35.099;0;4.244
18HU18030_020;HL_05.5;42.93984;-61.83374;449431;452.07;23-sep-18;21:43:00;452.076;35.0985;6.9942;4.0731;7.967;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94008;-61.83358;449432;251.07;23-sep-18;21:47:00;251.078;35.3941;11.0174;3.307;8.014;NaN;10.32;1.237;21.365;35.391;0;3.521
18HU18030_020;HL_05.5;42.94008;-61.83354;449433;250.93;23-sep-18;21:48:00;250.93;35.3941;11.0187;3.3118;8.018;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94008;-61.8333;449434;101.53;23-sep-18;21:52:00;101.534;35.2687;12.9741;4.4597;8.138;0.06035;3.71;0.6035;9.845;NaN;0.003;NaN
18HU18030_020;HL_05.5;42.94014;-61.83332;449435;100.96;23-sep-18;21:53:00;100.967;35.2477;12.9197;4.4713;8.14;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94018;-61.83354;449436;79.84;23-sep-18;21:55:00;79.843;34.6429;11.1571;4.8718;8.122;0.05658;4.045;0.61;8.44;NaN;0.0075;NaN
18HU18030_020;HL_05.5;42.94018;-61.83356;449437;79.86;23-sep-18;21:55:00;79.86;34.6316;11.1187;4.8804;8.12;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94018;-61.83358;449438;80.18;23-sep-18;21:56:00;80.181;34.6291;11.1128;4.8785;8.119;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94018;-61.83368;449439;60.19;23-sep-18;21:57:00;60.195;34.0444;9.7571;5.4383;8.109;0.09429;3.565;0.5495;6.04;NaN;0.0215;NaN
18HU18030_020;HL_05.5;42.94018;-61.83368;449440;59.79;23-sep-18;21:57:00;59.797;34.0434;9.7852;5.4385;8.109;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.9402;-61.83358;449441;51.03;23-sep-18;21:59:00;51.033;34.7619;14.2729;5.3018;8.184;0.47089;1.68;0.233;1.67;NaN;0.13;NaN
18HU18030_020;HL_05.5;42.94019;-61.83349;449442;40.27;23-sep-18;22:00:00;40.275;34.5714;16.3089;5.9393;8.259;0.90067;0.54;0.0745;0.06;NaN;0;NaN
18HU18030_020;HL_05.5;42.9402;-61.83348;449443;40.27;23-sep-18;22:00:00;40.274;34.5759;16.3461;5.9363;8.259;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94019;-61.83347;449444;40.58;23-sep-18;22:00:00;40.585;34.5773;16.3679;5.9286;8.264;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.94016;-61.83332;449445;29.74;23-sep-18;22:02:00;29.741;34.1938;17.9404;6.0335;8.289;0.59197;0.305;0.047;0.05;NaN;0;NaN
18HU18030_020;HL_05.5;42.94008;-61.8333;449446;19.84;23-sep-18;22:04:00;19.847;32.9801;19.3031;5.4448;8.287;0.42155;0.17;0.0425;0.05;NaN;0;NaN
18HU18030_020;HL_05.5;42.94004;-61.8333;449447;19.81;23-sep-18;22:04:00;19.813;32.9675;19.3134;5.3918;8.287;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.93998;-61.8333;449448;19.73;23-sep-18;22:05:00;19.734;32.8058;19.3218;5.3553;8.288;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.93998;-61.83334;449449;10.74;23-sep-18;22:06:00;10.741;32.7478;19.3361;5.3368;8.292;0.32289;0.14;0.045;0.05;NaN;0;NaN
18HU18030_020;HL_05.5;42.93988;-61.83348;449450;3.63;23-sep-18;22:08:00;3.634;32.755;19.4075;5.3343;8.291;0.26907;0.14;0.0425;0.06;32.75;0;5.494
18HU18030_020;HL_05.5;42.93986;-61.83352;449451;3.59;23-sep-18;22:08:00;3.598;32.7554;19.4097;5.3283;8.291;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_020;HL_05.5;42.93984;-61.83354;449452;3.78;23-sep-18;22:09:00;3.78;32.7559;19.4154;5.3207;8.291;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.8316;-61.73358;449453;1103;24-sep-18;00:52:00;1103.009;34.9631;4.2226;5.7466;7.991;NaN;11.5;1.0945;18.225;34.959;0;6.013
18HU18030_022;HL_06;42.83164;-61.73334;449454;1000.05;24-sep-18;00:55:00;1000.055;34.9677;4.2957;5.7053;7.996;NaN;11.5;1.112;18.26;34.964;0;5.958
18HU18030_022;HL_06;42.83178;-61.73317;449455;901.54;24-sep-18;00:58:00;901.548;34.9711;4.3897;5.6361;7.995;NaN;11.56;1.113;18.355;34.973;0;5.799
18HU18030_022;HL_06;42.83168;-61.73323;449456;750.6;24-sep-18;01:02:00;750.6;34.9877;4.6831;5.5114;8.004;NaN;11.25;1.137;18.7;34.983;0;5.751
18HU18030_022;HL_06;42.83169;-61.73342;449457;501.04;24-sep-18;01:07:00;501.045;35.0763;6.447;4.4363;7.992;NaN;13.025;1.318;21.79;35.073;0;4.528
18HU18030_022;HL_06;42.83182;-61.73322;449458;250.26;24-sep-18;01:13:00;250.262;35.4939;11.6579;3.1792;8.04;NaN;9.9;1.2205;21.29;35.488;0;3.332
18HU18030_022;HL_06;42.83182;-61.73324;449459;149.83;24-sep-18;01:15:00;149.839;35.7277;13.7559;4.0637;8.147;NaN;4.67;0.7305;13.41;NaN;0;NaN
18HU18030_022;HL_06;42.83174;-61.73332;449460;101;24-sep-18;01:17:00;101.001;35.4545;13.4402;4.2917;8.164;0.04903;3.985;0.633;10.965;NaN;0;NaN
18HU18030_022;HL_06;42.8317;-61.73345;449461;80.66;24-sep-18;01:19:00;80.662;35.1698;12.9993;4.5874;8.171;0.06601;3.35;0.549;8.575;NaN;0.012;NaN
18HU18030_022;HL_06;42.8317;-61.73348;449462;80.38;24-sep-18;01:19:00;80.388;35.1619;12.9773;4.57;8.171;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.8317;-61.7335;449463;79.76;24-sep-18;01:19:00;79.763;35.1448;12.9296;4.59;8.171;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83174;-61.73364;449464;60.54;24-sep-18;01:21:00;60.544;34.6554;12.0999;5.1198;8.175;0.14333;2.86;0.429;5.015;NaN;0.0555;NaN
18HU18030_022;HL_06;42.83176;-61.7336;449465;50.15;24-sep-18;01:22:00;50.159;33.8561;9.7688;5.6667;8.148;0.20368;3.09;0.4665;4.105;33.842;0.0665;5.885
18HU18030_022;HL_06;42.83176;-61.73358;449466;50.16;24-sep-18;01:22:00;50.165;33.8628;9.7754;5.6726;8.146;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83176;-61.73358;449467;49.98;24-sep-18;01:23:00;49.984;33.8649;9.7792;5.6695;8.146;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83174;-61.73346;449468;40.71;24-sep-18;01:24:00;40.714;33.6513;9.7178;5.9517;8.147;0.41707;2.84;0.4265;3.07;NaN;0.0905;NaN
18HU18030_022;HL_06;42.83171;-61.73335;449469;30.94;24-sep-18;01:25:00;30.949;34.21;14.0784;6.0557;8.222;1.35101;1.67;0.211;0.55;NaN;0.0385;NaN
18HU18030_022;HL_06;42.83167;-61.73326;449470;20.22;24-sep-18;01:26:00;20.226;33.4205;19.0586;5.5452;8.279;0.45295;0.47;0.0535;0.055;NaN;0;NaN
18HU18030_022;HL_06;42.83166;-61.73324;449471;20.74;24-sep-18;01:27:00;20.74;33.602;18.5877;5.4821;8.287;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83166;-61.73322;449472;20.44;24-sep-18;01:27:00;20.446;33.4137;19.1527;5.4376;8.292;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83166;-61.73318;449473;10.49;24-sep-18;01:28:00;10.491;33.2294;19.5697;5.3245;8.308;0.24217;0.16;0.026;0.05;NaN;0;NaN
18HU18030_022;HL_06;42.83174;-61.73328;449474;3.46;24-sep-18;01:29:00;3.465;33.2306;19.5846;5.3096;8.311;0.2332;0.155;0.024;0.055;33.226;0;5.492
18HU18030_022;HL_06;42.83174;-61.7333;449475;3.67;24-sep-18;01:29:00;3.676;33.2292;19.5838;5.3252;8.313;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_022;HL_06;42.83176;-61.73332;449476;3.45;24-sep-18;01:30:00;3.452;33.2307;19.5893;5.3134;8.313;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18HU18030_026;HL_06.3;42.73334;-61.6168;449482;1681.8;24-sep-18;05:35:00;1681.804;34.9537;3.7827;5.8344;NaN;NaN;12.49;1.115;18.025;34.957;0;6.142
18HU18030_026;HL_06.3;42.73342;-61.61641;449483;1500.95;24-sep-18;05:39:00;1500.953;34.9549;3.8325;5.8328;NaN;NaN;12.155;1.1095;18.025;NaN;0;NaN
18HU18030_026;HL_06.3;42.73326;-61.61681;449484;1000.46;24-sep-18;05:49:00;1000.468;34.9694;4.3177;5.7268;NaN;NaN;11.345;1.111;18.3;34.965;0;5.9635
18HU18030_026;HL_06.3;42.73352;-61.61656;449485;751.01;24-sep-18;05:54:00;751.013;34.9986;4.8898;5.3992;NaN;NaN;11.455;1.156;19.085;NaN;0;NaN
18HU18030_026;HL_06.3;42.73338;-61.61664;449486;500.89;24-sep-18;06:00:00;500.894;35.0824;6.6046;4.355;NaN;NaN;13.08;1.3415;22.075;35.077;0;4.531
18HU18030_026;HL_06.3;42.73334;-61.61676;449487;250.52;24-sep-18;06:05:00;250.524;35.4321;11.4041;3.4803;NaN;NaN;9.425;1.1545;19.915;35.425;0.003;3.607
18HU18030_026;HL_06.3;42.73332;-61.61651;449488;151.42;24-sep-18;06:08:00;151.422;35.5714;12.8239;4.2581;NaN;NaN;5.35;0.8045;13.98;NaN;0.0035;NaN
18HU18030_026;HL_06.3;42.7333;-61.61656;449489;100.06;24-sep-18;06:10:00;100.066;35.5625;13.5426;4.3887;NaN;0.03583;3.795;0.64;11.255;NaN;0.0065;NaN
18HU18030_026;HL_06.3;42.73334;-61.61672;449490;81.07;24-sep-18;06:12:00;81.078;34.8839;11.4369;4.7243;NaN;0.0264;4.72;0.7;10.455;NaN;0;NaN
18HU18030_026;HL_06.3;42.73342;-61.61678;449491;60.51;24-sep-18;06:14:00;60.511;34.594;11.1851;4.9648;NaN;0.06978;3.635;0.5565;7.33;NaN;0.013;NaN
18HU18030_026;HL_06.3;42.73332;-61.61672;449492;50.43;24-sep-18;06:16:00;50.433;34.3763;10.6186;5.1444;NaN;0.07921;3.675;0.5725;6.725;NaN;0.0205;NaN
18HU18030_026;HL_06.3;42.73324;-61.61666;449493;40.57;24-sep-18;06:17:00;40.573;34.639;13.5882;5.4572;NaN;0.43501;1.81;0.248;1.78;NaN;0.169;NaN
18HU18030_026;HL_06.3;42.7332;-61.61668;449494;30.15;24-sep-18;06:19:00;30.158;34.4116;14.4961;5.8183;NaN;1.26441;1.32;0.16;0.34;NaN;0.026;NaN
18HU18030_026;HL_06.3;42.7332;-61.61671;449495;20.12;24-sep-18;06:20:00;20.122;33.4981;18.1174;5.7188;NaN;0.41258;0.515;0.0955;0.065;NaN;0;NaN
