CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;TE90;OXYM_01;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18HU90001_341;1;42.46;-58.64;67001;25;06-apr-90;16:06:00;NaN;13.3;NaN;NaN;2.91;0.48;6.92;0.58
18HU90001_341;1;42.46;-58.64;67002;15;06-apr-90;16:06:00;NaN;11.3;NaN;NaN;2.02;0.49;5.02;1.44
18HU90001_341;1;42.46;-58.64;67003;5;06-apr-90;16:06:00;NaN;7.5;NaN;NaN;0.97;0.39;2.31;1.55
18HU90001_342;3;40.92;-54.5;67004;40;07-apr-90;11:44:00;NaN;14;NaN;NaN;3.3;0.56;7.35;0.11
18HU90001_342;3;40.92;-54.5;67005;20;07-apr-90;11:44:00;NaN;15.8;NaN;NaN;1.71;0.23;0.31;2.4
18HU90001_342;3;40.92;-54.5;67006;5;07-apr-90;11:44:00;NaN;16.3;NaN;NaN;1.63;0.18;0.08;1.93
18HU90001_343;189;40;-55.81;67545;175;26-apr-90;09:16:00;36.553;NaN;18.695;7.55038065382893;0.93;0.17;1.88;0.01
18HU90001_343;189;40;-55.81;67547;135;26-apr-90;09:16:00;36.554;NaN;18.919;7.39140170174653;0.68;0.14;0.79;0.13
18HU90001_343;189;40;-55.81;67548;120;26-apr-90;09:16:00;36.554;NaN;18.923;7.9064039408867;0.67;0.14;0.78;0.19
18HU90001_343;189;40;-55.81;67549;105;26-apr-90;09:16:00;36.552;NaN;18.925;7.42722794446932;0.65;0.13;0.72;0.19
18HU90001_343;189;40;-55.81;67550;90;26-apr-90;09:16:00;36.551;NaN;18.928;7.95118674429019;0.62;0.13;0.68;0.22
18HU90001_343;189;40;-55.81;67551;75;26-apr-90;09:16:00;36.549;NaN;18.977;7.60859829825347;0.5;0.12;0.34;0.46
18HU90001_343;189;40;-55.81;67552;65;26-apr-90;09:16:00;36.546;NaN;18.985;8.04075235109718;0.55;0.11;0.26;0.64
18HU90001_343;189;40;-55.81;67553;60;26-apr-90;09:16:00;36.545;NaN;18.986;7.60412001791312;0.5;0.12;0.19;0.74
18HU90001_343;189;40;-55.81;67554;50;26-apr-90;09:16:00;36.544;NaN;18.986;8.0832960143305;0.54;0.12;0.06;0.67
18HU90001_343;189;40;-55.81;67555;45;26-apr-90;09:16:00;36.544;NaN;18.985;7.59516345723242;0.54;0.13;0.06;0.69
18HU90001_343;189;40;-55.81;67556;35;26-apr-90;09:16:00;36.542;NaN;18.986;8.08553515450067;0.5;0.13;0.07;0.66
18HU90001_343;189;40;-55.81;67557;30;26-apr-90;09:16:00;36.542;NaN;18.984;7.57725033587103;0.48;0.12;0.04;0.66
18HU90001_343;189;40;-55.81;67558;25;26-apr-90;09:16:00;36.543;NaN;18.979;8.11464397671294;0.49;0.14;0.02;0.6
18HU90001_343;189;40;-55.81;67559;15;26-apr-90;09:16:00;36.541;NaN;18.974;7.5974025974026;0.49;0.16;0.01;0.67
18HU90001_343;189;40;-55.81;67560;10;26-apr-90;09:16:00;36.539;NaN;18.976;8.04075235109718;0.46;0.17;0.01;0.66
18HU90001_343;189;40;-55.81;67561;5;26-apr-90;09:16:00;36.54;NaN;18.971;7.53470667263771;0.56;0.18;0.01;0.66
18HU90001_343;189;40;-55.81;67562;1;26-apr-90;09:16:00;36.507;NaN;18.939;8.25570980743395;0.57;0.15;0.01;0.66
18HU90001_344;191;40.01;-55.77;67462;1;26-apr-90;10:55:00;NaN;18.7;NaN;NaN;0.48;0.1;0.19;0.63
18HU90001_345;194;40.45;-56.33;67463;1;26-apr-90;17:47:00;NaN;18.7;NaN;NaN;0.41;0.21;0.23;0.87
18HU90001_346;195;40.44;-56.32;67563;175;26-apr-90;17:59:00;36.529;NaN;18.282;NaN;1.06;0.21;2.26;0.01
18HU90001_346;195;40.44;-56.32;67564;150;26-apr-90;17:59:00;36.532;NaN;18.325;NaN;0.88;0.19;2.05;0.01
18HU90001_346;195;40.44;-56.32;67565;135;26-apr-90;17:59:00;36.529;NaN;18.339;NaN;0.94;0.21;2.27;0.01
18HU90001_346;195;40.44;-56.32;67566;120;26-apr-90;17:59:00;36.533;NaN;18.419;NaN;0.93;0.18;2.28;0.01
18HU90001_346;195;40.44;-56.32;67567;105;26-apr-90;17:59:00;36.545;NaN;18.538;NaN;0.78;0.14;1.53;0.01
18HU90001_346;195;40.44;-56.32;67568;90;26-apr-90;17:59:00;36.541;NaN;18.584;NaN;0.7;0.11;1.46;0.04
18HU90001_346;195;40.44;-56.32;67570;65;26-apr-90;17:59:00;36.553;NaN;18.951;NaN;0.33;0.09;0.06;0.92
18HU90001_346;195;40.44;-56.32;67571;60;26-apr-90;17:59:00;36.551;NaN;18.957;NaN;0.36;0.11;0.09;0.89
18HU90001_346;195;40.44;-56.32;67572;50;26-apr-90;17:59:00;36.551;NaN;18.958;NaN;0.31;0.09;0.06;0.86
18HU90001_346;195;40.44;-56.32;67573;45;26-apr-90;17:59:00;36.551;NaN;18.956;NaN;0.34;0.08;0.08;0.97
18HU90001_346;195;40.44;-56.32;67574;35;26-apr-90;17:59:00;36.55;NaN;18.958;NaN;0.29;0.1;0.09;1.18
18HU90001_346;195;40.44;-56.32;67575;30;26-apr-90;17:59:00;36.548;NaN;18.957;NaN;0.32;0.07;0.11;0.84
18HU90001_346;195;40.44;-56.32;67577;15;26-apr-90;17:59:00;36.547;NaN;18.955;NaN;0.36;0.12;0.1;0.82
18HU90001_346;195;40.44;-56.32;67579;5;26-apr-90;17:59:00;36.547;NaN;18.942;NaN;0.41;0.13;0.13;0.86
18HU90001_346;195;40.44;-56.32;67580;1;26-apr-90;17:59:00;36.544;NaN;18.907;NaN;0.33;0.11;0.11;0.86
18HU90001_347;197;40.67;-56.87;67582;150;26-apr-90;22:40:00;36.636;NaN;20.175;NaN;0.9;0.17;2.37;0.05
18HU90001_347;197;40.67;-56.87;67583;135;26-apr-90;22:40:00;36.55;NaN;20.363;NaN;0.1;0.07;0.24;0.36
18HU90001_347;197;40.67;-56.87;67584;120;26-apr-90;22:40:00;36.551;NaN;20.582;NaN;0.05;0.06;0.09;0.43
18HU90001_347;197;40.67;-56.87;67585;105;26-apr-90;22:40:00;36.556;NaN;20.798;NaN;0.02;0.07;0.03;0.53
18HU90001_347;197;40.67;-56.87;67586;90;26-apr-90;22:40:00;36.538;NaN;21.267;NaN;0.08;0.09;0.06;0.92
18HU90001_347;197;40.67;-56.87;67587;75;26-apr-90;22:40:00;36.592;NaN;22.557;NaN;0.81;0.12;0.18;0.38
18HU90001_347;197;40.67;-56.87;67588;65;26-apr-90;22:40:00;36.591;NaN;22.566;NaN;0.72;0.06;0.07;0.38
18HU90001_347;197;40.67;-56.87;67589;60;26-apr-90;22:40:00;36.59;NaN;22.566;NaN;0.75;0.04;0.06;0.36
18HU90001_347;197;40.67;-56.87;67590;50;26-apr-90;22:40:00;36.59;NaN;22.565;NaN;0.74;0.06;0.07;0.38
18HU90001_347;197;40.67;-56.87;67591;45;26-apr-90;22:40:00;36.588;NaN;22.565;NaN;0.71;0.07;0.05;0.36
18HU90001_347;197;40.67;-56.87;67592;35;26-apr-90;22:40:00;36.588;NaN;22.562;NaN;0.71;0.07;0.04;0.37
18HU90001_347;197;40.67;-56.87;67593;30;26-apr-90;22:40:00;36.587;NaN;22.562;NaN;0.76;0.06;0.03;0.39
18HU90001_347;197;40.67;-56.87;67594;25;26-apr-90;22:40:00;36.587;NaN;22.556;NaN;0.8;0.09;0.03;0.36
18HU90001_347;197;40.67;-56.87;67595;15;26-apr-90;22:40:00;36.588;NaN;22.535;NaN;0.76;0.05;0.02;0.38
18HU90001_347;197;40.67;-56.87;67596;10;26-apr-90;22:40:00;36.597;NaN;22.512;NaN;0.72;0.06;0;0.37
18HU90001_347;197;40.67;-56.87;67597;5;26-apr-90;22:40:00;36.59;NaN;22.503;NaN;0.76;0.07;0.01;0.38
18HU90001_347;197;40.67;-56.87;67598;1;26-apr-90;22:40:00;36.576;NaN;22.449;NaN;0.79;0.1;0;0.38
18HU90001_348;200;41.78;-58.83;67464;1;27-apr-90;09:44:00;NaN;14.1;NaN;NaN;1.22;0.35;1.81;2.13
18HU90001_349;202;41.79;-58.84;67599;175;27-apr-90;10:11:00;35.422;NaN;11.773;5.62472010747873;9.07;1.2;18.7;0.01
18HU90001_349;202;41.79;-58.84;67600;150;27-apr-90;10:11:00;35.352;NaN;11.78;6.19122257053292;6.73;1;15.05;0.01
18HU90001_349;202;41.79;-58.84;67601;135;27-apr-90;10:11:00;35.323;NaN;11.788;7.58620689655173;5.1;0.82;12.19;0.02
18HU90001_349;202;41.79;-58.84;67602;120;27-apr-90;10:11:00;35.194;NaN;11.375;7.70488132557098;3.81;0.7;9.7;0.02
18HU90001_349;202;41.79;-58.84;67603;105;27-apr-90;10:11:00;35.24;NaN;11.703;8.32960143304971;3.64;0.68;9.58;0.02
18HU90001_349;202;41.79;-58.84;67604;90;27-apr-90;10:11:00;35.296;NaN;12.005;7.9064039408867;3.25;0.62;8.59;0.03
18HU90001_349;202;41.79;-58.84;67605;75;27-apr-90;10:11:00;35.309;NaN;12.136;8.07881773399015;3.29;0.65;8.67;0.04
18HU90001_349;202;41.79;-58.84;67606;65;27-apr-90;10:11:00;35.344;NaN;12.443;7.87281683833408;3.01;0.63;8.07;0.07
18HU90001_349;202;41.79;-58.84;67607;60;27-apr-90;10:11:00;35.224;NaN;12.166;8.5691894312584;2.87;0.59;7.47;0.11
18HU90001_349;202;41.79;-58.84;67608;50;27-apr-90;10:11:00;35.054;NaN;11.419;8.0922525750112;2.81;0.56;7.23;0.14
18HU90001_349;202;41.79;-58.84;67609;45;27-apr-90;10:11:00;34.778;NaN;10.909;9.46484549932826;1.51;0.42;2.72;1.41
18HU90001_349;202;41.79;-58.84;67610;35;27-apr-90;10:11:00;34.752;NaN;10.85;9.07299596954769;1.47;0.39;2.44;1.56
18HU90001_349;202;41.79;-58.84;67611;30;27-apr-90;10:11:00;34.732;NaN;10.789;9.84326018808778;1.53;0.49;2.52;1.6
18HU90001_349;202;41.79;-58.84;67612;25;27-apr-90;10:11:00;34.721;NaN;10.753;9.24540976265114;1.5;0.43;2.41;1.6
18HU90001_349;202;41.79;-58.84;67613;15;27-apr-90;10:11:00;34.708;NaN;10.724;9.90147783251231;1.52;0.42;2.38;1.66
18HU90001_349;202;41.79;-58.84;67614;10;27-apr-90;10:11:00;34.706;NaN;10.724;9.36184505150023;1.46;0.42;2.35;1.66
18HU90001_349;202;41.79;-58.84;67615;5;27-apr-90;10:11:00;34.707;NaN;10.73;9.8499776085983;1.5;0.41;2.36;1.63
