CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18HU94030_002;CAST#1;43.98917;-58.0045;150601;1373.76;13-oct-94;16:44:00;1389.496;34.9339;3.6471;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150602;1375.23;13-oct-94;16:44:00;1390.981;34.9344;3.6468;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150603;1376.31;13-oct-94;16:44:00;1392.083;34.9344;3.6458;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150604;1380.6;13-oct-94;16:44:00;1396.432;34.933;3.6408;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150605;1378.93;13-oct-94;16:44:00;1394.738;34.9338;3.6402;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150606;1379.91;13-oct-94;16:44:00;1395.733;34.9337;3.6399;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150607;1381.76;13-oct-94;16:44:00;1397.609;34.9338;3.6366;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150608;1382.08;13-oct-94;16:44:00;1397.933;34.9337;3.6314;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150609;1383.41;13-oct-94;16:44:00;1399.292;34.9324;3.6293;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150610;1384.16;13-oct-94;16:44:00;1400.044;34.9327;3.6265;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150611;1386.86;13-oct-94;16:44:00;1402.789;34.9324;3.6258;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150612;1386.8;13-oct-94;16:44:00;1402.724;34.9332;3.6252;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150613;1388.34;13-oct-94;16:44:00;1404.288;34.9321;3.6242;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150614;2743.57;13-oct-94;16:44:00;2784.069;34.2884;3.6231;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150615;1388.39;13-oct-94;16:44:00;1404.338;34.9317;3.6226;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150616;1391.41;13-oct-94;16:44:00;1407.402;34.9319;3.6194;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150617;1390.65;13-oct-94;16:44:00;1406.633;34.9315;3.6188;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150618;1390.54;13-oct-94;16:44:00;1406.52;34.9308;3.6185;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150619;1389.9;13-oct-94;16:44:00;1405.87;34.9313;3.618;NaN;NaN;NaN;NaN
18HU94030_002;CAST#1;43.98917;-58.0045;150620;1390.84;13-oct-94;16:44:00;1406.823;34.9319;3.6183;NaN;NaN;NaN;NaN
18HU94030_003;CAST#1;40.41783;-50.30417;150737;4074.27;16-oct-94;14:26:00;4145.953;34.9082;2.2531;6.536;21.30152;1.1485;18.1995
18HU94030_003;CAST#1;40.41783;-50.30417;150738;3964.66;16-oct-94;14:26:00;4033.382;34.9104;2.2489;6.07;15.61497;1.12347;18.44749
18HU94030_003;CAST#1;40.41783;-50.30417;150739;3736.84;16-oct-94;14:26:00;3799.601;34.9147;2.3077;6.519;20.89598;1.13301;17.98856
18HU94030_003;CAST#1;40.41783;-50.30417;150740;3436.66;16-oct-94;14:26:00;3491.927;34.9227;2.4684;6.519;19.44506;1.12902;18.29254
18HU94030_003;CAST#1;40.41783;-50.30417;150741;3149.02;16-oct-94;14:26:00;3197.502;34.9329;2.6858;6.462;18.07201;1.13303;18.3845
18HU94030_003;CAST#1;40.41783;-50.30417;150742;2867.17;16-oct-94;14:26:00;2909.384;34.9445;2.9304;6.445;17.04849;1.14145;18.24904
