CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18HU98051_521;601;47.9015;-64.33683;208995;15.67;11-nov-98;16:20:00;29.25;5.15;332.98496;7.09725011195701;10.84;0.22;7.13;0.85;0.55667;0.63667;1.892
18HU98051_521;601;47.9015;-64.33683;208996;5.85;11-nov-98;16:20:00;29.24;5.15;336.60242;6.861;10.38;0.22;7.165;0.85;0.63;0.67;1.916
18HU98051_522;611;47.81717;-63.99933;208997;75.35;11-nov-98;17:57:00;32;1.49;270.14834;5.692;16.39;0.13;12.68;1.32;0.14;0.18;0.829
18HU98051_522;611;47.81717;-63.99933;208998;50.47;11-nov-98;17:57:00;31.02;3.89;289.75408;6.381;10.95;0.16;8.08;1;0.15;0.17;0.811
18HU98051_522;611;47.81717;-63.99933;208999;25.58;11-nov-98;17:57:00;29.98;5.1;324.76752;7.112;7.58;0.15;4.01;0.61;0.54;0.53;1.744
18HU98051_522;611;47.81717;-63.99933;209000;15.67;11-nov-98;17:57:00;29.53;5.03;331.8238;7.112;9.52;0.205;6.755;0.79;0.59;0.58;2.237
18HU98051_522;611;47.81717;-63.99933;209001;6.05;11-nov-98;17:57:00;29.52;5.02;335.57524;7.128;9.88;0.2;6.81;0.78;0.73;0.71;2.232
18HU98051_523;621;47.83767;-63.75183;209002;68.61;11-nov-98;19:18:00;31.99;0.45;299.13268;6.304;14.855;0.05;10.88;1.28;0.07;0.07;0.646
18HU98051_523;621;47.83767;-63.75183;209003;49.87;11-nov-98;19:18:00;31.5;1.85;302.61616;6.617;11;0.07;8.7;1.1;0.13;0.14;0.773
18HU98051_523;621;47.83767;-63.75183;209004;25.88;11-nov-98;19:18:00;30.38;4.52;326.28596;7.11;6.77;0.2;5.72;0.81;0.48;0.52;1.502
18HU98051_523;621;47.83767;-63.75183;209005;15.57;11-nov-98;19:18:00;30.04;4.41;337.98688;7.266;8.37;0.19;12.08;0.95;0.8;0.81;2.217
18HU98051_523;621;47.83767;-63.75183;209006;5.95;11-nov-98;19:18:00;29.91;4.33;343.79268;7.313;8.54;0.16;5.92;0.83;0.84;0.81;2.479
18HU98051_524;631;47.71733;-63.63417;209007;50.67;11-nov-98;20:33:00;32.01;0.22;316.55008;6.592;13.04;0.05;10.835;1.325;0.08;0.09;0.683
18HU98051_524;631;47.71733;-63.63417;209008;24.89;11-nov-98;20:33:00;30.52;5.24;326.4646;7.105;3.91;0.13;3.77;0.67;0.49;0.48;1.563
18HU98051_524;631;47.71733;-63.63417;209009;15.17;11-nov-98;20:33:00;30.49;5.22;330.97526;7.308;4.27;0.12;6.01;0.92;0.53;0.51;1.648
18HU98051_524;631;47.71733;-63.63417;209010;5.65;11-nov-98;20:33:00;30.13;4.79;343.882;7.265;6.09;0.12;4.12;0.68;0.78;0.81;2.203
18HU98051_525;641;47.6175;-63.3015;209011;70.39;11-nov-98;22:17:00;32.7;0.82;260.01052;5.756;18.76;0.08;13.67;1.38;0.07;0.09;0.725
18HU98051_525;641;47.6175;-63.3015;209012;50.07;11-nov-98;22:17:00;32.22;0.14;313.91514;6.291;15.21;0.05;11.26;1.27;0.08;0.09;0.793
18HU98051_525;641;47.6175;-63.3015;209013;24.59;11-nov-98;22:17:00;30.75;5.34;325.5714;7.124;3.06;0.08;1.74;0.51;0.51;0.54;1.942
18HU98051_525;641;47.6175;-63.3015;209014;15.17;11-nov-98;22:17:00;30.76;5.37;328.74226;7.128;3.03;0.08;1.65;0.49;0.52;0.5;1.836
18HU98051_525;641;47.6175;-63.3015;209015;5.55;11-nov-98;22:17:00;30.76;5.37;332.98496;7.141;3.19;0.08;1.61;0.49;0.55;0.52;1.926
18HU98051_526;651;47.825;-62.81617;208982;50.07;11-nov-98;06:45:00;32.38;0.22;313.02194;6.687;11.89;0.08;11.21;1.16;0.01;0.07;0.775
18HU98051_526;651;47.825;-62.81617;208983;25.09;11-nov-98;06:45:00;30.83;5.36;313.55786;7.09375011195701;3.43;0.14;2.18;0.56;0.3;0.4;1.53
18HU98051_526;651;47.825;-62.81617;208984;14.97;11-nov-98;06:45:00;30.8;5.38;325.97334;7.114;3.76;0.13;1.64;0.52;0.7;0.69;2.11
18HU98051_526;651;47.825;-62.81617;208985;5.55;11-nov-98;06:45:00;30.81;5.38;329.18886;7.115;3.59;0.12;1.64;0.525;0.77333;0.72333;2.087
18HU98051_527;661;47.51767;-62.967;209016;40.36;11-nov-98;23:59:00;31.97;0.1;308.10934;6.748;16.38;0.06;11.09;1.26;0.08;0.09;0.777
18HU98051_527;661;47.51767;-62.967;209017;25.29;11-nov-98;23:59:00;31.08;3.45;312.8433;6.765;9.18;0.07;7.29;0.99;0.27;0.3;1.147
18HU98051_527;661;47.51767;-62.967;209018;15.37;11-nov-98;23:59:00;30.63;5.33;325.48208;7.103;3.37;0.07;1.82;0.48;0.57;0.65;1.89
