CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l)
18HU99022_014;HL_02;44.265;-63.3197;212934;149.8;27-jun-99;21:20:00;3.8
18HU99022_014;HL_02;44.265;-63.3197;212935;121.1;27-jun-99;21:22:00;4.4
18HU99022_014;HL_02;44.265;-63.3197;212936;101.6;27-jun-99;21:24:00;5
18HU99022_014;HL_02;44.265;-63.3197;212937;79.3;27-jun-99;21:26:00;6.2
18HU99022_014;HL_02;44.265;-63.3197;212938;58.3;27-jun-99;21:28:00;7.3
18HU99022_014;HL_02;44.265;-63.3197;212939;46.2;27-jun-99;21:31:00;8
18HU99022_014;HL_02;44.265;-63.3197;212940;39.2;27-jun-99;21:34:00;7.9
18HU99022_014;HL_02;44.265;-63.3197;212941;27.7;27-jun-99;21:35:00;7.8
18HU99022_014;HL_02;44.265;-63.3197;212942;20.1;27-jun-99;21:36:00;7.8
18HU99022_014;HL_02;44.265;-63.3197;212943;8.9;27-jun-99;21:37:00;6.5
18HU99022_014;HL_02;44.265;-63.3197;212944;3.7;27-jun-99;21:39:00;6.4
18HU99022_058;HL_03;43.8832;-62.8813;212945;263.1;28-jun-99;01:51:00;3.2
18HU99022_058;HL_03;43.8832;-62.8813;212946;198.9;28-jun-99;01:53:00;3.4
18HU99022_058;HL_03;43.8832;-62.8813;212947;173.5;28-jun-99;01:55:00;3.5
18HU99022_058;HL_03;43.8832;-62.8813;212948;148.9;28-jun-99;01:57:00;3.7
18HU99022_058;HL_03;43.8832;-62.8813;212949;123.4;28-jun-99;01:58:00;3.9
18HU99022_058;HL_03;43.8832;-62.8813;212950;99.1;28-jun-99;01:59:00;4.4
18HU99022_058;HL_03;43.8832;-62.8813;212951;79.6;28-jun-99;02:00:00;5.5
18HU99022_058;HL_03;43.8832;-62.8813;212952;60.5;28-jun-99;02:02:00;6.7
18HU99022_058;HL_03;43.8832;-62.8813;212953;50.3;28-jun-99;02:03:00;7
18HU99022_058;HL_03;43.8832;-62.8813;212954;39.9;28-jun-99;02:04:00;7.9
18HU99022_058;HL_03;43.8832;-62.8813;212955;29.9;28-jun-99;02:05:00;8.2
18HU99022_058;HL_03;43.8832;-62.8813;212956;19.6;28-jun-99;02:06:00;8.1
18HU99022_058;HL_03;43.8832;-62.8813;212957;10;28-jun-99;02:08:00;6.2
18HU99022_058;HL_03;43.8832;-62.8813;212958;1.8;28-jun-99;02:09:00;6
18HU99022_102;HL_04;43.4843;-62.4492;212959;81;28-jun-99;05:32:00;4.7
18HU99022_102;HL_04;43.4843;-62.4492;212960;61;28-jun-99;05:33:00;5.7
18HU99022_102;HL_04;43.4843;-62.4492;212961;50.6;28-jun-99;05:33:00;5.8
18HU99022_102;HL_04;43.4843;-62.4492;212962;40.7;28-jun-99;05:34:00;6.1
18HU99022_102;HL_04;43.4843;-62.4492;212963;30.8;28-jun-99;05:35:00;8
18HU99022_102;HL_04;43.4843;-62.4492;212964;20.4;28-jun-99;05:36:00;6.7
18HU99022_102;HL_04;43.4843;-62.4492;212965;10.6;28-jun-99;05:36:00;6.3
18HU99022_102;HL_04;43.4843;-62.4492;212966;3.6;28-jun-99;05:37:00;6
18HU99022_149;HL_05;43.1855;-62.0992;212967;95.8;28-jun-99;08:30:00;5
18HU99022_149;HL_05;43.1855;-62.0992;212968;80;28-jun-99;08:31:00;5
18HU99022_149;HL_05;43.1855;-62.0992;212969;59.6;28-jun-99;08:32:00;5.4
18HU99022_149;HL_05;43.1855;-62.0992;212970;50.1;28-jun-99;08:33:00;6.2
18HU99022_149;HL_05;43.1855;-62.0992;212971;39.7;28-jun-99;08:34:00;6.7
18HU99022_149;HL_05;43.1855;-62.0992;212972;29.8;28-jun-99;08:35:00;7.3
18HU99022_149;HL_05;43.1855;-62.0992;212973;19.4;28-jun-99;08:36:00;6.9
18HU99022_149;HL_05;43.1855;-62.0992;212974;9.8;28-jun-99;08:37:00;6.2
18HU99022_149;HL_05;43.1855;-62.0992;212975;3.9;28-jun-99;08:38:00;6.2
18HU99022_171;HL_06;42.8523;-61.6777;212976;1057.9;28-jun-99;11:52:00;6
18HU99022_171;HL_06;42.8523;-61.6777;212977;990.2;28-jun-99;11:54:00;6
18HU99022_171;HL_06;42.8523;-61.6777;212978;734.9;28-jun-99;11:59:00;5.8
18HU99022_171;HL_06;42.8523;-61.6777;212979;487.4;28-jun-99;12:03:00;4.9
18HU99022_171;HL_06;42.8523;-61.6777;212980;390.2;28-jun-99;12:05:00;4.4
18HU99022_171;HL_06;42.8523;-61.6777;212981;293;28-jun-99;12:07:00;3.6
18HU99022_171;HL_06;42.8523;-61.6777;212982;243.8;28-jun-99;12:08:00;3.3
18HU99022_171;HL_06;42.8523;-61.6777;212983;195.4;28-jun-99;12:09:00;3.2
18HU99022_171;HL_06;42.8523;-61.6777;212984;171.1;28-jun-99;12:10:00;3.3
18HU99022_171;HL_06;42.8523;-61.6777;212985;146.7;28-jun-99;12:11:00;3.5
18HU99022_171;HL_06;42.8523;-61.6777;212986;121.7;28-jun-99;12:12:00;3.8
18HU99022_171;HL_06;42.8523;-61.6777;212987;97;28-jun-99;12:13:00;4.5
18HU99022_171;HL_06;42.8523;-61.6777;212988;77.2;28-jun-99;12:14:00;5.1
18HU99022_171;HL_06;42.8523;-61.6777;212989;57.7;28-jun-99;12:15:00;5.8
18HU99022_171;HL_06;42.8523;-61.6777;212990;47.6;28-jun-99;12:16:00;6.2
18HU99022_171;HL_06;42.8523;-61.6777;212992;27.2;28-jun-99;12:18:00;7.1
18HU99022_171;HL_06;42.8523;-61.6777;212993;17.3;28-jun-99;12:18:00;6.3
18HU99022_171;HL_06;42.8523;-61.6777;212994;7.5;28-jun-99;12:19:00;6
18HU99022_215;HL_07;42.5352;-61.4023;213502;2406.2;28-jun-99;17:10:00;6.2
18HU99022_215;HL_07;42.5352;-61.4023;213503;1968.6;28-jun-99;17:17:00;6.5
18HU99022_215;HL_07;42.5352;-61.4023;213504;1661.5;28-jun-99;17:22:00;6.4
18HU99022_215;HL_07;42.5352;-61.4023;213505;1326.6;28-jun-99;17:27:00;6.2
18HU99022_215;HL_07;42.5352;-61.4023;213506;970;28-jun-99;17:32:00;6
18HU99022_215;HL_07;42.5352;-61.4023;213507;738.5;28-jun-99;17:36:00;5.7
18HU99022_215;HL_07;42.5352;-61.4023;213508;501.3;28-jun-99;17:40:00;4.4
18HU99022_215;HL_07;42.5352;-61.4023;213509;403.9;28-jun-99;17:42:00;3.7
18HU99022_215;HL_07;42.5352;-61.4023;213510;305.6;28-jun-99;17:44:00;3.2
18HU99022_215;HL_07;42.5352;-61.4023;213511;256;28-jun-99;17:45:00;3.2
18HU99022_215;HL_07;42.5352;-61.4023;213512;206.4;28-jun-99;17:46:00;3.5
18HU99022_215;HL_07;42.5352;-61.4023;213513;181.8;28-jun-99;17:49:00;3.8
18HU99022_215;HL_07;42.5352;-61.4023;213514;155.6;28-jun-99;17:50:00;4
18HU99022_215;HL_07;42.5352;-61.4023;213515;130.5;28-jun-99;17:51:00;4.6
18HU99022_215;HL_07;42.5352;-61.4023;213516;104.5;28-jun-99;17:52:00;4.8
18HU99022_215;HL_07;42.5352;-61.4023;213517;85.2;28-jun-99;17:53:00;4.9
18HU99022_215;HL_07;42.5352;-61.4023;213518;65.7;28-jun-99;17:54:00;5
18HU99022_215;HL_07;42.5352;-61.4023;213519;56.1;28-jun-99;17:54:00;5.2
18HU99022_215;HL_07;42.5352;-61.4023;213520;45.9;28-jun-99;17:55:00;5.4
18HU99022_215;HL_07;42.5352;-61.4023;213521;35.9;28-jun-99;17:56:00;6.1
18HU99022_215;HL_07;42.5352;-61.4023;213522;25.7;28-jun-99;17:57:00;7
18HU99022_215;HL_07;42.5352;-61.4023;213523;15.7;28-jun-99;17:57:00;6.9
18HU99022_315;HL_01;44.4003;-63.4407;212925;79.6;27-jun-99;18:30:00;7.2
18HU99022_315;HL_01;44.4003;-63.4407;212926;70.5;27-jun-99;18:32:00;7.3
18HU99022_315;HL_01;44.4003;-63.4407;212927;60.6;27-jun-99;18:34:00;7.5
18HU99022_315;HL_01;44.4003;-63.4407;212928;50.4;27-jun-99;18:35:00;7.7
18HU99022_315;HL_01;44.4003;-63.4407;212929;40.2;27-jun-99;18:36:00;7.8
18HU99022_315;HL_01;44.4003;-63.4407;212930;29.8;27-jun-99;18:37:00;7.9
18HU99022_315;HL_01;44.4003;-63.4407;212931;20.1;27-jun-99;18:39:00;7.7
18HU99022_315;HL_01;44.4003;-63.4407;212932;9.8;27-jun-99;18:40:00;6.7
18HU99022_315;HL_01;44.4003;-63.4407;212933;0.5;27-jun-99;18:41:00;6.3
