CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18MF02066_620;331;47.58383;-59.33983;301553;250.04;02-nov-02;09:43:00;34.83;6.04;176.94292;3.9325;19.655;0.06;22.505;1.545;NaN;1.131
18MF02066_620;331;47.58383;-59.33983;301554;200.21;02-nov-02;09:43:00;34.71;6.48;165.73326;3.666;18.185;0.07;21.67;1.55333;NaN;1.166
18MF02066_620;331;47.58383;-59.33983;301555;100.13;02-nov-02;09:43:00;32.91;1.55;284.52886;6.479;8.04;0.125;10.73;1.12;0.045;1.429
18MF02066_620;331;47.58383;-59.33983;301556;50.47;02-nov-02;09:43:00;32.58;1.25;303.50936;6.905;5.355;0.085;8.275;0.99;0.055;1.545
18MF02066_620;331;47.58383;-59.33983;301557;24.69;02-nov-02;09:43:00;32.47;1.74;312.79864;7.094;5.28;0.08;7.88;0.98667;0.185;2.86
18MF02066_620;331;47.58383;-59.33983;301558;14.97;02-nov-02;09:43:00;32.44;1.94;313.33456;7.126;4.76;0.085;6.99;0.9;0.315;3.125
18MF02066_620;331;47.58383;-59.33983;301559;4.66;02-nov-02;09:43:00;31.95;3.84;317.80056;7.124;3.295;0.12;4.04;0.695;0.895;9.175
18MF02066_620;331;47.58383;-59.33983;301560;2.08;02-nov-02;09:43:00;31.8;4.49;318.38114;7.122;2.895;0.125;2.935;0.59;1.145;11.262
18MF02066_621;341;47.428;-59.555;301561;463.67;02-nov-02;11:46:00;34.87;5.21;171.7177;3.82066659202866;27.685;0.055;22.41;1.665;NaN;1.287
18MF02066_621;341;47.428;-59.555;301562;400.64;02-nov-02;11:46:00;34.87;5.27;174.21866;3.859;25.07;0.055;22.6;1.65;NaN;1.255
18MF02066_621;341;47.428;-59.555;301563;300.45;02-nov-02;11:46:00;34.83;6.11;176.13904;3.925;17.79;0.07;22.39667;1.60667;NaN;1.168
18MF02066_621;341;47.428;-59.555;301564;199.62;02-nov-02;11:46:00;34.57;6.54;166.53714;3.722;16.34;0.07667;21.09;1.54667;NaN;1.248
18MF02066_621;341;47.428;-59.555;301565;99.04;02-nov-02;11:46:00;33.36;2.84;246.38922;5.57;11.69;0.07333;14.22667;1.31667;0.035;1.35
18MF02066_621;341;47.428;-59.555;301566;50.17;02-nov-02;11:46:00;32.63;1.13;301.14238;6.836;6.335;0.055;9.21;1.02;0.045;1.5
18MF02066_621;341;47.428;-59.555;301567;24.79;02-nov-02;11:46:00;32.13;2.67;317.35396;7.205;4.54;0.11;6.1;0.82;0.42;5.363
18MF02066_621;341;47.428;-59.555;301568;14.78;02-nov-02;11:46:00;31.84;3.41;320.03356;7.197;3.7;0.125;4.6;0.72;0.795;7.756
18MF02066_621;341;47.428;-59.555;301569;5.35;02-nov-02;11:46:00;31.75;3.63;321.73064;7.202;3.875;0.12;4.15;0.69;0.93;8.438
18MF02066_621;341;47.428;-59.555;301570;1.88;02-nov-02;11:46:00;31.75;3.64;321.64132;7.51;3.83;0.13;4.155;0.655;0.91;8.22
18MF02066_622;351;47.26533;-59.77933;301571;451.51;02-nov-02;14:20:00;34.87;5.2;166.40316;3.709;31.34333;0.06667;21.80667;1.69333;NaN;1.338
18MF02066_622;351;47.26533;-59.77933;301572;399.45;02-nov-02;14:20:00;34.87;5.21;166.93908;3.734;30.2;0.08;22.28333;1.71;NaN;1.315
18MF02066_622;351;47.26533;-59.77933;301573;301.35;02-nov-02;14:20:00;34.76;5.84;148.67314;3.317;25.78;0.08;22.89333;1.70333;NaN;1.278
18MF02066_622;351;47.26533;-59.77933;301574;197.94;02-nov-02;14:20:00;34.49;6.38;168.18956;3.747;17.29;0.07333;20.29333;1.49333;NaN;1.303
18MF02066_622;351;47.26533;-59.77933;301575;101.03;02-nov-02;14:20:00;32.79;1.18;290.33466;7.075;7.705;0.08333;9.41333;1.05667;0.155;1.43
18MF02066_622;351;47.26533;-59.77933;301576;47.79;02-nov-02;14:20:00;32.38;2.05;314.54038;7.097;5.385;0.09;6.84667;0.9;0.2;3.494
18MF02066_622;351;47.26533;-59.77933;301577;25.58;02-nov-02;14:20:00;32.18;2.55;317.48794;7.134;4.755;0.11333;6.19;0.85667;0.39;5.288
18MF02066_622;351;47.26533;-59.77933;301578;14.78;02-nov-02;14:20:00;31.98;3.11;319.7656;1.099;5.16;0.14333;5.29667;0.78667;0.685;7.947
18MF02066_622;351;47.26533;-59.77933;301579;5.55;02-nov-02;14:20:00;31.94;3.21;319.5423;7.153;4.785;0.15;5.22;0.79333;0.76;7.61
18MF02066_622;351;47.26533;-59.77933;301580;1.79;02-nov-02;14:20:00;31.94;3.21;319.36366;7.16833340797134;5.24;0.15;5.22333;0.79;0.71;6.923
18MF02066_623;361;47.10283;-59.9915;301581;302.54;02-nov-02;17:23:00;34.75;5.73;141.97414;3.1735;28.355;0.07667;23.88333;1.74333;NaN;1.325
18MF02066_623;361;47.10283;-59.9915;301582;198.54;02-nov-02;17:23:00;34.38;5.81;163.18764;3.648;20.735;0.08667;19.66667;1.52667;NaN;1.341
18MF02066_623;361;47.10283;-59.9915;301583;101.42;02-nov-02;17:23:00;32.72;1.33;283.23372;6.427;9.62;0.08333;10.96;1.15;0.07;1.53
