CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(ml/l)
18MF12001_113;HL_02;44.2668;-63.3142;380001;139;01-jun-12;16:58:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380002;139;01-jun-12;16:58:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380003;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380004;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380005;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380006;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380007;140;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380008;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380009;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380010;140;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380011;139;01-jun-12;16:59:00;3.5
18MF12001_113;HL_02;44.2668;-63.3142;380012;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380013;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380014;139;01-jun-12;16:59:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380015;140;01-jun-12;17:01:00;3.6
18MF12001_113;HL_02;44.2668;-63.3142;380016;99;01-jun-12;17:03:00;4.6
18MF12001_113;HL_02;44.2668;-63.3142;380017;78;01-jun-12;17:06:00;5.4
18MF12001_113;HL_02;44.2668;-63.3142;380018;61;01-jun-12;17:07:00;6.1
18MF12001_113;HL_02;44.2668;-63.3142;380019;50;01-jun-12;17:09:00;7.4
18MF12001_113;HL_02;44.2668;-63.3142;380020;41;01-jun-12;17:10:00;7.1
18MF12001_113;HL_02;44.2668;-63.3142;380021;30;01-jun-12;17:10:00;7.2
18MF12001_113;HL_02;44.2668;-63.3142;380022;19;01-jun-12;17:12:00;6.8
18MF12001_113;HL_02;44.2668;-63.3142;380023;9;01-jun-12;17:13:00;6.7
18MF12001_113;HL_02;44.2668;-63.3142;380024;2;01-jun-12;17:14:00;6.6
