CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;OXYM_01;Si_01;NO2_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18NA95908_002;CAST#1;45.9468;-61.1242;152201;44;26-sep-95;11:27:00;23.068;2.7;0;112.77;0.373;24.305;0
18NA95908_002;CAST#1;45.9468;-61.1242;152202;25;26-sep-95;11:27:00;23.067;2.8;0;67.93;0.162;18.825;0
18NA95908_002;CAST#1;45.9468;-61.1242;152203;5;26-sep-95;11:27:00;21.69;15.6;5.92;5.755;0.12;0.3855;0.28
18NA95908_002;CAST#1;45.9468;-61.1242;152244;5;26-sep-95;11:27:00;21.69;15.6;NaN;6.175;0.0755;0.2905;0
18NA95908_003;CAST#1;46.0862;-60.749;152221;20;26-sep-95;18:16:00;24.832;15.3;5;7.135;0.1945;0.4315;0.645
18NA95908_003;CAST#1;46.0862;-60.749;152222;5;26-sep-95;18:16:00;23.075;15.8;6.23;3.42;0.075;0.126;0
18NA95908_014;CAST#1;46.0418;-60.7217;152223;75;26-sep-95;18:54:00;25.303;1.2;7.19;7.395;0.0905;0.7085;5.21
18NA95908_014;CAST#1;46.0418;-60.7217;152224;25;26-sep-95;18:54:00;25.403;10.2;5.54;4.76;0.308;0.4295;1.925
18NA95908_014;CAST#1;46.0418;-60.7217;152225;7;26-sep-95;18:54:00;23.066;15.4;6.21;1.965;0.076;0.1095;0.005
18NA95908_014;CAST#1;46.0418;-60.7217;152255;7;26-sep-95;18:54:00;23.066;15.4;NaN;2.405;0.075;0.0785;0.01
18NA95908_014;CAST#1;46.0418;-60.7217;152256;25;26-sep-95;18:54:00;25.403;10.2;NaN;5.255;0.2765;0.422;2.03
