CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_01;OXY_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l);(mmol/m**3)
18NE13022_002;1;44.273;-63.323;383784;177;27-jun-13;08:08:00;34.63;9.6631;2.9121;0.0111;16.165;1.272;15.775;34.6334;0.105;NaN;170.5
18NE13022_002;1;44.273;-63.323;383785;102;27-jun-13;08:08:00;33.277;5.9552;5.0288;0.0703;5.665;0.777;8.26;NaN;0.125;NaN;NaN
18NE13022_002;1;44.273;-63.323;383786;75;27-jun-13;08:08:00;32.5143;3.3752;5.4978;0.0425;5.395;0.85;8.795;NaN;0.245;NaN;NaN
18NE13022_002;1;44.273;-63.323;383787;51;27-jun-13;08:08:00;32.1545;2.8415;6.0389;0.399;3.55;0.7665;4.815;NaN;0.19;NaN;NaN
18NE13022_002;1;44.273;-63.323;383788;40;27-jun-13;08:08:00;32.0222;3.2156;6.2868;0.5487;1.025;0.465;1.02;31.9783;0.08;NaN;315.5
18NE13022_002;1;44.273;-63.323;383789;30;27-jun-13;08:08:00;31.8228;3.5936;6.685;1.2534;0.615;0.38;0.18;NaN;0.055;NaN;NaN
18NE13022_002;1;44.273;-63.323;383790;20;27-jun-13;08:08:00;31.6375;7.9347;6.3337;0.6804;1.09;0.2645;0.41;NaN;0.285;NaN;NaN
18NE13022_002;1;44.273;-63.323;383791;6;27-jun-13;08:08:00;31.1266;13.6718;5.2865;0.3602;0.755;0.2485;0;NaN;0.305;NaN;NaN
18NE13022_002;1;44.273;-63.323;383792;5;27-jun-13;08:08:00;31.1268;13.7176;5.289;0.3325;0.825;0.2355;0;NaN;0.045;NaN;NaN
18NE13022_002;1;44.273;-63.323;383793;2;27-jun-13;08:08:00;31.1172;14.065;5.2454;0.3547;0.525;0.2405;0;31.1441;0.055;NaN;270
18NE13022_004;100;43.341;-62.978;384142;107;15-jul-13;09:43:00;34.4874;9.193;3.8108;0.024;8.945;0.909;13.375;34.4889;0.095;4.559;203.6049
18NE13022_004;100;43.341;-62.978;384144;25;15-jul-13;09:43:00;31.9435;5.5588;6.3963;0.7521;2.285;0.4025;0;NaN;0;NaN;NaN
18NE13022_004;100;43.341;-62.978;384145;5;15-jul-13;09:43:00;30.6803;17.8792;4.8119;0.2827;0.335;0.2;0.24;NaN;0;5.839;260.7697
18NE13022_005;101;43.085;-62.902;384146;120;15-jul-13;12:03:00;34.9464;10.4566;3.7596;0.0185;5.485;0.694;9.415;34.9644;0.08;4.4785;200.0098
18NE13022_005;101;43.085;-62.902;384147;51;15-jul-13;12:03:00;32.7145;4.5143;5.6681;0.4877;3.15;0.6475;3.985;NaN;0.285;NaN;NaN
18NE13022_005;101;43.085;-62.902;384148;26;15-jul-13;12:03:00;32.2985;8.798;6.3671;0.9669;0.805;0.296;0;NaN;0;NaN;NaN
18NE13022_005;101;43.085;-62.902;384149;5;15-jul-13;12:03:00;30.6591;18.5111;4.7378;0.2328;0.22;0.183;0;NaN;0;5.718;255.3659
18NE13022_006;102;42.967;-63.17;384150;157;15-jul-13;02:15:00;35.2255;11.0296;3.4815;0.0129;8.295;0.963;15.02;35.2411;0.06;4.1865;186.9691
18NE13022_006;102;42.967;-63.17;384151;50;15-jul-13;02:15:00;33.6207;8.7892;5.1688;0.5909;2.895;0.466;2.81;NaN;0.21;NaN;NaN
18NE13022_006;102;42.967;-63.17;384152;25;15-jul-13;02:15:00;32.2878;12.3313;5.8581;0.5598;0.725;0.2175;0;NaN;0;NaN;NaN
18NE13022_006;102;42.967;-63.17;384153;5;15-jul-13;02:15:00;30.7264;18.6001;4.748;0.2106;0.18;0.169;0;NaN;0;5.626;251.2572
18NE13022_007;103;42.916;-63.561;384154;165;15-jul-13;04:57:00;35.3008;11.2783;3.4805;0.0185;7.895;0.967;14.985;35.312;0.085;4.193;187.2594
18NE13022_007;103;42.916;-63.561;384155;50;15-jul-13;04:57:00;33.3443;7.0158;4.7626;0.1572;6.475;0.7615;7.775;NaN;0.09;NaN;NaN
18NE13022_007;103;42.916;-63.561;384156;25;15-jul-13;04:57:00;32.9611;12.4482;5.7009;1.1102;1.73;0.234;0;NaN;0.08;NaN;NaN
18NE13022_007;103;42.916;-63.561;384157;5;15-jul-13;04:57:00;30.8407;18.7962;4.7395;0.2549;0.65;0.1775;0;NaN;0;5.367;239.6902
18NE13022_008;104;42.814;-63.581;384158;230;15-jul-13;07:02:00;35.2172;10.3152;3.0628;0.0185;10.36;1.201;19.55;35.2231;0.08;3.6965;165.0857
18NE13022_008;104;42.814;-63.581;384159;50;15-jul-13;07:02:00;33.44;7.1018;5.1886;0.194;5.345;0.7025;7.145;NaN;0.105;NaN;NaN
18NE13022_008;104;42.814;-63.581;384160;25;15-jul-13;07:02:00;32.2706;11.711;6.0392;0.3658;0.84;0.212;0;NaN;0;NaN;NaN
18NE13022_008;104;42.814;-63.581;384161;5;15-jul-13;07:02:00;31.0574;19.2598;4.6881;0.2161;0.675;0.1705;0;NaN;0;5.586;249.4708
18NE13022_009;105;42.758;-63.905;384162;444;15-jul-13;10:38:00;34.9472;6.004;3.8972;0.0166;12.41;1.242;19.27;34.9595;0.075;4.6345;206.9768
18NE13022_009;105;42.758;-63.905;384163;51;15-jul-13;10:38:00;32.9075;5.4714;5.3336;0.1128;6.24;0.7785;8.41;NaN;0.1;NaN;NaN
18NE13022_009;105;42.758;-63.905;384164;25;15-jul-13;10:38:00;32.3287;8.5838;6.3949;0.8237;0;0.2865;0.19;NaN;0;NaN;NaN
18NE13022_009;105;42.758;-63.905;384165;5;15-jul-13;10:38:00;30.9532;19.1299;4.6706;0.194;0;0.271;0;NaN;0;5.599;250.0513
18NE13022_010;106;42.79;-63.955;384166;228;16-jul-13;12:46:00;35.198;9.8693;2.8228;0.0129;11.8;1.357;21.715;35.2044;0.08;3.4735;155.1265
18NE13022_010;106;42.79;-63.955;384167;51;16-jul-13;12:46:00;32.9188;5.2965;5.2563;0.1552;5.935;0.784;7.55;NaN;0.085;NaN;NaN
18NE13022_010;106;42.79;-63.955;384168;25;16-jul-13;12:46:00;31.9537;6.7823;6.5165;0.9311;0;0.3365;0.35;NaN;0;NaN;NaN
18NE13022_010;106;42.79;-63.955;384169;5;16-jul-13;12:46:00;30.87;18.512;4.7697;0.2217;0;0.1815;0.175;NaN;0;5.67;253.2222
18NE13022_011;107;42.934;-63.071;384170;146;16-jul-13;05:20:00;35.2252;11.1068;3.5585;0.037;8.065;0.9655;15.345;35.2373;0.08;4.2815;191.2118
18NE13022_011;107;42.934;-63.071;384171;51;16-jul-13;05:20:00;33.6744;8.2659;5.0225;0.2439;3.585;0.5675;5.33;NaN;0.165;NaN;NaN
18NE13022_011;107;42.934;-63.071;384172;26;16-jul-13;05:20:00;32.7628;11.6087;5.9252;0.7162;0;0.2085;0.18;NaN;0.03;NaN;NaN
18NE13022_011;107;42.934;-63.071;384173;5;16-jul-13;05:20:00;30.7896;18.9233;4.7262;0.2328;0;0.1895;0.13;NaN;0;5.864;261.8862
18NE13022_012;108;43.122;-62.215;384174;107;16-jul-13;10:04:00;34.3997;9.2744;4.4754;0.0407;5.78;0.7065;9.235;34.4186;0.065;5.339;238.4397
18NE13022_012;108;43.122;-62.215;384175;51;16-jul-13;10:04:00;33.267;5.8588;5.5697;0.2494;3.265;0.535;3.23;NaN;0.155;NaN;NaN
18NE13022_012;108;43.122;-62.215;384176;26;16-jul-13;10:04:00;32.2059;7.3224;6.1743;0.9311;0;0.275;0;NaN;0;NaN;NaN
18NE13022_012;108;43.122;-62.215;384177;5;16-jul-13;10:04:00;31.4913;18.0237;4.8489;0.2328;0;0.1935;0;NaN;0;5.79;258.5814
18NE13022_013;109;43.233;-62.519;384178;99;16-jul-13;12:35:00;33.8947;7.7227;4.6485;0.037;6.035;0.7265;8.35;33.8175;0.17;5.561;248.3543
18NE13022_013;109;43.233;-62.519;384179;50;16-jul-13;12:35:00;32.9544;4.8396;5.4356;0.3547;4.155;0.638;3.77;NaN;0.24;NaN;NaN
18NE13022_013;109;43.233;-62.519;384180;24;16-jul-13;12:35:00;32.4025;6.6628;6.4062;0.6983;0;0.314;0.195;NaN;0;NaN;NaN
18NE13022_013;109;43.233;-62.519;384181;4;16-jul-13;12:35:00;31.0045;18.7423;4.6821;0.1995;0;0.171;0.28;NaN;0;5.61;250.5426
18NE13022_014;11;43.463;-64.998;383827;130;04-jul-13;12:37:00;32.9879;6.0004;5;0.024;8.19;0.8275;9.06;33.0026;0.085;NaN;254
18NE13022_014;11;43.463;-64.998;383828;50;04-jul-13;12:37:00;32.3014;4.2949;5.6826;0.1054;5.21;0.7295;5.64;NaN;0.29;NaN;NaN
18NE13022_014;11;43.463;-64.998;383829;25;04-jul-13;12:37:00;32.0184;8.7828;5.9657;1.4456;2.605;0.3775;0.355;NaN;0.06;NaN;NaN
18NE13022_014;11;43.463;-64.998;383830;6;04-jul-13;12:37:00;31.1898;12.4253;5.6589;1.0385;1.595;0.266;0.245;NaN;0.05;NaN;290.5
18NE13022_015;110;43.275;-62.706;384182;100;16-jul-13;02:15:00;33.7045;7.1134;4.7333;0.0351;6.12;0.6775;9.065;33.7206;0.145;5.6;250.096
18NE13022_015;110;43.275;-62.706;384183;49;16-jul-13;02:15:00;32.8093;4.7503;5.5976;0.2494;3.9;0.61;5.195;NaN;0.255;NaN;NaN
18NE13022_015;110;43.275;-62.706;384184;25;16-jul-13;02:15:00;32.3221;7.9275;6.2468;0.7879;0;0.2795;0.39;NaN;0.03;NaN;NaN
18NE13022_015;110;43.275;-62.706;384185;5;16-jul-13;02:15:00;30.6995;18.3849;4.7601;0.2106;0;0.1655;0.47;NaN;0;5.79;258.5814
18NE13022_016;111;43.495;-62.49;384186;86;16-jul-13;04:33:00;33.2008;5.6978;4.9587;0.0851;6.215;0.6635;9.13;33.2115;0.315;5.8455;261.06
18NE13022_016;111;43.495;-62.49;384187;51;16-jul-13;04:33:00;32.6397;4.4512;5.7366;1.0385;0;0.3085;0.44;NaN;0.04;NaN;NaN
18NE13022_016;111;43.495;-62.49;384188;25;16-jul-13;04:33:00;32.0879;5.8926;6.6056;0.9669;1.23;0.3735;0;NaN;0;NaN;NaN
18NE13022_016;111;43.495;-62.49;384189;5;16-jul-13;04:33:00;30.8197;18.5239;4.7478;0.2272;0.655;0.1995;0;NaN;0;6.007;268.2726
18NE13022_017;112;43.661;-62.413;384190;74;16-jul-13;06:40:00;33.2201;5.8828;4.9744;0.0555;6.09;0.7705;8.425;33.1884;0.1;5.9125;264.0522
18NE13022_017;112;43.661;-62.413;384191;50;16-jul-13;06:40:00;32.4915;4.4168;5.5217;NaN;2.54;0.514;0.485;NaN;0.065;NaN;NaN
18NE13022_017;112;43.661;-62.413;384192;25;16-jul-13;06:40:00;31.8828;4.6375;6.448;0.4988;0.47;0.186;0;NaN;0;NaN;NaN
18NE13022_017;112;43.661;-62.413;384193;5;16-jul-13;06:40:00;30.7862;18.9636;4.7251;0.194;13.45;1.102;15.98;NaN;0.06;5.801;259.0727
