CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18NE15015_113;HL_02;44.2592;-63.3247;403618;152.71;25-jun-15;14:40:00;152.717;34.1789;8.1833;3.4906;7.894;0.02103;15.03;1.331;16.11;34.2137;0.065;3.785
18NE15015_113;HL_02;44.2592;-63.3247;403619;101.17;25-jun-15;14:43:00;101.173;32.6231;2.5976;5.8229;7.922;0.0275;9.935;1.06;10.12;NaN;0.095;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403620;75.91;25-jun-15;14:45:00;75.915;32.1682;1.6894;6.5869;7.958;0.0809;3.325;0.87;4.595;NaN;0.13;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403621;50.76;25-jun-15;14:46:00;50.765;31.6858;0.2194;7.2075;7.971;0.09061;3.86;0.8;4.5;NaN;0.125;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403622;40.74;25-jun-15;14:47:00;40.749;31.4536;0.3804;7.7342;8.019;0.72129;1.72;0.708;2.47;31.4902;0.095;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403623;30.3;25-jun-15;14:48:00;30.301;31.2986;1.4254;8.2911;8.104;1.49068;0.655;0.4945;1.07;NaN;0.055;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403624;20.15;25-jun-15;14:49:00;20.156;31.1104;5.8926;7.4479;8.126;0.3873;0.41;0.286;0;NaN;0.04;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403625;10.25;25-jun-15;14:50:00;10.256;30.6173;9.8707;6.6629;8.12;0.32275;0.425;0.2445;0;NaN;0.02;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403626;5.14;25-jun-15;14:51:00;5.14;30.5974;10.0275;6.6405;8.116;0.26407;0.475;0.2405;0;NaN;0.015;NaN
18NE15015_113;HL_02;44.2592;-63.3247;403627;1.99;25-jun-15;14:52:00;1.991;30.6129;10.8442;6.5553;8.104;0.22886;0.215;0.2485;0;30.6477;0.025;6.855
