CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18NE16016_002;HL_02;44.2719;-63.31586;412001;141.54;28-jun-16;00:43:00;141.544;34.2876;8.9461;3.6559;0.0024;13.65;1.169;13.53;34.245;0.05;3.9065
18NE16016_002;HL_02;44.27233;-63.31556;412002;100.04;28-jun-16;00:45:00;100.049;33.0576;5.2624;5.1503;0.02288;10.755;1.033;9.84;NaN;0;NaN
18NE16016_002;HL_02;44.27256;-63.31538;412003;75.37;28-jun-16;00:46:00;75.374;32.3142;3.0642;6.2112;0.04095;6.795;0.9045;6.975;NaN;0.025;NaN
18NE16016_002;HL_02;44.27285;-63.31518;412004;49.97;28-jun-16;00:47:00;49.974;31.7678;2.3048;6.9762;0.25763;2.79;0.6695;2.645;NaN;0.23;NaN
18NE16016_002;HL_02;44.27296;-63.3151;412005;40.43;28-jun-16;00:48:00;40.433;31.6287;2.445;7.166;0.48092;1.925;0.6055;1.56;31.633;0.215;7.3765
18NE16016_002;HL_02;44.2731;-63.31502;412006;31.47;28-jun-16;00:49:00;31.476;31.4965;3.24;7.445;0.87398;1.21;0.596;0.31;NaN;0.12;NaN
18NE16016_002;HL_02;44.27322;-63.31494;412007;20.24;28-jun-16;00:49:00;20.244;31.1378;7.9145;7.1716;0.83948;0.825;0.3455;0.105;NaN;0;NaN
18NE16016_002;HL_02;44.27336;-63.31486;412008;9.71;28-jun-16;00:50:00;9.711;30.8425;13.1832;6.2479;1.13848;0.95;0.3155;0.08;NaN;0;NaN
18NE16016_002;HL_02;44.27346;-63.31482;412009;4.91;28-jun-16;00:51:00;4.918;30.8514;13.1861;6.2546;0.54049;0.835;0.241;0.075;NaN;0;NaN
18NE16016_002;HL_02;44.27353;-63.31478;412010;2.74;28-jun-16;00:51:00;2.749;30.8533;13.1875;6.2485;0.55199;0.96;0.2765;0;30.866;0;6.381
18NE16016_003;7;43.31014;-63.07304;412031;120.09;29-jun-16;13:06:00;120.091;35.1728;11.707;4.1007;0.00843;7.57;0.887;12.04;35.176;0.05;4.259
18NE16016_003;7;43.31014;-63.07396;412032;50.08;29-jun-16;13:09:00;50.082;32.4803;5.2257;5.9622;0.32199;5.21;0.805;6.745;NaN;0;NaN
18NE16016_003;7;43.31016;-63.0743;412033;25.23;29-jun-16;13:11:00;25.237;31.4857;6.8057;7.2927;0.43699;0.925;0.3335;0.17;NaN;0;NaN
18NE16016_003;7;43.31016;-63.07464;412034;5.78;29-jun-16;13:12:00;5.783;31.0439;13.8003;6.1069;0.26193;0.64;0.257;0.19;NaN;0.025;6.3615
18NE16016_004;95;42.67622;-65.42972;412332;90.98;16-jul-16;04:39:00;90.986;33.1835;8.0862;5.4516;0.15458;5.955;0.7845;7.465;33.198;0.06;5.695
18NE16016_004;95;42.67622;-65.42958;412333;50.02;16-jul-16;04:41:00;50.025;32.6925;6.4752;5.6873;0.18035;6.25;0.809;7.275;NaN;0.035;NaN
18NE16016_004;95;42.6762;-65.42954;412334;24.54;16-jul-16;04:42:00;24.547;31.9519;10.2443;6.6739;1.30495;2.525;0.367;0.485;NaN;0;NaN
18NE16016_004;95;42.6762;-65.4295;412335;4.25;16-jul-16;04:43:00;4.259;31.6256;14.855;5.925;NaN;1.705;0.3;0.455;NaN;0;6.25
18NE16016_006;HL_02;44.2684;-63.32422;412336;160.74;16-jul-16;16:48:00;160.744;34.5227;9.4302;3.1069;0.00963;17.85;1.3635;17.14;34.525;0.1;3.4785
18NE16016_006;HL_02;44.26863;-63.32537;412337;101.35;16-jul-16;16:51:00;101.355;33.1476;5.5376;5.2273;0.05781;8.725;0.927;7.935;NaN;0.055;NaN
18NE16016_006;HL_02;44.26872;-63.32583;412338;75.41;16-jul-16;16:52:00;75.414;32.6006;3.399;5.7237;0.1084;10.345;1.004;9.26;NaN;0.065;NaN
18NE16016_006;HL_02;44.26882;-63.32626;412339;50.51;16-jul-16;16:53:00;50.514;32.1458;2.9446;6.5474;0.75898;4.44;0.749;4.3;NaN;0.175;NaN
18NE16016_006;HL_02;44.26888;-63.32648;412340;39.63;16-jul-16;16:54:00;39.637;32.0357;5.0931;6.8976;0.79348;1.215;0.4715;0.655;32.072;0.09;7.174
18NE16016_006;HL_02;44.26896;-63.32671;412341;29.77;16-jul-16;16:55:00;29.771;31.9296;4.9961;7.0835;0.83948;1.13;0.4685;0.555;NaN;0.065;NaN
18NE16016_006;HL_02;44.26901;-63.32696;412342;19.87;16-jul-16;16:55:00;19.875;31.4012;10.1215;6.7012;1.64447;0.65;0.31;0.465;NaN;0.075;NaN
18NE16016_006;HL_02;44.26906;-63.32716;412343;10.32;16-jul-16;16:56:00;10.328;30.8374;13.4397;6.1084;0.80498;0.6;0.3055;0.46;NaN;0.055;NaN
18NE16016_006;HL_02;44.26912;-63.32734;412344;4.33;16-jul-16;16:57:00;4.333;30.2898;14.2082;6.026;0.39075;0.66;0.2065;0.555;NaN;0.06;NaN
18NE16016_006;HL_02;44.26916;-63.32748;412345;1.45;16-jul-16;16:57:00;1.457;30.2957;14.1881;6.0357;0.32634;0.675;0.2145;0.57;30.312;0.08;6.2945
18NE16016_009;97;44.5844;-62.33038;412346;146.44;20-jul-16;22:12:00;146.446;34.6961;10.0413;2.9;0.03011;16.485;1.2955;15.91;34.575;0.1;3.3355
18NE16016_009;97;44.5846;-62.33004;412347;50.69;20-jul-16;22:16:00;50.695;32.2812;3.2391;6.3495;0.36499;4.45;0.757;4.35;NaN;0.185;NaN
18NE16016_009;97;44.58466;-62.32996;412348;24.41;20-jul-16;22:17:00;24.418;31.7549;5.3042;7.3095;0.85098;0.86;0.455;0.655;NaN;0.065;NaN
18NE16016_009;97;44.5847;-62.32986;412349;5.13;20-jul-16;22:17:00;5.137;30.8076;16.052;5.811;0.47663;0.56;0.235;0.555;NaN;0;6.122
18NE16016_010;98;44.66432;-62.19796;412350;135.32;20-jul-16;23:58:00;135.325;34.4707;8.9846;2.9816;0.01325;18.335;1.34;15.17;34.445;0.1;3.247
18NE16016_010;98;44.66462;-62.1983;412351;50.29;21-jul-16;00:01:00;50.298;31.9739;3.4502;6.8676;0.47149;2.385;0.6165;2.18;NaN;0.17;NaN
18NE16016_010;98;44.6647;-62.19842;412352;24.18;21-jul-16;00:01:00;24.182;31.3314;2.9863;7.2274;0.41399;1.85;0.5305;1.305;NaN;0.175;NaN
18NE16016_010;98;44.66476;-62.1985;412353;4.21;21-jul-16;00:02:00;4.21;30.1358;15.2517;5.9212;0.37357;0.555;0.19;0.53;NaN;0.03;6.3565
18NE16016_011;99;44.62338;-62.04118;412354;142.76;21-jul-16;01:57:00;142.766;35.0631;10.7342;2.6717;0.01927;17.585;1.412;18.125;35.062;0.125;2.8665
18NE16016_011;99;44.62326;-62.04166;412355;50.98;21-jul-16;02:01:00;50.98;31.9018;3.1386;6.8;0.39099;2.68;0.64;2.29;NaN;0.135;NaN
18NE16016_011;99;44.62322;-62.04182;412356;24.94;21-jul-16;02:02:00;24.946;31.255;4.3316;7.4327;0.45999;0.805;0.4235;0.475;NaN;0.03;NaN
18NE16016_011;99;44.62318;-62.04198;412357;5.19;21-jul-16;02:03:00;5.198;30.3382;14.8276;6.0395;0.45945;0.87;0.2555;0.42;NaN;0.045;6.293
18NE16016_012;100;44.57378;-61.60336;412358;158.84;21-jul-16;04:56:00;158.843;34.8416;10.3614;2.4513;0.01566;21.1;1.4765;17.94;34.84;0.085;2.6195
