CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18NE95008_452;1031;46.90618;-62.66897;176;0.99;09-sep-95;10:25:00;NaN;14.85;NaN;NaN;1.88;0.095;1.175;0.315;0.59;0.68
18NE95008_452;1031;46.90618;-62.66897;177;4.86;09-sep-95;10:25:00;28.89;14.86;268.71922;6.06;1.87;0.11;1.25;0.33;0.41;0.59
18NE95008_452;1031;46.90618;-62.66897;178;14.78;09-sep-95;10:25:00;28.95;14.84;277.15996;6.12;2.8;0.1;1.9;0.38;0.87333;0.98
18NE95008_452;1031;46.90618;-62.66897;179;51.26;09-sep-95;10:25:00;31.21;-0.89;281.93858;6.545;16.46;0.23;10.48;1.47;0.11;0.19
18NE95008_453;1061;46.87133;-62.91003;180;0.99;09-sep-95;19:24:00;29.04;15.13;NaN;NaN;2.38;0.08;1.275;0.37;0.81;0.81
18NE95008_453;1061;46.87133;-62.91003;181;14.78;09-sep-95;19:24:00;29.09;15.08;256.97364;6.07;2.54;0.09;1.18;NaN;0.75;0.73333
18NE95008_453;1061;46.87133;-62.91003;182;54.74;09-sep-95;19:24:00;31.18;-1.01;251.48046;6.335;18.47;0.12;10.33;NaN;0.09;0.18
18NE95008_454;1071;46.8511;-63.55555;1071_25;1.29;21-sep-95;18:38:00;28.55;15.39;229.3291;NaN;0.43667;0.23;0.36667;0.35;0.71;0.69
18NE95008_454;1071;46.8511;-63.55555;1071_26;4.96;21-sep-95;18:38:00;28.56;14.84;233.21452;NaN;0.36;0.16;0.3;0.34;0.89;0.83
18NE95008_454;1071;46.8511;-63.55555;1071_27;14.88;21-sep-95;18:38:00;28.57;14.6;247.05912;NaN;0.42;0.19;0.66;0.32;0.90667;0.83333
18NE95008_454;1071;46.8511;-63.55555;1071_28;41.25;21-sep-95;18:38:00;30.57;0.74;236.78732;NaN;14.6;0.31;8.12;1.63;0.13;0.27
18NE95008_455;1091;47.0287;-63.5855;183;0.99;10-sep-95;01:15:00;NaN;14.1;NaN;NaN;1.37;0.1;1.325;0.335;0.65;0.68
18NE95008_455;1091;47.0287;-63.5855;184;5.16;10-sep-95;01:15:00;28.74;14.63;271.0862;6.07;1.64;0.09;1.68;0.27;0.92;0.94
18NE95008_455;1091;47.0287;-63.5855;185;14.87;10-sep-95;01:15:00;29.3;13.81;276.35608;6.16;1.68;0.08;1.24;0.37;0.61;0.62667
18NE95008_455;1091;47.0287;-63.5855;186;46.9;10-sep-95;01:15:00;30.64;0.49;260.94838;6.16;14.04;0.23;7.79;1.38;0.13;0.25
18NE95008_456;1151;46.9598;-61.95491;187;1.39;08-sep-95;17:17:00;28.57;15.55;264.65516;NaN;2.24;0.075;0.875;0.35;0.32;0.46
18NE95008_456;1151;46.9598;-61.95491;188;4.66;08-sep-95;17:17:00;28.57;15.55;274.2124;5.985;3.39;0.09;0.48;NaN;0.38;0.51
18NE95008_456;1151;46.9598;-61.95491;189;10.12;08-sep-95;17:17:00;28.59;15.2;274.12308;6.01;2.88;0.07;0.64;NaN;0.60667;0.64333
18NE95008_456;1151;46.9598;-61.95491;190;50.87;08-sep-95;17:17:00;31.09;-0.79;280.82208;6.72;14;0.18;9.16;NaN;0.13;0.22
18NE95008_457;1221;46.60683;-62.33033;1221_29;1.09;22-sep-95;22:35:00;28.66;14.93;NaN;NaN;0.38;0.16667;0.64;0.31667;0.27;0.5
18NE95008_457;1221;46.60683;-62.33033;1221_30;5.85;22-sep-95;22:35:00;28.65;14.9;NaN;NaN;0.55;0.13;0.24;0.33;0.38;0.48
18NE95008_457;1221;46.60683;-62.33033;1221_31;47.3;22-sep-95;22:35:00;31.01;-0.69;NaN;NaN;13.05;0.32;11.63;1.51;0.07;0.17
18NE95008_458;1241;45.88663;-63.03228;1241_32;1.39;23-sep-95;17:34:00;28.71;15.38;226.91746;NaN;NaN;NaN;NaN;NaN;1.91;1.83
18NE95008_458;1241;45.88663;-63.03228;1241_33;4.66;23-sep-95;17:34:00;28.71;15.38;226.29222;NaN;NaN;NaN;NaN;NaN;1.93;1.83
18NE95008_458;1241;45.88663;-63.03228;1241_34;15.17;23-sep-95;17:34:00;28.73;15.05;214.05538;NaN;NaN;NaN;NaN;NaN;2.23333;1.92
18NE95008_458;1241;45.88663;-63.03228;1241_35;27.67;23-sep-95;17:34:00;28.82;14.35;199.22826;NaN;NaN;NaN;NaN;NaN;2.09;1.96
18NE95008_459;1281;46.13933;-62.07;1281_36;1.39;23-sep-95;11:43:00;28.46;15.52;NaN;NaN;0.74;0.16;0.86667;0.34;0.42;0.59
18NE95008_459;1281;46.13933;-62.07;1281_37;4.46;23-sep-95;11:43:00;28.46;15.52;NaN;NaN;0.62;0.26;1.07;0.4;0.41;0.57
18NE95008_459;1281;46.13933;-62.07;1281_38;15.67;23-sep-95;11:43:00;28.45;15.53;NaN;NaN;0.87;0.14;0.93;0.35;0.39667;0.63667
