CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18OL17048_1646;21;47.82467;-69.67733;453006;12;02-nov-17;02:13:00;20.77;5.79;303.9113;NaN;NaN;NaN;NaN;NaN;0.3;0.388;NaN
18OL17048_1646;21;47.82467;-69.67733;453007;1.88;02-nov-17;02:13:00;17.79;6.55;312.03942;7.0915;NaN;NaN;NaN;NaN;0.27;0.402;NaN
18OL17048_1647;31;47.68117;-69.82283;453008;24.89;02-nov-17;04:05:00;29.33;3.02;271.22018;6.102;NaN;NaN;NaN;NaN;0.455;0.294;NaN
18OL17048_1647;31;47.68117;-69.82283;453009;9.02;02-nov-17;04:05:00;16.48;6.89;319.27434;NaN;NaN;NaN;NaN;NaN;0.235;0.375;NaN
18OL17048_1647;31;47.68117;-69.82283;453010;1.69;02-nov-17;04:05:00;14.94;7.06;319.00638;7.1885;NaN;NaN;NaN;NaN;0.27;0.468;NaN
18OL17048_1648;41;47.42483;-70.193;453011;17.16;02-nov-17;06:35:00;25.69;4.27;282.07256;NaN;NaN;NaN;NaN;NaN;0.805;0.604;NaN
18OL17048_1648;41;47.42483;-70.193;453012;2.18;02-nov-17;06:35:00;17.93;6.39;300.3385;6.808;NaN;NaN;NaN;NaN;0.3;0.476;NaN
18OL17048_1649;51;47.3465;-70.33683;453013;16.46;02-nov-17;08:16:00;27.53;3.7;277.38326;NaN;NaN;NaN;NaN;NaN;0.5;0.317;NaN
18OL17048_1649;51;47.3465;-70.33683;453014;1.78;02-nov-17;08:16:00;17.54;6.59;299.35598;6.7605;NaN;NaN;NaN;NaN;0.275;0.435;NaN
18OL17048_1650;61;47.2255;-70.57533;453015;22.01;02-nov-17;11:43:00;15.48;7.46;300.74044;NaN;NaN;NaN;NaN;NaN;0.965;1.126;NaN
18OL17048_1650;61;47.2255;-70.57533;453016;1.98;02-nov-17;11:43:00;11.16;8.34;314.00446;7.0705;NaN;NaN;NaN;NaN;0.25;0.586;NaN
18OL17048_1651;71;47.02867;-70.77167;453017;9.92;02-nov-17;13:55:00;0.18;12.11;310.52098;NaN;NaN;NaN;NaN;NaN;5.485;1.622;NaN
18OL17048_1651;71;47.02867;-70.77167;453018;1.88;02-nov-17;13:55:00;0.15;12.13;312.26272;NaN;NaN;NaN;NaN;NaN;4.495;1.491;NaN
18OL17048_1652;81;46.8445;-71.16233;453019;23.3;02-nov-17;16:46:00;0.1;11.18;320.52482;NaN;NaN;NaN;NaN;NaN;2;1.54;NaN
18OL17048_1652;81;46.8445;-71.16233;453020;10.21;02-nov-17;16:46:00;0.1;11.16;322.40054;NaN;NaN;NaN;NaN;NaN;2.375;1.505;NaN
18OL17048_1652;81;46.8445;-71.16233;453021;1.88;02-nov-17;16:46:00;0.09;11.16;319.18502;NaN;NaN;NaN;NaN;NaN;1.855;1.488;NaN
18OL17048_1653;91;46.71917;-71.38767;453022;10.12;02-nov-17;18:35:00;0.11;11.19;322.71316;NaN;NaN;NaN;NaN;NaN;2.13;1.315;NaN
