CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;Si_01;PO4_01;NOx_01;OXYM_01;CHL_01;CHL_03
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18PZ96058_493;101;47.58317;-59.33233;182080;235.18;01-dec-96;07:42:00;33.94;4.58;226.82814;15.975;1.275;16.06;4.829;0.01;0.03
18PZ96058_493;101;47.58317;-59.33233;182081;203.09;01-dec-96;07:42:00;33.41;2.7;263.53866;14.395;1.22;13.925;5.702;0.01;0.03
18PZ96058_493;101;47.58317;-59.33233;182082;152.85;01-dec-96;07:42:00;32.94;1.34;298.73074;10.22;1.095;10.13;6.7595;0.02;0.04
18PZ96058_493;101;47.58317;-59.33233;182083;102.91;01-dec-96;07:42:00;32.48;2.13;317.3093;4.68;0.77;5.335;7.197;0.06;0.08
18PZ96058_493;101;47.58317;-59.33233;182084;79.12;01-dec-96;07:42:00;32.11;4.51;318.11318;3.39;0.67;3.43;7.113;0.09;0.13
18PZ96058_493;101;47.58317;-59.33233;182085;53.05;01-dec-96;07:42:00;31.92;5.7;324.2316;2.145;0.535;1.335;7.243;0.13;0.17
18PZ96058_493;101;47.58317;-59.33233;182086;29.35;01-dec-96;07:42:00;31.71;5.53;326.9112;2.04;0.555;1.19;7.23;0.3;0.42
18PZ96058_493;101;47.58317;-59.33233;182087;19.44;01-dec-96;07:42:00;31.64;5.46;329.09954;2;0.5;1.05;7.227;0.27;0.37
18PZ96058_493;101;47.58317;-59.33233;182088;10.41;01-dec-96;07:42:00;31.58;5.38;331.3772;1.86;0.46;1.01;7.375;0.26;0.34
18PZ96058_493;101;47.58317;-59.33233;182089;0.5;01-dec-96;07:42:00;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.2;0.25
18PZ96058_494;11;47.08283;-59.91683;182001;370.46;30-nov-96;03:48:00;34.67;5.59;136.70426;21.93;1.35;16.68;NaN;0;0.01
18PZ96058_494;11;47.08283;-59.91683;182002;351.85;30-nov-96;03:48:00;34.64;5.59;135.81106;22.01;1.43;17.82;NaN;0;0.01
18PZ96058_494;11;47.08283;-59.91683;182003;302.74;30-nov-96;03:48:00;34.53;5.25;105.6209;28.36;1.49;17.87;2.386;0.01;0.01
18PZ96058_494;11;47.08283;-59.91683;182004;251.54;30-nov-96;03:48:00;34.3;5.09;142.10812;19.36;1.34;16.02;3.236;0.01;0.01
18PZ96058_494;11;47.08283;-59.91683;182005;202.7;30-nov-96;03:48:00;33.69;3.56;217.18158;12.69;1.07;10.68;4.437;0.01;0.02
18PZ96058_494;11;47.08283;-59.91683;182006;151.87;30-nov-96;03:48:00;32.82;0.89;306.01032;7.03;0.85;8.41;6.731;0.02;0.03
18PZ96058_494;11;47.08283;-59.91683;182007;102.52;30-nov-96;03:48:00;32.36;2.87;322.6685;3.37;0.62;3.87;7.175;0.07;0.09
18PZ96058_494;11;47.08283;-59.91683;182008;53.45;30-nov-96;03:48:00;31.57;5.57;330.08206;1.35;0.39;0.91;6.692;0.45;0.48
18PZ96058_494;11;47.08283;-59.91683;182009;28.86;30-nov-96;03:48:00;31.48;5.52;333.34224;1.07;0.35;0.73;7.246;0.46;0.5
18PZ96058_494;11;47.08283;-59.91683;182010;7.54;30-nov-96;03:48:00;30.8;5.13;334.5034;1.93;0.42;1.42;7.273;0.55;0.5
18PZ96058_494;11;47.08283;-59.91683;182012;0.5;30-nov-96;03:48:00;NaN;NaN;NaN;2.83;0.64;2.14;NaN;0.35;0.49
18PZ96058_495;21;46.98267;-60.03267;182013;160.79;30-nov-96;06:38:00;33.39;2.62;234.15238;18.175;1.4;15.595;5.122;0.02;0.04
18PZ96058_495;21;46.98267;-60.03267;182014;152.17;30-nov-96;06:38:00;32.94;1.73;280.50946;12.49;1.155;11.285;6.03;0.03;0.05
18PZ96058_495;21;46.98267;-60.03267;182015;102.22;30-nov-96;06:38:00;31.87;2.17;278.09782;8.915;0.915;6.62;6.6875;0.25;0.25
18PZ96058_495;21;46.98267;-60.03267;182016;51.96;30-nov-96;06:38:00;30.99;5.16;312.48602;2.815;0.49;1.99;7.134;0.44;0.43
18PZ96058_495;21;46.98267;-60.03267;182017;27.86;30-nov-96;06:38:00;29.2;5.8;321.59666;3.75;0.565;1.78;7.238;0.43;0.43
18PZ96058_495;21;46.98267;-60.03267;182018;19.14;30-nov-96;06:38:00;29.17;5.79;324.76752;3.33;0.52;1.79;7.247;0.39;0.49
