CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18PZ97042_512;11;46.88306;-60.15027;193601;4.56;15-nov-97;23:06:00;28.74;8.15;310.1637;6.71;4.4;0.11;1.11;0.6;0.84;0.87;2.041
18PZ97042_512;11;46.88306;-60.15027;193602;14.38;15-nov-97;23:06:00;28.85;8.04;306.18896;NaN;3.86;0.13;1.72;0.7;0.57;0.59;1.699
18PZ97042_512;11;46.88306;-60.15027;193603;25.09;15-nov-97;23:06:00;28.9;7.96;303.4647;6.685;4.11;0.13;1.92;0.76;0.54;0.56;1.739
18PZ97042_512;11;46.88306;-60.15027;193604;49.68;15-nov-97;23:06:00;29.32;7.02;306.99284;6.64;4.81;0.14;2.9;0.85;0.41;0.44;1.534
18PZ97042_512;11;46.88306;-60.15027;193605;99.44;15-nov-97;23:06:00;NaN;3.05;327.98304;6.62;6.29;0.13;4.51;0.87;0.37;0.4;1.013
18PZ97042_512;11;46.88306;-60.15027;193606;152.77;15-nov-97;23:06:00;33.08;1.68;NaN;5.93;12.74;0.07;16.5;1.51;0.04;0.08;NaN
18PZ97042_513;21;46.98217;-60.03388;193607;5.36;16-nov-97;01:00:00;28.69;8.17;302.61616;6.735;4.11;0.13;1.61;0.67;1.04;1.15;2.231
18PZ97042_513;21;46.98217;-60.03388;193608;14.97;16-nov-97;01:00:00;28.71;8.17;297.25696;6.73;4.55;0.12;1.24;0.67;0.96;1.07;2.16
18PZ97042_513;21;46.98217;-60.03388;193609;25.49;16-nov-97;01:00:00;29.38;6.93;309.7171;6.75;4.23;0.14;2.15;0.79;0.54;0.6;1.664
18PZ97042_513;21;46.98217;-60.03388;193610;49.28;16-nov-97;01:00:00;29.75;6.28;311.90544;6.94;4.6;0.13;2.82;0.79;0.85;0.93;2.517
18PZ97042_513;21;46.98217;-60.03388;193611;101.53;16-nov-97;01:00:00;NaN;1.95;307.39478;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.914
18PZ97042_513;21;46.98217;-60.03388;193612;145.73;16-nov-97;01:00:00;33.6;3.19;252.37366;4.68;22.13;0.08;21.99;1.78;0.04;0.07;0.743
18PZ97042_514;31;47.08299;-59.91711;193613;4.76;16-nov-97;03:16:00;30.59;5.79;341.11308;6.3;4.59;0.12;3.06;0.83;1.24;1.52;2.864
18PZ97042_514;31;47.08299;-59.91711;193614;15.27;16-nov-97;03:16:00;31.01;5.91;335.48592;6.99;3.59;0.11;2.57;0.78;NaN;NaN;2.798
18PZ97042_514;31;47.08299;-59.91711;193615;25.39;16-nov-97;03:16:00;31.39;6.05;327.5811;6.92;3.34;0.1;2.06;0.71;0.44;0.5;2.627
18PZ97042_514;31;47.08299;-59.91711;193616;49.78;16-nov-97;03:16:00;31.51;5.04;320.74812;6.83;4.43;0.12;3.95;0.77;0.47;0.55;1.865
18PZ97042_514;31;47.08299;-59.91711;193617;100.04;16-nov-97;03:16:00;32.53;0.93;318.33648;6.78;9.36;0.07;12.27;1.34;0.05;0.06;0.68
18PZ97042_514;31;47.08299;-59.91711;193618;149.2;16-nov-97;03:16:00;33.07;1.23;293.81814;6.18;12.17;0.06;17.45;1.59;0.02;0.03;0.542
18PZ97042_514;31;47.08299;-59.91711;193619;198.94;16-nov-97;03:16:00;34.01;4.39;175.2905;3.51;27.05;0.05;26.43;2.01;0.02;0.02;0.569
18PZ97042_514;31;47.08299;-59.91711;193620;248.66;16-nov-97;03:16:00;34.33;5.44;179.26524;3.44;25.32;0.05;26.12;1.99;0.01;0.01;0.522
18PZ97042_514;31;47.08299;-59.91711;193621;297.49;16-nov-97;03:16:00;34.58;5.87;172.11964;3.31;26.22;0.09;21.08;1.66;0.01;0.02;0.479
18PZ97042_514;31;47.08299;-59.91711;193622;347.1;16-nov-97;03:16:00;34.75;5.78;176.80894;3.35;29.01;0.09;22.5;1.76;0.01;0.01;0.482
18PZ97042_515;41;47.18338;-59.79965;193623;6.05;16-nov-97;05:40:00;31.67;6.59;325.83936;6.88;2.48;0.14;1.01;0.5;0.82;0.73;2.08
18PZ97042_515;41;47.18338;-59.79965;193624;15.77;16-nov-97;05:40:00;31.7;6.41;321.86462;NaN;2.04;0.14;1.15;0.47;0.76;0.75;2.085
18PZ97042_515;41;47.18338;-59.79965;193625;25.58;16-nov-97;05:40:00;31.71;6.22;317.04134;6.9;2.3;0.14;1.39;0.47;0.56;0.58;2.061
18PZ97042_515;41;47.18338;-59.79965;193626;50.07;16-nov-97;05:40:00;32.12;3.47;311.41418;6.91;2.78;0.16;2.14;0.56;0.43;0.45;1.04
18PZ97042_515;41;47.18338;-59.79965;193627;98.85;16-nov-97;05:40:00;32.66;0.58;311.36952;6.89;7.34;0.1;8.93;1.07;0.02;0.04;0.54
