CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;OXYM_01;Si_01;PO4_01;NOx_01;CHL_03;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL00002_002;STN27;47.5467;-52.5867;197901;167;22-apr-00;21:55:00;168.04;7.51993282579489;9.55;1.98;8.58;NaN;NaN
18TL00002_002;STN27;47.5467;-52.5867;197902;150;22-apr-00;21:55:00;150.71;7.4799328257949;9.05;2.04;8.49;NaN;NaN
18TL00002_002;STN27;47.5467;-52.5867;197903;100;22-apr-00;21:55:00;100.43;8.10992610837438;6.39;1.78;6.87;0.34;0.32
18TL00002_002;STN27;47.5467;-52.5867;197904;76;22-apr-00;21:55:00;77.11;8.29992610837438;5.15;1.74;6.32;0.88;0.83
18TL00002_002;STN27;47.5467;-52.5867;197905;52;22-apr-00;21:55:00;52.74;8.37992386923422;2.93;1.63;4.88;2.85;3.53
18TL00002_002;STN27;47.5467;-52.5867;197906;41;22-apr-00;21:55:00;41.55;9.02991939095388;0.4;0.87;0.14;1.55;1.48
18TL00002_002;STN27;47.5467;-52.5867;197907;31;22-apr-00;21:55:00;31.58;9.1199171518137;0.35;0.87;0.08;1.28;1.09
18TL00002_002;STN27;47.5467;-52.5867;197908;20;22-apr-00;21:55:00;20.32;9.1199171518137;0.31;0.84;0.07;0.9;1.02
18TL00002_002;STN27;47.5467;-52.5867;197909;11;22-apr-00;21:55:00;11.46;9.1199171518137;0.43;0.86;0.14;1.14;1.02
18TL00002_002;STN27;47.5467;-52.5867;197910;7;22-apr-00;21:55:00;6.7;9.1099171518137;0.31;0.79;0;1.11;0.95
18TL00002_004;HB-06;46.7317;-48.7817;221192;74;01-may-00;14:43:00;74.84;7.6199328257949;NaN;NaN;NaN;NaN;NaN
18TL00002_004;HB-06;46.7317;-48.7817;221193;5;01-may-00;14:43:00;4.56;8.90991939095387;NaN;NaN;NaN;NaN;NaN
18TL00002_005;HB-07;46.7483;-48.8117;221194;75;01-may-00;15:35:00;75.91;7.74993058665472;NaN;NaN;NaN;NaN;NaN
18TL00002_005;HB-07;46.7483;-48.8117;221195;5;01-may-00;15:35:00;4.6;8.91991939095388;NaN;NaN;NaN;NaN;NaN
18TL00002_006;HB-08;46.77;-48.7817;221196;78;01-may-00;16:25:00;78.51;7.5499328257949;NaN;NaN;NaN;NaN;NaN
18TL00002_006;HB-08;46.77;-48.7817;221197;5;01-may-00;16:25:00;4.84;8.90991939095387;NaN;NaN;NaN;NaN;NaN
18TL00002_008;FC-12;47;-48.1167;221198;130;01-may-00;20:56:00;130.65;7.4799328257949;10.24;2.13;8.89;NaN;NaN
18TL00002_008;FC-12;47;-48.1167;221199;101;01-may-00;20:56:00;101.34;7.77993058665473;7.8;1.97;8.51;1.8;1.52
18TL00002_008;FC-12;47;-48.1167;221200;76;01-may-00;20:56:00;76.16;8.24992610837439;5.29;1.95;7.07;3.21;3.48
18TL00002_008;FC-12;47;-48.1167;221201;50;01-may-00;20:56:00;50.25;8.76992163009404;0.57;1.56;2.92;5.35;6.47
18TL00002_008;FC-12;47;-48.1167;221202;40;01-may-00;20:56:00;40.21;9.13991939095387;0.36;0.98;0.68;6.18;7.27
18TL00002_008;FC-12;47;-48.1167;221203;30;01-may-00;20:56:00;30.11;9.31991491267353;0.23;0.8;0.1;5.26;6.06
18TL00002_008;FC-12;47;-48.1167;221204;20;01-may-00;20:56:00;20.09;9.39991491267353;0.31;0.77;0.05;4.65;5.34
18TL00002_008;FC-12;47;-48.1167;221205;10;01-may-00;20:56:00;10.05;9.42991491267353;0.13;0.68;0.03;2.99;3.39
