CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18TL12001_1198;1011;47.83167;-61.74933;347250;52.55;17-jun-12;14:07:00;31.55;0.31;326.2413;8.1;7.3645;6.76;0.065;4.72;0.97;0.3;0.798
18TL12001_1198;1011;47.83167;-61.74933;347251;26.47;17-jun-12;14:07:00;30.89;0.72;351.87614;8.221;NaN;1.71;0.035;2.285;0.625;0.7;2.327
18TL12001_1198;1011;47.83167;-61.74933;347252;16.06;17-jun-12;14:07:00;30.6;3.8;355.89554;8.329;NaN;0.95;0;0.03;0.37;1.14;2.731
18TL12001_1198;1011;47.83167;-61.74933;347253;6.64;17-jun-12;14:07:00;30.67;9.78;316.6394;8.332;7.1715;0.83;0;0.02;0.29;0.555;1.041
18TL12001_1198;1011;47.83167;-61.74933;347254;2.38;17-jun-12;14:07:00;30.6;10.32;314.36174;8.341;NaN;0.82;0;0.02;0.285;0.57;0.821
18TL12001_1199;1061;47.8295;-62.25017;347273;51.46;18-jun-12;03:23:00;31.52;0.05;310.87826;8.045;7.113;5.705;0.07;5.34;1.08;0.265;0.78
18TL12001_1199;1061;47.8295;-62.25017;347274;24.19;18-jun-12;03:23:00;30.71;2.06;359.42368;8.288;NaN;1.195;0;0.05;0.485;1.105;4.759
18TL12001_1199;1061;47.8295;-62.25017;347275;16.76;18-jun-12;03:23:00;30.53;8.79;327.1345;8.352;NaN;0.835;0;0.035;0.255;0.605;2.882
18TL12001_1199;1061;47.8295;-62.25017;347276;5.85;18-jun-12;03:23:00;30.51;10.51;315.88018;8.36;7.068;0.89;0;0.035;0.255;0.39;1.977
18TL12001_1199;1061;47.8295;-62.25017;347277;1.78;18-jun-12;03:23:00;30.5;10.61;315.56756;8.368;NaN;0.89;0;0.04;0.25;0.385;1.944
18TL12001_1200;1071;47.82967;-62.75183;347278;61.87;18-jun-12;06:04:00;32;0.34;309.44914;8.075;7.007;7.595;0.1;7.195;1.025;0.21;0.734
18TL12001_1200;1071;47.82967;-62.75183;347279;49.67;18-jun-12;06:04:00;31.65;0.76;355.40428;8.216;NaN;2.695;0.04;2.7;0.69;0.195;0.883
18TL12001_1200;1071;47.82967;-62.75183;347280;25.09;18-jun-12;06:04:00;30.91;1.29;348.1247;8.228;NaN;3.4;0.05;3.025;0.695;0.465;1.917
