CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;CHL_01;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
18TL14133_2031;1001;47.801;-63.661;376814;65.14;18-sep-14;19:39:00;32.14;0.23;296.7657;0.09;17.615;1.315;12.14;0.165;NaN;0.13
18TL14133_2031;1001;47.801;-63.661;376815;24.69;18-sep-14;19:39:00;30.48;7.56;310.52098;0.425;2.6;0.67;2.325;0.21;NaN;0.237
18TL14133_2031;1001;47.801;-63.661;376816;4.96;18-sep-14;19:39:00;29.28;14.29;272.73862;1.52;1;0.235;0;0.06;NaN;0.627
18TL14133_2032;1011;47.97467;-63.99233;376817;79.41;18-sep-14;23:19:00;32.22;0.5;294.57736;0.11;18.12;1.335;12.36;0.165;NaN;0.101
18TL14133_2032;1011;47.97467;-63.99233;376818;25.09;18-sep-14;23:19:00;30.66;5.59;312.8433;0.295;5.64;0.8;4.66;0.21;NaN;0.174
18TL14133_2032;1011;47.97467;-63.99233;376819;5.06;18-sep-14;23:19:00;29.12;12.55;288.86088;1.96;0.79;0.29;0;0.04;NaN;0.723
18TL14133_2033;1041;47.99867;-64.11133;376824;38.87;19-sep-14;07:16:00;30.59;5.96;296.5424;0.315;5.585;0.755;3.875;0.18;NaN;0.155
18TL14133_2033;1041;47.99867;-64.11133;376825;25.09;19-sep-14;07:16:00;29.97;9.48;294.0861;0.445;2.79;0.59;2.035;0.125;NaN;0.192
18TL14133_2033;1041;47.99867;-64.11133;376826;5.26;19-sep-14;07:16:00;29.17;13.1;279.43762;1.585;0.925;0.27;0;0;NaN;0.59
18TL14133_2034;1061;47.94117;-64.35883;376827;26.67;19-sep-14;12:32:00;28.27;14.59;263.00274;2.1;2.135;0.29;0;0.045;NaN;0.526
18TL14133_2034;1061;47.94117;-64.35883;376828;5.55;19-sep-14;12:32:00;28.05;14.7;262.69012;2.27;1.8;0.265;0;0.055;NaN;0.633
18TL14133_2035;1071;47.79417;-64.123;376830;70.59;19-sep-14;15:16:00;31.89;0.65;307.97536;0.12;16.06;1.315;10.825;0.16;NaN;0.098
18TL14133_2035;1071;47.79417;-64.123;376831;24.79;19-sep-14;15:16:00;29.69;10.83;279.88422;0.315;2.335;0.505;1.645;0.1;NaN;0.154
18TL14133_2035;1071;47.79417;-64.123;376832;5.26;19-sep-14;15:16:00;29.02;12.87;281.26868;1.735;0.85;0.285;0;0;NaN;0.502
18TL14133_2036;1081;47.69517;-64.38517;376833;38.27;19-sep-14;17:52:00;29.89;9.12;246.56786;0.315;11.675;0.89;3.645;0.2;NaN;0.221
18TL14133_2036;1081;47.69517;-64.38517;376834;24.79;19-sep-14;17:52:00;28.47;14.69;265.81632;1.625;2.15;0.27;0;0;NaN;0.579
18TL14133_2036;1081;47.69517;-64.38517;376835;5.55;19-sep-14;17:52:00;28.39;14.83;268.6299;2.145;1.66;0.245;0;0;NaN;0.719
18TL14133_2037;1091;47.6685;-64.55933;376836;25.29;19-sep-14;18:58:00;28.3;14.87;254.87462;1.87;4.295;0.395;0.575;0.115;NaN;0.601
