CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18TL16003_002;1;42.25416;-65.55168;429213;109.83;10-mar-16;17:23:00;109.832;34.9493;11.6334;5.3675;0.77048;3.89667;0.62067;8.72667;34.947;0.23667;5.6
18TL16003_002;1;42.2544;-65.5506;429214;49.75;10-mar-16;17:26:00;49.751;34.6484;10.9044;5.6337;0.75898;3.57667;0.57733;7.7;NaN;0.23667;NaN
18TL16003_002;1;42.25444;-65.55006;429215;25.46;10-mar-16;17:27:00;25.469;32.762;6.0795;6.7413;NaN;NaN;NaN;NaN;NaN;NaN;NaN
18TL16003_002;1;42.2545;-65.54954;429216;6.1;10-mar-16;17:28:00;6.107;32.0915;4.6886;7.2634;1.37997;3.13333;0.56467;3.75;NaN;0.17;6.3035
18TL16003_003;8;43.81178;-63.92228;429247;211.44;15-mar-16;04:54:00;211.441;35.1369;10.5194;2.5015;0.03132;20.81667;1.59967;20.60667;35.13;0.07;2.681
18TL16003_003;8;43.81186;-63.92382;429248;50.48;15-mar-16;04:59:00;50.481;31.6368;2.8949;7.4338;1.43747;2.35333;0.604;2.87;NaN;0.12;NaN
18TL16003_003;8;43.81188;-63.92424;429249;24.73;15-mar-16;05:01:00;24.734;31.0142;1.4065;7.8288;0.55199;5.59333;0.74633;5.10333;NaN;0.15;NaN
18TL16003_003;8;43.81192;-63.92456;429250;5.09;15-mar-16;05:02:00;5.093;31.0121;1.4029;7.8442;0.57499;5.63;0.74433;5.13333;NaN;0.14;8.121
18TL16003_025;9;43.80387;-64.07472;429251;199.09;15-mar-16;17:21:00;199.099;34.9896;10.5515;2.9887;0.08416;15.86333;1.52567;18.25333;34.985;0.18333;3.487
18TL16003_025;9;43.80345;-64.07657;429252;50.07;15-mar-16;17:26:00;50.077;31.4923;2.5881;7.5211;1.27647;2.51;0.56067;2.86333;NaN;0.11333;NaN
18TL16003_025;9;43.80337;-64.07701;429253;24.68;15-mar-16;17:28:00;24.68;31.1501;1.7232;7.7995;0.74748;4.98;0.70333;4.68667;NaN;0.13333;NaN
18TL16003_025;9;43.80318;-64.07762;429254;4.6;15-mar-16;17:29:00;4.607;31.1496;1.7803;7.8272;0.64398;5.34333;0.70633;4.77667;NaN;0.13333;7.9335
18TL16003_036;10;43.36502;-64.35478;429255;179.93;15-mar-16;21:48:00;179.931;34.9061;10.2485;3.011;0.04216;15.94333;1.408;18.38;34.899;0.05;3.193
18TL16003_036;10;43.36622;-64.35652;429256;50.75;15-mar-16;21:54:00;50.754;31.8612;3.4633;7.2821;0.97748;1.96667;0.53867;2.18667;NaN;0.11667;NaN
18TL16003_036;10;43.36644;-64.35694;429257;24.95;15-mar-16;21:55:00;24.957;31.2036;2.3253;7.6802;0.67848;4.31;0.651;4.15667;NaN;0.14333;NaN
18TL16003_036;10;43.36656;-64.35724;429258;4.74;15-mar-16;21:56:00;4.741;31.2018;2.3345;7.6793;0.64398;4.23667;0.65967;4.10333;NaN;0.14667;7.8155
18TL16003_047;11;43.2367;-63.97243;429259;89.04;16-mar-16;01:16:00;89.044;32.6923;5.5852;6.4325;0.25163;2.65333;0.58167;3.19;32.716;0.17333;6.544
18TL16003_047;11;43.23676;-63.97347;429260;50.16;16-mar-16;01:18:00;50.162;31.6549;3.012;7.5624;2.43594;1.76333;0.54233;2.18333;NaN;0.11333;NaN
18TL16003_047;11;43.23684;-63.97434;429261;25.37;16-mar-16;01:20:00;25.379;31.6108;2.9229;7.6027;2.47942;1.84333;0.54333;2.23;NaN;0.11;NaN
18TL16003_047;11;43.23694;-63.97503;429262;4.76;16-mar-16;01:21:00;4.766;31.4841;2.6925;7.6863;2.30542;2.37667;0.564;2.54667;NaN;0.12;7.822
18TL16003_069;13;43.07736;-63.95948;429263;94.09;16-mar-16;04:35:00;94.096;33.6704;7.955;4.9338;0.18721;7;0.88633;9.39;33.64;0.13;5.1595
18TL16003_069;13;43.07796;-63.96077;429264;51.61;16-mar-16;04:37:00;51.617;32.1727;4.2752;6.9317;0.61232;1.80333;0.53267;2.01333;NaN;0.12;NaN
18TL16003_069;13;43.07846;-63.96155;429265;24.72;16-mar-16;04:38:00;24.729;31.6262;2.9378;7.5015;1.25347;2.23;0.56767;2.36;NaN;0.13;NaN
18TL16003_069;13;43.07882;-63.96214;429266;4.6;16-mar-16;04:39:00;4.605;31.512;2.7205;7.5576;1.25348;2.52667;0.59167;2.85333;NaN;0.15333;7.722
18TL16003_080;14;43.20816;-63.47292;429267;149.46;16-mar-16;08:58:00;149.467;35.1315;10.686;2.9256;0.05179;15.32333;1.40933;19.62;35.127;0.08333;3.086
18TL16003_080;14;43.20763;-63.47384;429268;50.09;16-mar-16;09:02:00;50.095;32.8379;5.7451;6.7888;0.35649;0.34333;0.417;1.43333;NaN;0.11333;NaN
18TL16003_080;14;43.20736;-63.47396;429269;25.27;16-mar-16;09:04:00;25.279;32.4338;4.774;7.0551;0.82798;0.8;0.452;1.44333;NaN;0.11667;NaN
18TL16003_080;14;43.2072;-63.47407;429270;4.81;16-mar-16;09:05:00;4.811;31.7287;3.2701;7.5289;1.94346;1.59667;0.51033;2.01333;NaN;0.12333;7.659
18TL16003_091;15;43.03396;-63.6156;429271;158.34;16-mar-16;11:47:00;158.346;35.0626;10.6814;3.0135;0.053;14.17333;1.34667;18.50667;35.058;0.06;3.2
18TL16003_091;15;43.03452;-63.615;429272;52.48;16-mar-16;11:52:00;52.485;32.6592;5.3506;6.8706;0.54049;0.76667;0.41967;1.48333;NaN;0.10333;NaN
18TL16003_091;15;43.03462;-63.61479;429273;26.22;16-mar-16;11:53:00;26.226;32.4839;5.0112;7.0466;0.77048;0.57667;0.42267;1.16667;NaN;0.09667;NaN
18TL16003_091;15;43.03476;-63.61485;429274;5;16-mar-16;11:54:00;5.001;32.4449;4.9406;7.0816;0.78198;0.64333;0.40633;1.28333;NaN;0.09667;7.24
18TL16003_113;2;42.43276;-65.33844;429217;107.06;10-mar-16;19:39:00;107.066;33.1198;6.6244;5.3562;0.41399;8.07333;0.902;11.2;33.12;0.13;5.0585
18TL16003_113;2;42.43157;-65.33698;429218;50.84;10-mar-16;19:42:00;50.848;32.2987;4.7453;6.8975;1.85146;2.28333;0.53267;4.08667;NaN;0.17;NaN
18TL16003_113;2;42.43092;-65.33626;429219;24.53;10-mar-16;19:43:00;24.531;31.9432;4.1383;7.2333;1.31097;2.47667;0.53733;3.90333;NaN;0.16333;NaN
18TL16003_113;2;42.43045;-65.33574;429220;5.39;10-mar-16;19:44:00;5.392;31.9258;4.1773;7.3119;1.78247;2.54;0.54;4.08667;NaN;0.16;6.7965
18TL16003_114;16;42.84158;-63.61037;429275;180.02;16-mar-16;15:20:00;180.028;35.3372;10.6718;3.3022;0.04095;11.13;1.342;20.55;35.341;0.07667;3.505
18TL16003_114;16;42.84317;-63.6135;429276;52;16-mar-16;15:26:00;52.004;33.9513;8.9203;6.2796;2.13143;1.88333;0.458;3.8;NaN;0.17667;NaN
18TL16003_114;16;42.84353;-63.61436;429277;25.77;16-mar-16;15:27:00;25.772;33.5004;7.6812;6.4687;0.93148;1.01667;0.437;2.60333;NaN;0.16;NaN
18TL16003_114;16;42.84382;-63.61497;429278;5.08;16-mar-16;15:28:00;5.086;33.4004;7.4847;6.4862;0.79348;1.08667;0.43433;2.71333;NaN;0.14333;6.6595
