CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;FLOR;CHL_04
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3);(mg/m**3)
18TL17008_1596;1001;46.837;-64.6755;421515;20.03;11-jun-17;15:04:00;28.54;4.78;308.91322;6.8865;11.375;0.12;5.32333;0.57;NaN;0.451;1.65
18TL17008_1596;1001;46.837;-64.6755;421516;2.38;11-jun-17;15:04:00;25.78;11.98;326.2413;7.097;6.605;0.04333;1.46667;0.15333;NaN;1.209;4.12
18TL17008_1597;1021;47.16733;-64.24667;421517;37.68;11-jun-17;19:09:00;30.04;1.46;312.30738;6.735;6.305;0.08333;2.36;0.69667;NaN;0.287;0.37
18TL17008_1597;1021;47.16733;-64.24667;421518;26.48;11-jun-17;19:09:00;29.73;3.87;349.55382;7.7115;3.195;0.06;1.82333;0.36333;NaN;0.251;0.67
18TL17008_1597;1021;47.16733;-64.24667;421519;2.08;11-jun-17;19:09:00;27.37;10.7;365.36346;8.2485;0.105;0.01;0.09;0.01333;NaN;2.398;3.935
18TL17008_1598;1041;47.5005;-63.76217;421520;61.08;11-jun-17;23:50:00;31.02;-1.24;300.1152;6.5575;10.475;0.155;7.72;1.175;NaN;0.18;0.185
18TL17008_1598;1041;47.5005;-63.76217;421521;25.38;11-jun-17;23:50:00;30.06;1.93;342.58686;7.6485;4.94;0.16;3.68;0.625;NaN;0.2;0.2
18TL17008_1598;1041;47.5005;-63.76217;421522;1.59;11-jun-17;23:50:00;26.66;10.89;349.37518;7.885;2.425;0.02;0.14667;0.02;NaN;4.677;7.455
18TL17008_1599;1061;46.85967;-63.7575;421523;30.94;12-jun-17;04:06:00;30.11;1.81;321.59666;7.3075;3.265;0.03;0.235;0.33;NaN;0.939;3.28
18TL17008_1599;1061;46.85967;-63.7575;421524;2.08;12-jun-17;04:06:00;28.05;10.45;331.33254;7.519;0.13;0.01667;0.08;0.02333;NaN;2.745;3.355
18TL17008_1600;1071;46.5005;-63.25083;421525;20.23;12-jun-17;07:46:00;28.45;10.16;303.42004;6.8725;0.84;0.02;0.08667;0.1;NaN;1.258;1.905
18TL17008_1600;1071;46.5005;-63.25083;421526;1.98;12-jun-17;07:46:00;28.39;10.42;298.90938;6.8145;0.895;0.01;0.105;0.085;NaN;1.213;1.78
18TL17008_1601;1091;47.1675;-63.2385;421527;60.19;12-jun-17;12:19:00;30.97;-1.2;311.86078;6.8295;3.955;0.115;6.65;1.03;NaN;0.344;0.485
18TL17008_1601;1091;47.1675;-63.2385;421528;26.28;12-jun-17;12:19:00;30.2;3.04;361.87998;7.9185;0.97;0.05;1.26;0.32;NaN;1.711;1.89
18TL17008_1601;1091;47.1675;-63.2385;421529;2.58;12-jun-17;12:19:00;29.89;7.88;339.416;7.6;0.765;0.005;0.13;0.025;NaN;0.438;1.845
18TL17008_1602;1131;46.836;-62.7495;421530;51.17;12-jun-17;21:53:00;31.08;-1.08;318.11318;7.0905;3.57;0.09667;5.56;0.92667;NaN;0.298;0.69
18TL17008_1602;1131;46.836;-62.7495;421531;24.69;12-jun-17;21:53:00;30.38;5.98;357.63728;8.0275;0.085;0.01;0.175;0.095;NaN;1.758;2.68
