CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;DOXY;PHPH;Si_01;PO4_01;NOx_01;NO2_01;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_01;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(ml/l);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18VA16668_1711;11;47.78333;-64.03333;329921;72.18;12-may-16;18:26:00;31.11;-1.09;316.59474;8.553;13.23667;1.21667;9.59667;0.13;NaN;NaN;NaN;NaN;NaN;0.225;0.436
18VA16668_1711;11;47.78333;-64.03333;329922;67.42;12-may-16;18:26:00;31.03;-1.13;319.67628;8.583;7.38667;1.00667;7.04333;0.11;NaN;NaN;NaN;NaN;NaN;0.3;0.5
18VA16668_1711;11;47.78333;-64.03333;329923;57.31;12-may-16;18:26:00;30.75;-1.1;341.91696;8.607;6.28667;0.96;6.76;0.11;NaN;NaN;NaN;NaN;NaN;0.38;0.792
18VA16668_1711;11;47.78333;-64.03333;329924;47.39;12-may-16;18:26:00;30.63;-0.99;343.34608;8.691;3.34667;0.77667;4.29333;0.09333;NaN;NaN;NaN;NaN;NaN;0.505;0.779
18VA16668_1711;11;47.78333;-64.03333;329925;37.48;12-may-16;18:26:00;30.51;-0.09;362.01396;8.812;0.59;0.46333;0.79333;0.04667;NaN;NaN;NaN;NaN;NaN;0.405;0.648
18VA16668_1711;11;47.78333;-64.03333;329926;27.57;12-may-16;18:26:00;30.18;1.89;368.17704;8.84;0.65;0.39;0.65667;0.03333;NaN;NaN;NaN;NaN;NaN;0.98;0.672
18VA16668_1711;11;47.78333;-64.03333;329927;17.65;12-may-16;18:26:00;29.98;2.41;364.38094;8.86;0.48333;0.36;0.51667;0.04333;NaN;NaN;NaN;NaN;NaN;1.32;1.751
18VA16668_1711;11;47.78333;-64.03333;329928;7.73;12-may-16;18:26:00;29.69;3.02;363.26444;8.865;0.55333;0.36333;0.59333;0.05;NaN;NaN;NaN;NaN;NaN;1.41;0.543
18VA16668_1711;11;47.78333;-64.03333;329929;2.78;12-may-16;18:26:00;28.84;4.62;355.22564;8.875;0.5;0.31333;0.55333;0.05;NaN;NaN;NaN;NaN;NaN;0.65;0.244
18VA16668_1711;11;47.78333;-64.03333;329930;1.49;12-may-16;18:26:00;28.61;5.02;355.44894;8.875;0.55;0.26;0.58333;0.06667;NaN;NaN;NaN;NaN;NaN;0.335;0.169
18VA16668_1712;12;47.78333;-64.03333;329931;79.81;27-may-16;13:19:00;32.16;0.59;254.20472;8.444;16.12;1.395;9.945;0.23;NaN;NaN;NaN;NaN;NaN;0.2;0.36
