CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
18VA17666_002;HL_02;44.2675;-63.3175;297254;141.25;16-jan-17;15:53:00;141.252;33.6895;7.212;4.2943;NaN;0.0364;12.285;1.163;12.63;33.807;0.035;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297255;101.03;16-jan-17;15:52:00;101.033;32.663;3.9864;5.6112;NaN;0.04611;9.475;1.036;9.005;NaN;0.025;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297256;75.84;16-jan-17;15:51:00;75.843;32.0732;4.075;6.0976;NaN;0.07038;7.31;0.8405;6.905;NaN;0.05;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297257;50.93;16-jan-17;15:50:00;50.931;31.2794;3.2698;6.9223;NaN;0.19174;5.635;0.69;4.76;NaN;0.16;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297258;40.77;16-jan-17;15:49:00;40.772;30.8352;2.902;7.1719;NaN;0.32523;5.775;0.71;4.37;30.83;0.165;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297259;30.65;16-jan-17;15:49:00;30.655;30.7807;2.726;7.1973;NaN;0.32765;5.78;0.674;4.285;NaN;0.17;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297260;20.54;16-jan-17;15:49:00;20.549;30.7796;2.7703;7.1898;NaN;0.25333;5.785;0.6675;4.325;NaN;0.185;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297261;10.5;16-jan-17;15:49:00;10.503;30.7679;2.7484;7.2084;NaN;0.24925;5.845;0.678;4.355;NaN;0.17;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297262;5.51;16-jan-17;15:48:00;5.511;30.7665;2.7388;7.2153;NaN;0.19613;5.84;0.6775;4.385;NaN;0.165;NaN
18VA17666_002;HL_02;44.2675;-63.3175;297263;2.19;16-jan-17;15:48:00;2.199;30.7653;2.737;7.2021;NaN;0.24516;5.76;0.7045;4.325;30.808;0.175;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297264;141.32;31-jan-17;14:26:00;141.327;33.9399;7.8882;3.9154;NaN;0.02184;13.45;1.186;12.445;33.94;0.07;4.272
18VA17666_113;HL_02;44.2675;-63.3175;297265;101.27;31-jan-17;14:25:00;101.275;32.8853;4.9164;5.2887;NaN;0.04611;10.26;1.021;8.755;NaN;0.06;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297266;76.48;31-jan-17;14:24:00;76.48;32.5166;5.0523;6.1018;NaN;0.14077;6.16;0.748;5.175;NaN;0.13;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297267;51.42;31-jan-17;14:23:00;51.427;31.8811;3.5706;6.7984;NaN;0.24999;5.83;0.728;4.62;NaN;0.145;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297268;40.88;31-jan-17;14:23:00;40.882;31.2164;2.3476;7.2026;NaN;0.25484;6.035;0.718;3.805;31.353;0.15;7.4765
18VA17666_113;HL_02;44.2675;-63.3175;297269;31.19;31-jan-17;14:22:00;31.199;31.1728;2.227;7.2422;NaN;0.29367;6.315;0.7165;4.355;NaN;0.15;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297270;20.72;31-jan-17;14:22:00;20.724;31.1534;2.2061;7.2341;NaN;0.31552;6.375;0.7135;3.655;NaN;0.145;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297271;10.61;31-jan-17;14:22:00;10.617;31.0524;1.9814;7.2995;NaN;0.24107;6.47;0.7065;4.235;NaN;0.16;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297272;5.47;31-jan-17;14:22:00;5.474;31.0491;1.9871;7.309;NaN;0.2329;6.46;0.7125;3.86;NaN;0.16;NaN
18VA17666_113;HL_02;44.2675;-63.3175;297273;1.4;31-jan-17;14:17:00;1.402;31.9734;2.0442;6.6792;NaN;0.2043;6.51;0.737;3.76;31.063;0.17;7.669
18VA17666_225;HL_02;44.2675;-63.3175;297274;140.78;10-apr-17;14:07:00;140.788;34.5078;9.4116;3.4028;NaN;0.15359;13.485;1.278;14.895;34.638;0.115;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297275;101.3;10-apr-17;14:05:00;101.307;32.6592;3.7151;5.1618;NaN;1.52769;2.545;0.598;2.265;NaN;0.15;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297276;75.65;10-apr-17;14:04:00;75.653;32.4632;3.1029;5.0377;NaN;2.31949;0.85;0.4775;1.36;NaN;0.135;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297277;50.88;10-apr-17;14:04:00;50.881;32.2491;2.4414;5.2365;NaN;1.58147;5.45;0.775;4.13;NaN;0.13;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297278;40.52;10-apr-17;14:03:00;40.52;32.0575;2.1281;5.4189;NaN;2.28435;1.68;0.5485;1.755;32.229;0.12;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297279;30.94;10-apr-17;14:03:00;30.944;31.9968;1.9793;5.4599;NaN;3.86582;1.255;0.5125;1.47;NaN;0.105;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297280;20.69;10-apr-17;14:03:00;20.698;31.3466;0.9544;5.6281;NaN;6.32588;1.55;0.5145;1.575;NaN;0.105;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297281;10.53;10-apr-17;14:02:00;10.53;30.906;-0.3129;5.6872;NaN;11.98604;0.625;0.401;0.815;NaN;0.075;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297282;5.57;10-apr-17;14:02:00;5.575;30.7811;0.3034;5.5183;NaN;5.15854;1.615;0.4155;0.96;NaN;0.095;NaN
18VA17666_225;HL_02;44.2675;-63.3175;297283;1.53;10-apr-17;13:59:00;1.538;30.0466;0.6377;5.3648;NaN;3.79553;1.735;0.4115;0.94;30.809;0.1;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297284;141.39;23-may-17;13:26:00;141.393;34.1141;8.2157;3.957;NaN;0.05097;10.43;1.0795;10.165;34.059;0.105;4.778
18VA17666_264;HL_02;44.2675;-63.3175;297285;101.03;23-may-17;13:24:00;101.033;32.6229;3.5747;4.7972;NaN;0.0898;4.51;0.8155;4.78;NaN;0.195;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297286;75.93;23-may-17;13:23:00;75.934;32.1303;2.0449;5.123;NaN;0.09708;3.345;0.7815;2.71;NaN;0.14;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297287;50.62;23-may-17;13:22:00;50.629;31.952;1.8097;5.2495;NaN;0.1796;1.435;0.7035;2.23;NaN;0.13;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297288;40.66;23-may-17;13:22:00;40.664;31.8656;1.7958;5.3148;NaN;0.25727;0.91;0.636;1.665;31.966;0.115;7.8335
18VA17666_264;HL_02;44.2675;-63.3175;297289;30.8;23-may-17;13:22:00;30.804;31.8383;2.0823;5.3238;NaN;0.11892;0.695;0.5655;1.625;NaN;0.11;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297290;20.33;23-may-17;13:21:00;20.333;31.7781;4.4122;5.0817;NaN;0.37591;0.645;0.441;1.31;NaN;0.11;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297291;10.66;23-may-17;13:21:00;10.669;31.6132;6.0703;4.7599;NaN;0.47398;0.435;0.3905;0.89;NaN;0.07;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297292;5.5;23-may-17;13:21:00;5.506;31.1164;6.9303;4.5531;NaN;0.23698;0.3;0.3435;0.81;NaN;0.065;NaN
18VA17666_264;HL_02;44.2675;-63.3175;297293;2.41;23-may-17;13:21:00;2.411;31.0687;6.9347;4.3573;NaN;0.49032;0.245;0.3585;0.76;31.242;0.08;7.2955
18VA17666_284;HL_02;44.2675;-63.3175;398737;140.97;08-jun-17;13:50:00;140.972;33.8618;7.2477;3.2248;NaN;0.0267;12.4;1.164;11.85;34.163;0.115;4.548
18VA17666_284;HL_02;44.2675;-63.3175;398738;100.72;08-jun-17;13:48:00;100.726;32.1439;2.0793;4.4179;NaN;0.05339;5.915;0.906;4.04;NaN;0.195;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398739;75.97;08-jun-17;13:47:00;75.972;31.7556;2.5739;4.5919;NaN;0.21844;1.48;0.6305;1.85;NaN;0.11;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398740;50.7;08-jun-17;13:46:00;50.709;31.4384;3.3867;4.5158;NaN;0.17978;1.205;0.517;1.43;NaN;0.125;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398741;40.34;08-jun-17;13:46:00;40.347;31.2491;4.0879;4.5249;NaN;0.25742;0.68;0.43;0.895;31.403;0.085;7.7275
18VA17666_284;HL_02;44.2675;-63.3175;398742;31.47;08-jun-17;13:46:00;31.474;31.0993;4.2905;6.4165;NaN;0.31053;0.61;0.3985;0.855;NaN;0.085;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398743;20.47;08-jun-17;13:45:00;20.479;30.948;5.6984;4.4048;NaN;0.38;0.495;0.362;0.76;NaN;0.07;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398744;10.62;08-jun-17;13:45:00;10.626;30.8954;5.6163;4.6739;NaN;0.35548;0.395;0.339;0.725;NaN;0.05;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398745;5.57;08-jun-17;13:45:00;5.572;30.8655;6.3461;5.9461;NaN;0.39226;0.405;0.3325;0.755;NaN;0.07;NaN
18VA17666_284;HL_02;44.2675;-63.3175;398746;1.07;08-jun-17;13:41:00;1.078;31.1015;6.4395;4.7623;NaN;0.38817;0.435;0.3435;0.81;31;0.055;7.5705
18VA17666_304;HL_02;44.2675;-63.3175;434991;140.77;29-aug-17;14:07:00;140.772;34.3993;8.9226;3.6724;7.287;0.0097;14.59;1.2855;15.145;34.447;0.04;3.8915
18VA17666_304;HL_02;44.2675;-63.3175;434992;101.25;29-aug-17;14:06:00;101.256;33.0876;5.2119;5.4809;7.281;0.04611;8.86;0.9985;8.885;NaN;0.04;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434993;75.78;29-aug-17;14:05:00;75.785;32.5834;3.0356;6.1893;7.284;0.07766;6.805;0.9055;7.265;NaN;0.035;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434994;50.58;29-aug-17;14:04:00;50.588;32.4621;4.2846;6.4518;7.255;0.20872;3.985;0.7625;4.595;NaN;0.095;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434995;40.33;29-aug-17;14:04:00;40.331;32.1644;3.0841;6.6849;7.273;0.24756;4.965;0.826;5.65;32.05;0.05;6.839
18VA17666_304;HL_02;44.2675;-63.3175;434996;30.54;29-aug-17;14:03:00;30.547;31.9474;3.2396;7.0443;7.272;1.29373;1.6;0.601;1.87;NaN;0.12;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434997;20.32;29-aug-17;14:03:00;20.32;31.5502;6.1002;7.2403;7.243;1.73229;1.245;0.447;0.135;NaN;0.06;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434998;10.39;29-aug-17;14:02:00;10.391;30.7623;13.8179;6.3184;7.153;0.81132;0.79;0.3155;0.12;NaN;0.03;NaN
18VA17666_304;HL_02;44.2675;-63.3175;434999;5.34;29-aug-17;14:02:00;5.349;30.7649;15.6331;5.9728;7.12;0.65783;0.495;0.2945;0.085;NaN;0.04;NaN
18VA17666_304;HL_02;44.2675;-63.3175;435000;1.69;29-aug-17;14:02:00;1.691;30.7539;15.866;5.9413;7.103;0.33505;0.57;0.2765;0.075;30.8;0.03;6.2085
18VA17666_315;HL_02;44.6937;-63.6403;441720;141.82;03-oct-17;14:05:00;141.822;33.9245;7.6314;4.33;7.647;0.0097;13.145;1.142;13.565;33.98;0.06;4.4355
18VA17666_315;HL_02;44.6937;-63.6403;441721;100.57;03-oct-17;14:03:00;100.578;33.0427;5.3098;5.7772;7.605;0.04611;8.075;0.8535;7.895;NaN;0.045;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441722;76.32;03-oct-17;14:03:00;76.329;32.6126;3.5702;6.1603;7.597;0.0631;7.51;0.8555;7.92;NaN;0.03;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441723;50.52;03-oct-17;14:02:00;50.522;32.4612;5.5211;6.5549;7.563;0.25242;3.075;0.5445;1.995;NaN;0.305;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441724;40.34;03-oct-17;14:01:00;40.348;32.0285;8.5128;6.2018;7.499;0.3228;1.82;0.4765;0.885;31.913;0.31;6.511
18VA17666_315;HL_02;44.6937;-63.6403;441725;30.68;03-oct-17;14:01:00;30.683;31.5768;16.4496;5.4217;7.325;0.51075;0.82;0.1665;0;NaN;0.025;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441726;20.55;03-oct-17;14:00:00;20.557;30.5735;16.9018;5.4747;7.26;0.37591;0.665;0.121;0;NaN;0.04;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441727;10.31;03-oct-17;14:00:00;10.317;30.3529;16.6949;5.4942;7.172;0.3228;1.065;0.1095;0.12;NaN;0.02;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441728;5.5;03-oct-17;14:00:00;5.5;30.3464;16.696;5.5139;7.123;0.30645;0.66;0.1005;0;NaN;0.01;NaN
18VA17666_315;HL_02;44.6937;-63.6403;441729;1.26;03-oct-17;14:00:00;1.269;30.3429;16.6964;5.5073;7.081;0.31053;0.59;0.103;0;30.43;0.02;5.685
