CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;terrain;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;CHL_01;OXYM_01;SSAL_XX;TEMP_XX;PO4_01;NOx_01;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mg/m**3);(mmol/m**3);((none));(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18VA70002_1853;11;47.09861;-60.25;11_39;0;05-may-70;01:00:00;3.12;8.87;31.16;1.19;0.41;0.28;1.14
18VA70002_1853;11;47.09861;-60.25;11_40;5;05-may-70;01:00:00;6.28;8.94;31.38;1;0.41;0.36;1.2
18VA70002_1853;11;47.09861;-60.25;11_41;15;05-may-70;01:00:00;7.18;8.11;31.57;0.75;0.4;0.78;1.37
18VA70002_1853;11;47.09861;-60.25;11_42;25;05-may-70;01:00:00;4.73;8.49;31.58;0.62;0.59;3.05;1.69
18VA70002_1853;11;47.09861;-60.25;11_43;50;05-may-70;01:00:00;NaN;8.11;31.64;0.11;0.69;5.59;3.7
18VA70002_1853;11;47.09861;-60.25;11_44;100;05-may-70;01:00:00;NaN;6.97;32.55;1.38;0.87;7.05;4.86
18VA70002_1853;11;47.09861;-60.25;11_45;150;05-may-70;01:00:00;NaN;5.33;33.75;3.71;1.16;14.11;13.61
18VA70002_1854;12;47.09861;-60.25;12_46;0;14-may-70;12:00:00;0.11;NaN;NaN;3.3;0.3;0.17;0.54
18VA70002_1854;12;47.09861;-60.25;12_47;5;14-may-70;12:00:00;0.14;NaN;NaN;2.2;0.36;0.09;0.24
18VA70002_1854;12;47.09861;-60.25;12_49;15;14-may-70;12:00:00;2.27;NaN;NaN;0.7;0.58;1.21;0.88
18VA70002_1854;12;47.09861;-60.25;12_50;25;14-may-70;12:00:00;1.09;NaN;NaN;0.6;0.64;0.89;0.73
18VA70002_1854;12;47.09861;-60.25;12_52;50;14-may-70;12:00:00;NaN;NaN;NaN;1;0.64;1.4;1.26
18VA70002_1854;12;47.09861;-60.25;12_53;100;14-may-70;12:00:00;NaN;NaN;NaN;2.1;0.92;8.61;6.73
18VA70002_1854;12;47.09861;-60.25;12_54;150;14-may-70;12:00:00;NaN;NaN;NaN;4.8;1.15;12.87;9.73
18VA70002_1855;13;47.09861;-60.25;13_80;0;01-jul-70;15:30:00;0.23;6.64;26.81;12.16;0.3;0.4;1.16
18VA70002_1855;13;47.09861;-60.25;13_81;5;01-jul-70;15:30:00;0.22;6.57;26.93;11.93;0.28;0.13;0.52
18VA70002_1855;13;47.09861;-60.25;13_82;15;01-jul-70;15:30:00;0.33;6.67;27.14;11.54;0.44;0.18;0.65
18VA70002_1855;13;47.09861;-60.25;13_83;25;01-jul-70;15:30:00;0.31;6.92;27.49;11.2;0.67;0.18;1.31
18VA70002_1855;13;47.09861;-60.25;13_84;50;01-jul-70;15:30:00;NaN;7.56;28.95;2.85;0.57;0.99;2.81
18VA70002_1855;13;47.09861;-60.25;13_85;75;01-jul-70;15:30:00;NaN;7.42;29.73;1.42;0.58;4.22;3.13
18VA70002_1855;13;47.09861;-60.25;13_86;150;01-jul-70;15:30:00;NaN;4.61;30.59;4.88;1.18;16.37;15.37
18VA70002_1856;14;47.09861;-60.25;14_87;0;28-jul-70;12:10:00;0.26;NaN;28.52;18.8;0.2;0.38;2.07
18VA70002_1856;14;47.09861;-60.25;14_88;5;28-jul-70;12:10:00;0.28;NaN;28.61;18.7;0.25;0.12;1.68
18VA70002_1856;14;47.09861;-60.25;14_90;15;28-jul-70;12:10:00;0.46;NaN;28.77;17.6;0.17;0.12;1.04
18VA70002_1856;14;47.09861;-60.25;14_92;25;28-jul-70;12:10:00;0.56;NaN;29.99;6.3;0.4;0.34;1.32
18VA70002_1856;14;47.09861;-60.25;14_94;50;28-jul-70;12:10:00;0.6;NaN;32.04;3.2;0.51;0.58;2.23
18VA70002_1856;14;47.09861;-60.25;14_95;75;28-jul-70;12:10:00;NaN;NaN;32.4;2.7;0.56;4.02;3.91
18VA70002_1856;14;47.09861;-60.25;14_96;100;28-jul-70;12:10:00;NaN;NaN;32.76;2.6;0.78;9.4;9.24
18VA70002_1856;14;47.09861;-60.25;14_97;150;28-jul-70;12:10:00;NaN;NaN;33.59;NaN;1.04;10.65;9.37
18VA70002_1857;15;47.09861;-60.25;130;0;03-sep-70;12:30:00;1.07;5.9;28.11;15.95;0.31;0.35;2
18VA70002_1857;15;47.09861;-60.25;132;5;03-sep-70;12:30:00;1.54;5.94;28.14;15.87;0.24;0.06;2.07
18VA70002_1857;15;47.09861;-60.25;134;15;03-sep-70;12:30:00;1.34;5.9;28.24;15.7;0.27;0;2.17
18VA70002_1857;15;47.09861;-60.25;135;25;03-sep-70;12:30:00;1.54;6.03;29.22;14.1;0.27;0.11;1.52
18VA70002_1857;15;47.09861;-60.25;136;50;03-sep-70;12:30:00;NaN;6.03;31.42;1.5;0.68;3.8;7.28
18VA70002_1857;15;47.09861;-60.25;137;75;03-sep-70;12:30:00;NaN;NaN;32.59;1.84;0.53;2.87;2.16
18VA70002_1857;15;47.09861;-60.25;138;100;03-sep-70;12:30:00;NaN;6.83;32.91;1.55;0.69;7.84;4.1
18VA70002_1857;15;47.09861;-60.25;139;150;03-sep-70;12:30:00;NaN;4.86;34.12;4.6;1.3;11.66;14.51
18VA70002_1858;16;47.09861;-60.25;140;0;02-nov-70;13:36:00;0.7;NaN;NaN;NaN;0.77;1.08;3.63
18VA70002_1858;16;47.09861;-60.25;142;5;02-nov-70;13:36:00;0.68;NaN;NaN;NaN;0.58;1.45;4.02
18VA70002_1858;16;47.09861;-60.25;145;15;02-nov-70;13:36:00;0.55;NaN;NaN;NaN;0.64;1.36;3.99
18VA70002_1858;16;47.09861;-60.25;146;25;02-nov-70;13:36:00;0.56;NaN;NaN;NaN;0.81;1.88;4.23
18VA70002_1858;16;47.09861;-60.25;148;50;02-nov-70;13:36:00;0.46;NaN;30.05;7;1.06;2.26;6.16
18VA70002_1859;1611;47.94444;-62.71667;2503;0;27-oct-70;18:40:00;0.6;NaN;NaN;NaN;0.48;1.3;2.98
18VA70002_1859;1611;47.94444;-62.71667;2504;5;27-oct-70;18:40:00;0.69;NaN;30.35;7.4;0.42;1.01;1.96
