CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL;TEMP_XX;DOXY;PHPH;CHL_01;Si_01;PO4_01;NOx_01;PSAL_BS;NO2_01;OXY_02
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(psu);(celsius);(ml/l);((none));(mg/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(PSU);(mmol/m**3);(ml/l)
32EV17606_005;CSL_05;47.43662;-59.54674;445103;467.88;06-dec-17;05:18:00;467.887;34.9695;5.8925;3.3798;7.946;NaN;31.635;1.756;21.87;34.973;0.03;3.5
32EV17606_005;CSL_05;47.4367;-59.54594;445104;302.09;06-dec-17;05:23:00;302.095;34.8282;6.9007;2.7749;7.922;NaN;26.955;1.7085;22.945;NaN;0.02;NaN
32EV17606_005;CSL_05;47.4367;-59.54538;445105;249.37;06-dec-17;05:25:00;249.371;34.6383;6.9129;2.876;7.917;NaN;23.785;1.616;21.21;34.651;0.03;3.0615
32EV17606_005;CSL_05;47.43676;-59.54498;445106;200.66;06-dec-17;05:27:00;200.66;34.1886;5.9074;3.7905;7.945;NaN;18.71;1.407;17.43;NaN;0.02;NaN
32EV17606_005;CSL_05;47.43668;-59.54432;445107;149.28;06-dec-17;05:30:00;149.286;33.171;2.1073;5.9225;7.991;NaN;12.315;1.091;10.71;NaN;0.025;NaN
32EV17606_005;CSL_05;47.43647;-59.54374;445108;100.94;06-dec-17;05:32:00;100.942;32.6558;0.8837;6.9548;8.021;0.02134;5.45;0.881;7.285;NaN;0.025;NaN
32EV17606_005;CSL_05;47.43649;-59.5432;445109;80.53;06-dec-17;05:33:00;80.539;32.4931;1.5764;6.926;8.037;0.02791;4.615;0.827;6.13;NaN;0.02;NaN
32EV17606_005;CSL_05;47.4364;-59.5427;445110;60.54;06-dec-17;05:35:00;60.549;32.1898;2.7228;6.8861;8.052;0.03283;4.195;0.7575;5.24;NaN;0.03;NaN
32EV17606_005;CSL_05;47.43628;-59.54228;445111;50.25;06-dec-17;05:37:00;50.259;31.6812;4.1042;6.8128;8.082;0.14448;4.025;0.628;3.815;NaN;0.155;NaN
32EV17606_005;CSL_05;47.4362;-59.5419;445112;40.08;06-dec-17;05:39:00;40.081;31.5689;5.4072;6.8671;8.134;0.33449;2.455;0.4695;1.89;NaN;0.16;NaN
32EV17606_005;CSL_05;47.4363;-59.5416;445113;29.79;06-dec-17;05:40:00;29.799;31.0945;4.5789;6.9821;8.141;0.42324;4.015;0.564;3.005;NaN;0.16;NaN
32EV17606_005;CSL_05;47.43622;-59.54113;445114;20.25;06-dec-17;05:42:00;20.258;30.5568;4.6687;6.8194;8.118;0.11263;5.73;0.6495;3.97;NaN;0.16;NaN
32EV17606_005;CSL_05;47.43598;-59.54072;445115;9.75;06-dec-17;05:44:00;9.753;29.9705;4.724;6.9833;8.117;0.33449;6.255;0.643;3.91;NaN;0.18;NaN
32EV17606_005;CSL_05;47.43586;-59.54032;445116;3.28;06-dec-17;05:45:00;3.282;29.9696;4.7201;6.9958;8.114;0.38228;6.26;0.638;3.93;29.976;0.19;7.2
32EV17606_005;CSL_05;47.43588;-59.54022;445117;3.25;06-dec-17;05:46:00;3.253;29.969;4.7152;6.99;8.111;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_007;CSL_06;47.58312;-59.33148;445118;238.08;06-dec-17;08:26:00;238.087;34.4116;6.4739;3.9114;8.004;NaN;16.785;1.3645;17.55;34.379;0.045;4.2725
32EV17606_007;CSL_06;47.58352;-59.33091;445119;197.39;06-dec-17;08:28:00;197.394;33.3803;2.7517;5.7284;8.037;NaN;11.505;1.101;11.8;NaN;0.04;NaN
32EV17606_007;CSL_06;47.5831;-59.33;445120;150.43;06-dec-17;08:29:00;150.439;32.8207;1.2408;6.6787;8.048;NaN;7.175;0.9285;8.26;NaN;0.095;NaN
32EV17606_007;CSL_06;47.58308;-59.32902;445121;100.41;06-dec-17;08:32:00;100.415;32.4412;1.9136;6.9647;8.069;0.03448;5.105;0.7935;5.965;NaN;0.155;NaN
32EV17606_007;CSL_06;47.58286;-59.32818;445122;82.05;06-dec-17;08:33:00;82.053;32.3238;2.2773;7.0006;8.086;0.03776;4.535;0.7455;5.22;NaN;0.175;NaN
32EV17606_007;CSL_06;47.5828;-59.32756;445123;61.12;06-dec-17;08:35:00;61.125;32.0066;3.5599;6.9206;8.106;0.17732;3.66;0.628;3.83;NaN;0.185;NaN
32EV17606_007;CSL_06;47.58278;-59.32689;445124;49.28;06-dec-17;08:36:00;49.286;31.8891;4.1885;6.8899;8.123;0.17066;3.31;0.5835;3.29;NaN;0.18;NaN
32EV17606_007;CSL_06;47.58258;-59.32604;445125;40.38;06-dec-17;08:37:00;40.388;31.6966;5.3061;6.8318;8.142;0.21503;2.44;0.475;1.99;NaN;0.17;NaN
32EV17606_007;CSL_06;47.58232;-59.32512;445126;30.47;06-dec-17;08:39:00;30.474;31.6103;5.3402;6.8766;8.161;0.33449;2.38;0.461;1.825;NaN;0.16;NaN
32EV17606_007;CSL_06;47.58212;-59.32408;445127;22.18;06-dec-17;08:40:00;22.182;31.5744;5.2192;6.9019;8.167;0.35839;2.48;0.4685;1.875;NaN;0.17;NaN
32EV17606_007;CSL_06;47.58183;-59.32309;445128;10.9;06-dec-17;08:41:00;10.904;31.5663;5.1906;6.9019;8.167;0.37204;2.485;0.466;1.92;NaN;0.18;NaN
32EV17606_007;CSL_06;47.58162;-59.32213;445129;2.8;06-dec-17;08:43:00;2.808;31.5619;5.2163;6.9102;8.171;0.41641;2.425;0.465;1.865;31.567;0.17;7.1
32EV17606_007;CSL_06;47.58152;-59.32185;445130;2.77;06-dec-17;08:43:00;2.777;31.5615;5.2145;6.9171;8.171;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_008;STAB_06;46.71338;-58.42984;445131;453.49;06-dec-17;16:30:00;453.493;34.9911;5.7727;3.928;7.992;NaN;25.27;1.603;20.645;34.994;0.035;4.1
32EV17606_008;STAB_06;46.71359;-58.42925;445132;401.33;06-dec-17;16:32:00;401.339;34.9902;5.8055;3.8773;7.993;NaN;25.675;1.6255;21.065;NaN;0.03;NaN
32EV17606_008;STAB_06;46.71402;-58.42854;445133;300.62;06-dec-17;16:35:00;300.621;34.974;6.7798;3.2766;7.975;NaN;23.245;1.661;22.81;34.977;0.02;3.5015
32EV17606_008;STAB_06;46.71432;-58.42773;445134;200.91;06-dec-17;16:38:00;200.913;34.6935;7.1432;3.5893;7.989;NaN;17.775;1.4705;19.88;NaN;0.03;NaN
32EV17606_008;STAB_06;46.71442;-58.42712;445135;150.01;06-dec-17;16:41:00;150.019;33.6571;4.2878;5.3232;8.027;NaN;11.13;1.122;12.095;NaN;0.045;NaN
32EV17606_008;STAB_06;46.71466;-58.42656;445136;101.06;06-dec-17;16:43:00;101.063;32.7086;1.2488;6.8455;8.047;0.02626;5.86;0.922;6.975;NaN;0.105;NaN
32EV17606_008;STAB_06;46.7148;-58.42618;445137;80.1;06-dec-17;16:45:00;80.109;32.5355;2.37;6.8606;8.06;0.05418;3.79;0.756;5.315;NaN;0.055;NaN
32EV17606_008;STAB_06;46.71512;-58.42583;445138;60.29;06-dec-17;16:47:00;60.299;31.8016;5.76;6.7519;8.117;0.18553;2.155;0.472;1.935;NaN;0.165;NaN
32EV17606_008;STAB_06;46.71527;-58.42568;445139;49.88;06-dec-17;16:48:00;49.881;31.7681;6.6404;6.6978;8.153;0.64324;1.62;0.377;1.18;NaN;0.1;NaN
32EV17606_008;STAB_06;46.71538;-58.42554;445140;39.84;06-dec-17;16:49:00;39.842;31.7785;6.9174;6.6634;8.169;0.80405;1.385;0.3355;0.88;NaN;0.08;NaN
32EV17606_008;STAB_06;46.71552;-58.42535;445141;29.73;06-dec-17;16:50:00;29.737;31.7788;6.9157;6.6531;8.181;0.86837;1.15;0.3175;0.855;NaN;0.07;NaN
32EV17606_008;STAB_06;46.71564;-58.42514;445142;20.33;06-dec-17;16:51:00;20.337;31.7787;6.9165;6.6584;8.187;0.83621;1.33;0.334;0.905;NaN;0.08;NaN
32EV17606_008;STAB_06;46.71578;-58.42482;445143;9.89;06-dec-17;16:52:00;9.891;31.7788;6.9147;6.6556;8.188;0.78797;1.34;0.337;0.805;NaN;0.085;NaN
32EV17606_008;STAB_06;46.71588;-58.4246;445144;4.36;06-dec-17;16:53:00;4.363;31.7788;6.9126;6.6712;8.191;0.82013;1.335;0.333;0.86;31.783;0.075;6.9
32EV17606_008;STAB_06;46.71589;-58.42452;445145;4.24;06-dec-17;16:53:00;4.24;31.7788;6.9123;6.6651;8.191;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_010;BP_00;45.0044;-56.02756;445146;90.22;07-dec-17;18:50:00;90.224;32.8222;-0.3417;6.955;8.057;0.04269;9.22;0.991;7.38;32.829;0.14;7.2
32EV17606_010;BP_00;45.00417;-56.02762;445147;80;07-dec-17;18:51:00;80.002;32.8222;-0.3366;6.9349;8.044;0.04597;9.135;0.9975;8.05;NaN;0.14;NaN
32EV17606_010;BP_00;45.00376;-56.02786;445148;60.5;07-dec-17;18:52:00;60.502;32.821;-0.2525;6.9269;8.031;0.05418;9.2;0.9955;8.24;NaN;0.14;NaN
32EV17606_010;BP_00;45.00347;-56.02799;445149;50;07-dec-17;18:53:00;50.008;32.5741;3.7444;6.2301;8.016;0.11329;7.635;0.83;5.85;NaN;0.16;NaN
32EV17606_010;BP_00;45.00326;-56.02802;445150;39.97;07-dec-17;18:55:00;39.97;32.0062;7.3709;6.4516;8.092;0.41982;2.05;0.3205;1.015;NaN;0.08;NaN
32EV17606_010;BP_00;45.00318;-56.02798;445151;30.09;07-dec-17;18:56:00;30.091;31.9011;7.7342;6.5215;8.137;0.90053;1.355;0.261;0.47;NaN;0.055;NaN
32EV17606_010;BP_00;45.00312;-56.02792;445152;20.13;07-dec-17;18:57:00;20.133;31.8962;7.7681;6.5497;8.156;0.94878;1.31;0.2565;0.39;NaN;0.05;NaN
32EV17606_010;BP_00;45.00304;-56.02786;445153;10.68;07-dec-17;18:58:00;10.688;31.8934;7.7751;6.5438;8.166;0.94878;1.345;0.2635;0.395;NaN;0.05;NaN
32EV17606_010;BP_00;45.00301;-56.02784;445154;4.31;07-dec-17;18:59:00;4.313;31.8925;7.7792;6.5443;8.17;0.96486;1.295;0.252;0.385;31.895;0.05;6.7725
32EV17606_010;BP_00;45.00299;-56.02782;445155;3.99;07-dec-17;18:59:00;3.991;31.8925;7.7791;6.5563;8.171;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_012;BP_01;44.97288;-56.14574;445156;232.78;07-dec-17;20:28:00;232.78;34.4945;6.3996;4.5705;8.019;NaN;11.575;1.212;16.04;34.486;0.1;4.8715
32EV17606_012;BP_01;44.97226;-56.147;445157;99.32;07-dec-17;20:31:00;99.325;32.854;0.0776;6.6922;8.018;0.04269;9.675;1.015;7.58;NaN;0.135;NaN
32EV17606_012;BP_01;44.97196;-56.14776;445158;79.92;07-dec-17;20:33:00;79.924;32.8405;-0.0577;6.785;8.014;0.05582;8.175;0.915;6.65;NaN;0.115;NaN
32EV17606_012;BP_01;44.97168;-56.14849;445159;59.98;07-dec-17;20:34:00;59.981;32.5959;3.6909;6.1906;8.015;0.12806;7.56;0.831;5.2;NaN;0.155;NaN
32EV17606_012;BP_01;44.97144;-56.14909;445160;51.65;07-dec-17;20:35:00;51.656;32.2888;6.0289;6.2425;8.062;0.18431;4.09;0.5315;2.5;NaN;0.125;NaN
32EV17606_012;BP_01;44.97126;-56.14953;445161;40.03;07-dec-17;20:36:00;40.036;31.9435;7.7922;6.5508;8.126;0.94878;1.365;0.2705;0.405;NaN;0.065;NaN
32EV17606_012;BP_01;44.971;-56.15011;445162;29.96;07-dec-17;20:38:00;29.965;31.9382;7.805;6.5581;8.157;0.96486;1.245;0.255;0.37;NaN;0.05;NaN
32EV17606_012;BP_01;44.97078;-56.15054;445163;20.42;07-dec-17;20:38:00;20.42;31.9379;7.801;6.5569;8.169;0.99702;1.37;0.2615;0.41;NaN;0.05;NaN
32EV17606_012;BP_01;44.9706;-56.15097;445164;10.69;07-dec-17;20:39:00;10.691;31.9373;7.7972;6.557;8.174;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_012;BP_01;44.9704;-56.15133;445165;3.48;07-dec-17;20:40:00;3.48;31.9363;7.7916;6.5596;8.175;1.02918;1.385;0.2705;0.41;31.94;0.05;6.8
32EV17606_012;BP_01;44.97034;-56.15147;445166;3.37;07-dec-17;20:40:00;3.377;31.9356;7.7903;6.5667;8.176;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_015;BP_04;44.92092;-56.4666;445167;386.89;07-dec-17;23:07:00;386.899;34.9957;6.0391;3.8148;7.996;NaN;24.25;1.6075;21.295;35;0.04;4
32EV17606_015;BP_04;44.92129;-56.46841;445168;249.63;07-dec-17;23:11:00;249.636;34.9451;8.1486;3.0593;7.965;NaN;18.64;1.575;22.025;34.947;0.02;3.2675
32EV17606_015;BP_04;44.92154;-56.47048;445169;102.05;07-dec-17;23:15:00;102.055;32.9459;-0.113;6.6043;8.029;0.0591;11.46;1.091;8.945;NaN;0.12;NaN
32EV17606_015;BP_04;44.92174;-56.47147;445170;83.28;07-dec-17;23:17:00;83.281;32.8723;1.4592;6.0609;7.985;0.07388;10.445;1.0915;7.46;NaN;0.115;NaN
32EV17606_015;BP_04;44.92196;-56.47258;445171;61.33;07-dec-17;23:19:00;61.338;32.3422;5.6768;6.2874;8.05;0.19045;4.495;0.608;3.145;NaN;0.14;NaN
32EV17606_015;BP_04;44.92214;-56.47343;445172;50.19;07-dec-17;23:20:00;50.197;32.1054;7.9213;6.4857;8.134;0.99702;1.62;0.3165;0.55;NaN;0.05;NaN
32EV17606_015;BP_04;44.9221;-56.4741;445173;41.5;07-dec-17;23:22:00;41.5;32.0181;7.8492;6.5266;8.164;1.09351;1.525;0.315;0.52;NaN;0.05;NaN
32EV17606_015;BP_04;44.92204;-56.47479;445174;31.56;07-dec-17;23:23:00;31.569;31.9863;7.8343;6.5323;8.177;0.94878;1.555;0.3145;0.53;NaN;0.05;NaN
32EV17606_015;BP_04;44.92218;-56.47555;445175;18.79;07-dec-17;23:25:00;18.796;31.9869;7.8361;6.5338;8.181;0.99702;1.565;0.311;0.56;NaN;0.04;NaN
32EV17606_015;BP_04;44.9223;-56.47635;445176;10.48;07-dec-17;23:26:00;10.481;31.9858;7.835;6.5338;8.182;1.0131;1.46;0.3075;0.56;NaN;0.05;NaN
32EV17606_015;BP_04;44.9224;-56.47713;445177;4.06;07-dec-17;23:27:00;4.068;31.9862;7.8341;6.5206;8.184;1.17391;1.455;0.3135;0.55;31.99;0.05;6.8
32EV17606_015;BP_04;44.92246;-56.4773;445178;3.76;07-dec-17;23:28:00;3.763;31.9864;7.832;6.5337;8.184;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_017;BP_05;44.9155;-56.64181;445179;404.28;08-dec-17;01:37:00;404.284;34.9993;6.1059;4.1999;8.011;NaN;17.65;1.465;21.085;35;0.03;4.4565
32EV17606_017;BP_05;44.9169;-56.6432;445180;248.13;08-dec-17;01:40:00;248.133;34.9797;8.3058;3.2585;7.983;NaN;16.7;1.539;21.965;34.983;0.025;3.4
32EV17606_017;BP_05;44.91838;-56.64456;445181;99.84;08-dec-17;01:44:00;99.84;32.9021;1.1882;6.5481;8.03;0.03612;7.85;1.028;9.21;NaN;0.03;NaN
32EV17606_017;BP_05;44.91891;-56.64503;445182;86.07;08-dec-17;01:46:00;86.078;32.7745;1.7421;6.5237;8.015;0.04269;6.72;0.959;7.42;NaN;0.12;NaN
32EV17606_017;BP_05;44.91952;-56.64542;445183;60.01;08-dec-17;01:47:00;60.011;32.1835;3.5311;6.5858;8.03;0.06731;4.825;0.772;5.345;NaN;0.05;NaN
32EV17606_017;BP_05;44.91991;-56.64569;445184;50.31;08-dec-17;01:49:00;50.312;32.057;7.8009;6.4903;8.122;0.72364;1.62;0.336;0.87;NaN;0.075;NaN
32EV17606_017;BP_05;44.92026;-56.64602;445185;39.8;08-dec-17;01:50:00;39.803;32.0506;7.8859;6.4975;8.155;0.78797;1.46;0.301;0.76;NaN;0.07;NaN
32EV17606_017;BP_05;44.92074;-56.64642;445186;29.75;08-dec-17;01:51:00;29.754;32.1225;8.3476;6.43;8.171;0.80405;1.42;0.287;0.715;NaN;0.08;NaN
32EV17606_017;BP_05;44.9211;-56.64682;445187;21.32;08-dec-17;01:53:00;21.325;32.0734;8.3397;6.4246;8.182;0.86837;1.37;0.2775;0.715;NaN;0.08;NaN
32EV17606_017;BP_05;44.92152;-56.6472;445188;10.78;08-dec-17;01:54:00;10.784;31.8778;7.8922;6.4843;8.184;0.78797;1.455;0.2895;0.825;NaN;0.075;NaN
32EV17606_017;BP_05;44.922;-56.64763;445189;4.1;08-dec-17;01:55:00;4.109;31.8776;7.8943;6.4801;8.183;0.83621;1.5;0.284;0.845;31.881;0.08;6.6
32EV17606_017;BP_05;44.92224;-56.64792;445190;3.68;08-dec-17;01:56:00;3.681;31.8763;7.8866;6.493;8.184;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_019;BANQ_B6;44.84302;-56.79564;445191;419.41;08-dec-17;04:12:00;419.418;35.0155;6.4591;4.1582;8.024;NaN;15.1;1.3865;20.885;35.017;0.02;4.4
32EV17606_019;BANQ_B6;44.84242;-56.79452;445192;200.32;08-dec-17;04:18:00;200.32;35.0863;9.3799;3.2813;8.021;NaN;13.865;1.3575;20.945;NaN;0.02;NaN
32EV17606_019;BANQ_B6;44.84202;-56.79384;445193;101.25;08-dec-17;04:21:00;101.253;32.9417;1.4071;6.1924;8.023;0.03283;8.97;0.9665;9;NaN;0.11;NaN
32EV17606_019;BANQ_B6;44.84178;-56.79349;445194;80.17;08-dec-17;04:23:00;80.172;32.7898;1.9774;6.2507;8.004;0.02955;8.46;0.922;8.82;NaN;0.1;NaN
32EV17606_019;BANQ_B6;44.84156;-56.7931;445195;60.15;08-dec-17;04:25:00;60.151;32.5374;1.8834;6.6183;8.022;0.02791;6.63;0.825;7.29;NaN;0.03;NaN
32EV17606_019;BANQ_B6;44.84139;-56.79287;445196;49.74;08-dec-17;04:26:00;49.743;32.3055;3.8134;6.5212;8.029;0.06075;5.14;0.673;5.58;NaN;0.085;NaN
32EV17606_019;BANQ_B6;44.8412;-56.79262;445197;39.88;08-dec-17;04:28:00;39.887;31.7494;5.5687;6.4892;8.072;0.1412;3.54;0.4815;3.495;NaN;0.1;NaN
32EV17606_019;BANQ_B6;44.841;-56.79242;445198;30.59;08-dec-17;04:29:00;30.599;31.6329;7.3928;6.604;8.129;0.7558;1.805;0.25;1.085;NaN;0.09;NaN
32EV17606_019;BANQ_B6;44.84083;-56.79212;445199;20.85;08-dec-17;04:30:00;20.859;31.3839;6.9341;6.7185;8.158;1.10959;2.02;0.4425;1.18;NaN;0.09;NaN
32EV17606_019;BANQ_B6;44.84062;-56.79182;445200;10.3;08-dec-17;04:32:00;10.308;31.2935;6.7537;6.7461;8.166;1.10959;2.12;0.4215;1.185;NaN;0.09;NaN
32EV17606_019;BANQ_B6;44.84043;-56.7916;445201;3.73;08-dec-17;04:33:00;3.732;31.2891;6.7419;6.7483;8.166;1.23823;2.19;0.416;1.23;31.294;0.09;6.9745
32EV17606_019;BANQ_B6;44.8404;-56.79152;445202;3.8;08-dec-17;04:34:00;3.802;31.2898;6.7428;6.7471;8.166;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_021;BANQ_B5;44.80296;-57.01644;445203;418.02;08-dec-17;07:02:00;418.028;34.9756;5.9338;3.491;7.949;NaN;29.88;1.7145;21.955;34.978;0.03;3.707
32EV17606_021;BANQ_B5;44.8022;-57.01516;445204;201.73;08-dec-17;07:06:00;201.73;34.6741;7.4123;3.2692;7.951;NaN;18.03;1.451;19.23;NaN;0.01;NaN
32EV17606_021;BANQ_B5;44.80178;-57.01442;445205;102.24;08-dec-17;07:09:00;102.245;33.2372;2.3474;6.3287;8.031;0.03776;7.98;0.9505;8.655;NaN;0.04;NaN
32EV17606_021;BANQ_B5;44.80169;-57.01412;445206;79.99;08-dec-17;07:11:00;79.999;32.9452;3.3085;6.282;8.03;0.04597;6.885;0.906;6.8;NaN;0.12;NaN
32EV17606_021;BANQ_B5;44.80155;-57.01374;445207;58.42;08-dec-17;07:13:00;58.426;31.962;7.4064;6.4253;8.097;0.08866;2.14;0.4395;1.79;NaN;0.09;NaN
32EV17606_021;BANQ_B5;44.80142;-57.01328;445208;49.95;08-dec-17;07:14:00;49.951;31.9146;7.6088;6.4232;8.142;0.21503;1.94;0.383;1.465;NaN;0.085;NaN
32EV17606_021;BANQ_B5;44.8011;-57.01276;445209;41.3;08-dec-17;07:16:00;41.303;31.8905;7.8348;6.4345;8.165;0.38569;1.485;0.326;0.835;NaN;0.075;NaN
32EV17606_021;BANQ_B5;44.80091;-57.0123;445210;29.64;08-dec-17;07:17:00;29.642;31.8615;7.9414;6.4691;8.18;0.38569;1.46;0.332;0.675;NaN;0.07;NaN
32EV17606_021;BANQ_B5;44.80064;-57.01188;445211;20.97;08-dec-17;07:19:00;20.975;31.6432;7.3867;6.6273;8.183;0.96486;1.585;0.3495;0.63;NaN;0.07;NaN
32EV17606_021;BANQ_B5;44.80036;-57.0114;445212;9.58;08-dec-17;07:20:00;9.58;31.61;7.2688;6.6399;8.183;0.99702;1.685;0.3505;0.69;NaN;0.07;NaN
32EV17606_021;BANQ_B5;44.80002;-57.01092;445213;3.83;08-dec-17;07:22:00;3.836;31.6093;7.2715;6.648;8.182;1.14175;1.685;0.348;0.675;31.613;0.07;6.7
32EV17606_021;BANQ_B5;44.79992;-57.01081;445214;3.29;08-dec-17;07:22:00;3.297;31.6092;7.2673;6.65;8.182;NaN;NaN;NaN;NaN;NaN;NaN;NaN
32EV17606_023;BANQ_B4;44.773;-57.25614;445215;386.14;08-dec-17;09:42:00;386.141;34.9565;6.0263;3.1642;7.924;NaN;33.3;1.8225;22.24;34.958;0.025;3.4
32EV17606_023;BANQ_B4;44.77137;-57.25615;445216;205.47;08-dec-17;09:47:00;205.478;34.6423;7.3179;3.3414;7.951;NaN;12.275;1.171;13.725;NaN;0.02;NaN
32EV17606_023;BANQ_B4;44.77016;-57.2561;445217;101.59;08-dec-17;09:50:00;101.598;33.0197;1.7426;6.1224;8.002;0.01313;10.015;1.0935;10.175;NaN;0.03;NaN
32EV17606_023;BANQ_B4;44.76939;-57.25606;445218;81.69;08-dec-17;09:52:00;81.697;32.7822;2.2285;6.3362;7.997;0.0394;6.41;0.923;6.765;NaN;0.13;NaN
32EV17606_023;BANQ_B4;44.76879;-57.25606;445219;59.55;08-dec-17;09:54:00;59.553;31.7285;6.4311;6.4804;8.066;0.16419;2.8;0.4875;2.4;NaN;0.115;NaN
