CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3)
84036_002;1;38.6917;-59.5217;13601;5166;07-sep-84;20:18:00;5269;2.2205;34.886;7.11
84036_002;1;38.6917;-59.5217;13602;4706;07-sep-84;20:30:00;4795;2.2595;34.883;6.82
84036_002;1;38.6917;-59.5217;13603;4417;07-sep-84;20:38:00;4498;2.2775;34.887;6.77
84036_002;1;38.6917;-59.5217;13604;4123;07-sep-84;20:46:00;4195;2.3125;34.891;6.73
84036_002;1;38.6917;-59.5217;13605;3878;07-sep-84;21:02:00;3944;2.3765;34.887;6.97
84036_002;1;38.6917;-59.5217;13606;3449;07-sep-84;21:14:00;3504;2.6129;34.903;6.77
84036_002;1;38.6917;-59.5217;13607;2954;07-sep-84;21:25:00;2998;3.0245;34.922;6.6
84036_002;1;38.6917;-59.5217;13608;2472;07-sep-84;21:33:00;2506;3.4539;34.939;6.66
84036_002;1;38.6917;-59.5217;13609;1970;07-sep-84;21:47:00;1994;3.8265;34.942;6.62
84036_002;1;38.6917;-59.5217;13610;1479;07-sep-84;21:56:00;1496;4.253;34.969;6.48
84036_002;1;38.6917;-59.5217;13611;981;07-sep-84;22:08:00;991;5.6265;34.993;5.45
84036_002;1;38.6917;-59.5217;13612;892;07-sep-84;22:12:00;901;6.5335;35.063;4.82
84036_002;1;38.6917;-59.5217;13613;807;07-sep-84;22:22:00;815;8.3955;35.142;3.89
84036_002;1;38.6917;-59.5217;13614;694;07-sep-84;22:25:00;700;11.161;35.432;3.77
84036_002;1;38.6917;-59.5217;13615;593;07-sep-84;22:29:00;598;13.8405;35.837;4.38
84036_002;1;38.6917;-59.5217;13616;496;07-sep-84;22:31:00;500;16.159;36.191;4.41
84036_002;1;38.6917;-59.5217;13617;412;07-sep-84;22:40:00;416;17.4705;36.432;4.65
84036_002;1;38.6917;-59.5217;13618;297;07-sep-84;22:43:00;299;18.23;36.474;4.88
84036_002;1;38.6917;-59.5217;13619;191;07-sep-84;22:49:00;193;19.1275;NaN;NaN
84036_002;1;38.6917;-59.5217;13620;102;07-sep-84;22:52:00;103;22.8799;NaN;NaN
84036_002;1;38.6917;-59.5217;13621;6;07-sep-84;23:02:00;6;26.3645;36.279;4.675
84036_003;10;40.24;-59.995;13790;4453;11-sep-84;16:48:00;4535;2.248;34.894;6.25
84036_003;10;40.24;-59.995;13791;4453;11-sep-84;16:57:00;4535;2.248;34.8945;6.32
84036_003;10;40.24;-59.995;13792;4129;11-sep-84;17:10:00;4202;2.2675;34.898;6.34
84036_003;10;40.24;-59.995;13793;4129;11-sep-84;17:10:00;4202;2.2675;34.899;6.3
84036_003;10;40.24;-59.995;13794;3945;11-sep-84;17:22:00;4013;2.305;34.903;6.27
84036_003;10;40.24;-59.995;13795;3444;11-sep-84;17:34:00;3499;2.5095;34.919;6.34
84036_003;10;40.24;-59.995;13796;2957;11-sep-84;17:44:00;3001;2.8655;34.94;6.28
84036_003;10;40.24;-59.995;13797;2465;11-sep-84;17:54:00;2499;3.322;34.965;6.21
84036_003;10;40.24;-59.995;13798;1968;11-sep-84;18:10:00;1993;3.7215;34.978;6.12
84036_003;10;40.24;-59.995;13799;1484;11-sep-84;18:21:00;1501;4.0795;34.98;6.08
84036_003;10;40.24;-59.995;13800;990;11-sep-84;18:31:00;1000;4.7275;34.986;5.67
84036_003;10;40.24;-59.995;13801;893;11-sep-84;18:35:00;902;4.9605;35.006;5.42
84036_003;10;40.24;-59.995;13802;800;11-sep-84;18:47:00;808;5.6635;35.04;4.96
84036_003;10;40.24;-59.995;13803;693;11-sep-84;18:50:00;700;6.7265;35.056;4.31
84036_003;10;40.24;-59.995;13804;596;11-sep-84;18:52:00;601;8.9085;35.181;3.5
84036_003;10;40.24;-59.995;13805;496;11-sep-84;18:54:00;500;11.4045;35.4445;3.3
84036_003;10;40.24;-59.995;13806;396;11-sep-84;19:03:00;399;14.693;35.965;3.89
84036_003;10;40.24;-59.995;13807;295;11-sep-84;19:07:00;297;16.8055;36.334;4.53
84036_003;10;40.24;-59.995;13808;201;11-sep-84;19:10:00;203;17.7465;36.468;4.61
84036_003;10;40.24;-59.995;13809;97;11-sep-84;19:14:00;98;18.747;36.477;4.72
84036_003;10;40.24;-59.995;13810;3;11-sep-84;19:23:00;3;24.6255;35.454;4.88
84036_014;11;40.27;-59.3783;13811;4737;11-sep-84;23:27:00;4828;2.25;34.89;6.25
84036_014;11;40.27;-59.3783;13812;4737;11-sep-84;23:34:00;4828;2.25;34.889;6.26
84036_014;11;40.27;-59.3783;13813;4123;11-sep-84;23:45:00;4196;2.2675;34.897;6.3
84036_014;11;40.27;-59.3783;13814;4123;11-sep-84;23:45:00;4196;2.2675;34.897;6.245
84036_014;11;40.27;-59.3783;13815;3910;11-sep-84;23:56:00;3977;2.2985;34.903;6.29
84036_014;11;40.27;-59.3783;13816;3445;12-sep-84;00:08:00;3500;2.4815;34.916;6.28
84036_014;11;40.27;-59.3783;13817;2956;12-sep-84;00:18:00;3000;2.841;34.94;6.27
84036_014;11;40.27;-59.3783;13818;2464;12-sep-84;00:34:00;2498;3.269;34.962;6.2
84036_014;11;40.27;-59.3783;13819;1968;12-sep-84;00:19:00;1993;3.6345;34.978;6.14
84036_014;11;40.27;-59.3783;13820;1483;12-sep-84;00:26:00;1500;3.939;34.977;6.11
84036_014;11;40.27;-59.3783;13821;990;12-sep-84;00:34:00;1000;4.496;35.002;5.85
84036_014;11;40.27;-59.3783;13822;901;12-sep-84;00:39:00;910;4.6545;35.004;5.74
84036_014;11;40.27;-59.3783;13823;792;12-sep-84;01:42:00;800;4.9355;35.024;5.5
84036_014;11;40.27;-59.3783;13824;689;12-sep-84;01:48:00;695;5.4045;35.0385;5.14
84036_014;11;40.27;-59.3783;13825;595;12-sep-84;01:52:00;600;6.104;35.05;4.67
84036_014;11;40.27;-59.3783;13826;492;12-sep-84;01:55:00;496;7.4265;35.11;3.99
84036_014;11;40.27;-59.3783;13827;398;12-sep-84;01:59:00;401;8.9145;35.178;3.36
84036_014;11;40.27;-59.3783;13828;297;12-sep-84;02:06:00;300;11.0785;35.426;3.32
84036_014;11;40.27;-59.3783;13829;199;12-sep-84;02:09:00;201;13.816;35.782;3.48
84036_014;11;40.27;-59.3783;13830;99;12-sep-84;02:12:00;100;11.6725;34.633;5.09
84036_014;11;40.27;-59.3783;13831;14;12-sep-84;02:15:00;14;20.891;33.099;5.36
84036_025;12;40.2633;-58.6433;13832;4044;12-sep-84;06:34:00;4115;2.2729;NaN;NaN
84036_025;12;40.2633;-58.6433;13833;4044;12-sep-84;06:34:00;4115;2.2729;34.904;6.24
84036_025;12;40.2633;-58.6433;13834;3922;12-sep-84;06:39:00;3990;2.2945;34.904;6.26
84036_025;12;40.2633;-58.6433;13835;3922;12-sep-84;06:39:00;3990;2.2945;34.906;6.2
84036_025;12;40.2633;-58.6433;13836;3922;12-sep-84;06:50:00;3990;2.4995;34.919;6.26
84036_025;12;40.2633;-58.6433;13837;2948;12-sep-84;07:07:00;2992;2.8785;34.945;6.17
84036_025;12;40.2633;-58.6433;13838;2466;12-sep-84;07:17:00;2500;3.2725;34.962;6.19
84036_025;12;40.2633;-58.6433;13839;1981;12-sep-84;07:27:00;2006;3.675;34.979;6.15
84036_025;12;40.2633;-58.6433;13840;1429;12-sep-84;07:42:00;1445;4.0715;34.981;6.03
84036_025;12;40.2633;-58.6433;13841;1193;12-sep-84;07:53:00;1206;4.2865;34.983;5.99
84036_025;12;40.2633;-58.6433;13842;998;12-sep-84;08:01:00;1008;4.7175;35.012;5.67
84036_025;12;40.2633;-58.6433;13843;898;12-sep-84;08:08:00;907;4.9935;35.022;5.5
84036_025;12;40.2633;-58.6433;13844;806;12-sep-84;08:18:00;814;5.393;35.031;5.1
84036_025;12;40.2633;-58.6433;13845;696;12-sep-84;08:24:00;703;6.3765;35.0615;4.52
84036_025;12;40.2633;-58.6433;13846;600;12-sep-84;08:27:00;606;7.648;35.107;3.97
84036_025;12;40.2633;-58.6433;13847;497;12-sep-84;08:31:00;501;9.4845;NaN;3.42
84036_025;12;40.2633;-58.6433;13848;475;12-sep-84;08:41:00;479;9.9095;35.269;3.35
84036_025;12;40.2633;-58.6433;13849;297;12-sep-84;08:46:00;300;14.0475;35.771;3.86
84036_025;12;40.2633;-58.6433;13850;202;12-sep-84;08:49:00;204;15.8139;35.825;4.24
84036_025;12;40.2633;-58.6433;13851;102;12-sep-84;09:09:00;103;20.5905;36.547;4.58
84036_025;12;40.2633;-58.6433;13852;1;12-sep-84;09:14:00;1;24.9695;35.955;4.75
84036_036;13;39.7633;-58.6633;13853;4497;12-sep-84;14:56:00;4580;2.2475;34.9;6.75
84036_036;13;39.7633;-58.6633;13854;4422;12-sep-84;14:59:00;4503;2.2515;34.896;6.23
84036_036;13;39.7633;-58.6633;13855;4128;12-sep-84;15:07:00;4201;2.2755;34.9;6.26
84036_036;13;39.7633;-58.6633;13856;3935;12-sep-84;15:13:00;4003;2.316;34.9045;6.24
84036_036;13;39.7633;-58.6633;13857;3458;12-sep-84;15:25:00;3514;2.5095;34.919;6.28
84036_036;13;39.7633;-58.6633;13858;2960;12-sep-84;15:40:00;3004;2.8985;34.942;6.205
84036_036;13;39.7633;-58.6633;13859;2466;12-sep-84;15:50:00;2500;3.341;34.964;6.18
84036_036;13;39.7633;-58.6633;13860;1974;12-sep-84;16:01:00;1999;3.7735;34.979;6.13
84036_036;13;39.7633;-58.6633;13861;1494;12-sep-84;16:12:00;1511;4.1415;34.982;6.04
84036_036;13;39.7633;-58.6633;13862;1189;12-sep-84;16:24:00;1202;4.5825;35.003;5.78
84036_036;13;39.7633;-58.6633;13863;991;12-sep-84;16:30:00;1001;5.1805;35.026;5.31
84036_036;13;39.7633;-58.6633;13864;891;12-sep-84;16:33:00;900;6.146;35.064;4.76
84036_036;13;39.7633;-58.6633;13865;806;12-sep-84;16:42:00;814;7.7045;35.114;3.92
84036_036;13;39.7633;-58.6633;13866;693;12-sep-84;16:45:00;700;10.3095;35.3325;3.46
84036_036;13;39.7633;-58.6633;13867;618;12-sep-84;16:48:00;624;12.876;35.674;3.67
84036_036;13;39.7633;-58.6633;13868;496;12-sep-84;16:50:00;500;15.4565;36.096;4.33
84036_036;13;39.7633;-58.6633;13869;403;12-sep-84;17:02:00;407;17.0235;36.366;4.55
84036_036;13;39.7633;-58.6633;13870;298;12-sep-84;17:05:00;301;17.7779;36.447;4.7
84036_036;13;39.7633;-58.6633;13871;198;12-sep-84;17:09:00;200;18.2219;36.461;4.84
84036_036;13;39.7633;-58.6633;13872;100;12-sep-84;17:13:00;101;19.0615;36.441;5.11
84036_036;13;39.7633;-58.6633;13873;9;12-sep-84;17:16:00;9;25.1855;36.155;4.77
84036_047;14;39.2583;-58.6717;13874;4633;13-sep-84;11:34:00;4720;2.243;34.893;6.66
84036_047;14;39.2583;-58.6717;13875;4418;13-sep-84;11:39:00;4499;2.2435;34.8955;6.35
84036_047;14;39.2583;-58.6717;13876;4126;13-sep-84;11:45:00;4199;2.2655;34.9;6.5
84036_047;14;39.2583;-58.6717;13877;3933;13-sep-84;11:49:00;4000;2.2935;34.904;6.19
84036_047;14;39.2583;-58.6717;13878;3439;13-sep-84;12:04:00;3494;2.5395;34.922;6.44
84036_047;14;39.2583;-58.6717;13879;2956;13-sep-84;12:12:00;3000;2.9565;34.947;6.42
84036_047;14;39.2583;-58.6717;13880;2467;13-sep-84;12:21:00;2501;3.3895;34.968;6.38
84036_047;14;39.2583;-58.6717;13881;1973;13-sep-84;12:29:00;1998;3.787;34.98;6.29
84036_047;14;39.2583;-58.6717;13882;1484;13-sep-84;12:42:00;1501;4.1755;34.9845;6.18
84036_047;14;39.2583;-58.6717;13883;1185;13-sep-84;12:48:00;1198;4.678;35.009;5.92
84036_047;14;39.2583;-58.6717;13884;991;13-sep-84;12:52:00;1001;5.606;35.046;5.2
84036_047;14;39.2583;-58.6717;13885;893;13-sep-84;12:54:00;902;6.679;35.064;4.53
84036_047;14;39.2583;-58.6717;13886;793;13-sep-84;13:02:00;801;8.549;35.155;3.66
84036_047;14;39.2583;-58.6717;13887;692;13-sep-84;13:04:00;698;10.867;35.389;3.38
84036_047;14;39.2583;-58.6717;13888;595;13-sep-84;13:06:00;600;13.6585;35.794;3.9
84036_047;14;39.2583;-58.6717;13889;495;13-sep-84;13:09:00;499;15.7515;36.14;4.49
84036_047;14;39.2583;-58.6717;13890;394;13-sep-84;13:17:00;397;17.102;36.375;4.53
84036_047;14;39.2583;-58.6717;13891;298;13-sep-84;13:19:00;301;17.835;36.473;4.67
84036_047;14;39.2583;-58.6717;13892;200;13-sep-84;13:22:00;202;18.1595;36.448;4.95
84036_047;14;39.2583;-58.6717;13893;99;13-sep-84;13:24:00;100;19.7445;36.511;4.95
84036_047;14;39.2583;-58.6717;13894;10;13-sep-84;13:32:00;10;25.4925;36.311;4.76
84036_058;15;38.7533;-58.6733;13895;4664;13-sep-84;17:52:00;4752;2.2315;34.894;6.41
84036_058;15;38.7533;-58.6733;13896;4421;13-sep-84;17:58:00;4502;2.2395;35.009;5.78
84036_058;15;38.7533;-58.6733;13897;4129;13-sep-84;18:07:00;4202;2.2595;35.02;5.525
84036_058;15;38.7533;-58.6733;13898;3931;13-sep-84;18:13:00;3998;2.2995;35.036;5.14
