CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;TEMP_XX;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(celsius);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
89037_003;10;43.84;-48.86;66348;1784;13-jan-90;14:22:00;1806;3.208;34.856;6.671;10.54;0.96;16.72
89037_003;10;43.84;-48.86;66349;1570;13-jan-90;14:22:00;1589;3.203;34.843;6.737;10.72;1.03;16.55
89037_003;10;43.84;-48.86;66350;1389;13-jan-90;14:22:00;1405;3.195;34.837;6.747;9.95;0.97;16.59
89037_003;10;43.84;-48.86;66351;1194;13-jan-90;14:22:00;1207;3.185;34.833;6.743;9.71;0.99;16.84
89037_003;10;43.84;-48.86;66352;999;13-jan-90;14:22:00;1010;3.185;34.827;6.745;9.82;0.97;16.57
89037_003;10;43.84;-48.86;66353;804;13-jan-90;14:22:00;812;3.197;34.828;NaN;9.73;0.97;17.04
89037_003;10;43.84;-48.86;66354;601;13-jan-90;14:22:00;607;3.285;34.823;6.711;9.52;0.96;16.12
89037_003;10;43.84;-48.86;66355;400;13-jan-90;14:22:00;404;3.526;34.802;6.629;9.34;0.98;16.63
89037_003;10;43.84;-48.86;66356;206;13-jan-90;14:22:00;208;2.53;34.404;6.822;8.26;0.84;14.02
89037_003;10;43.84;-48.86;66357;105;13-jan-90;14:22:00;106;0.839;33.897;7.213;8.38;0.78;11.21
89037_003;10;43.84;-48.86;66358;56;13-jan-90;14:22:00;56;0.678;NaN;7.793;NaN;NaN;NaN
89037_003;10;43.84;-48.86;66359;17;13-jan-90;14:22:00;17;0.68;33.774;7.813;6.16;0.68;9.55
89037_014;11;43.8;-48.67;66360;2754;13-jan-90;19:01:00;2795;2.697;34.926;6.391;14.5;1;16.85
89037_014;11;43.8;-48.67;66361;2356;13-jan-90;19:01:00;2389;3.109;34.931;6.366;13.31;1.03;17.4
89037_014;11;43.8;-48.67;66362;2185;13-jan-90;19:01:00;2214;3.194;34.929;6.378;12.73;1.02;17.07
89037_014;11;43.8;-48.67;66363;1985;13-jan-90;19:01:00;2011;3.325;34.92;6.404;11.99;1.03;17.13
89037_014;11;43.8;-48.67;66364;1788;13-jan-90;19:01:00;1810;3.292;34.894;6.534;NaN;NaN;NaN
89037_014;11;43.8;-48.67;66365;1592;13-jan-90;19:01:00;1611;3.243;34.879;6.614;10.94;1.06;17.19
89037_014;11;43.8;-48.67;66366;1387;13-jan-90;19:01:00;1403;3.169;34.859;6.723;10.46;1.01;16.38
89037_014;11;43.8;-48.67;66367;1192;13-jan-90;19:01:00;1205;3.146;34.85;6.763;10.24;1.04;16.62
89037_014;11;43.8;-48.67;66368;998;13-jan-90;19:01:00;1009;3.159;34.836;6.755;9.67;1.07;16.46
89037_014;11;43.8;-48.67;66369;794;13-jan-90;19:01:00;802;3.233;34.842;6.704;10.1;1.06;16.71
89037_014;11;43.8;-48.67;66370;583;13-jan-90;19:01:00;589;3.508;34.858;6.506;10.03;1.03;16.38
89037_014;11;43.8;-48.67;66371;396;13-jan-90;19:01:00;400;3.969;34.891;6.172;10.52;1.15;18.08
89037_014;11;43.8;-48.67;66372;201;13-jan-90;19:01:00;203;3.947;34.779;5.979;10.76;1.14;17.96
89037_014;11;43.8;-48.67;66373;106;13-jan-90;19:01:00;107;2.657;34.145;7.104;6.34;0.82;11.4
89037_014;11;43.8;-48.67;66374;58;13-jan-90;19:01:00;58;2.28;33.915;7.52;5.14;0.71;9.33
89037_014;11;43.8;-48.67;66375;17;13-jan-90;19:01:00;17;1.88;33.75;7.609;5.58;0.75;9.13
89037_025;12;43.68;-48.32;66376;3283;13-jan-90;23:30:00;3336;2.236;34.906;6.503;14.11;1.04;14.85
89037_025;12;43.68;-48.32;66377;2991;13-jan-90;23:30:00;3037;2.479;34.914;6.449;14.31;1.04;16.08
89037_025;12;43.68;-48.32;66378;2804;13-jan-90;23:30:00;2846;2.606;34.921;6.423;13.48;1.07;15.08
89037_025;12;43.68;-48.32;66379;2506;13-jan-90;23:30:00;2541;2.825;34.927;6.403;13.13;1.03;14.36
89037_025;12;43.68;-48.32;66380;2204;13-jan-90;23:30:00;2234;3.056;34.931;6.337;13.57;1.08;15.72
89037_025;12;43.68;-48.32;66381;2002;13-jan-90;23:30:00;2028;3.206;34.93;6.338;NaN;NaN;NaN
89037_025;12;43.68;-48.32;66382;1702;13-jan-90;23:30:00;1723;3.334;34.919;6.399;11.28;1.05;16.47
89037_025;12;43.68;-48.32;66383;1394;13-jan-90;23:30:00;1410;3.322;34.89;6.556;9.83;0.96;15.46
89037_025;12;43.68;-48.32;66384;1088;13-jan-90;23:30:00;1100;3.378;NaN;6.615;NaN;NaN;NaN
89037_025;12;43.68;-48.32;66385;887;13-jan-90;23:30:00;896;3.479;NaN;6.489;NaN;NaN;NaN
89037_025;12;43.68;-48.32;66386;786;13-jan-90;23:30:00;794;3.589;34.896;6.461;9.49;0.96;16.14
89037_025;12;43.68;-48.32;66387;678;13-jan-90;23:30:00;685;3.667;34.899;6.397;11.3;0.98;18.91
89037_025;12;43.68;-48.32;66388;572;13-jan-90;23:30:00;577;3.821;34.91;6.303;NaN;NaN;NaN
89037_025;12;43.68;-48.32;66389;498;13-jan-90;23:30:00;503;3.943;34.914;6.22;12.22;1.12;19.49
89037_025;12;43.68;-48.32;66390;405;13-jan-90;23:30:00;409;3.961;34.892;6.196;9.72;1;16.93
89037_025;12;43.68;-48.32;66391;307;13-jan-90;23:30:00;310;4.079;34.847;6.022;9.33;0.97;16.46
89037_025;12;43.68;-48.32;66392;206;13-jan-90;23:30:00;208;4.224;34.727;5.727;8.49;0.97;14.37
89037_025;12;43.68;-48.32;66393;108;13-jan-90;23:30:00;109;4.269;34.375;6.139;8.18;0.93;14.26
89037_025;12;43.68;-48.32;66394;58;13-jan-90;23:30:00;58;2.81;33.872;7.449;4.47;0.59;8.19
89037_025;12;43.68;-48.32;66395;17;13-jan-90;23:30:00;17;3.35;33.868;7.363;4.29;0.58;7.96
89037_182;26;42.68;-48.56;66536;494;22-jan-90;01:03:00;499;5.093;34.997;5.604;11.18;1.24;18.21
89037_182;26;42.68;-48.56;66537;246;22-jan-90;01:03:00;248;7.164;35.004;4.11;13.73;1.51;23.24
89037_182;26;42.68;-48.56;66538;97;22-jan-90;01:03:00;98;10.022;35.021;4.549;7.11;1.03;14.7
89037_182;26;42.68;-48.56;66539;50;22-jan-90;01:03:00;50;7.189;33.924;6.663;3.13;0.54;5.52
89037_182;26;42.68;-48.56;66540;14;22-jan-90;01:03:00;14;7.191;33.926;6.681;3.07;0.52;5.41
89037_193;27;43;-50.26;66541;69;22-jan-90;08:49:00;70;0.32;33.24;7.819;6.47;0.81;7.67
89037_193;27;43;-50.26;66542;69;22-jan-90;08:49:00;70;0.32;33.24;7.787;6.61;0.78;7.65
89037_193;27;43;-50.26;66543;55;22-jan-90;08:49:00;55;0.724;33.123;7.767;5.85;0.73;6.56
89037_193;27;43;-50.26;66544;55;22-jan-90;08:49:00;55;0.724;33.123;7.756;6.03;0.76;6.66
89037_193;27;43;-50.26;66545;17;22-jan-90;08:49:00;17;3.883;32.566;7.44;3.61;0.46;2.07
89037_204;28;42.83;-50.26;66546;542;22-jan-90;10:28:00;547;3.219;34.72;6.573;9.91;1.1;15.99
89037_204;28;42.83;-50.26;66547;148;22-jan-90;10:28:00;149;0.115;33.538;7.535;8;0.89;9.53
89037_204;28;42.83;-50.26;66548;100;22-jan-90;10:28:00;101;-0.221;33.316;7.828;6.68;0.83;7.92
89037_204;28;42.83;-50.26;66549;56;22-jan-90;10:28:00;56;0.698;NaN;7.813;5.29;0.69;5.46
89037_204;28;42.83;-50.26;66550;17;22-jan-90;10:28:00;17;2.01;32.734;7.736;4.38;0.61;4.08
89037_215;29;42.65;-50.28;66551;1791;22-jan-90;13:03:00;1813;3.255;34.853;6.682;9.96;1.09;16.42
89037_215;29;42.65;-50.28;66552;1652;22-jan-90;13:03:00;1672;3.259;34.837;6.72;9.86;1.12;16.49
89037_215;29;42.65;-50.28;66553;1382;22-jan-90;13:03:00;1398;3.336;34.833;6.69;9.55;1.15;16.59
89037_215;29;42.65;-50.28;66554;1171;22-jan-90;13:03:00;1184;3.341;34.825;6.683;9.35;1.11;16.64
89037_215;29;42.65;-50.28;66555;963;22-jan-90;13:03:00;973;3.4;34.815;6.654;9.28;1.11;16.29
89037_215;29;42.65;-50.28;66556;738;22-jan-90;13:03:00;745;3.511;34.799;6.603;9.46;1.12;16.43
89037_215;29;42.65;-50.28;66557;501;22-jan-90;13:03:00;506;3.525;34.754;6.514;9.73;1.1;16.4
89037_215;29;42.65;-50.28;66558;257;22-jan-90;13:03:00;259;2.06;34.29;6.55;11.2;1.06;14.55
89037_215;29;42.65;-50.28;66559;106;22-jan-90;13:03:00;107;0.106;33.611;NaN;6.72;0.79;7.82
89037_215;29;42.65;-50.28;66560;17;22-jan-90;13:03:00;17;-0.343;33.145;8.109;6.11;0.76;7.13
89037_226;30;42.5;-50.27;66561;2204;22-jan-90;15:43:00;2233;3.144;34.925;6.39;13.21;1.12;16.75
89037_226;30;42.5;-50.27;66562;1620;22-jan-90;15:43:00;1639;3.364;34.862;6.639;9.94;1.09;16.11
89037_226;30;42.5;-50.27;66563;1426;22-jan-90;15:43:00;1442;3.223;34.837;6.72;9.56;1.06;16.29
89037_226;30;42.5;-50.27;66564;1191;22-jan-90;15:43:00;1204;3.205;34.827;6.742;9.36;1.07;16.22
89037_226;30;42.5;-50.27;66565;970;22-jan-90;15:43:00;980;3.221;34.825;6.735;9.33;1.07;16.41
89037_226;30;42.5;-50.27;66566;748;22-jan-90;15:43:00;755;3.275;34.828;6.671;9.6;1.06;16.68
89037_226;30;42.5;-50.27;66567;498;22-jan-90;15:43:00;503;3.378;34.816;NaN;9.3;1.08;16.59
89037_226;30;42.5;-50.27;66568;254;22-jan-90;15:43:00;256;3.321;34.655;NaN;9.64;1.06;15.71
89037_226;30;42.5;-50.27;66569;100;22-jan-90;15:43:00;101;1.171;33.899;7.607;5.78;0.78;9.95
89037_226;30;42.5;-50.27;66570;16;22-jan-90;15:43:00;16;-0.214;33.147;8.107;6.01;0.78;7.4
89037_237;31;42.33;-50.2;66571;2921;22-jan-90;20:13:00;2965;2.587;34.915;6.452;14.85;1.09;16.54
89037_237;31;42.33;-50.2;66572;2460;22-jan-90;20:13:00;2494;2.96;34.926;6.406;13.38;1.11;16.75
89037_237;31;42.33;-50.2;66573;1897;22-jan-90;20:13:00;1921;3.538;34.926;6.379;12.04;1.15;17.21
89037_237;31;42.33;-50.2;66574;1457;22-jan-90;20:13:00;1474;3.581;34.91;6.419;11.13;1.14;17.48
89037_237;31;42.33;-50.2;66575;947;22-jan-90;20:13:00;957;3.157;34.828;6.79;9.35;1.08;16.32
