CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX;TEMP_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(celsius)
180160327_003;CAST#1;44.6333;-67.0416;-9;74;19-jul-60;21:30:00;218;31.822;8.33
180160327_005;CAST#1;45.4333;-65.0583;-78;30;23-jul-60;23:00:00;179;31.1;12.3
180160327_006;CAST#1;45.4333;-65.0583;-79;36;23-jul-60;23:30:00;255;31.163;12.16
180160327_007;CAST#1;45.35;-65.195;-80;55;24-jul-60;00:42:00;222;NaN;11.73
180160327_014;CAST#1;44.7166;-66.95;-10;88;19-jul-60;22:18:00;192;31.836;8.37
180160327_025;CAST#1;44.8;-66.9;-11;93;19-jul-60;23:24:00;217;32.007;7.86
180160327_036;CAST#1;44.9333;-66.8166;-12;113;20-jul-60;00:42:00;213;32.359;7.2
180160327_047;CAST#1;44.8633;-66.75;-13;153;20-jul-60;02:00:00;212;32.678;6.69
180160327_058;CAST#1;44.7366;-66.6333;-14;115;20-jul-60;03:18:00;158;32.894;6.38
180160327_069;CAST#1;44.675;-66.5666;-15;169;20-jul-60;04:12:00;188;33.114;6.24
180160327_080;CAST#1;44.6;-66.4833;-16;208;20-jul-60;05:18:00;174;33.318;6.13
180160327_091;CAST#1;44.5166;-66.1583;-17;100;20-jul-60;07:12:00;226;32.33;7.41
180160327_102;CAST#1;44.5416;-66.23;-18;121;20-jul-60;07:54:00;221;32.858;6.81
180160327_113;CAST#1;44.0166;-66.4666;-1;116;19-jul-60;11:18:00;179;32.649;7.5
180160327_114;CAST#1;44.6166;-66.2833;-19;122;20-jul-60;08:54:00;167;32.978;6.5
180160327_127;CAST#1;44.675;-66.3333;-20;135;20-jul-60;10:00:00;162;33.038;6.37
180160327_138;CAST#1;44.7033;-66.375;-21;138;20-jul-60;10:54:00;265;33.066;6.36
180160327_149;CAST#1;44.7633;-66.4333;-22;175;20-jul-60;12:00:00;221;33.033;6.36
180160327_160;CAST#1;44.8166;-66.5;-23;136;20-jul-60;13:18:00;141;32.911;6.37
180160327_171;CAST#1;44.8666;-66.55;-24;115;20-jul-60;14:24:00;169;32.772;6.33
180160327_182;CAST#1;44.9166;-66.6166;-25;80;20-jul-60;15:18:00;231;32.388;6.96
180160327_193;CAST#1;44.9583;-66.6466;-26;62;20-jul-60;16:00:00;193;31.956;8.01
180160327_204;CAST#1;45.0166;-66.4833;-27;70;21-jul-60;18:30:00;227;32.26;7.21
180160327_215;CAST#1;44.9666;-66.4666;-28;83;21-jul-60;19:12:00;227;32.374;6.96
180160327_225;CAST#1;44.1;-66.6333;-2;70;19-jul-60;12:36:00;243;32.919;6.62
180160327_226;CAST#1;44.95;-66.425;-29;100;21-jul-60;19:54:00;204;32.665;6.47
180160327_237;CAST#1;44.985;-66.2666;-30;94;21-jul-60;21:12:00;227;32.573;6.55
180160327_239;CAST#1;45.0333;-66.3;-31;85;21-jul-60;22:00:00;199;32.39;7.02
180160327_243;CAST#1;45.0833;-66.34;-32;49;21-jul-60;22:36:00;234;31.74;9.31
180160327_244;CAST#1;45.1166;-66.1666;-33;70;21-jul-60;23:30:00;222;32.175;7.85
180160327_247;CAST#1;45.0816;-66.1416;-34;90;22-jul-60;00:12:00;174;32.325;7.39
180160327_253;CAST#1;45.1666;-66.075;-35;60;22-jul-60;01:00:00;203;32.061;8.35
180160327_257;CAST#1;45.1166;-66.0333;-36;75;22-jul-60;01:36:00;249;32.237;7.91
180160327_261;CAST#1;45.0666;-65.9916;-37;100;22-jul-60;02:12:00;217;32.268;7.68
180160327_263;CAST#1;45;-66.0833;-38;98;22-jul-60;03:36:00;244;32.542;6.77
180160327_264;CAST#1;44.1833;-66.7666;-3;167;19-jul-60;13:42:00;178;33.382;5.42
180160327_265;CAST#1;45;-65.9416;-39;94;22-jul-60;04:48:00;221;32.45;7.5
180160327_275;CAST#1;44.9666;-65.9166;-40;88;22-jul-60;05:42:00;210;32.419;7.61
180160327_276;CAST#1;44.8666;-65.85;-41;93;22-jul-60;07:12:00;253;32.326;8.17
180160327_277;CAST#1;44.8333;-65.82;-42;90;22-jul-60;08:06:00;171;32.265;8.45
180160327_278;CAST#1;44.7666;-65.7666;-43;70;22-jul-60;08:54:00;230;32.197;9.19
180160327_279;CAST#1;44.83;-65.7083;-44;72;22-jul-60;09:48:00;206;32.127;9.31
180160327_280;CAST#1;44.9;-65.625;-45;72;22-jul-60;10:36:00;219;32.039;9.51
180160327_281;CAST#1;44.9666;-65.5333;-46;85;22-jul-60;11:36:00;241;31.984;9.42
180160327_282;CAST#1;45.0316;-65.4583;-47;80;22-jul-60;12:18:00;236;31.944;9.8
180160327_283;CAST#1;45.0983;-65.4;-48;74;22-jul-60;13:00:00;235;31.83;9.81
180160327_284;CAST#1;44.2666;-66.9166;-4;160;19-jul-60;15:12:00;175;33.637;5.95
180160327_285;CAST#1;45.18;-65.4;-49;78;22-jul-60;16:48:00;205;31.794;9.9
180160327_295;CAST#1;45.2416;-65.4083;-50;55;22-jul-60;17:24:00;197;31.543;10.68
180160327_296;CAST#1;45.3;-65.4;-51;64;22-jul-60;18:06:00;252;31.371;11.07
180160327_297;CAST#1;45.3833;-65.425;-52;30;22-jul-60;18:48:00;231;30.951;11.04
180160327_298;CAST#1;45.2966;-65.32;-53;47;22-jul-60;20:12:00;169;31.261;11.58
180160327_299;CAST#1;45.3033;-65.235;-54;48;22-jul-60;21:24:00;206;31.387;11.23
180160327_300;CAST#1;45.2333;-65.1333;-55;57;22-jul-60;22:30:00;199;31.545;11.09
180160327_302;CAST#1;45.1283;-64.965;-56;33;23-jul-60;00:18:00;198;31.881;10.99
180160327_303;CAST#1;45.1783;-64.82;-57;38;23-jul-60;01:06:00;195;31.859;11.3
180160327_304;CAST#1;44.325;-67.0666;-5;20;19-jul-60;16:12:00;165;32.269;9.53
180160327_305;CAST#1;45.2166;-64.7033;-58;37;23-jul-60;01:42:00;273;31.274;12.71
180160327_306;CAST#1;45.2366;-64.72;-59;40;23-jul-60;02:18:00;222;31.258;12.56
180160327_315;CAST#1;44.4333;-67.1833;-6;97;19-jul-60;17:54:00;200;32.282;7.94
180160327_318;CAST#1;45.2833;-64.6666;-60;41;23-jul-60;07:06:00;230;31.059;12.92
180160327_319;CAST#1;45.25;-64.7666;-61;55;23-jul-60;07:36:00;226;31.083;12.79
180160327_320;CAST#1;45.25;-64.8333;-62;48;23-jul-60;08:18:00;230;31.111;12.74
180160327_321;CAST#1;45.2333;-64.9083;-63;50;23-jul-60;08:48:00;222;31.184;12.67
180160327_322;CAST#1;45.2833;-64.975;-64;46;23-jul-60;09:18:00;201;31.369;12.27
180160327_323;CAST#1;45.3583;-65.0833;-65;40;23-jul-60;10:18:00;222;31.34;11.92
180160327_326;CAST#1;44.5;-67.3333;-7;0;19-jul-60;19:12:00;234;31.038;8.91
180160327_329;CAST#1;45.5;-65.0483;-66;32;23-jul-60;13:36:00;238;30.912;12.78
180160327_330;CAST#1;45.4916;-64.8666;-67;32;23-jul-60;14:30:00;252;31.116;12.32
180160327_333;CAST#1;45.5033;-64.8833;-68;39;23-jul-60;15:12:00;227;31.075;12.37
180160327_334;CAST#1;45.5166;-64.9;-69;45;23-jul-60;15:48:00;249;31.024;12.48
180160327_336;CAST#1;45.5416;-64.9583;-70;30;23-jul-60;16:48:00;230;30.828;13.03
180160327_338;CAST#1;45.5666;-64.875;-71;34;23-jul-60;17:54:00;230;30.909;12.9
180160327_339;CAST#1;44.5666;-67.1833;-8;87;19-jul-60;20:24:00;215;NaN;8.14
180160327_353;CAST#1;45.5833;-64.7833;-72;40;23-jul-60;18:30:00;201;30.879;13.05
180160327_354;CAST#1;45.5583;-64.7666;-73;70;23-jul-60;18:54:00;213;30.975;12.78
180160327_371;CAST#1;45.5333;-64.8666;-74;59;23-jul-60;19:54:00;220;30.947;12.82
180160327_389;CAST#1;45.5;-64.9833;-75;45;23-jul-60;20:36:00;250;31.019;12.53
180160327_407;CAST#1;45.4783;-64.9783;-76;30;23-jul-60;21:00:00;212;31.021;12.49
180160327_409;CAST#1;45.4416;-64.925;-77;30;23-jul-60;22:00:00;220;31.045;12.59
