CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX;Si_01;NO2_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none));(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
180166005_003;CAST#1;44.58333;-64.03333;-31;1;30-jun-66;00:00:00;320;30.708;3.8;0.01;0.32;0.08;0.83
180166005_003;CAST#1;44.58333;-64.03333;-32;5;30-jun-66;00:00:00;350;31.281;3;0.01;0.4;0;1.28
180166005_003;CAST#1;44.58333;-64.03333;-33;10;30-jun-66;00:00:00;355;31.442;3.3;0.03;0.4;0.02;2.17
180166005_003;CAST#1;44.58333;-64.03333;-34;15;30-jun-66;00:00:00;355;31.52;3.9;0.05;0.52;0.38;2.85
180166005_003;CAST#1;44.58333;-64.03333;-35;25;30-jun-66;00:00:00;345;31.639;4.5;0.09;0.61;1.63;1.12
180166005_003;CAST#1;44.58333;-64.03333;-36;45;30-jun-66;00:00:00;335;31.827;7.2;0.14;0.76;2.34;0.45
180166005_014;CAST#1;44.58333;-64.03333;-1;1;04-jul-66;00:00:00;295;30.321;2.8;0.01;0.28;0;0.6
180166005_014;CAST#1;44.58333;-64.03333;-2;5;04-jul-66;00:00:00;335;31.087;2.2;0.01;0.34;0;0.68
180166005_014;CAST#1;44.58333;-64.03333;-3;10;04-jul-66;00:00:00;370;31.447;2.6;0.02;0.38;0;0.98
180166005_014;CAST#1;44.58333;-64.03333;-4;15;04-jul-66;00:00:00;370;31.494;2.5;0;0.42;0;1.8
180166005_014;CAST#1;44.58333;-64.03333;-5;25;04-jul-66;00:00:00;330;31.66;7.4;0.12;0.77;1.94;2.78
180166005_014;CAST#1;44.58333;-64.03333;-6;45;04-jul-66;00:00:00;330;31.659;9.9;0.15;0.85;2.51;1.8
180166005_036;CAST#1;44.58333;-64.03333;-10;15;07-jul-66;00:00:00;370;NaN;2.5;0.01;0.47;0;1.36
180166005_036;CAST#1;44.58333;-64.03333;-11;25;07-jul-66;00:00:00;355;31.67;4.6;0.02;0.56;0;3.09
180166005_036;CAST#1;44.58333;-64.03333;-12;45;07-jul-66;00:00:00;325;31.92;9;0.15;0.82;2.45;0.75
180166005_036;CAST#1;44.58333;-64.03333;-7;1;07-jul-66;00:00:00;285;30.51;2.2;0.01;0.28;0;0.75
180166005_036;CAST#1;44.58333;-64.03333;-8;5;07-jul-66;00:00:00;350;31.01;2.8;0;0.36;0;0.9
180166005_036;CAST#1;44.58333;-64.03333;-9;10;07-jul-66;00:00:00;365;31.51;3.1;0;0.4;0;0.98
180166005_058;CAST#1;44.58333;-64.03333;-13;1;11-jul-66;00:00:00;270;30.75;1.4;0.01;0.23;0;0.68
180166005_058;CAST#1;44.58333;-64.03333;-14;5;11-jul-66;00:00:00;275;30.77;1.6;0;0.25;0;0.82
180166005_058;CAST#1;44.58333;-64.03333;-15;10;11-jul-66;00:00:00;335;31.37;1.7;0.01;0.31;0;1.12
180166005_058;CAST#1;44.58333;-64.03333;-16;15;11-jul-66;00:00:00;340;31.46;2.4;0;0.34;0;1.42
180166005_058;CAST#1;44.58333;-64.03333;-17;25;11-jul-66;00:00:00;345;31.63;1.9;0.01;0.37;0;2.05
180166005_058;CAST#1;44.58333;-64.03333;-18;45;11-jul-66;00:00:00;290;31.91;11.3;0.18;0.95;2.41;1.35
180166005_091;CAST#1;44.58333;-64.03333;-37;1;14-jul-66;00:00:00;250;30.13;1.2;0.02;0.16;0;0.6
180166005_091;CAST#1;44.58333;-64.03333;-38;5;14-jul-66;00:00:00;260;30.98;1.4;0.01;0.2;0;1.05
180166005_091;CAST#1;44.58333;-64.03333;-39;10;14-jul-66;00:00:00;280;31.01;2.5;0;0.18;0;1.42
180166005_091;CAST#1;44.58333;-64.03333;-40;15;14-jul-66;00:00:00;325;NaN;1.9;0;0.26;0;2.4
180166005_091;CAST#1;44.58333;-64.03333;-41;25;14-jul-66;00:00:00;335;31.61;2;0;0.36;0;1.81
180166005_091;CAST#1;44.58333;-64.03333;-42;45;14-jul-66;00:00:00;290;31.89;6.9;0.18;0.78;2.32;1.2
180166005_102;CAST#1;44.58333;-64.03333;-43;1;18-jul-66;00:00:00;280;30.63;1.3;0;0.15;0;1.03
180166005_102;CAST#1;44.58333;-64.03333;-44;5;18-jul-66;00:00:00;305;30.91;1.1;0;0.17;0;1.03
180166005_102;CAST#1;44.58333;-64.03333;-45;10;18-jul-66;00:00:00;375;31.56;2.6;0.01;0.26;0;1.88
180166005_102;CAST#1;44.58333;-64.03333;-46;15;18-jul-66;00:00:00;370;31.55;1.9;0;0.3;0;2.03
180166005_102;CAST#1;44.58333;-64.03333;-47;25;18-jul-66;00:00:00;360;31.61;2.2;0.01;0.49;0.21;2.1
180166005_102;CAST#1;44.58333;-64.03333;-48;45;18-jul-66;00:00:00;320;31.75;8.1;2.17;0.84;2.02;1.96
180166005_138;CAST#1;44.58333;-64.03333;-49;1;21-jul-66;00:00:00;315;30.85;2.6;0;0.16;0;1.05
180166005_138;CAST#1;44.58333;-64.03333;-50;5;21-jul-66;00:00:00;335;31.25;1.9;0;0.18;0;1.42
180166005_138;CAST#1;44.58333;-64.03333;-51;10;21-jul-66;00:00:00;385;31.7;1.9;0;0.19;0;2.18
180166005_138;CAST#1;44.58333;-64.03333;-52;15;21-jul-66;00:00:00;385;31.7;2.7;0;0.3;0;2.33
180166005_138;CAST#1;44.58333;-64.03333;-53;25;21-jul-66;00:00:00;370;31.79;2.9;0.03;0.54;0.13;2.78
180166005_138;CAST#1;44.58333;-64.03333;-54;45;21-jul-66;00:00:00;330;31.91;9.7;0.2;0.9;2.18;1.75
180166005_149;CAST#1;44.58333;-64.03333;-55;1;25-jul-66;00:00:00;285;30.51;3;0;0.17;0;0.75
180166005_149;CAST#1;44.58333;-64.03333;-56;5;25-jul-66;00:00:00;290;31.1;1.5;0;0.09;0;0.6
180166005_149;CAST#1;44.58333;-64.03333;-57;10;25-jul-66;00:00:00;380;31.56;1.6;0;0.16;0;1.24
180166005_149;CAST#1;44.58333;-64.03333;-58;15;25-jul-66;00:00:00;395;31.56;3.2;0;0.26;0;2.33
180166005_149;CAST#1;44.58333;-64.03333;-59;25;25-jul-66;00:00:00;355;31.68;3.5;0.01;0.42;0;1.35
180166005_149;CAST#1;44.58333;-64.03333;-60;45;25-jul-66;00:00:00;315;31.84;5.5;0.14;0.76;1.36;2.03
180166005_182;CAST#1;44.58333;-64.03333;-61;1;28-jul-66;00:00:00;270;30.569;3.9;0.01;0.18;0;0.68
180166005_182;CAST#1;44.58333;-64.03333;-62;5;28-jul-66;00:00:00;310;31.259;2.1;0;0.17;0.29;0.6
180166005_182;CAST#1;44.58333;-64.03333;-63;10;28-jul-66;00:00:00;305;31.189;1.6;0.01;0.18;0.13;0.9
180166005_182;CAST#1;44.58333;-64.03333;-64;15;28-jul-66;00:00:00;320;31.256;3.1;0.05;0.15;0.15;1.88
180166005_182;CAST#1;44.58333;-64.03333;-65;25;28-jul-66;00:00:00;360;NaN;2.4;0.01;0.21;0.19;2.93
180166005_182;CAST#1;44.58333;-64.03333;-66;45;28-jul-66;00:00:00;320;31.649;3.8;0.09;0.69;0.9;1.58
180166005_204;CAST#1;44.58333;-64.03333;-67;1;01-aug-66;00:00:00;275;30.736;2.2;0.01;0.2;0.27;0.6
180166005_204;CAST#1;44.58333;-64.03333;-68;5;01-aug-66;00:00:00;300;30.945;1.6;0.01;0.19;0.07;0.75
180166005_204;CAST#1;44.58333;-64.03333;-69;10;01-aug-66;00:00:00;330;31.316;1.8;0.01;0.2;0.16;1.35
180166005_204;CAST#1;44.58333;-64.03333;-70;15;01-aug-66;00:00:00;340;31.356;3.2;0.02;0.22;0.16;1.8
180166005_204;CAST#1;44.58333;-64.03333;-71;25;01-aug-66;00:00:00;365;31.498;2.4;0.02;0.28;0.16;2.8
180166005_204;CAST#1;44.58333;-64.03333;-72;45;01-aug-66;00:00:00;325;31.677;7;0.16;0.84;1.36;1.2
180166005_239;CAST#1;44.58333;-64.03333;-73;1;08-aug-66;00:00:00;270;30.594;3.4;0.01;0.2;0.03;0.75
180166005_239;CAST#1;44.58333;-64.03333;-74;5;08-aug-66;00:00:00;305;31.129;2.5;0.01;0.16;0.13;0.75
180166005_239;CAST#1;44.58333;-64.03333;-75;10;08-aug-66;00:00:00;320;31.216;3.2;0.02;0.24;0.13;0.9
180166005_239;CAST#1;44.58333;-64.03333;-76;15;08-aug-66;00:00:00;335;31.308;4.6;0.02;0.33;0.13;1.42
180166005_239;CAST#1;44.58333;-64.03333;-77;25;08-aug-66;00:00:00;340;31.507;3.4;0.05;0.4;0.14;1.2
180166005_239;CAST#1;44.58333;-64.03333;-78;45;08-aug-66;00:00:00;315;31.658;7.1;0.12;0.74;1.12;0.75
180166005_244;CAST#1;44.58333;-64.03333;-79;1;11-aug-66;00:00:00;260;30.617;3.3;0.01;0.18;0.61;0.75
180166005_244;CAST#1;44.58333;-64.03333;-80;5;11-aug-66;00:00:00;270;30.874;2.1;0.01;0.22;0.42;1.12
180166005_244;CAST#1;44.58333;-64.03333;-81;10;11-aug-66;00:00:00;310;31.116;2.4;0.01;0.25;0.41;1.28
180166005_244;CAST#1;44.58333;-64.03333;-82;15;11-aug-66;00:00:00;330;31.333;2.8;0;0.26;0.39;1.96
180166005_244;CAST#1;44.58333;-64.03333;-83;25;11-aug-66;00:00:00;320;31.449;3.5;0.04;0.36;0.67;0.98
180166005_244;CAST#1;44.58333;-64.03333;-84;45;11-aug-66;00:00:00;290;NaN;10;0.13;0.87;1.45;0.68
180166005_247;CAST#1;44.58333;-64.03333;-85;1;15-aug-66;00:00:00;265;31.012;2.2;0;0.17;0.49;0.82
180166005_247;CAST#1;44.58333;-64.03333;-86;5;15-aug-66;00:00:00;320;31.102;2.5;0;0.19;1.2;1.64
180166005_247;CAST#1;44.58333;-64.03333;-87;10;15-aug-66;00:00:00;330;NaN;3.3;0.01;0.29;0.49;2.02
180166005_247;CAST#1;44.58333;-64.03333;-88;15;15-aug-66;00:00:00;320;31.204;4.5;0.01;0.41;0.72;1.35
180166005_247;CAST#1;44.58333;-64.03333;-89;25;15-aug-66;00:00:00;315;31.504;5.2;0.09;0.54;0.97;0.75
180166005_247;CAST#1;44.58333;-64.03333;-90;45;15-aug-66;00:00:00;295;31.664;7.8;0.18;0.83;1.49;0.38
180166005_275;CAST#1;44.58333;-64.03333;-91;1;18-aug-66;00:00:00;250;30.355;2.5;0.01;0.18;0.41;1.12
180166005_275;CAST#1;44.58333;-64.03333;-92;5;18-aug-66;00:00:00;265;31.027;2.3;0.01;0.18;0.29;1.58
180166005_275;CAST#1;44.58333;-64.03333;-93;10;18-aug-66;00:00:00;335;31.342;2.8;0.03;0.26;0.52;2.48
180166005_275;CAST#1;44.58333;-64.03333;-94;15;18-aug-66;00:00:00;320;31.453;4.1;0.01;0.37;0.3;1.28
180166005_275;CAST#1;44.58333;-64.03333;-95;25;18-aug-66;00:00:00;305;31.616;6;0.13;0.66;1.13;0.6
180166005_275;CAST#1;44.58333;-64.03333;-96;45;18-aug-66;00:00:00;285;31.716;9.8;0.25;0.87;2.05;0.45
180166005_277;CAST#1;44.58333;-64.03333;-100;15;22-aug-66;00:00:00;360;31.495;3.5;0.01;0.37;0.35;1.28
180166005_277;CAST#1;44.58333;-64.03333;-101;25;22-aug-66;00:00:00;345;31.574;4.9;0.1;0.56;0.73;0.68
180166005_277;CAST#1;44.58333;-64.03333;-102;45;22-aug-66;00:00:00;305;31.709;13.5;0.27;1.01;2.17;0.6
180166005_277;CAST#1;44.58333;-64.03333;-97;1;22-aug-66;00:00:00;300;30.665;3.1;0.01;0.2;0.34;0.9
180166005_277;CAST#1;44.58333;-64.03333;-98;5;22-aug-66;00:00:00;355;31.239;2.8;0;0.25;0.41;1.06
180166005_277;CAST#1;44.58333;-64.03333;-99;10;22-aug-66;00:00:00;370;31.45;3;0.02;0.33;0.24;1.06
180166005_284;CAST#1;44.58333;-64.03333;-19;1;23-jun-66;00:00:00;300;29.952;4.5;0;0.2;0.07;0.6
180166005_284;CAST#1;44.58333;-64.03333;-20;5;23-jun-66;00:00:00;345;31.357;2.7;0.02;0.38;0.14;0.9
180166005_284;CAST#1;44.58333;-64.03333;-21;10;23-jun-66;00:00:00;350;31.437;3.1;0.04;0.44;0.18;0.6
180166005_284;CAST#1;44.58333;-64.03333;-22;15;23-jun-66;00:00:00;350;31.529;4.4;0.05;0.62;0.54;1.05
180166005_284;CAST#1;44.58333;-64.03333;-23;25;23-jun-66;00:00:00;330;31.61;7.4;0.1;0.77;1.9;0.9
180166005_284;CAST#1;44.58333;-64.03333;-24;45;23-jun-66;00:00:00;330;31.758;6.7;0.13;0.66;1.97;0.3
180166005_326;CAST#1;44.58333;-64.03333;-25;1;27-jun-66;00:00:00;295;30.198;4.2;0.01;0.29;0.13;0.75
180166005_326;CAST#1;44.58333;-64.03333;-26;5;27-jun-66;00:00:00;340;31.027;3.5;0.02;0.37;0.08;0.75
180166005_326;CAST#1;44.58333;-64.03333;-27;10;27-jun-66;00:00:00;340;31.462;4.2;0.03;0.52;0.28;1.05
180166005_326;CAST#1;44.58333;-64.03333;-28;15;27-jun-66;00:00:00;340;31.562;5.2;0.06;0.59;0.93;0.75
180166005_326;CAST#1;44.58333;-64.03333;-29;25;27-jun-66;00:00:00;335;31.649;6.5;0.1;0.72;1.84;1.05
180166005_326;CAST#1;44.58333;-64.03333;-30;45;27-jun-66;00:00:00;340;31.847;6.5;0.12;0.72;2.24;0.45
