CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;SSAL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);((none))
180335056_428;1011;48;-69.75;1816;0;22-aug-35;17:55:00;281.8046;28.03
180335056_428;1011;48;-69.75;1817;10;22-aug-35;17:55:00;276.4454;29.22
180335056_428;1011;48;-69.75;1818;25;22-aug-35;17:55:00;276.892;30.08
180335056_429;1021;48;-69.66667;1812;0;22-aug-35;16:55:00;284.4842;26.42
180335056_429;1021;48;-69.66667;1813;10;22-aug-35;16:55:00;276.4454;28.42
180335056_429;1021;48;-69.66667;1814;25;22-aug-35;16:55:00;271.0862;30.55
180335056_429;1021;48;-69.66667;1815;50;22-aug-35;16:55:00;253.2222;32.54
180335056_430;1031;48;-69.58333;1809;0;22-aug-35;15:50:00;282.6978;27.23
180335056_430;1031;48;-69.58333;1810;10;22-aug-35;15:50:00;267.0668;30.37
180335056_430;1031;48;-69.58333;1811;25;22-aug-35;15:50:00;259.028;32.14
