CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;terrain;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01;TEMP_XX;Si_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3);(celsius);(mmol/m**3)
181064009_182;26;38;-48.43;-591;0;13-jun-64;12:36:00;NaN;20.7;NaN
181064009_182;26;38;-48.43;-592;50;13-jun-64;12:36:00;229.9969;20.18;3
181064009_182;26;38;-48.43;-593;99;13-jun-64;12:36:00;211.2399;17.9;4
181064009_182;26;38;-48.43;-594;149;13-jun-64;12:36:00;220.1718;17.56;3
181064009_182;26;38;-48.43;-595;199;13-jun-64;12:36:00;223.7446;17.4;3
181064009_182;26;38;-48.43;-596;249;13-jun-64;12:36:00;229.9969;17.31;2
181064009_182;26;38;-48.43;-597;299;13-jun-64;12:36:00;228.6572;17.28;3
181064009_182;26;38;-48.43;-598;398;13-jun-64;12:36:00;223.7446;17.12;2
181064009_182;26;38;-48.43;-599;498;13-jun-64;12:36:00;224.1912;16.91;2
181064009_182;26;38;-48.43;-600;597;13-jun-64;12:36:00;209.4535;15.62;4
181064009_182;26;38;-48.43;-601;696;13-jun-64;12:36:00;215.7059;13.45;7
181064009_182;26;38;-48.43;-602;795;13-jun-64;12:36:00;169.7065;11.97;10
181064009_182;26;38;-48.43;-603;896;13-jun-64;12:36:00;148.2699;9.61;16
181064009_182;26;38;-48.43;-604;996;13-jun-64;12:36:00;176.852;7.25;17
181064009_182;26;38;-48.43;-605;1196;13-jun-64;12:36:00;229.9969;5.23;NaN
181064009_182;26;38;-48.43;-606;1558;13-jun-64;14:12:00;261.7052;4.2;NaN
181064009_182;26;38;-48.43;-607;2054;13-jun-64;14:12:00;270.6372;3.77;NaN
181064009_182;26;38;-48.43;-608;2542;13-jun-64;14:12:00;269.744;3.44;NaN
181064009_182;26;38;-48.43;-609;3045;13-jun-64;14:12:00;270.6372;3.04;NaN
181064009_182;26;38;-48.43;-610;3543;13-jun-64;14:12:00;270.1906;2.63;NaN
181064009_182;26;38;-48.43;-611;4040;13-jun-64;14:12:00;270.6372;2.38;NaN
181064009_182;26;38;-48.43;-612;4543;13-jun-64;14:12:00;271.0837;2.3;NaN
181064009_182;26;38;-48.43;-613;4743;13-jun-64;14:12:00;268.8508;2.3;NaN
181064009_182;26;38;-48.43;-614;4945;13-jun-64;14:12:00;268.8508;2.25;NaN
181064009_193;27;38.0683;-49.9316;-615;0;13-jun-64;22:12:00;NaN;20.7;NaN
181064009_193;27;38.0683;-49.9316;-616;10;13-jun-64;22:12:00;232.2299;20.39;NaN
181064009_193;27;38.0683;-49.9316;-617;50;13-jun-64;23:06:00;236.2493;19.78;3
181064009_193;27;38.0683;-49.9316;-618;99;13-jun-64;23:06:00;214.3661;17.93;4
181064009_193;27;38.0683;-49.9316;-619;150;13-jun-64;23:36:00;226.8708;17.6;3
181064009_193;27;38.0683;-49.9316;-620;200;13-jun-64;23:36:00;229.5503;17.58;2
181064009_193;27;38.0683;-49.9316;-621;250;13-jun-64;23:36:00;234.0163;17.42;2
181064009_193;27;38.0683;-49.9316;-622;300;13-jun-64;23:36:00;227.7639;17.38;3
181064009_193;27;38.0683;-49.9316;-623;400;14-jun-64;00:12:00;234.4629;17.35;2
181064009_193;27;38.0683;-49.9316;-624;500;14-jun-64;00:12:00;229.9969;17.23;2
