CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
181079022_001;0;44.2017;-63.4667;4100;129;06-aug-79;16:39:00;130;34.528;NaN;15.81;1.755;18.145
181079022_001;0;44.2017;-63.4667;4101;129;06-aug-79;16:39:00;130;34.527;NaN;14.64;1.59;16.31
181079022_001;0;44.2017;-63.4667;4102;99;06-aug-79;16:39:00;100;NaN;187.1254;2.62;1.035;3.4
181079022_001;0;44.2017;-63.4667;4103;74;06-aug-79;16:39:00;75;NaN;230.4456;13.22;1.61;15.325
181079022_001;0;44.2017;-63.4667;4104;50;06-aug-79;16:39:00;50;NaN;322.8918;2.485;1.005;3.12
181079022_001;0;44.2017;-63.4667;4105;50;06-aug-79;16:39:00;50;NaN;328.251;8.135;1.385;11.345
181079022_001;0;44.2017;-63.4667;4106;30;06-aug-79;16:39:00;30;NaN;371.5712;0.635;0.575;0.22
181079022_001;0;44.2017;-63.4667;4107;20;06-aug-79;16:39:00;20;NaN;343.4354;0.65;0.63;0.17
181079022_001;0;44.2017;-63.4667;4108;10;06-aug-79;16:39:00;10;NaN;271.0862;0.755;0.565;0.195
181079022_002;1;42.6833;-64;4109;495;07-aug-79;01:55:00;500;34.937;328.251;13.045;1.68;20.925
181079022_002;1;42.6833;-64;4110;495;07-aug-79;01:55:00;500;34.935;227.766;12.04;1.58;19.165
181079022_002;1;42.6833;-64;4111;495;07-aug-79;01:55:00;500;NaN;NaN;NaN;NaN;NaN
181079022_002;1;42.6833;-64;4112;198;07-aug-79;01:55:00;200;NaN;150.9508;9.955;1.52;19.08
181079022_002;1;42.6833;-64;4113;149;07-aug-79;01:55:00;150;NaN;188.0186;6.5;1.245;13.56
181079022_002;1;42.6833;-64;4114;99;07-aug-79;01:55:00;100;NaN;200.97;5.66;1.2;12.83
181079022_002;1;42.6833;-64;4115;50;07-aug-79;01:55:00;50;NaN;266.1736;3.245;1.03;4.17
181079022_002;1;42.6833;-64;4116;30;07-aug-79;01:55:00;30;NaN;318.4258;1.445;0.885;0.355
181079022_002;1;42.6833;-64;4117;10;07-aug-79;01:55:00;10;NaN;252.7756;0.55;0.51;0.27
181079022_003;10;43.24667;-65.46667;4190;63;07-aug-79;18:25:00;64;32.8735;253.2222;5.775;1.06;6.995
181079022_003;10;43.24667;-65.46667;4191;63;07-aug-79;18:25:00;64;32.8685;245.63;6.065;1.095;7.13
181079022_003;10;43.24667;-65.46667;4192;50;07-aug-79;18:25:00;50;NaN;270.6396;5.97;1.12;7.42
181079022_003;10;43.24667;-65.46667;4193;50;07-aug-79;18:25:00;50;NaN;267.96;5.735;1.115;7.025
181079022_003;10;43.24667;-65.46667;4194;40;07-aug-79;18:25:00;40;NaN;275.1056;5.745;1.12;6.885
