CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;terrain;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PRES;PSAL_BS;OXYM_01;TEMP_XX;Si_01;PO4_01;NOx_01;CHL_XX
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(dbar);(PSU);(mmol/m**3);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3)
181C04552_002;STN27;47.5467;-52.5867;258513;167;21-jul-04;23:20:00;168.52;33.136;275.1;-0.1;14.47;1.27;9.03;NaN
181C04552_002;STN27;47.5467;-52.5867;258514;149;21-jul-04;23:20:00;150.29;32.929;315.3;-0.61;8.61;1;7.56;0.02
181C04552_002;STN27;47.5467;-52.5867;258515;100;21-jul-04;23:20:00;100.76;32.596;343;-1.09;5.78;0.97;6.58;0
181C04552_002;STN27;47.5467;-52.5867;258516;74;21-jul-04;23:20:00;74.69;32.485;355.5;-0.96;2.6;0.82;4.47;0
181C04552_002;STN27;47.5467;-52.5867;258517;49;21-jul-04;23:20:00;49.39;32.374;373.4;-0.05;1.64;0.58;1.55;0.28
181C04552_002;STN27;47.5467;-52.5867;258518;40;21-jul-04;23:20:00;40.02;32.269;368.4;0.57;1.04;0.45;1.28;0.51
181C04552_002;STN27;47.5467;-52.5867;258519;30;21-jul-04;23:20:00;30.42;32.135;358.6;2.54;1.62;0.45;0.61;1.24
181C04552_002;STN27;47.5467;-52.5867;258520;20;21-jul-04;23:20:00;20.16;32.017;345.2;4.43;1.04;0.29;0;1.73
181C04552_002;STN27;47.5467;-52.5867;258521;10;21-jul-04;23:20:00;9.83;31.65;285.4;11.87;1.04;0.27;0.11;0.83
181C04552_002;STN27;47.5467;-52.5867;258522;4;21-jul-04;23:20:00;4.21;31.65;281.8;12.91;1.04;0.23;0;0.58
181C04552_003;FC-09;47;-50;258569;75;23-jul-04;17:34:00;75.83;33.03;234;0.86;11.42;1.7;7.23;0.27
181C04552_003;FC-09;47;-50;258570;50;23-jul-04;17:34:00;50.46;32.822;337.2;1.98;1.47;0.53;2.08;0.75
181C04552_003;FC-09;47;-50;258571;40;23-jul-04;17:34:00;40.38;32.768;348.3;2.57;1.4;0.43;0;0.48
181C04552_003;FC-09;47;-50;258572;30;23-jul-04;17:34:00;30.64;32.753;335.8;4.71;1.36;0.35;0.08;0.42
181C04552_003;FC-09;47;-50;258573;20;23-jul-04;17:34:00;20.38;32.623;318.9;6.59;1.04;0.32;0.07;0.22
181C04552_003;FC-09;47;-50;258574;9;23-jul-04;17:34:00;9.47;32.472;283.6;11.37;1.25;0.34;0.13;0.32
181C04552_003;FC-09;47;-50;258575;5;23-jul-04;17:34:00;5.08;32.471;282.7;11.53;1.12;0.29;0.12;0.33
181C04552_014;FC-10;47;-49.1167;258576;75;23-jul-04;21:37:00;75.86;33.075;260.4;0.41;9.69;1.37;7.41;0.1
181C04552_014;FC-10;47;-49.1167;258577;50;23-jul-04;21:37:00;50.42;32.693;385;1.51;1.08;0.3;0.09;0.62
181C04552_014;FC-10;47;-49.1167;258578;40;23-jul-04;21:37:00;39.98;32.663;355;3.02;1.57;0.41;1.04;0.52
181C04552_014;FC-10;47;-49.1167;258579;30;23-jul-04;21:37:00;30.7;32.566;330.5;5.34;1.35;0.33;0.48;0.17
181C04552_014;FC-10;47;-49.1167;258580;21;23-jul-04;21:37:00;20.78;32.498;309;7.73;1.36;0.35;0.35;0.28
181C04552_014;FC-10;47;-49.1167;258581;10;23-jul-04;21:37:00;10.17;32.46;281.4;11.55;1.5;0.41;0.11;0.23
181C04552_014;FC-10;47;-49.1167;258582;5;23-jul-04;21:37:00;4.94;32.451;280.5;11.63;1.05;0.33;0.04;0.23
181C04552_025;FC-11;47;-48.6167;258583;99;24-jul-04;00:18:00;99.98;33.233;256.3;0.24;NaN;NaN;NaN;NaN
181C04552_036;FC-12;47;-48.1167;258584;130;24-jul-04;03:41:00;131.39;33.337;288.5;0.21;12.52;1.18;8.57;NaN
