CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
189016004_1493;181;47.93633;-60.5475;417893;434.76;07-mar-16;22:28:00;34.87;5.65;152.71487;33.48;0.01333;22.74667;1.78;NaN;1.007
189016004_1493;181;47.93633;-60.5475;417894;150.27;07-mar-16;22:28:00;33.75;4.51;NaN;14.625;0.01667;15.11333;1.26333;NaN;1.046
189016004_1493;181;47.93633;-60.5475;417895;97.75;07-mar-16;22:28:00;32.83;1.75;NaN;12.195;0.01333;12.05333;1.16667;NaN;1.227
189016004_1493;181;47.93633;-60.5475;417896;53.24;07-mar-16;22:28:00;31.72;-0.79;364.67123;6.42;0.06667;6.29667;0.78;0.245;4.418
189016004_1493;181;47.93633;-60.5475;417897;15.77;07-mar-16;22:28:00;31.68;-0.92;NaN;6.295;0.07;6.25333;0.78333;0.32;5.357
189016004_1493;181;47.93633;-60.5475;417898;4.07;07-mar-16;22:28:00;31.68;-0.93;370.70033;6.355;0.07;6.25667;0.77667;0.28;5.513
189016004_1494;201;47.84917;-59.6645;417905;399.23;08-mar-16;03:11:00;34.87;5.86;152.35759;30.48;0.01;23.00333;1.74667;NaN;1.268
189016004_1494;201;47.84917;-59.6645;417906;151.27;08-mar-16;03:11:00;33.6;3.91;NaN;16.01;0.01667;15.21333;1.30333;NaN;1.237
189016004_1494;201;47.84917;-59.6645;417907;101.12;08-mar-16;03:11:00;32.8;1.68;NaN;9.325;0.02;9.09;1.005;NaN;1.403
189016004_1494;201;47.84917;-59.6645;417908;50.17;08-mar-16;03:11:00;31.72;0.23;365.78773;3.835;0.09;3.75;0.64;1.835;14.24
189016004_1494;201;47.84917;-59.6645;417909;15.87;08-mar-16;03:11:00;31.63;0.07;NaN;3.67;0.09;3.32;0.62;2.395;18.913
189016004_1494;201;47.84917;-59.6645;417910;3.17;08-mar-16;03:11:00;31.63;0.11;369.49451;3.76;0.085;3.31;0.62;2.32;19.031
189016004_1495;211;47.63483;-59.93367;417911;518.17;08-mar-16;05:35:00;34.88;5.65;156.13136;32.66;0.02;22.285;1.785;NaN;1.186
189016004_1495;211;47.63483;-59.93367;417912;149.19;08-mar-16;05:35:00;33.51;3.61;NaN;15.615;0.02;14.85;1.3;NaN;1.392
