CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;OXYM_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(mmol/m**3)
18BA68003_1736;211;47.705;-63.8133;116;1;27-apr-68;09:18:00;317.086
18BA68003_1736;211;47.705;-63.8133;117;10;27-apr-68;09:18:00;315.2996
18BA68003_1736;211;47.705;-63.8133;118;20;27-apr-68;09:18:00;315.2996
18BA68003_1736;211;47.705;-63.8133;119;30;27-apr-68;09:18:00;333.1636
18BA68003_1736;211;47.705;-63.8133;120;50;27-apr-68;09:18:00;307.7074
18BA68003_1738;251;47.3;-64.3166;139;1;28-apr-68;17:06:00;351.9208
18BA68003_1738;251;47.3;-64.3166;140;10;28-apr-68;17:06:00;329.5908
18BA68003_1738;251;47.3;-64.3166;141;20;28-apr-68;17:06:00;356.8334
18BA68003_1738;251;47.3;-64.3166;142;30;28-apr-68;17:06:00;325.1248
18BA68003_1738;251;47.3;-64.3166;143;40;28-apr-68;17:06:00;334.0568
18BA68003_1743;441;47.5333;-63.7333;283;1;05-may-68;11:24:00;378.2702
18BA68003_1743;441;47.5333;-63.7333;284;10;05-may-68;11:24:00;388.9886
18BA68003_1743;441;47.5333;-63.7333;285;20;05-may-68;11:24:00;378.2702
18BA68003_1743;441;47.5333;-63.7333;286;30;05-may-68;11:24:00;340.3092
18BA68003_1743;441;47.5333;-63.7333;287;50;05-may-68;11:24:00;327.8044
18BA68003_1743;441;47.5333;-63.7333;288;65;05-may-68;11:24:00;297.4356
18BA68003_1744;451;47.7333;-64.0008;289;1;05-may-68;15:54:00;379.1634
18BA68003_1744;451;47.7333;-64.0008;290;10;05-may-68;15:54:00;385.8624
18BA68003_1744;451;47.7333;-64.0008;291;20;05-may-68;15:54:00;341.649
18BA68003_1744;451;47.7333;-64.0008;292;30;05-may-68;15:54:00;340.3092
18BA68003_1744;451;47.7333;-64.0008;293;50;05-may-68;15:54:00;329.5908
18BA68003_1744;451;47.7333;-64.0008;294;75;05-may-68;15:54:00;300.1152
18BA68003_1745;471;47.965;-62.42;301;1;06-may-68;18:48:00;395.6876
18BA68003_1745;471;47.965;-62.42;302;10;06-may-68;18:48:00;392.5614
18BA68003_1745;471;47.965;-62.42;303;20;06-may-68;18:48:00;345.6684
18BA68003_1745;471;47.965;-62.42;304;30;06-may-68;18:48:00;361.2994
18BA68003_1745;471;47.965;-62.42;305;50;06-may-68;18:48:00;346.115
18BA68003_1745;471;47.965;-62.42;306;60;06-may-68;18:48:00;310.8336
18BA68003_1746;481;47.1083;-62.5;307;1;07-may-68;02:48:00;380.5032
18BA68003_1746;481;47.1083;-62.5;308;10;07-may-68;02:48:00;385.8624
18BA68003_1746;481;47.1083;-62.5;309;20;07-may-68;02:48:00;371.5712
18BA68003_1746;481;47.1083;-62.5;310;30;07-may-68;02:48:00;357.7266
18BA68003_1746;481;47.1083;-62.5;311;49;07-may-68;02:48:00;334.5034
18BA68003_1746;481;47.1083;-62.5;312;59;07-may-68;02:48:00;296.5424
18BA68003_1750;511;47.555;-59.4083;326;1;07-may-68;22:00:00;351.4742
18BA68003_1750;511;47.555;-59.4083;327;10;07-may-68;22:00:00;354.1538
18BA68003_1750;511;47.555;-59.4083;328;20;07-may-68;22:00:00;342.5422
18BA68003_1750;511;47.555;-59.4083;329;29;07-may-68;22:00:00;342.0956
18BA68003_1750;511;47.555;-59.4083;330;49;07-may-68;22:00:00;348.348
18BA68003_1750;511;47.555;-59.4083;331;73;07-may-68;22:00:00;316.1928
18BA68003_1750;511;47.555;-59.4083;332;98;07-may-68;22:00:00;296.5424
18BA68003_1750;511;47.555;-59.4083;333;147;07-may-68;22:00:00;238.931
18BA68003_1750;511;47.555;-59.4083;334;196;07-may-68;22:00:00;200.0768
18BA68003_1750;511;47.555;-59.4083;335;245;07-may-68;22:00:00;197.3972
18BA68003_1750;511;47.555;-59.4083;336;294;07-may-68;22:00:00;200.97
18BA68003_1750;511;47.555;-59.4083;337;348;07-may-68;22:00:00;203.6496
18BA68003_1751;521;47.4566;-59.6233;338;1;08-may-68;04:24:00;357.28
18BA68003_1751;521;47.4566;-59.6233;339;10;08-may-68;04:24:00;359.9596
18BA68003_1751;521;47.4566;-59.6233;340;20;08-may-68;04:24:00;351.9208
18BA68003_1751;521;47.4566;-59.6233;341;30;08-may-68;04:24:00;345.6684
18BA68003_1751;521;47.4566;-59.6233;342;50;08-may-68;04:24:00;342.5422
18BA68003_1751;521;47.4566;-59.6233;343;74;08-may-68;04:24:00;345.6684
18BA68003_1751;521;47.4566;-59.6233;344;99;08-may-68;04:24:00;335.8432
18BA68003_1751;521;47.4566;-59.6233;345;149;08-may-68;04:24:00;253.6688
18BA68003_1751;521;47.4566;-59.6233;346;198;08-may-68;04:24:00;211.6884
18BA68003_1751;521;47.4566;-59.6233;347;297;08-may-68;04:24:00;199.6302
18BA68003_1751;521;47.4566;-59.6233;348;397;08-may-68;04:24:00;194.7176
18BA68003_1751;521;47.4566;-59.6233;349;466;08-may-68;04:24:00;204.5428
18BA68003_1752;531;47.7416;-60.1;350;1;08-may-68;12:54:00;355.9402
18BA68003_1752;531;47.7416;-60.1;351;10;08-may-68;12:54:00;354.6004
18BA68003_1752;531;47.7416;-60.1;352;20;08-may-68;12:54:00;353.2606
18BA68003_1752;531;47.7416;-60.1;353;30;08-may-68;12:54:00;354.1538
18BA68003_1752;531;47.7416;-60.1;354;49;08-may-68;12:54:00;328.6976
18BA68003_1752;531;47.7416;-60.1;355;74;08-may-68;12:54:00;305.921
18BA68003_1752;531;47.7416;-60.1;356;99;08-may-68;12:54:00;305.921
18BA68003_1752;531;47.7416;-60.1;357;148;08-may-68;12:54:00;221.067
18BA68003_1752;531;47.7416;-60.1;358;197;08-may-68;12:54:00;200.97
18BA68003_1752;531;47.7416;-60.1;359;296;08-may-68;12:54:00;187.572
18BA68003_1752;531;47.7416;-60.1;360;394;08-may-68;12:54:00;195.6108
18BA68003_1752;531;47.7416;-60.1;361;493;08-may-68;12:54:00;196.0574
18BA68003_1752;531;47.7416;-60.1;362;507;08-may-68;12:54:00;194.7176
18BA68003_1753;541;47.365;-59.8133;363;1;08-may-68;17:24:00;350.1344
18BA68003_1753;541;47.365;-59.8133;364;10;08-may-68;17:24:00;353.2606
18BA68003_1753;541;47.365;-59.8133;365;20;08-may-68;17:24:00;337.183
