CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;TEMP_XX;OXYM_01;Si_01;PO4_01;NOx_01
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3)
18BA87001_113;CAST#1;43.85833;-49.33333;24001;66;27-feb-87;21:26:00;0.056;352.814;8.07;1.04;9.11
18BA87001_113;CAST#1;43.85833;-49.33333;24002;30;27-feb-87;21:26:00;-0.083;355.9402;8.09;1.01;9.09
18BA87001_113;CAST#1;43.85833;-49.33333;24003;30;27-feb-87;21:26:00;-0.083;NaN;8.48;0.96;9.05
18BA87001_113;CAST#1;43.85833;-49.33333;24004;30;27-feb-87;21:26:00;-0.083;NaN;7.96;0.97;9.11
18BA87001_113;CAST#1;43.85833;-49.33333;24005;10;27-feb-87;21:26:00;-0.076;NaN;7.76;0.94;9.1
18BA87001_113;CAST#1;43.85833;-49.33333;24006;10;27-feb-87;21:26:00;-0.676;357.7266;8.07;0.99;9.09
18BA87001_225;CAST#1;43.73833;-48.91833;24007;1205;28-feb-87;00:38:00;3.307;301.9016;8.45;1.07;13.72
18BA87001_225;CAST#1;43.73833;-48.91833;24008;1103;28-feb-87;00:38:00;3.346;302.7948;9.16;1.12;16.71
18BA87001_225;CAST#1;43.73833;-48.91833;24009;1007;28-feb-87;00:38:00;3.364;304.5812;9.34;1.14;17.05
18BA87001_225;CAST#1;43.73833;-48.91833;24010;810;28-feb-87;00:38:00;3.507;301.0084;9.38;1.15;17.36
18BA87001_225;CAST#1;43.73833;-48.91833;24011;606;28-feb-87;00:38:00;3.513;301.455;9.49;1.23;17.43
18BA87001_225;CAST#1;43.73833;-48.91833;24012;407;28-feb-87;00:38:00;3.342;304.5812;8.66;1.08;16.25
18BA87001_225;CAST#1;43.73833;-48.91833;24013;206;28-feb-87;00:38:00;2.378;325.5714;7.99;1;13.8
18BA87001_225;CAST#1;43.73833;-48.91833;24014;102;28-feb-87;00:38:00;1.132;339.8626;8.47;0.95;12.23
18BA87001_225;CAST#1;43.73833;-48.91833;24015;54;28-feb-87;00:38:00;0.607;347.9014;8.55;0.92;10.82
18BA87001_225;CAST#1;43.73833;-48.91833;24016;14;28-feb-87;00:38:00;0.985;349.6878;7.87;0.9;9.7
18BA87001_264;CAST#1;43.61667;-48.435;24017;3313;28-feb-87;05:25:00;1.601;NaN;NaN;NaN;NaN
18BA87001_264;CAST#1;43.61667;-48.435;24018;3256;28-feb-87;05:25:00;2.1;NaN;15.84;1.21;17.44
18BA87001_264;CAST#1;43.61667;-48.435;24019;3208;28-feb-87;05:25:00;1.811;NaN;15.62;1.29;17.44
18BA87001_264;CAST#1;43.61667;-48.435;24020;2900;28-feb-87;05:25:00;1.905;NaN;14.48;1.24;17.64
18BA87001_264;CAST#1;43.61667;-48.435;24021;2630;28-feb-87;05:25:00;1.965;NaN;13.94;1.28;17.79
18BA87001_264;CAST#1;43.61667;-48.435;24022;2334;28-feb-87;05:25:00;2.48;NaN;13.37;1.39;17.99
18BA87001_264;CAST#1;43.61667;-48.435;24023;2075;28-feb-87;05:25:00;2.663;NaN;12.83;1.35;18.19
18BA87001_264;CAST#1;43.61667;-48.435;24024;1785;28-feb-87;05:25:00;2.838;NaN;11.61;1.34;17.99
18BA87001_264;CAST#1;43.61667;-48.435;24025;1510;28-feb-87;05:25:00;2.121;NaN;10.88;1.27;17.86
18BA87001_264;CAST#1;43.61667;-48.435;24026;1220;28-feb-87;05:25:00;1.385;NaN;11.01;1.23;17.99
18BA87001_264;CAST#1;43.61667;-48.435;24027;958;28-feb-87;05:25:00;3.283;301.455;10.1;1.16;17.99
18BA87001_264;CAST#1;43.61667;-48.435;24028;766;28-feb-87;05:25:00;3.493;293.4162;10.27;1.17;18.36
18BA87001_264;CAST#1;43.61667;-48.435;24029;580;28-feb-87;05:25:00;3.814;284.9308;10.68;1.18;18.61
18BA87001_264;CAST#1;43.61667;-48.435;24030;403;28-feb-87;05:25:00;4.823;251.4358;12.14;1.31;19.96
18BA87001_264;CAST#1;43.61667;-48.435;24031;290;28-feb-87;05:25:00;5.081;319.7656;12.34;1.33;20.36
18BA87001_264;CAST#1;43.61667;-48.435;24032;190;28-feb-87;05:25:00;5.923;215.2612;13.36;1.44;22.04
18BA87001_264;CAST#1;43.61667;-48.435;24033;100;28-feb-87;05:25:00;4.224;272.8726;10.05;1.15;15.95
18BA87001_264;CAST#1;43.61667;-48.435;24034;40;28-feb-87;05:25:00;2.631;330.9306;7.86;0.9;10.72
18BA87001_264;CAST#1;43.61667;-48.435;24035;17;28-feb-87;05:25:00;2.627;333.1636;7.67;0.88;10.83
18BA87001_264;CAST#1;43.61667;-48.435;24036;10;28-feb-87;05:25:00;2.631;330.484;7.7;0.92;10.62
