CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;CTD;labo;labo;labo;labo;labo;labo;CTD
Fichier;Station;Latitude;Longitude;Echantillon;zbouteille;Date;Heure;PSAL;TE90;OXYM_01;Si_01;NO2_01;NOx_01;PO4_01;CHL_03;FLOR
(nom);(nom/no);(degres);(degres);(no_unique);(dbar);(jj-mmm-yyyy);(GMT);(psu);(celsius);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mmol/m**3);(mg/m**3);(mg/m**3)
18EG17004_1582;521;47.85183;-59.6655;420495;401.11;09-mar-17;11:11:00;34.92;6.08;158.18572;28.8;0.01;23.015;1.685;NaN;0.03
18EG17004_1582;521;47.85183;-59.6655;420496;151.36;09-mar-17;11:11:00;33.36;3.16;NaN;12.795;0.01;13.395;1.185;NaN;0.047
18EG17004_1582;521;47.85183;-59.6655;420497;100.53;09-mar-17;11:11:00;32.48;1.51;NaN;8.015;0.025;8.36;0.89;NaN;0.092
18EG17004_1582;521;47.85183;-59.6655;420498;50.67;09-mar-17;11:11:00;31.89;-0.16;361.63435;5.58;0.075;5.805;0.725;0.425;0.374
18EG17004_1582;521;47.85183;-59.6655;420499;15.87;09-mar-17;11:11:00;31.88;-0.18;NaN;5.565;0.075;5.755;0.73;0.44;0.399
18EG17004_1582;521;47.85183;-59.6655;420500;2.08;09-mar-17;11:11:00;31.88;-0.18;361.12076;5.54;0.08;5.76;0.72;0.47;0.297
18EG17004_1583;531;47.637;-59.9385;420501;512.73;09-mar-17;13:17:00;34.93;5.93;157.58281;31.89;0.02;22.955;1.75;NaN;0.039
18EG17004_1583;531;47.637;-59.9385;420502;299.65;09-mar-17;13:17:00;34.82;6.97;NaN;24.915;0.01;23.63;1.67;NaN;0.028
18EG17004_1583;531;47.637;-59.9385;420503;249.44;09-mar-17;13:17:00;34.71;7.27;NaN;21.75;0.015;22.04;1.57;NaN;0.027
18EG17004_1583;531;47.637;-59.9385;420504;201.6;09-mar-17;13:17:00;34.5;7.23;NaN;16.82;0.015;18.775;1.37;NaN;0.026
18EG17004_1583;531;47.637;-59.9385;420505;150.18;09-mar-17;13:17:00;33.66;4.29;NaN;5.92;0.075;5.77;0.72;NaN;0.04
18EG17004_1583;531;47.637;-59.9385;420506;99.64;09-mar-17;13:17:00;32.7;1.74;NaN;10.915;0.015;11.295;1.1;NaN;0.057
18EG17004_1583;531;47.637;-59.9385;420507;50.27;09-mar-17;13:17:00;31.71;-0.79;369.71781;5.815;0.07;5.71;0.73;0.485;0.461
18EG17004_1583;531;47.637;-59.9385;420508;15.17;09-mar-17;13:17:00;31.68;-0.81;NaN;5.92;0.07;5.705;0.725;0.495;0.371
